市場,種別,総数,大型トラック(積載量６トン以上),大型トラック(積載量６トン以上)比率（％）,中型トラック(積載量４～６トン未満),中型トラック(積載量４～６トン未満)比率（％）,小型トラック(積載量２～４トン未満),小型トラック(積載量２～４トン未満)比率（％）,積載量２トン未満の小型トラック,積載量２トン未満の小型トラック比率（％）,軽自動車(貨物用),軽自動車(貨物用)比率（％）,ライトバン・ワゴン車,ライトバン・ワゴン車比率（％）,乗用車,乗用車比率（％）,オートバイ自転車・小型特殊車,オートバイ自転車・小型特殊車比率（％）,鉄道・地下鉄バス,鉄道・地下鉄バス比率（％）,徒歩,徒歩比率（％）,不明,不明比率（％）,項目名,備考
食肉,,210,16,7.6,36,17.1,131,62.4,20,9.5,4,1.9,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,食肉市場,
,畜産物計,210,16,7.6,36,17.1,131,62.4,20,9.5,4,1.9,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,畜産物計,
大田,切花,401,20,5.0,120,29.9,120,29.9,24,6.0,31,7.7,78,19.5,6,1.5,0,0.0,0,0.0,0,0.0,2,0.5,大田市場,
板橋,切花,536,3,0.6,8,1.5,41,7.6,64,11.9,142,26.5,205,38.2,64,11.9,3,0.6,6,1.1,0,0.0,0,0.0,板橋市場,
北足立,切花,97,0,0.0,12,12.4,29,29.9,6,6.2,15,15.5,28,28.9,6,6.2,0,0.0,0,0.0,0,0.0,1,1.0,北足立市場,
葛西,切花,180,0,0.0,20,11.1,32,17.8,28,15.6,28,15.6,60,33.3,10,5.6,0,0.0,0,0.0,0,0.0,2,1.1,葛西市場,
世田谷,切花,598,0,0.0,16,2.7,28,4.7,36,6.0,41,6.9,436,72.9,38,6.4,0,0.0,0,0.0,0,0.0,3,0.5,世田谷市場,
,切花計,1812,23,1.3,176,9.7,250,13.8,158,8.7,257,14.2,807,44.5,124,6.8,3,0.2,6,0.3,0,0.0,8,0.4,切花計,
大田,鉢物,127,3,2.4,22,17.3,34,26.8,15,11.8,20,15.7,28,22.0,1,0.8,1,0.8,0,0.0,0,0.0,3,2.4,大田市場,
板橋,鉢物,400,1,0.3,0,0.0,27,6.8,57,14.3,113,28.3,145,36.3,57,14.3,0,0.0,0,0.0,0,0.0,0,0.0,板橋市場,
北足立,鉢物,56,0,0.0,5,8.9,12,21.4,6,10.7,11,19.6,21,37.5,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,北足立市場,
葛西,鉢物,135,0,0.0,26,19.3,26,19.3,14,10.4,27,20.0,40,29.6,1,0.7,0,0.0,0,0.0,0,0.0,1,0.7,葛西市場,
世田谷,鉢物,513,3,0.6,16,3.1,39,7.6,73,14.2,24,4.7,350,68.2,6,1.2,0,0.0,0,0.0,0,0.0,2,0.4,世田谷市場,
,鉢物計,1231,7,0.6,69,5.6,138,11.2,165,13.4,195,15.8,584,47.4,66,5.4,1,0.1,0,0.0,0,0.0,6,0.5,鉢物計,
,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：kg、本、鉢）
