地域／部類,水産物,水産物構成比（％）,青果物,青果物構成比（％）,野菜,野菜構成比（％）,果実,果実構成比（％）,畜産物,畜産物構成比（％）,牛,牛構成比（％）,豚,豚構成比（％）,切花,切花構成比（％）,鉢物,鉢物構成比（％）
中野区,11615,0.5,128273,1.3,97241,1.4,31033,1.0,465,0.1,465,0.1,0,0.0,68940,1.0,1830,0.2
杉並区,15908,0.6,122003,1.3,90959,1.4,31044,1.0,2934,0.7,943,0.3,1991,2.7,58691,0.9,14802,2.0
豊島区,53118,2.1,157217,1.6,105486,1.6,51731,1.7,141,0.0,141,0.0,0,0.0,73700,1.1,2348,0.3
北区,16152,0.6,71140,0.7,49769,0.7,21372,0.7,777,0.2,752,0.2,26,0.0,54704,0.8,3707,0.5
荒川区,10255,0.4,62171,0.6,47221,0.7,14951,0.5,2755,0.7,758,0.2,1997,2.7,59310,0.9,2613,0.3
板橋区,20326,0.8,241524,2.5,172087,2.6,69437,2.3,10263,2.4,9795,2.8,468,0.6,141844,2.1,12551,1.7
練馬区,31660,1.2,170754,1.8,120056,1.8,50698,1.7,1282,0.3,1282,0.4,0,0.0,95858,1.5,12252,1.6
足立区,89529,3.5,470646,4.8,338071,5.0,132575,4.4,30891,7.3,30891,8.9,0,0.0,106609,1.6,10560,1.4
葛飾区,20791,0.8,175979,1.8,124689,1.9,51290,1.7,1419,0.3,424,0.1,996,1.4,61753,0.9,3736,0.5
江戸川区,24095,0.9,257100,2.6,186738,2.8,70362,2.4,1369,0.3,373,0.1,996,1.4,100202,1.5,13659,1.8
多摩地区計,161398,6.3,584201,6.0,400595,6.0,183606,6.1,2058,0.5,2058,0.6,0,0.0,350973,5.3,43174,5.7
西多摩地域,6217,0.2,11042,0.1,9123,0.1,1919,0.1,0,0.0,0,0.0,0,0.0,0,0.0,4880,0.6
南多摩(1)地域,26443,1.0,49024,0.5,35600,0.5,13423,0.4,281,0.1,281,0.1,0,0.0,77949,1.2,5108,0.7
南多摩(2)地域,23719,0.9,143660,1.5,104392,1.6,39268,1.3,0,0.0,0,0.0,0,0.0,27561,0.4,4667,0.6
北多摩西部(1)地域,30879,1.2,39662,0.4,21167,0.3,18494,0.6,753,0.2,753,0.2,0,0.0,7420,0.1,2514,0.3
北多摩西部(2)地域,6822,0.3,80980,0.8,55860,0.8,25120,0.8,86,0.0,86,0.0,0,0.0,12060,0.2,491,0.1
北多摩西部(3)地域,2086,0.1,9739,0.1,6767,0.1,2972,0.1,0,0.0,0,0.0,0,0.0,35235,0.5,3286,0.4
北多摩南部地域,42373,1.7,159503,1.6,101722,1.5,57781,1.9,64,0.0,64,0.0,0,0.0,135718,2.1,18899,2.5
北多摩北部地域,20501,0.8,88132,0.9,64137,1.0,23995,0.8,873,0.2,873,0.3,0,0.0,53732,0.8,2266,0.3
島しょ部,2358,0.1,2460,0.0,1828,0.0,633,0.0,0,0.0,0,0.0,0,0.0,1297,0.0,1062,0.1
都外計,1485011,57.9,4604815,47.4,3077148,45.8,1527667,51.1,233072,55.3,202051,58.0,31021,42.5,4081457,61.8,541835,71.4
北海道,0,0.0,157583,1.6,66353,1.0,91230,3.1,0,0.0,0,0.0,0,0.0,92441,1.4,381,0.1
青森県,28,0.0,35180,0.4,17768,0.3,17412,0.6,0,0.0,0,0.0,0,0.0,470682,7.1,25289,3.3
岩手県,0,0.0,23384,0.2,11957,0.2,11426,0.4,750,0.2,750,0.2,0,0.0,28189,0.4,0,0.0
宮城県,4330,0.2,30422,0.3,14599,0.2,15822,0.5,6268,1.5,6268,1.8,0,0.0,91812,1.4,1765,0.2
秋田県,18117,0.7,22058,0.2,14796,0.2,7262,0.2,362,0.1,362,0.1,0,0.0,8653,0.1,0,0.0
山形県,23607,0.9,14075,0.1,7240,0.1,6835,0.2,382,0.1,382,0.1,0,0.0,5970,0.1,0,0.0
福島県,70820,2.8,90491,0.9,54861,0.8,35630,1.2,129,0.0,129,0.0,0,0.0,116714,1.8,0,0.0
茨城県,95327,3.7,210554,2.2,151194,2.2,59360,2.0,2915,0.7,2686,0.8,229,0.0,336083,5.1,42653,5.6
栃木県,46403,1.8,95912,1.0,73986,1.1,21926,0.7,13403,3.2,13403,3.8,0,0.0,106441,1.6,16291,2.1
群馬県,109494,4.3,252524,2.6,207288,3.1,45236,1.5,317,0.1,317,0.1,0,0.0,149554,2.3,5815,0.8
埼玉県,250428,9.8,1370297,14.1,878679,13.1,491618,16.5,55316,13.1,55316,15.9,0,0.0,673671,10.2,73262,9.7
千葉県,316483,12.3,894152,9.2,634372,9.4,259780,8.7,39671,9.4,39372,11.3,299,0.4,658841,10.0,123263,16.2
神奈川県,387893,15.1,1040327,10.7,676213,10.1,364114,12.2,61190,14.5,39658,11.4,21532,29.5,877358,13.3,243357,32.1
新潟県,9509,0.4,21584,0.2,8974,0.1,12610,0.4,8270,2.0,8270,2.4,0,0.0,76252,1.2,2347,0.3
富山県,0,0.0,5,0.0,0,0.0,5,0.0,56,0.0,56,0.0,0,0.0,61263,0.9,0,0.0
石川県,0,0.0,467,0.0,442,0.0,25,0.0,0,0.0,0,0.0,0,0.0,1990,0.0,0,0.0
福井県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5018,0.1,0,0.0
山梨県,57100,2.2,68381,0.7,51608,0.8,16773,0.6,0,0.0,0,0.0,0,0.0,62565,0.9,2117,0.3
長野県,15926,0.6,14360,0.1,9223,0.1,5136,0.2,0,0.0,0,0.0,0,0.0,82607,1.3,1356,0.2
岐阜県,385,0.0,10203,0.1,8937,0.1,1266,0.0,3644,0.9,3644,1.0,0,0.0,0,0.0,0,0.0
静岡県,67082,2.6,134436,1.4,116697,1.7,17738,0.6,13043,3.1,4082,1.2,8961,12.3,71223,1.1,2073,0.3
愛知県,3944,0.2,25137,0.3,22568,0.3,2569,0.1,5640,1.3,5640,1.6,0,0.0,34524,0.5,1742,0.2
三重県,0,0.0,4912,0.1,4912,0.1,0,0.0,2879,0.7,2879,0.8,0,0.0,5105,0.1,0,0.0
京都府,3294,0.1,24424,0.3,24179,0.4,245,0.0,7572,1.8,7572,2.2,0,0.0,346,0.0,0,0.0
大阪府,1344,0.1,2917,0.0,2843,0.0,74,0.0,8251,2.0,8251,2.4,0,0.0,22756,0.3,0,0.0
兵庫県,3294,0.1,3304,0.0,3299,0.0,6,0.0,731,0.2,731,0.2,0,0.0,1038,0.0,0,0.0
鳥取県,0,0.0,9942,0.1,4874,0.1,5068,0.2,94,0.0,94,0.0,0,0.0,0,0.0,0,0.0
広島県,0,0.0,933,0.0,426,0.0,506,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
山口県,0,0.0,1556,0.0,914,0.0,643,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
香川県,0,0.0,0,0.0,0,0.0,0,0.0,197,0.0,197,0.1,0,0.0,0,0.0,0,0.0
愛媛県,0,0.0,38733,0.4,1474,0.0,37259,1.2,1992,0.5,1992,0.6,0,0.0,5921,0.1,0,0.0
福岡県,203,0.0,442,0.0,442,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11769,0.2,0,0.0
長崎県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2424,0.0,0,0.0
熊本県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6922,0.1,0,0.0
大分県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1213,0.0,0,0.0
宮崎県,0,0.0,6,0.0,0,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
鹿児島県,0,0.0,10,0.0,0,0.0,10,0.0,0,0.0,0,0.0,0,0.0,3289,0.0,126,0.0
沖縄県,0,0.0,6108,0.1,6031,0.1,77,0.0,0,0.0,0,0.0,0,0.0,8823,0.1,0,0.0
不明,24184,0.9,110192,1.1,81858,1.2,28334,0.9,7160,1.7,7160,2.1,0,0.0,56684,0.9,7259,1.0
