地域／市場,合計,合計構成比（％）,築地市場,築地市場構成比（％）,大田市場,大田市場構成比（％）,豊島市場,豊島市場構成比（％）,淀橋市場,淀橋市場構成比（％）,板橋市場,板橋市場構成比（％）,世田谷市場,世田谷市場構成比（％）,北足立市場,北足立市場構成比（％）,多摩NT市場,多摩NT市場構成比（％）,葛西市場,葛西市場構成比（％）,備考
青森県,17768,0.3,0,0.0,6961,0.2,10515,2.6,292,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
岩手県,11957,0.2,0,0.0,2358,0.1,9599,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
宮城県,14599,0.2,10021,1.0,1621,0.1,2718,0.7,0,0.0,239,0.1,0,0.0,0,0.0,0,0.0,0,0.0,
秋田県,14796,0.2,0,0.0,1941,0.1,2498,0.6,10356,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山形県,7240,0.1,0,0.0,3390,0.1,3850,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福島県,54861,0.8,0,0.0,15185,0.5,2407,0.6,34736,4.5,1433,0.3,0,0.0,0,0.0,0,0.0,1099,0.2,
茨城県,151194,2.2,15282,1.5,92656,3.3,23235,5.8,853,0.1,6841,1.5,1000,0.5,0,0.0,7,0.0,11320,2.4,
栃木県,73986,1.1,5010,0.5,28299,1.0,12869,3.2,13890,1.8,12820,2.7,0,0.0,0,0.0,0,0.0,1099,0.2,
群馬県,207288,3.1,22935,2.2,32129,1.2,16397,4.1,114698,15.0,20031,4.3,0,0.0,0,0.0,0,0.0,1099,0.2,
埼玉県,878679,13.1,83674,8.2,414242,14.9,36975,9.2,43051,5.6,141906,30.4,0,0.0,121426,22.1,3246,6.9,34159,7.2,
千葉県,634372,9.4,67924,6.6,312312,11.2,49004,12.2,30295,4.0,33701,7.2,0,0.0,38722,7.0,1025,2.2,101389,21.2,
神奈川県,676213,10.1,160123,15.7,395534,14.2,2142,0.5,39714,5.2,3848,0.8,48538,23.0,2209,0.4,17391,37.1,6716,1.4,
新潟県,8974,0.1,0,0.0,0,0.0,0,0.0,5239,0.7,0,0.0,0,0.0,0,0.0,0,0.0,3735,0.8,
富山県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
石川県,442,0.0,0,0.0,442,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福井県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山梨県,51608,0.8,4509,0.4,27271,1.0,12962,3.2,6866,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
長野県,9223,0.1,2505,0.2,1179,0.0,0,0.0,4874,0.6,665,0.1,0,0.0,0,0.0,0,0.0,0,0.0,
岐阜県,8937,0.1,0,0.0,7198,0.3,520,0.1,1218,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
静岡県,116697,1.7,8768,0.9,58071,2.1,2983,0.7,10356,1.4,17103,3.7,19416,9.2,0,0.0,0,0.0,0,0.0,
愛知県,22568,0.3,0,0.0,5122,0.2,4817,1.2,2437,0.3,0,0.0,8830,4.2,0,0.0,0,0.0,1362,0.3,
三重県,4912,0.1,0,0.0,4912,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
京都府,24179,0.4,2505,0.2,560,0.0,0,0.0,0,0.0,1163,0.2,18865,8.9,0,0.0,0,0.0,1085,0.2,
大阪府,2843,0.0,0,0.0,491,0.0,0,0.0,0,0.0,0,0.0,2352,1.1,0,0.0,0,0.0,0,0.0,
兵庫県,3299,0.0,0,0.0,3299,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
鳥取県,4874,0.1,0,0.0,0,0.0,0,0.0,4874,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
広島県,426,0.0,0,0.0,0,0.0,0,0.0,426,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山口県,914,0.0,0,0.0,0,0.0,0,0.0,914,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
香川県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
愛媛県,1474,0.0,0,0.0,1474,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福岡県,442,0.0,0,0.0,442,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
長崎県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
熊本県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
大分県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
宮崎県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
鹿児島県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
沖縄県,6031,0.1,0,0.0,5896,0.2,135,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
不明,81858,1.2,14876,1.5,28446,1.0,2032,0.5,715,0.1,489,0.1,0,0.0,30363,5.5,652,1.4,4284,0.9,
,,,,,,,,,,,,,,,,,,,,,（単位：kg）
