区分,総数,平均価格,築地市場,足立市場,大田市場,構成比率総計比(％),構成比率種別比(％),構成比率部類別比(％)
かじき類その他かじき数量(kg),275,,275,0,0,0.0,0.0,0.3
かじき類その他かじき金額(円),167497,609,167497,0,0,0.0,0.0,0.1
かつお類総数数量(kg),1027969,,982285,36674,9010,3.3,9.2,100.0
かつお類総数金額(円),547689332,533,521374089,20767043,5548200,1.6,4.5,100.0
かつお類かつお数量(kg),1026244,,980676,36593,8975,3.3,9.2,99.8
かつお類かつお金額(円),546101396,532,519852033,20705094,5544269,1.6,4.5,99.7
かつお類そうだかつお数量(kg),1112,,1070,7,35,0.0,0.0,0.1
かつお類そうだかつお金額(円),687938,619,681804,2203,3931,0.0,0.0,0.1
かつお類すまかつお数量(kg),503,,479,24,0,0.0,0.0,0.0
かつお類すまかつお金額(円),825888,1642,790572,35316,0,0.0,0.0,0.2
かつお類はかつお数量(kg),110,,60,50,0,0.0,0.0,0.0
かつお類はかつお金額(円),74110,674,49680,24430,0,0.0,0.0,0.0
ぶり類総数数量(kg),2098686,,2041545,33559,23582,6.8,18.8,100.0
ぶり類総数金額(円),1154860632,550,1104435398,20083853,30341381,3.4,9.6,100.0
ぶり類ぶり数量(kg),82755,,81048,1556,151,0.3,0.7,3.9
ぶり類ぶり金額(円),35547442,430,34813045,584853,149544,0.1,0.3,3.1
ぶり類わらさ数量(kg),1131542,,1114860,13004,3678,3.7,10.1,53.9
ぶり類わらさ金額(円),331344322,293,325722106,4214876,1407340,1.0,2.7,28.7
ぶり類いなだ数量(kg),299696,,293497,4904,1295,1.0,2.7,14.3
ぶり類いなだ金額(円),102429143,342,97930926,1388410,3109807,0.3,0.8,8.9
ぶり類わかし数量(kg),54662,,54314,343,5,0.2,0.5,2.6
ぶり類わかし金額(円),14116409,258,14041116,73116,2177,0.0,0.1,1.2
ぶり類はまち（養殖）数量(kg),261500,,237702,9063,14735,0.8,2.3,12.5
ぶり類はまち（養殖）金額(円),334615989,1280,305391697,9373335,19850957,1.0,2.8,29.0
ぶり類ひらまさ数量(kg),53036,,51455,843,738,0.2,0.5,2.5
ぶり類ひらまさ金額(円),58437709,1102,56373074,831840,1232795,0.2,0.5,5.1
ぶり類かんぱち（天然）数量(kg),29030,,26997,1326,707,0.1,0.3,1.4
ぶり類かんぱち（天然）金額(円),28260123,973,26456469,966136,837518,0.1,0.2,2.4
ぶり類かんぱち（養殖）数量(kg),186465,,181672,2520,2273,0.6,1.7,8.9
ぶり類かんぱち（養殖）金額(円),250109495,1341,243706965,2651287,3751243,0.7,2.1,21.7
あじ類総数数量(kg),1158239,,1130840,22097,5302,3.8,10.4,100.0
あじ類総数金額(円),749461149,647,729537375,13872990,6050784,2.2,6.2,100.0
あじ類まあじ数量(kg),1096268,,1071024,20170,5074,3.6,9.8,94.6
あじ類まあじ金額(円),682580281,623,664603585,12091110,5885586,2.0,5.7,91.1
あじ類むろあじ数量(kg),18940,,18445,495,0,0.1,0.2,1.6
あじ類むろあじ金額(円),3786265,200,3663361,122904,0,0.0,0.0,0.5
あじ類しまあじ（国内）数量(kg),34857,,34008,621,228,0.1,0.3,3.0
あじ類しまあじ（国内）金額(円),58813397,1687,57482395,1165804,165198,0.2,0.5,7.8
あじ類あおあじ数量(kg),1148,,1013,135,0,0.0,0.0,0.1
あじ類あおあじ金額(円),475327,414,365772,109555,0,0.0,0.0,0.1
あじ類その他あじ数量(kg),7026,,6350,676,0,0.0,0.1,0.6
あじ類その他あじ金額(円),3805879,542,3422262,383617,0,0.0,0.0,0.5
さわら類総数数量(kg),189389,,183670,2860,2859,0.6,1.7,100.0
さわら類総数金額(円),169342558,894,164309143,2556230,2477185,0.5,1.4,100.0
さわら類さごち数量(kg),80590,,77751,1088,1751,0.3,0.7,42.6
さわら類さごち金額(円),57179819,710,55134286,797952,1247581,0.2,0.5,33.8
さわら類さわら（国内）数量(kg),108649,,105919,1622,1108,0.4,1.0,57.4
さわら類さわら（国内）金額(円),112043026,1031,109174857,1638565,1229604,0.3,0.9,66.2
さわら類さわら（輸入）数量(kg),150,,0,150,0,0.0,0.0,0.1
さわら類さわら（輸入）金額(円),119713,798,0,119713,0,0.0,0.0,0.1
いわし類総数数量(kg),963839,,942238,15399,6202,3.1,8.6,100.0
いわし類総数金額(円),365321977,379,352948195,8216414,4157368,1.1,3.0,100.0
いわし類まいわし数量(kg),956937,,936122,14749,6066,3.1,8.6,99.3
いわし類まいわし金額(円),363207039,380,350971989,8144485,4090565,1.1,3.0,99.4
いわし類かたくちいわし数量(kg),940,,930,0,10,0.0,0.0,0.1
いわし類かたくちいわし金額(円),238858,254,233064,0,5794,0.0,0.0,0.1
いわし類うるめいわし数量(kg),3788,,3138,650,0,0.0,0.0,0.4
いわし類うるめいわし金額(円),1022945,270,951016,71929,0,0.0,0.0,0.3
いわし類にしん数量(kg),2174,,2048,0,126,0.0,0.0,0.2
いわし類にしん金額(円),853135,392,792126,0,61009,0.0,0.0,0.2
いか類総数数量(kg),556177,,535981,18295,1901,1.8,5.0,100.0
いか類総数金額(円),518572389,932,498688567,16198360,3685462,1.5,4.3,100.0
いか類するめいか数量(kg),435224,,419392,14792,1040,1.4,3.9,78.3
いか類するめいか金額(円),311084963,715,298604416,10394299,2086248,0.9,2.6,60.0
いか類もんこういか数量(kg),639,,639,0,0,0.0,0.0,0.1
いか類もんこういか金額(円),894905,1400,894905,0,0,0.0,0.0,0.2
いか類こういか数量(kg),12129,,11952,127,50,0.0,0.1,2.2
いか類こういか金額(円),35984403,2967,35644905,281556,57942,0.1,0.3,6.9
いか類あおりいか数量(kg),2391,,2370,0,21,0.0,0.0,0.4
いか類あおりいか金額(円),9792288,4095,9708587,0,83701,0.0,0.1,1.9
いか類やりいか数量(kg),26050,,24348,1651,51,0.1,0.2,4.7
いか類やりいか金額(円),31508898,1210,28715868,2706545,86485,0.1,0.3,6.1
いか類あかいか数量(kg),7774,,7317,437,20,0.0,0.1,1.4
いか類あかいか金額(円),11065772,1423,10752646,304270,8856,0.0,0.1,2.1
いか類ひいか数量(kg),7538,,7488,35,15,0.0,0.1,1.4
いか類ひいか金額(円),5020649,666,4935558,24300,60791,0.0,0.0,1.0
いか類その他いか数量(kg),64432,,62475,1253,704,0.2,0.6,11.6
いか類その他いか金額(円),113220511,1757,109431682,2487390,1301439,0.3,0.9,21.8
かれい類総数数量(kg),144262,,142120,1402,740,0.5,1.3,100.0
かれい類総数金額(円),116916826,810,114554880,1172972,1188974,0.3,1.0,100.0
かれい類まかれい数量(kg),33065,,32781,150,134,0.1,0.3,22.9
かれい類まかれい金額(円),22058700,667,21691040,89132,278528,0.1,0.2,18.9
かれい類まこかれい数量(kg),14184,,13010,870,304,0.0,0.1,9.8
かれい類まこかれい金額(円),14946949,1054,13891886,772357,282706,0.0,0.1,12.8
かれい類いしかれい数量(kg),1209,,1182,5,22,0.0,0.0,0.8
かれい類いしかれい金額(円),1216198,1006,1194857,3802,17539,0.0,0.0,1.0
かれい類なめたかれい数量(kg),1534,,1452,82,0,0.0,0.0,1.1
かれい類なめたかれい金額(円),1636660,1067,1570294,66366,0,0.0,0.0,1.4
かれい類あかかれい数量(kg),54095,,53762,216,117,0.2,0.5,37.5
かれい類あかかれい金額(円),39326913,727,38701489,168966,456458,0.1,0.3,33.6
かれい類くろかれい数量(kg),6447,,6444,0,3,0.0,0.1,4.5
かれい類くろかれい金額(円),3444087,534,3442467,0,1620,0.0,0.0,2.9
かれい類あさばかれい数量(kg),1481,,1481,0,0,0.0,0.0,1.0
かれい類あさばかれい金額(円),535311,361,535311,0,0,0.0,0.0,0.5
かれい類柳むしかれい数量(kg),486,,486,0,0,0.0,0.0,0.3
かれい類柳むしかれい金額(円),848556,1746,848556,0,0,0.0,0.0,0.7
かれい類めいたかれい数量(kg),815,,757,6,52,0.0,0.0,0.6
かれい類めいたかれい金額(円),1001549,1229,972120,6480,22949,0.0,0.0,0.9
かれい類こがねかれい数量(kg),78,,78,0,0,0.0,0.0,0.1
かれい類こがねかれい金額(円),91446,1172,91446,0,0,0.0,0.0,0.1
かれい類したひらめ数量(kg),12599,,12438,57,104,0.0,0.1,8.7
かれい類したひらめ金額(円),14996173,1190,14819922,54637,121614,0.0,0.1,12.8
かれい類むきかれい数量(kg),894,,894,0,0,0.0,0.0,0.6
かれい類むきかれい金額(円),1074511,1202,1074511,0,0,0.0,0.0,0.9
かれい類無頭かれい数量(kg),45,,45,0,0,0.0,0.0,0.0
かれい類無頭かれい金額(円),29160,648,29160,0,0,0.0,0.0,0.0
かれい類その他かれい数量(kg),17330,,17310,16,4,0.1,0.2,12.0
かれい類その他かれい金額(円),15710613,907,15691821,11232,7560,0.0,0.1,13.4
たい類総数数量(kg),786307,,747205,16342,22760,2.6,7.0,100.0
たい類総数金額(円),1020506657,1298,971105162,18918193,30483302,3.0,8.5,100.0
たい類またい（天然）数量(kg),146792,,143347,1697,1748,0.5,1.3,18.7
たい類またい（天然）金額(円),158952470,1083,154281164,2158399,2512907,0.5,1.3,15.6
たい類またい（養殖）数量(kg),373796,,346605,10619,16572,1.2,3.3,47.5
たい類またい（養殖）金額(円),402836212,1078,372391454,10110758,20334000,1.2,3.3,39.5
たい類かすご数量(kg),1581,,1357,204,20,0.0,0.0,0.2
たい類かすご金額(円),753879,477,683155,56036,14688,0.0,0.0,0.1
たい類ちたい数量(kg),46622,,45074,562,986,0.2,0.4,5.9
たい類ちたい金額(円),32563846,698,31615510,422277,526059,0.1,0.3,3.2
たい類れんこたい数量(kg),11685,,11656,23,6,0.0,0.1,1.5
たい類れんこたい金額(円),8081467,692,8053820,17733,9914,0.0,0.1,0.8
たい類くろたい数量(kg),10906,,10448,262,196,0.0,0.1,1.4
たい類くろたい金額(円),5442841,499,5153432,132193,157216,0.0,0.0,0.5
たい類あまたい数量(kg),15208,,14426,214,568,0.0,0.1,1.9
たい類あまたい金額(円),45200000,2972,42854437,501390,1844173,0.1,0.4,4.4
たい類いしたい数量(kg),1339,,1277,13,49,0.0,0.0,0.2
たい類いしたい金額(円),2496239,1864,2363692,20995,111552,0.0,0.0,0.2
たい類あおたい数量(kg),5427,,5227,97,103,0.0,0.0,0.7
たい類あおたい金額(円),7734520,1425,7412836,133856,187828,0.0,0.1,0.8
たい類きんめたい数量(kg),149083,,145099,1918,2066,0.5,1.3,19.0
たい類きんめたい金額(円),324484676,2177,315986492,4310888,4187296,0.9,2.7,31.8
たい類おなが数量(kg),4489,,4130,298,61,0.0,0.0,0.6
たい類おなが金額(円),8350721,1860,7719791,489114,141816,0.0,0.1,0.8
たい類おご数量(kg),2118,,2016,102,0,0.0,0.0,0.3
たい類おご金額(円),2671523,1261,2530576,140947,0,0.0,0.0,0.3
たい類いとより（国内）数量(kg),12844,,12356,108,380,0.0,0.1,1.6
たい類いとより（国内）金額(円),12771278,994,12222739,102460,446079,0.0,0.1,1.3
たい類その他たい数量(kg),4417,,4187,225,5,0.0,0.0,0.6
たい類その他たい金額(円),8166985,1849,7836064,321147,9774,0.0,0.1,0.8
めぬけ類総数数量(kg),55452,,54079,661,712,0.2,0.5,100.0
めぬけ類総数金額(円),112367486,2026,110173668,1484682,709136,0.3,0.9,100.0
めぬけ類めぬけ数量(kg),452,,411,13,28,0.0,0.0,0.8
めぬけ類めぬけ金額(円),1196140,2646,1141353,7322,47465,0.0,0.0,1.1
めぬけ類あこう数量(kg),89,,89,0,0,0.0,0.0,0.2
めぬけ類あこう金額(円),189929,2134,189929,0,0,0.0,0.0,0.2
めぬけ類きんき数量(kg),15696,,15376,187,133,0.1,0.1,28.3
めぬけ類きんき金額(円),62086497,3956,60972885,912243,201369,0.2,0.5,55.3
めぬけ類めばる数量(kg),21608,,20860,301,447,0.1,0.2,39.0
めぬけ類めばる金額(円),32528760,1505,31819223,434934,274603,0.1,0.3,28.9
めぬけ類おこぜ数量(kg),514,,488,26,0,0.0,0.0,0.9
めぬけ類おこぜ金額(円),885717,1723,869873,15844,0,0.0,0.0,0.8
めぬけ類あかうお数量(kg),8238,,8215,23,0,0.0,0.1,14.9
めぬけ類あかうお金額(円),3692841,448,3674827,18014,0,0.0,0.0,3.3
めぬけ類かさご数量(kg),8855,,8640,111,104,0.0,0.1,16.0
めぬけ類かさご金額(円),11787602,1331,11505578,96325,185699,0.0,0.1,10.5
さめ類総数数量(kg),24754,,22728,2016,10,0.1,0.2,100.0
さめ類総数金額(円),10923957,441,10102675,817934,3348,0.0,0.1,100.0
さめ類よしきりさめ数量(kg),1243,,1243,0,0,0.0,0.0,5.0
さめ類よしきりさめ金額(円),362178,291,362178,0,0,0.0,0.0,3.3
さめ類あおさめ数量(kg),670,,649,21,0,0.0,0.0,2.7
さめ類あおさめ金額(円),206064,308,201442,4622,0,0.0,0.0,1.9
さめ類もうかさめ数量(kg),22546,,20573,1973,0,0.1,0.2,91.1
さめ類もうかさめ金額(円),10130523,449,9330332,800191,0,0.0,0.1,92.7
さめ類あぶらさめ数量(kg),45,,45,0,0,0.0,0.0,0.2
さめ類あぶらさめ金額(円),9720,216,9720,0,0,0.0,0.0,0.1
さめ類その他さめ数量(kg),250,,218,22,10,0.0,0.0,1.0
さめ類その他さめ金額(円),215472,862,199003,13121,3348,0.0,0.0,2.0
さけ・ます類総数数量(kg),653739,,631835,15350,6554,2.1,5.8,100.0
さけ・ます類総数金額(円),1032232634,1579,999655138,20890138,11687358,3.0,8.6,100.0
さけ・ます類しろさけ数量(kg),128414,,127728,486,200,0.4,1.1,19.6
さけ・ます類しろさけ金額(円),195412803,1522,194105135,541720,765948,0.6,1.6,18.9
さけ・ます類ぎんさけ数量(kg),30578,,26896,2600,1082,0.1,0.3,4.7
さけ・ます類ぎんさけ金額(円),39325647,1286,34505004,3034534,1786109,0.1,0.3,3.8
さけ・ます類ます数量(kg),614,,614,0,0,0.0,0.0,0.1
さけ・ます類ます金額(円),867532,1413,867532,0,0,0.0,0.0,0.1
さけ・ます類輸入さけ・ます数量(kg),420960,,403508,12180,5272,1.4,3.8,64.4
さけ・ます類輸入さけ・ます金額(円),676076925,1606,649695326,17246298,9135301,2.0,5.6,65.5
さけ・ます類その他さけ数量(kg),73173,,73089,84,0,0.2,0.7,11.2
さけ・ます類その他さけ金額(円),120549727,1647,120482141,67586,0,0.4,1.0,11.7
たら類総数数量(kg),111173,,107415,2427,1331,0.4,1.0,100.0
たら類総数金額(円),115409860,1038,110891264,1861116,2657480,0.3,1.0,100.0
たら類生またら数量(kg),69009,,67074,1613,322,0.2,0.6,62.1
たら類生またら金額(円),74114745,1074,72158517,1201398,754830,0.2,0.6,64.2
たら類生すけそうたら数量(kg),2990,,2785,205,0,0.0,0.0,2.7
たら類生すけそうたら金額(円),783983,262,711407,72576,0,0.0,0.0,0.7
たら類生鮮塩たら数量(kg),39174,,37556,609,1009,0.1,0.4,35.2
たら類生鮮塩たら金額(円),40511132,1034,38021340,587142,1902650,0.1,0.3,35.1
えび類総数数量(kg),118971,,94093,2305,22573,0.4,1.1,100.0
えび類総数金額(円),475543617,3997,397789591,6999086,70754940,1.4,3.9,100.0
えび類くるまえび（国内）数量(kg),3608,,3606,0,2,0.0,0.0,3.0
えび類くるまえび（国内）金額(円),32039844,8880,32009604,0,30240,0.1,0.3,6.7
えび類くるまえび（輸入）数量(kg),5830,,5690,140,0,0.0,0.1,4.9
えび類くるまえび（輸入）金額(円),29823055,5115,29422591,400464,0,0.1,0.2,6.3
えび類まきえび数量(kg),20221,,19492,456,273,0.1,0.2,17.0
えび類まきえび金額(円),137241403,6787,133364741,1953182,1923480,0.4,1.1,28.9
えび類しばえび数量(kg),1630,,1630,0,0,0.0,0.0,1.4
えび類しばえび金額(円),3906615,2397,3906615,0,0,0.0,0.0,0.8
えび類さるえび数量(kg),23,,17,6,0,0.0,0.0,0.0
えび類さるえび金額(円),11016,479,7668,3348,0,0.0,0.0,0.0
えび類いせえび（国内）数量(kg),7530,,7417,88,25,0.0,0.1,6.3
えび類いせえび（国内）金額(円),54134007,7189,53441415,510441,182151,0.2,0.4,11.4
えび類いせえび（輸入）数量(kg),24104,,2625,0,21479,0.1,0.2,20.3
えび類いせえび（輸入）金額(円),75305452,3124,8464817,0,66840635,0.2,0.6,15.8
えび類くまえび数量(kg),20,,20,0,0,0.0,0.0,0.0
えび類くまえび金額(円),66172,3309,66172,0,0,0.0,0.0,0.0
えび類あかえび数量(kg),9219,,8030,526,663,0.0,0.1,7.7
えび類あかえび金額(円),22805202,2474,20264413,1224043,1316746,0.1,0.2,4.8
えび類むきえび数量(kg),32602,,32357,245,0,0.1,0.3,27.4
えび類むきえび金額(円),53592483,1644,53223177,369306,0,0.2,0.4,11.3
えび類しゃこ数量(kg),242,,205,12,25,0.0,0.0,0.2
えび類しゃこ金額(円),855219,3534,797979,9990,47250,0.0,0.0,0.2
えび類その他えび数量(kg),13942,,13004,832,106,0.0,0.1,11.7
えび類その他えび金額(円),65763149,4717,62820399,2528312,414438,0.2,0.5,13.8
かに類総数数量(kg),74561,,71209,2823,529,0.2,0.7,100.0
かに類総数金額(円),222903527,2990,212649693,8802031,1451803,0.6,1.8,100.0
かに類わたりかに（国内）数量(kg),23481,,22801,558,122,0.1,0.2,31.5
かに類わたりかに（国内）金額(円),21064907,897,20425706,497922,141279,0.1,0.2,9.5
かに類毛かに数量(kg),24154,,23693,312,149,0.1,0.2,32.4
かに類毛かに金額(円),134285446,5560,132306615,1129789,849042,0.4,1.1,60.2
かに類ずわいかに数量(kg),14617,,14132,399,86,0.0,0.1,19.6
かに類ずわいかに金額(円),37456268,2563,34948315,2194992,312961,0.1,0.3,16.8
かに類その他かに数量(kg),12309,,10583,1554,172,0.0,0.1,16.5
かに類その他かに金額(円),30096906,2445,24969057,4979328,148521,0.1,0.2,13.5
あなご類総数数量(kg),19474,,15925,1940,1609,0.1,0.2,100.0
あなご類総数金額(円),37684182,1935,30334792,3701795,3647595,0.1,0.3,100.0
あなご類まあなご数量(kg),19368,,15819,1940,1609,0.1,0.2,99.5
あなご類まあなご金額(円),37608582,1942,30259192,3701795,3647595,0.1,0.3,99.8
あなご類ぎんあなご数量(kg),106,,106,0,0,0.0,0.0,0.5
あなご類ぎんあなご金額(円),75600,713,75600,0,0,0.0,0.0,0.2
ふぐ類総数数量(kg),13718,,13295,301,122,0.0,0.1,100.0
ふぐ類総数金額(円),30204627,2202,29572983,519426,112218,0.1,0.3,100.0
ふぐ類とらふぐ数量(kg),5758,,5746,10,2,0.0,0.1,42.0
ふぐ類とらふぐ金額(円),8804048,1529,8783015,20520,513,0.0,0.1,29.1
ふぐ類まふぐ数量(kg),605,,605,0,0,0.0,0.0,4.4
ふぐ類まふぐ金額(円),691046,1142,691046,0,0,0.0,0.0,2.3
ふぐ類みがきふぐ数量(kg),5717,,5411,291,15,0.0,0.1,41.7
ふぐ類みがきふぐ金額(円),19008403,3325,18439264,498906,70233,0.1,0.2,62.9
ふぐ類その他ふぐ数量(kg),1638,,1533,0,105,0.0,0.0,11.9
ふぐ類その他ふぐ金額(円),1701130,1039,1659658,0,41472,0.0,0.0,5.6
その他鮮魚類総数数量(kg),2178134,,2098023,57839,22272,7.1,19.5,100.0
その他鮮魚類総数金額(円),3245021907,1490,3126607457,76036897,42377553,9.4,26.9,100.0
その他鮮魚類あんこう数量(kg),662,,653,9,0,0.0,0.0,0.0
その他鮮魚類あんこう金額(円),370593,560,367947,2646,0,0.0,0.0,0.0
その他鮮魚類あいなめ数量(kg),6687,,6318,169,200,0.0,0.1,0.3
その他鮮魚類あいなめ金額(円),9942768,1487,9599602,174010,169156,0.0,0.1,0.3
その他鮮魚類いさき数量(kg),77375,,74195,1198,1982,0.3,0.7,3.6
その他鮮魚類いさき金額(円),110467545,1428,106041629,1671383,2754533,0.3,0.9,3.4
その他鮮魚類いぼたい数量(kg),3031,,2831,77,123,0.0,0.0,0.1
その他鮮魚類いぼたい金額(円),4053556,1337,3940516,47520,65520,0.0,0.0,0.1
その他鮮魚類かます数量(kg),40635,,39581,583,471,0.1,0.4,1.9
その他鮮魚類かます金額(円),40886025,1006,40149718,483570,252737,0.1,0.3,1.3
その他鮮魚類かわはぎ数量(kg),3002,,2705,167,130,0.0,0.0,0.1
その他鮮魚類かわはぎ金額(円),2285158,761,2069931,106749,108478,0.0,0.0,0.1
その他鮮魚類きす数量(kg),15245,,14849,335,61,0.0,0.1,0.7
その他鮮魚類きす金額(円),34439649,2259,33842505,492610,104534,0.1,0.3,1.1
その他鮮魚類ぐち数量(kg),12770,,12590,83,97,0.0,0.1,0.6
その他鮮魚類ぐち金額(円),6083774,476,5923046,32000,128728,0.0,0.1,0.2
その他鮮魚類こち数量(kg),14735,,14246,259,230,0.0,0.1,0.7
その他鮮魚類こち金額(円),16657331,1130,16184042,266622,206667,0.0,0.1,0.5
その他鮮魚類このしろ数量(kg),52193,,49667,1859,667,0.2,0.5,2.4
その他鮮魚類このしろ金額(円),38171258,731,36389142,1306357,475759,0.1,0.3,1.2
その他鮮魚類さば数量(kg),510575,,496768,9618,4189,1.7,4.6,23.4
その他鮮魚類さば金額(円),235609259,461,225526090,5881419,4201750,0.7,2.0,7.3
その他鮮魚類さんま数量(kg),730771,,699671,27544,3556,2.4,6.5,33.6
その他鮮魚類さんま金額(円),593530110,812,567668796,21350741,4510573,1.7,4.9,18.3
その他鮮魚類さより（国内）数量(kg),186,,186,0,0,0.0,0.0,0.0
その他鮮魚類さより（国内）金額(円),382622,2057,382622,0,0,0.0,0.0,0.0
その他鮮魚類さより（輸入）数量(kg),7,,0,7,0,0.0,0.0,0.0
その他鮮魚類さより（輸入）金額(円),16200,2314,0,16200,0,0.0,0.0,0.0
その他鮮魚類しいら数量(kg),17659,,17299,331,29,0.1,0.2,0.8
その他鮮魚類しいら金額(円),4745368,269,4653222,83711,8435,0.0,0.0,0.1
その他鮮魚類しらうお数量(kg),6102,,5503,597,2,0.0,0.1,0.3
その他鮮魚類しらうお金額(円),7922370,1298,7215791,703296,3283,0.0,0.1,0.2
その他鮮魚類すずき数量(kg),95513,,91172,1349,2992,0.3,0.9,4.4
その他鮮魚類すずき金額(円),122962988,1287,115935406,1970722,5056860,0.4,1.0,3.8
その他鮮魚類せいご数量(kg),8547,,8356,120,71,0.0,0.1,0.4
その他鮮魚類せいご金額(円),4574753,535,4484461,36612,53680,0.0,0.0,0.1
その他鮮魚類たこ数量(kg),66647,,65133,818,696,0.2,0.6,3.1
その他鮮魚類たこ金額(円),104533085,1568,102353396,949839,1229850,0.3,0.9,3.2
その他鮮魚類たかべ数量(kg),12783,,11966,308,509,0.0,0.1,0.6
その他鮮魚類たかべ金額(円),17021793,1332,16180976,497659,343158,0.0,0.1,0.5
その他鮮魚類たちうお（国内）数量(kg),34430,,33095,533,802,0.1,0.3,1.6
その他鮮魚類たちうお（国内）金額(円),79819374,2318,77448400,635601,1735373,0.2,0.7,2.5
その他鮮魚類とびうお数量(kg),3283,,3129,10,144,0.0,0.0,0.2
その他鮮魚類とびうお金額(円),2079209,633,2048214,3240,27755,0.0,0.0,0.1
その他鮮魚類はた数量(kg),12644,,12008,426,210,0.0,0.1,0.6
その他鮮魚類はた金額(円),29303535,2318,27549524,1108541,645470,0.1,0.2,0.9
その他鮮魚類はたはた数量(kg),486,,486,0,0,0.0,0.0,0.0
その他鮮魚類はたはた金額(円),394921,813,394921,0,0,0.0,0.0,0.0
その他鮮魚類はも数量(kg),25666,,24871,305,490,0.1,0.2,1.2
その他鮮魚類はも金額(円),59019029,2300,56943022,589627,1486380,0.2,0.5,1.8
その他鮮魚類ひげたら数量(kg),188,,178,10,0,0.0,0.0,0.0
その他鮮魚類ひげたら金額(円),290304,1544,269989,20315,0,0.0,0.0,0.0
その他鮮魚類ひらめ（国内）数量(kg),31809,,29399,1316,1094,0.1,0.3,1.5
その他鮮魚類ひらめ（国内）金額(円),61149646,1922,56179552,2348622,2621472,0.2,0.5,1.9
その他鮮魚類ひらめ（輸入）数量(kg),10,,0,0,10,0.0,0.0,0.0
その他鮮魚類ひらめ（輸入）金額(円),20127,2013,0,0,20127,0.0,0.0,0.0
その他鮮魚類ほうぼう数量(kg),11422,,11097,140,185,0.0,0.1,0.5
その他鮮魚類ほうぼう金額(円),13335436,1168,13008052,143315,184069,0.0,0.1,0.4
