市場,種別,総数,１時以前,１時以前比率（％）,２時台,２時台比率（％）,３時台,３時台比率（％）,４時台,４時台比率（％）,５時台,５時台比率（％）,６時台,６時台比率（％）,７時台,７時台比率（％）,８時台,８時台比率（％）,９時台,９時台比率（％）,１０時台,１０時台比率（％）,１１時台,１１時台比率（％）,１２時以降,１２時以降比率（％）,不明,不明比率（％）,項目名,備考
多摩NT,,57197,1212,2.1,3457,6.0,3532,6.2,6848,12,16441,28.7,16642,29.1,5414,9.5,1391,2.4,107,0.2,0,0.0,11,0.0,0,0.0,2141,3.7,多摩NT市場,
葛西,,601300,13986,2.3,51863,8.6,23739,3.9,162476,27,65540,10.9,116925,19.4,50951,8.5,58139,9.7,26513,4.4,8033,1.3,4461,0.7,2875,0.5,15799,2.6,葛西市場,
,水産物計,2564983,241826,9.4,197284,7.7,315321,12.3,194796,7.6,206071,8.0,179322,7.0,359335,14.0,243478,9.5,203893,7.9,153551,6.0,46878,1.8,183317,7.1,39906,1.6,水産物計,
,青果物計,9712541,751523,7.7,680695,7.0,1096185,11.3,789634,8.1,1316814,13.6,1132404,11.7,981527,10.1,1015031,10.5,797778,8.2,447981,4.6,133591,1.4,484425,5.0,84950,0.9,青果物計,
食肉,,421269,40261,9.8,7073,1.7,35135,8.6,23456,5.7,945,0.2,7552,1.8,7031,1.7,49770,12.2,44268,10.8,29241,7.1,25046,6.1,139292,34.1,12198,3.0,食肉市場,
,畜産物計,421269,40261,9.8,7073,1.7,35135,8.6,23456,5.7,945,0.2,7552,1.8,7031,1.7,49770,12.2,44268,10.8,29241,7.1,25046,6.1,139292,34.1,12198,3.0,畜産物計,
大田,切花,3656666,172282,4.7,152119,4.2,445712,12.2,299826,8.2,651220,17.8,199107,5.4,445046,12.2,287073,7.9,523987,14.3,148624,4.1,167697,4.6,76663,2.1,87308,2.4,大田市場,
板橋,切花,740368,0,0.0,7188,1.0,1177,0.2,23086,3.1,6940,0.9,9535,1.3,29698,4.0,2966,0.4,32855,4.4,575531,77.7,12289,1.7,29498,4.0,9604,1.3,板橋市場,
北足立,切花,817203,474,0.1,0,0.0,83073,10.2,94283,11.5,212893,26.1,20215,2.5,2843,0.3,46004,5.6,160694,19.7,149563,18.3,17216,2.1,25523,3.1,4422,0.5,北足立市場,
葛西,切花,585754,28193,4.8,93,0.0,1685,0.3,13395,2.3,37794,6.5,58371,10.0,93593,16.0,43505,7.4,44125,7.5,115697,19.8,61912,10.6,77930,13.3,9460,1.6,葛西市場,
世田谷,切花,801954,16761,2.1,1389,0.2,0,0.0,117396,14.6,69760,8.7,31383,3.9,4615,0.6,42170,5.3,30318,3.8,261619,32.6,211004,26.3,12900,1.6,2639,0.3,世田谷市場,
,切花計,6601945,217710,3.3,160789,2.4,531647,8.1,547986,8.3,978607,14.8,318611,4.8,575795,8.7,421718,6.4,791979,12.0,1251034,18.9,470118,7.1,222514,3.4,113433,1.7,切花計,
大田,鉢物,397293,6494,1.6,8820,2.2,30830,7.8,10191,2.6,17114,4.3,32287,8.1,20260,5.1,11334,2.9,45729,11.5,64209,16.2,30997,7.8,116948,29.4,2079,0.5,大田市場,
板橋,鉢物,39665,0,0.0,0,0.0,0,0.0,0,0.0,229,0.6,0,0.0,472,1.2,0,0.0,1236,3.1,3860,9.7,33459,84.4,375,0.9,35,0.1,板橋市場,
北足立,鉢物,66031,2880,4.4,31323,47.4,6647,10.1,231,0.3,231,0.3,0,0.0,0,0.0,4035,6.1,1543,2.3,2133,3.2,583,0.9,16370,24.8,55,0.1,北足立市場,
葛西,鉢物,82114,956,1.2,1359,1.7,3295,4.0,35421,43.1,257,0.3,3950,4.8,638,0.8,214,0.3,7991,9.7,12435,15.1,8329,10.1,7164,8.7,104,0.1,葛西市場,
世田谷,鉢物,173666,3791,2.2,25,0.0,0,0.0,8469,4.9,4923,2.8,2946,1.7,156,0.1,58,0.0,399,0.2,80283,46.2,53478,30.8,17353,10.0,1784,1.0,世田谷市場,
,鉢物計,758769,14121,1.9,41527,5.5,40772,5.4,54312,7.2,22754,3.0,39183,5.2,21526,2.8,15641,2.1,56898,7.5,162920,21.5,126846,16.7,158210,20.9,4057,0.5,鉢物計,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：kg、本、鉢）
