地域／市場,合計,合計構成比（％）,築地市場,築地市場構成比（％）,大田市場,大田市場構成比（％）,豊島市場,豊島市場構成比（％）,淀橋市場,淀橋市場構成比（％）,板橋市場,板橋市場構成比（％）,世田谷市場,世田谷市場構成比（％）,北足立市場,北足立市場構成比（％）,多摩NT市場,多摩NT市場構成比（％）,葛西市場,葛西市場構成比（％）,備考
多摩地区計,183606,6.1,8567,2.5,112891,7.5,2211,1.6,32655,9.9,13108,7.8,1320,2.9,3921,1.3,8149,78.9,785,0.6,
西多摩地域,1919,0.1,482,0.1,760,0.1,0,0.0,510,0.2,17,0.0,0,0.0,0,0.0,0,0.0,151,0.1,
南多摩(1)地域,13423,0.4,0,0.0,9687,0.6,0,0.0,2594,0.8,0,0.0,0,0.0,0,0.0,1142,11.1,0,0.0,
南多摩(2)地域,39268,1.3,0,0.0,32928,2.2,15,0.0,82,0.0,551,0.3,0,0.0,0,0.0,5691,55.1,0,0.0,
北多摩西部(1)地域,18494,0.6,3215,0.9,13247,0.9,0,0.0,2000,0.6,0,0.0,0,0.0,0,0.0,33,0.3,0,0.0,
北多摩西部(2)地域,25120,0.8,16,0.0,10725,0.7,0,0.0,4057,1.2,10290,6.2,0,0.0,0,0.0,33,0.3,0,0.0,
北多摩西部(3)地域,2972,0.1,1607,0.5,0,0.0,0,0.0,494,0.1,0,0.0,871,1.9,0,0.0,0,0.0,0,0.0,
北多摩南部地域,57781,1.9,3247,0.9,37452,2.5,51,0.0,13293,4.0,230,0.1,449,1.0,1176,0.4,1250,12.1,634,0.5,
北多摩北部地域,23995,0.8,0,0.0,8092,0.5,2145,1.6,8992,2.7,2021,1.2,0,0.0,2745,0.9,0,0.0,0,0.0,
島しょ部,633,0.0,0,0.0,0,0.0,0,0.0,633,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
都外計,1527667,51.1,179104,51.3,823300,54.3,62068,44.9,165680,50.1,72188,43.2,13569,30.3,170129,55.2,2134,20.7,39496,31.9,
北海道,91230,3.1,1286,0.4,86112,5.7,26,0.0,3797,1.1,0,0.0,0,0.0,10,0.0,0,0.0,0,0.0,
青森県,17412,0.6,0,0.0,8096,0.5,1946,1.4,4430,1.3,0,0.0,0,0.0,2941,1.0,0,0.0,0,0.0,
岩手県,11426,0.4,0,0.0,11397,0.8,0,0.0,0,0.0,0,0.0,0,0.0,29,0.0,0,0.0,0,0.0,
宮城県,15822,0.5,0,0.0,0,0.0,0,0.0,3164,1.0,0,0.0,0,0.0,12658,4.1,0,0.0,0,0.0,
秋田県,7262,0.2,0,0.0,4699,0.3,1930,1.4,633,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山形県,6835,0.2,0,0.0,1140,0.1,0,0.0,5695,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福島県,35630,1.2,0,0.0,7851,0.5,0,0.0,26831,8.1,949,0.6,0,0.0,0,0.0,0,0.0,0,0.0,
茨城県,59360,2.0,8036,2.3,40243,2.7,5517,4.0,3189,1.0,0,0.0,0,0.0,0,0.0,4,0.0,2371,1.9,
栃木県,21926,0.7,0,0.0,10447,0.7,8396,6.1,1924,0.6,1154,0.7,0,0.0,5,0.0,0,0.0,0,0.0,
群馬県,45236,1.5,8197,2.3,6124,0.4,25301,18.3,2329,0.7,2572,1.5,0,0.0,259,0.1,0,0.0,454,0.4,
埼玉県,491618,16.5,13710,3.9,215591,14.2,14656,10.6,43037,13.0,56989,34.1,0,0.0,137542,44.6,12,0.1,10080,8.1,
千葉県,259780,8.7,47099,13.5,151135,10.0,339,0.2,20718,6.3,7347,4.4,0,0.0,8009,2.6,7,0.1,25126,20.3,
神奈川県,364114,12.2,65416,18.7,259108,17.1,3812,2.8,13360,4.0,3177,1.9,13569,30.3,2098,0.7,2111,20.4,1464,1.2,
新潟県,12610,0.4,0,0.0,0,0.0,26,0.0,6075,1.8,0,0.0,0,0.0,6509,2.1,0,0.0,0,0.0,
富山県,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,0,0.0,
石川県,25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.0,0,0.0,0,0.0,
福井県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山梨県,16773,0.6,0,0.0,7281,0.5,0,0.0,9492,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
長野県,5136,0.2,0,0.0,74,0.0,0,0.0,5062,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
岐阜県,1266,0.0,0,0.0,0,0.0,0,0.0,1266,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
静岡県,17738,0.6,0,0.0,11790,0.8,0,0.0,5948,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
愛知県,2569,0.1,0,0.0,0,0.0,18,0.0,2531,0.8,0,0.0,0,0.0,20,0.0,0,0.0,0,0.0,
三重県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
京都府,245,0.0,0,0.0,245,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
大阪府,74,0.0,0,0.0,68,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
兵庫県,6,0.0,0,0.0,0,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
鳥取県,5068,0.2,0,0.0,0,0.0,6,0.0,5062,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
広島県,506,0.0,0,0.0,0,0.0,0,0.0,506,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山口県,643,0.0,0,0.0,0,0.0,0,0.0,633,0.0,0,0.0,0,0.0,10,0.0,0,0.0,0,0.0,
香川県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
愛媛県,37259,1.2,35360,10.1,1899,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福岡県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
長崎県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
熊本県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
大分県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
宮崎県,6,0.0,0,0.0,0,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
鹿児島県,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.0,0,0.0,0,0.0,
沖縄県,77,0.0,0,0.0,0,0.0,77,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
不明,28334,0.9,6847,2.0,12632,0.8,205,0.1,467,0.1,0,0.0,0,0.0,8183,2.7,0,0.0,0,0.0,
,,,,,,,,,,,,,,,,,,,,,（単位：kg）
