市場,専門小売店台・人数,専門小売店台・人数比率（％）,専門小売店台・数量,専門小売店台・数量比率（％）,食料品等中心店・人数,食料品等中心店・人数比率（％）,食料品等中心店・数量,食料品等中心店・数量比率（％）,コンビニエンスストア・人数,コンビニエンスストア・人数比率（％）,コンビニエンスストア・数量,コンビニエンスストア・数量比率（％）,食料品スーパー・人数,食料品スーパー・人数比率（％）,食料品スーパー・数量,食料品スーパー・数量比率（％）,総合スーパー・人数,総合スーパー・人数比率（％）,総合スーパー・数量,総合スーパー・数量比率（％）,百貨店・人数,百貨店・人数比率（％）,百貨店・数量,百貨店・数量比率（％）,業務用・人数,業務用・人数比率（％）,業務用・数量,業務用・数量比率（％）,加工業者・人数,加工業者・人数比率（％）,加工業者・数量,加工業者・数量比率（％）,問屋・納入業者・人数,問屋・納入業者・人数比率（％）,問屋・納入業者・数量,問屋・納入業者・数量比率（％）,都内中央卸売市場・人数,都内中央卸売市場・人数比率（％）,都内中央卸売市場・数量,都内中央卸売市場・数量比率（％）,都内地方卸売市場・人数,都内地方卸売市場・人数比率（％）,都内地方卸売市場・数量,都内地方卸売市場・数量比率（％）,都外中央卸売市場・人数,都外中央卸売市場・人数比率（％）,都外中央卸売市場・数量,都外中央卸売市場・数量比率（％）,都外地方卸売市場・人数,都外地方卸売市場・人数比率（％）,都外地方卸売市場・数量,都外地方卸売市場・数量比率（％）,その他・人数,その他・人数比率（％）,その他・数量,その他・数量比率（％）,不明・人数,不明・人数比率（％）,不明・数量,不明・数量比率（％）,計・人数,計・人数比率（％）,計・数量,計・数量比率（％）,備考
板橋市場,471,82.1,547306,73.9,0,0.0,0,0.0,0,0.0,0,0.0,3,0.5,2448,0.3,0,0.0,0,0.0,0,0.0,0,0.0,26,4.5,28475,3.8,22,3.8,62959,8.5,8,1.4,44336,6.0,4,0.7,7905,1.1,1,0.2,2789,0.4,1,0.2,1301,0.2,4,0.7,22370,3.0,31,5.4,14904,2.0,3,0.5,5576,0.8,574,100.0,740368,100.0,
北足立市場,84,58.7,186802,22.9,2,1.4,12839,1.6,0,0.0,0,0.0,6,4.2,5056,0.6,4,2.8,2843,0.3,0,0.0,0,0.0,14,9.8,146798,18.0,5,3.5,2687,0.3,0,0.0,0,0.0,1,0.7,6791,0.8,3,2.1,27483,3.4,0,0.0,0,0.0,17,11.9,367188,44.9,7,4.9,58716,7.2,0,0.0,0,0.0,143,100.0,817203,100.0,
葛西市場,157,60.9,299211,51.1,9,3.5,7156,1.2,0,0.0,0,0.0,12,4.7,1682,0.3,11,4.3,75637,12.9,0,0.0,0,0.0,21,8.1,77883,13.3,7,2.7,25135,4.3,13,5.0,76186,13.0,8,3.1,3743,0.6,0,0.0,0,0.0,6,2.3,14424,2.5,0,0.0,0,0.0,14,5.4,4698,0.8,0,0.0,0,0.0,258,100.0,585754,100.0,
世田谷市場,539,85.4,583305,72.7,2,0.3,4043,0.5,0,0.0,0,0.0,7,1.1,6388,0.8,1,0.2,617,0.1,1,0.2,617,0.1,47,7.4,72710,9.1,13,2.1,42588,5.3,13,2.1,79205,9.9,2,0.3,1158,0.1,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6,9239,1.2,2,0.3,2084,0.3,0,0.0,0,0.0,631,100.0,801954,100.0,
切花計,1532,71.6,3159124,47.9,13,0.6,24038,0.4,0,0.0,0,0.0,36,1.7,55838,0.8,29,1.4,192913,2.9,2,0.1,2694,0.0,179,8.4,632409,9.6,84,3.9,643835,9.8,84,3.9,680656,10.3,20,0.9,56890,0.9,10,0.5,74661,1.1,16,0.7,130552,2.0,57,2.7,702972,10.6,70,3.3,202579,3.1,7,0.3,42784,0.6,2139,100.0,6601945,100.0,
大田市場,104,68.4,220828,55.6,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,202,0.1,16,10.5,92228,23.2,0,0.0,0,0.0,5,3.3,5346,1.3,4,2.6,6054,1.5,14,9.2,62551,15.7,1,0.7,30,0.0,0,0.0,0,0.0,2,1.3,4703,1.2,0,0.0,0,0.0,5,3.3,5351,1.3,0,0.0,0,0.0,152,100.0,397293,100.0,
板橋市場,378,90.2,32008,80.7,2,0.5,139,0.4,0,0.0,0,0.0,2,0.5,399,1.0,3,0.7,1111,2.8,0,0.0,0,0.0,16,3.8,680,1.7,8,1.9,2933,7.4,5,1.2,1083,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7,1062,2.7,1,0.2,243,0.6,1,0.2,7,0.0,419,100.0,39665,100.0,
北足立市場,48,65.8,60617,91.8,3,4.1,85,0.1,0,0.0,0,0.0,7,9.6,1398,2.1,1,1.4,486,0.7,0,0.0,0,0.0,2,2.7,602,0.9,5,6.8,851,1.3,2,2.7,462,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.5,352,0.5,1,1.4,1179,1.8,73,100.0,66031,100.0,
葛西市場,128,74.4,64023,78.0,4,2.3,2119,2.6,0,0.0,0,0.0,10,5.8,1948,2.4,10,5.8,6459,7.9,0,0.0,0,0.0,3,1.7,2012,2.5,6,3.5,2042,2.5,6,3.5,3082,3.8,0,0.0,0,0.0,0,0.0,0,0.0,2,1.2,247,0.3,0,0.0,0,0.0,3,1.7,183,0.2,0,0.0,0,0.0,172,100.0,82114,100.0,
世田谷市場,477,87.2,119493,68.8,0,0.0,0,0.0,1,0.2,17,0.0,5,0.9,2666,1.5,14,2.6,14198,8.2,6,1.1,2529,1.5,5,0.9,65,0.0,1,0.2,17,0.0,29,5.3,32738,18.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1485,0.9,8,1.5,459,0.3,0,0.0,0,0.0,547,100.0,173666,100.0,
鉢物計,1135,83.3,496970,65.5,9,0.7,2343,0.3,1,0.1,17,0.0,25,1.8,6612,0.9,44,3.2,114482,15.1,6,0.4,2529,0.3,31,2.3,8704,1.1,24,1.8,11896,1.6,56,4.1,99915,13.2,1,0.1,30,0.0,0,0.0,0,0.0,4,0.3,4951,0.7,4,0.3,2547,0.3,21,1.5,6588,0.9,2,0.1,1186,0.2,1363,100.0,758769,100.0,
