区分,総数,平均価格,築地市場,足立市場,大田市場,構成比率総計比(％),構成比率種別比(％),構成比率部類別比(％)
さわら類さごち金額(円),313351938,572,302054830,8604019,2693089,0.1,0.2,13.8
さわら類さわら（国内）数量(kg),1613239,,1572307,29999,10933,0.4,1.1,74.3
さわら類さわら（国内）金額(円),1954650538,1212,1904463467,35154862,15032209,0.4,1.2,85.8
さわら類さわら（輸入）数量(kg),9111,,0,9047,64,0.0,0.0,0.4
さわら類さわら（輸入）金額(円),8431762,925,0,8365093,66669,0.0,0.0,0.4
さわら類その他さわら数量(kg),1076,,1054,16,6,0.0,0.0,0.0
さわら類その他さわら金額(円),565696,526,554691,6923,4082,0.0,0.0,0.0
いわし類総数数量(kg),8233200,,7985042,193502,54656,1.9,5.5,100.0
いわし類総数金額(円),3091709494,376,2990072501,75221182,26415811,0.7,2.0,100.0
いわし類まいわし数量(kg),7474714,,7255526,170880,48308,1.7,5.0,90.8
いわし類まいわし金額(円),2843328478,380,2752249888,67067554,24011036,0.6,1.8,92.0
いわし類かたくちいわし数量(kg),58276,,58051,52,173,0.0,0.0,0.7
いわし類かたくちいわし金額(円),11283413,194,11206429,11664,65320,0.0,0.0,0.4
いわし類うるめいわし数量(kg),315261,,312353,2221,687,0.1,0.2,3.8
いわし類うるめいわし金額(円),81908823,260,81262534,439992,206297,0.0,0.1,2.6
いわし類にしん数量(kg),384949,,359112,20349,5488,0.1,0.3,4.7
いわし類にしん金額(円),155188780,403,145353650,7701972,2133158,0.0,0.1,5.0
いか類総数数量(kg),6609215,,6374817,207444,26954,1.5,4.4,100.0
いか類総数金額(円),5963529732,902,5736129120,198088456,29312156,1.3,3.8,100.0
いか類するめいか数量(kg),3825165,,3705914,106691,12560,0.9,2.6,57.9
いか類するめいか金額(円),2737585098,716,2649488787,76124438,11971873,0.6,1.7,45.9
いか類もんこういか数量(kg),26725,,25739,961,25,0.0,0.0,0.4
いか類もんこういか金額(円),29025271,1086,28108838,895167,21266,0.0,0.0,0.5
いか類こういか数量(kg),485161,,471126,12659,1376,0.1,0.3,7.3
いか類こういか金額(円),609320874,1256,591850776,15776684,1693414,0.1,0.4,10.2
いか類あおりいか数量(kg),110845,,108168,1659,1018,0.0,0.1,1.7
いか類あおりいか金額(円),269315253,2430,263935714,3250331,2129208,0.1,0.2,4.5
いか類やりいか数量(kg),1394490,,1323064,63392,8034,0.3,0.9,21.1
いか類やりいか金額(円),1382068026,991,1306715677,67832785,7519564,0.3,0.9,23.2
いか類あかいか数量(kg),60356,,56620,2767,969,0.0,0.0,0.9
いか類あかいか金額(円),106920260,1771,101282002,3778107,1860151,0.0,0.1,1.8
いか類ひいか数量(kg),199964,,198498,211,1255,0.0,0.1,3.0
いか類ひいか金額(円),118601236,593,117801267,88074,711895,0.0,0.1,2.0
いか類その他いか数量(kg),506509,,485688,19104,1717,0.1,0.3,7.7
いか類その他いか金額(円),710693714,1403,676946059,30342870,3404785,0.2,0.5,11.9
かれい類総数数量(kg),3507231,,3399865,88960,18406,0.8,2.4,100.0
かれい類総数金額(円),2641542059,753,2567883513,62344387,11314159,0.6,1.7,100.0
かれい類まかれい数量(kg),664541,,649395,13064,2082,0.2,0.4,18.9
かれい類まかれい金額(円),337603145,508,330400706,6280888,921551,0.1,0.2,12.8
かれい類まこかれい数量(kg),313085,,291673,18149,3263,0.1,0.2,8.9
かれい類まこかれい金額(円),221432443,707,205573140,14041780,1817523,0.0,0.1,8.4
かれい類いしかれい数量(kg),32713,,31239,698,776,0.0,0.0,0.9
かれい類いしかれい金額(円),21355465,653,20410524,504925,440016,0.0,0.0,0.8
かれい類なめたかれい数量(kg),677010,,653990,20862,2158,0.2,0.5,19.3
かれい類なめたかれい金額(円),740667237,1094,718708049,20190151,1769037,0.2,0.5,28.0
かれい類いんどかれい数量(kg),696,,696,0,0,0.0,0.0,0.0
かれい類いんどかれい金額(円),321598,462,321598,0,0,0.0,0.0,0.0
かれい類あかかれい数量(kg),805966,,790133,9824,6009,0.2,0.5,23.0
かれい類あかかれい金額(円),573246078,711,564369735,4904990,3971353,0.1,0.4,21.7
かれい類くろかれい数量(kg),413988,,402713,9332,1943,0.1,0.3,11.8
かれい類くろかれい金額(円),211960096,512,207140293,3943026,876777,0.0,0.1,8.0
かれい類あさばかれい数量(kg),164094,,159731,3532,831,0.0,0.1,4.7
かれい類あさばかれい金額(円),80684938,492,79596261,835073,253604,0.0,0.1,3.1
かれい類柳むしかれい数量(kg),33874,,31714,1880,280,0.0,0.0,1.0
かれい類柳むしかれい金額(円),41278104,1219,39230103,1810632,237369,0.0,0.0,1.6
かれい類めいたかれい数量(kg),12589,,12424,82,83,0.0,0.0,0.4
かれい類めいたかれい金額(円),13979969,1110,13839813,88597,51559,0.0,0.0,0.5
かれい類こがねかれい数量(kg),766,,766,0,0,0.0,0.0,0.0
かれい類こがねかれい金額(円),1016684,1327,1016684,0,0,0.0,0.0,0.0
かれい類したひらめ数量(kg),161647,,159325,1821,501,0.0,0.1,4.6
かれい類したひらめ金額(円),174362017,1079,172294673,1673666,393678,0.0,0.1,6.6
かれい類むきかれい数量(kg),5452,,5452,0,0,0.0,0.0,0.2
かれい類むきかれい金額(円),7797361,1430,7797361,0,0,0.0,0.0,0.3
かれい類無頭かれい数量(kg),5519,,5465,6,48,0.0,0.0,0.2
かれい類無頭かれい金額(円),3672815,665,3635528,3693,33594,0.0,0.0,0.1
かれい類その他かれい数量(kg),215291,,205149,9710,432,0.0,0.1,6.1
かれい類その他かれい金額(円),212164109,985,203549045,8066966,548098,0.0,0.1,8.0
たい類総数数量(kg),11621110,,11097302,252650,271158,2.7,7.8,100.0
たい類総数金額(円),13499588065,1162,12895931252,263360485,340296328,3.0,8.6,100.0
たい類またい（天然）数量(kg),2177956,,2121074,33699,23183,0.5,1.5,18.7
たい類またい（天然）金額(円),2058852102,945,1991117295,38467421,29267386,0.5,1.3,15.3
たい類またい（養殖）数量(kg),5784566,,5442054,140710,201802,1.3,3.9,49.8
たい類またい（養殖）金額(円),5433919656,939,5104527429,115486166,213906061,1.2,3.5,40.3
たい類またい（輸入）数量(kg),146,,0,126,20,0.0,0.0,0.0
たい類またい（輸入）金額(円),479995,3288,0,454507,25488,0.0,0.0,0.0
たい類かすご数量(kg),43015,,41635,775,605,0.0,0.0,0.4
たい類かすご金額(円),34249126,796,33640958,233586,374582,0.0,0.0,0.3
たい類ちたい数量(kg),542269,,521330,16233,4706,0.1,0.4,4.7
たい類ちたい金額(円),369611260,682,357979702,8129833,3501725,0.1,0.2,2.7
たい類れんこたい数量(kg),86505,,85232,877,396,0.0,0.1,0.7
たい類れんこたい金額(円),54082868,625,53310874,500964,271030,0.0,0.0,0.4
たい類くろたい数量(kg),231742,,222014,6580,3148,0.1,0.2,2.0
たい類くろたい金額(円),108732368,469,103206382,3290343,2235643,0.0,0.1,0.8
たい類あまたい数量(kg),168301,,155049,5159,8093,0.0,0.1,1.4
たい類あまたい金額(円),557078871,3310,519052082,6757582,31269207,0.1,0.4,4.1
たい類いしたい数量(kg),42056,,39121,1961,974,0.0,0.0,0.4
たい類いしたい金額(円),72188691,1716,67366996,3207372,1614323,0.0,0.0,0.5
たい類あおたい数量(kg),24771,,23375,939,457,0.0,0.0,0.2
たい類あおたい金額(円),35132065,1418,33097710,1421222,613133,0.0,0.0,0.3
たい類きんめたい数量(kg),2194419,,2141057,32012,21350,0.5,1.5,18.9
たい類きんめたい金額(円),4401034741,2006,4283147337,68847883,49039521,1.0,2.8,32.6
たい類おなが数量(kg),71746,,68294,2907,545,0.0,0.0,0.6
たい類おなが金額(円),113414852,1581,107671809,4720097,1022946,0.0,0.1,0.8
たい類おご数量(kg),16648,,15731,668,249,0.0,0.0,0.1
たい類おご金額(円),17804418,1069,16654715,881808,267895,0.0,0.0,0.1
たい類いとより（国内）数量(kg),158329,,152700,1519,4110,0.0,0.1,1.4
たい類いとより（国内）金額(円),166595002,1052,159665520,1267653,5661829,0.0,0.1,1.2
たい類いとより（輸入）数量(kg),90,,0,90,0,0.0,0.0,0.0
たい類いとより（輸入）金額(円),57996,644,0,57996,0,0.0,0.0,0.0
たい類その他たい数量(kg),78551,,68636,8395,1520,0.0,0.1,0.7
たい類その他たい金額(円),76354054,972,65492443,9636052,1225559,0.0,0.0,0.6
めぬけ類総数数量(kg),935335,,903489,23342,8504,0.2,0.6,100.0
めぬけ類総数金額(円),1752770352,1874,1704267982,36107575,12394795,0.4,1.1,100.0
めぬけ類めぬけ数量(kg),20099,,19612,406,81,0.0,0.0,2.1
めぬけ類めぬけ金額(円),59473503,2959,58669389,544395,259719,0.0,0.0,3.4
めぬけ類あこう数量(kg),3485,,3032,295,158,0.0,0.0,0.4
めぬけ類あこう金額(円),8598992,2467,7663070,598666,337256,0.0,0.0,0.5
めぬけ類きんき数量(kg),332345,,324414,5910,2021,0.1,0.2,35.5
めぬけ類きんき金額(円),988430084,2974,965133127,20516373,2780584,0.2,0.6,56.4
めぬけ類めばる数量(kg),418211,,401688,12270,4253,0.1,0.3,44.7
めぬけ類めばる金額(円),529345428,1266,511842835,10732252,6770341,0.1,0.3,30.2
めぬけ類おこぜ数量(kg),13624,,12242,1349,33,0.0,0.0,1.5
めぬけ類おこぜ金額(円),15952350,1171,15047181,850667,54502,0.0,0.0,0.9
めぬけ類あかうお数量(kg),44276,,43793,339,144,0.0,0.0,4.7
めぬけ類あかうお金額(円),23947468,541,23515263,280800,151405,0.0,0.0,1.4
めぬけ類かさご数量(kg),102025,,98708,2434,883,0.0,0.1,10.9
めぬけ類かさご金額(円),125755615,1233,122397117,2337254,1021244,0.0,0.1,7.2
めぬけ類その他めぬけ数量(kg),1270,,0,339,931,0.0,0.0,0.1
めぬけ類その他めぬけ金額(円),1266912,998,0,247168,1019744,0.0,0.0,0.1
さめ類総数数量(kg),383038,,355614,25066,2358,0.1,0.3,100.0
さめ類総数金額(円),152618242,398,140940756,10702421,975065,0.0,0.1,100.0
さめ類よしきりさめ数量(kg),42858,,42854,4,0,0.0,0.0,11.2
さめ類よしきりさめ金額(円),20837147,486,20836305,842,0,0.0,0.0,13.7
さめ類あおさめ数量(kg),15105,,14962,133,10,0.0,0.0,3.9
さめ類あおさめ金額(円),5552793,368,5521791,22081,8921,0.0,0.0,3.6
さめ類もうかさめ数量(kg),268394,,246833,19944,1617,0.1,0.2,70.1
さめ類もうかさめ金額(円),99474108,371,91038491,7825525,610092,0.0,0.1,65.2
さめ類あぶらさめ数量(kg),23202,,21442,1749,11,0.0,0.0,6.1
さめ類あぶらさめ金額(円),10996118,474,10165291,823513,7314,0.0,0.0,7.2
さめ類その他さめ数量(kg),33479,,29523,3236,720,0.0,0.0,8.7
さめ類その他さめ金額(円),15758076,471,13378878,2030460,348738,0.0,0.0,10.3
さけ・ます類総数数量(kg),8468500,,8144731,234777,88992,1.9,5.7,100.0
さけ・ます類総数金額(円),11472204579,1355,11085300555,267237651,119666373,2.5,7.3,100.0
さけ・ます類しろさけ数量(kg),1395561,,1365992,24075,5494,0.3,0.9,16.5
さけ・ます類しろさけ金額(円),1428269569,1023,1403754304,19615833,4899432,0.3,0.9,12.4
さけ・ます類ぎんさけ数量(kg),687796,,628417,33131,26248,0.2,0.5,8.1
さけ・ます類ぎんさけ金額(円),724359527,1053,669778416,27386833,27194278,0.2,0.5,6.3
さけ・ます類ます数量(kg),115651,,111314,3173,1164,0.0,0.1,1.4
さけ・ます類ます金額(円),171720541,1485,167485726,2526051,1708764,0.0,0.1,1.5
さけ・ます類輸入さけ・ます数量(kg),5587370,,5357425,174100,55845,1.3,3.8,66.0
さけ・ます類輸入さけ・ます金額(円),8298493135,1485,7995913846,217281080,85298209,1.8,5.3,72.3
さけ・ます類その他さけ数量(kg),682122,,681583,298,241,0.2,0.5,8.1
さけ・ます類その他さけ金額(円),849361807,1245,848368263,427854,565690,0.2,0.5,7.4
たら類総数数量(kg),4456155,,4312337,103342,40476,1.0,3.0,100.0
たら類総数金額(円),3927075704,881,3809413520,78960009,38702175,0.9,2.5,100.0
たら類生またら数量(kg),2562808,,2494187,53822,14799,0.6,1.7,57.5
たら類生またら金額(円),2464081067,961,2409567716,39774850,14738501,0.5,1.6,62.7
たら類生すけそうたら数量(kg),681039,,664118,12896,4025,0.2,0.5,15.3
たら類生すけそうたら金額(円),225390244,331,220323504,3666160,1400580,0.0,0.1,5.7
たら類生鮮塩たら数量(kg),1212308,,1154032,36624,21652,0.3,0.8,27.2
たら類生鮮塩たら金額(円),1237604393,1021,1179522300,35518999,22563094,0.3,0.8,31.5
えび類総数数量(kg),1670794,,1381444,37297,252053,0.4,1.1,100.0
えび類総数金額(円),6140880730,3675,5264957762,113953592,761969376,1.4,3.9,100.0
えび類くるまえび（国内）数量(kg),34589,,34518,58,13,0.0,0.0,2.1
えび類くるまえび（国内）金額(円),260046902,7518,259418460,535359,93083,0.1,0.2,4.2
えび類くるまえび（輸入）数量(kg),20085,,19898,179,8,0.0,0.0,1.2
えび類くるまえび（輸入）金額(円),136229035,6783,134999292,1120231,109512,0.0,0.1,2.2
えび類まきえび数量(kg),364186,,350946,8787,4453,0.1,0.2,21.8
えび類まきえび金額(円),2127966119,5843,2052269629,44979515,30716975,0.5,1.4,34.7
えび類しばえび数量(kg),63611,,62402,629,580,0.0,0.0,3.8
えび類しばえび金額(円),92089511,1448,90802529,711342,575640,0.0,0.1,1.5
えび類さるえび数量(kg),1082,,1082,0,0,0.0,0.0,0.1
えび類さるえび金額(円),1225546,1133,1225546,0,0,0.0,0.0,0.0
えび類いせえび（国内）数量(kg),106623,,105682,341,600,0.0,0.1,6.4
えび類いせえび（国内）金額(円),766345868,7187,759116105,2519153,4710610,0.2,0.5,12.5
えび類いせえび（輸入）数量(kg),268901,,33703,10,235188,0.1,0.2,16.1
えび類いせえび（輸入）金額(円),802241788,2983,99878110,46440,702317238,0.2,0.5,13.1
えび類くまえび数量(kg),477,,477,0,0,0.0,0.0,0.0
えび類くまえび金額(円),1680599,3523,1680599,0,0,0.0,0.0,0.0
えび類あかえび数量(kg),148483,,133614,9306,5563,0.0,0.1,8.9
えび類あかえび金額(円),306774688,2066,277646770,18605885,10522033,0.1,0.2,5.0
えび類むきえび数量(kg),423980,,414850,7618,1512,0.1,0.3,25.4
えび類むきえび金額(円),701601829,1655,686229040,12928626,2444163,0.2,0.4,11.4
えび類しゃこ数量(kg),12501,,11584,287,630,0.0,0.0,0.7
えび類しゃこ金額(円),30407023,2432,28637626,709700,1059697,0.0,0.0,0.5
えび類その他えび数量(kg),226276,,212688,10082,3506,0.1,0.2,13.5
えび類その他えび金額(円),914271822,4041,873054056,31797341,9420425,0.2,0.6,14.9
かに類総数数量(kg),1265587,,1212288,44443,8856,0.3,0.9,100.0
かに類総数金額(円),3318680237,2622,3158074118,137687655,22918464,0.7,2.1,100.0
かに類わたりかに（国内）数量(kg),199886,,196270,2846,770,0.0,0.1,15.8
かに類わたりかに（国内）金額(円),199904498,1000,196082732,2715103,1106663,0.0,0.1,6.0
かに類わたりかに（輸入）数量(kg),252,,240,0,12,0.0,0.0,0.0
かに類わたりかに（輸入）金額(円),179496,712,170424,0,9072,0.0,0.0,0.0
かに類毛かに数量(kg),380972,,367748,10662,2562,0.1,0.3,30.1
かに類毛かに金額(円),1455458802,3820,1414323847,31932730,9202225,0.3,0.9,43.9
かに類ずわいかに数量(kg),474850,,466062,5664,3124,0.1,0.3,37.5
かに類ずわいかに金額(円),1075685743,2265,1045821364,23309424,6554955,0.2,0.7,32.4
かに類その他かに数量(kg),209627,,181968,25271,2388,0.0,0.1,16.6
かに類その他かに金額(円),587451698,2802,501675751,79730398,6045549,0.1,0.4,17.7
あなご類総数数量(kg),308498,,255316,33578,19604,0.1,0.2,100.0
あなご類総数金額(円),490444338,1590,387313200,57866186,45264952,0.1,0.3,100.0
あなご類まあなご数量(kg),307322,,254142,33576,19604,0.1,0.2,99.6
あなご類まあなご金額(円),489939924,1594,386813322,57861650,45264952,0.1,0.3,99.9
あなご類ぎんあなご数量(kg),1176,,1174,2,0,0.0,0.0,0.4
あなご類ぎんあなご金額(円),504414,429,499878,4536,0,0.0,0.0,0.1
ふぐ類総数数量(kg),569222,,550237,16429,2556,0.1,0.4,100.0
ふぐ類総数金額(円),2267789867,3984,2207328078,53503839,6957950,0.5,1.4,100.0
ふぐ類とらふぐ数量(kg),248382,,247688,662,32,0.1,0.2,43.6
ふぐ類とらふぐ金額(円),692441755,2788,690707359,1626310,108086,0.2,0.4,30.5
ふぐ類まふぐ数量(kg),16846,,16735,111,0,0.0,0.0,3.0
ふぐ類まふぐ金額(円),13108210,778,12785009,323201,0,0.0,0.0,0.6
ふぐ類みがきふぐ数量(kg),236650,,220632,15182,836,0.1,0.2,41.6
ふぐ類みがきふぐ金額(円),1492190836,6305,1436602660,50196070,5392106,0.3,0.9,65.8
ふぐ類その他ふぐ数量(kg),67344,,65182,474,1688,0.0,0.0,11.8
ふぐ類その他ふぐ金額(円),70049066,1040,67233050,1358258,1457758,0.0,0.0,3.1
その他鮮魚類総数数量(kg),32337306,,31191634,878278,267394,7.4,21.8,100.0
その他鮮魚類総数金額(円),40131832594,1241,38638053798,1064121889,429656907,8.8,25.5,100.0
その他鮮魚類あんこう数量(kg),443868,,426700,13424,3744,0.1,0.3,1.4
その他鮮魚類あんこう金額(円),512002963,1154,493429183,14247726,4326054,0.1,0.3,1.3
その他鮮魚類あいなめ数量(kg),124523,,119727,2619,2177,0.0,0.1,0.4
その他鮮魚類あいなめ金額(円),165679654,1331,159393868,2928858,3356928,0.0,0.1,0.4
その他鮮魚類いさき数量(kg),988676,,960035,15672,12969,0.2,0.7,3.1
その他鮮魚類いさき金額(円),1113884415,1127,1079585311,18240714,16058390,0.2,0.7,2.8
その他鮮魚類いぼたい数量(kg),47302,,46111,592,599,0.0,0.0,0.1
その他鮮魚類いぼたい金額(円),72163183,1526,70602835,753397,806951,0.0,0.0,0.2
その他鮮魚類かます数量(kg),524784,,510488,10000,4296,0.1,0.4,1.6
その他鮮魚類かます金額(円),500153925,953,487718185,8364337,4071403,0.1,0.3,1.2
その他鮮魚類かわはぎ数量(kg),207947,,195012,10675,2260,0.0,0.1,0.6
その他鮮魚類かわはぎ金額(円),209587087,1008,190204839,17678627,1703621,0.0,0.1,0.5
その他鮮魚類きす数量(kg),175670,,170573,4332,765,0.0,0.1,0.5
その他鮮魚類きす金額(円),363613956,2070,357747141,4578723,1288092,0.1,0.2,0.9
その他鮮魚類ぐち数量(kg),236893,,234809,1750,334,0.1,0.2,0.7
その他鮮魚類ぐち金額(円),110940835,468,110014500,783645,142690,0.0,0.1,0.3
その他鮮魚類こち数量(kg),125270,,121224,2372,1674,0.0,0.1,0.4
その他鮮魚類こち金額(円),112638575,899,108527920,2624189,1486466,0.0,0.1,0.3
その他鮮魚類このしろ数量(kg),535886,,514329,18242,3315,0.1,0.4,1.7
その他鮮魚類このしろ金額(円),455764878,850,436006949,15891907,3866022,0.1,0.3,1.1
その他鮮魚類さば数量(kg),8884381,,8643491,195263,45627,2.0,6.0,27.5
その他鮮魚類さば金額(円),3875535854,436,3735947885,109120022,30467947,0.9,2.5,9.7
その他鮮魚類さんま数量(kg),8266975,,7953705,269568,43702,1.9,5.6,25.6
その他鮮魚類さんま金額(円),4661566366,564,4473806377,154091823,33668166,1.0,3.0,11.6
その他鮮魚類さより（国内）数量(kg),127645,,123343,3178,1124,0.0,0.1,0.4
その他鮮魚類さより（国内）金額(円),338739726,2654,330397035,6482225,1860466,0.1,0.2,0.8
その他鮮魚類さより（輸入）数量(kg),1148,,0,1148,0,0.0,0.0,0.0
その他鮮魚類さより（輸入）金額(円),2491398,2170,0,2491398,0,0.0,0.0,0.0
その他鮮魚類しいら数量(kg),81035,,75324,4586,1125,0.0,0.1,0.3
その他鮮魚類しいら金額(円),18395676,227,17417300,794517,183859,0.0,0.0,0.0
その他鮮魚類しらうお数量(kg),132136,,123183,8481,472,0.0,0.1,0.4
その他鮮魚類しらうお金額(円),275167256,2082,261972891,12251990,942375,0.1,0.2,0.7
その他鮮魚類すずき数量(kg),1464168,,1420787,24340,19041,0.3,1.0,4.5
