,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
江東区,143664,5.6,143,3.2,2930,0.8,17,1.9,1494,2.0,8,2.8,220,5.3,1,12.5,5890,1.6,12,2.4,4054,2.1,8,4.0,549,0.7,1,0.6,8377,3.4,62,4.3,115,0.3,1,1.5,3204,2.7,6,3.0,1757,2.0,2,3.5,220,0.6,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,114854,34.2,24,10.1,0,0.0,0,0.0,
品川区,26372,1.0,136,3.1,7319,2.1,38,4.2,311,0.4,8,2.8,0,0.0,0,0.0,4047,1.1,9,1.8,2345,1.2,4,2.0,361,0.4,6,3.4,7428,3.0,57,3.9,274,0.6,2,3.1,1272,1.1,4,2.0,13,0.0,1,1.8,1867,5.3,1,2.4,1098,0.3,1,0.9,0,0.0,0,0.0,33,0.0,4,1.7,5,0.0,1,1.7,
目黒区,16765,0.7,88,2.0,4380,1.2,18,2.0,2888,3.8,14,4.9,0,0.0,0,0.0,2037,0.6,11,2.2,3623,1.9,5,2.5,329,0.4,7,4.0,2909,1.2,29,2.0,274,0.6,1,1.5,47,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,274,0.1,1,0.4,2,0.0,1,1.7,
大田区,50678,2.0,241,5.4,9344,2.6,61,6.8,2748,3.6,27,9.5,0,0.0,0,0.0,9839,2.7,24,4.7,1328,0.7,7,3.5,778,0.9,4,2.3,5880,2.4,81,5.6,333,0.8,3,4.6,2489,2.1,7,3.5,9803,11.2,9,15.8,3605,10.3,7,16.7,0,0.0,0,0.0,0,0.0,0,0.0,4485,1.3,7,2.9,47,0.2,4,6.9,
世田谷区,40217,1.6,89,2.0,7048,2.0,20,2.2,3232,4.2,10,3.5,1098,26.3,1,12.5,12819,3.6,13,2.6,1454,0.8,3,1.5,668,0.8,5,2.8,12074,4.9,30,2.1,1125,2.6,2,3.1,0,0.0,0,0.0,549,0.6,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,0.0,2,0.8,115,0.5,2,3.4,
渋谷区,37363,1.5,113,2.5,11192,3.1,22,2.5,1643,2.2,11,3.9,0,0.0,0,0.0,7479,2.1,12,2.4,2221,1.2,2,1.0,3569,4.3,7,4.0,9639,3.9,54,3.7,0,0.0,0,0.0,823,0.7,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,665,0.2,3,1.3,132,0.6,1,1.7,
中野区,11615,0.5,57,1.3,4594,1.3,14,1.6,1649,2.2,6,2.1,0,0.0,0,0.0,2433,0.7,12,2.4,549,0.3,1,0.5,64,0.1,3,1.7,1989,0.8,18,1.2,0,0.0,0,0.0,62,0.1,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,274,0.1,2,0.8,0,0.0,0,0.0,
杉並区,15908,0.6,73,1.6,3872,1.1,23,2.6,1637,2.1,4,1.4,0,0.0,0,0.0,2687,0.7,9,1.8,1504,0.8,3,1.5,2480,3.0,5,2.8,3394,1.4,26,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,335,0.1,3,1.3,0,0.0,0,0.0,
豊島区,53118,2.1,111,2.5,13370,3.8,21,2.3,391,0.5,6,2.1,0,0.0,0,0.0,18581,5.2,21,4.1,681,0.4,3,1.5,4676,5.7,9,5.1,9318,3.8,39,2.7,549,1.3,1,1.5,421,0.4,4,2.0,0,0.0,0,0.0,2196,6.3,1,2.4,0,0.0,0,0.0,123,0.0,1,0.6,9,0.0,2,0.8,2803,12.0,3,5.2,
北区,16152,0.6,74,1.7,6584,1.8,16,1.8,2691,3.5,9,3.2,0,0.0,0,0.0,2195,0.6,7,1.4,271,0.1,3,1.5,329,0.4,2,1.1,1853,0.7,25,1.7,1685,4.0,5,7.7,44,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,498,0.1,6,2.5,0,0.0,0,0.0,
荒川区,10255,0.4,93,2.1,3435,1.0,32,3.6,482,0.6,10,3.5,0,0.0,0,0.0,1151,0.3,5,1.0,22,0.0,1,0.5,0,0.0,0,0.0,1016,0.4,32,2.2,1098,2.6,1,1.5,0,0.0,0,0.0,0,0.0,0,0.0,911,2.6,2,4.8,0,0.0,0,0.0,0,0.0,0,0.0,2050,0.6,9,3.8,91,0.4,1,1.7,
板橋区,20326,0.8,57,1.3,5774,1.6,17,1.9,56,0.1,2,0.7,0,0.0,0,0.0,5609,1.6,8,1.6,1608,0.8,3,1.5,119,0.1,4,2.3,2338,0.9,13,0.9,1370,3.2,4,6.2,620,0.5,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2283,0.7,3,1.3,549,2.4,1,1.7,
練馬区,31660,1.2,82,1.8,11646,3.3,21,2.3,3010,3.9,5,1.8,0,0.0,0,0.0,5982,1.7,13,2.6,589,0.3,3,1.5,3633,4.4,6,3.4,3257,1.3,22,1.5,33,0.1,1,1.5,653,0.6,3,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1210,0.4,6,2.5,1647,7.1,2,3.4,
足立区,89529,3.5,245,5.5,13337,3.7,73,8.2,1178,1.5,15,5.3,136,3.3,2,25.0,8386,2.3,28,5.5,16253,8.5,11,5.6,64,0.1,3,1.7,2590,1.0,54,3.7,2204,5.2,3,4.6,410,0.3,5,2.5,32244,36.7,17,29.8,12078,34.5,6,14.3,0,0.0,0,0.0,0,0.0,0,0.0,364,0.1,25,10.5,285,1.2,3,5.2,
葛飾区,20791,0.8,100,2.2,4493,1.3,33,3.7,2401,3.1,11,3.9,0,0.0,0,0.0,5173,1.4,14,2.8,4727,2.5,4,2.0,778,0.9,5,2.8,3069,1.2,28,1.9,46,0.1,2,3.1,97,0.1,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0,2,0.8,0,0.0,0,0.0,
江戸川区,24095,0.9,77,1.7,6563,1.8,20,2.2,1335,1.7,5,1.8,0,0.0,0,0.0,4867,1.3,12,2.4,494,0.3,2,1.0,64,0.1,3,1.7,4623,1.9,24,1.7,1155,2.7,3,4.6,3962,3.4,3,1.5,0,0.0,0,0.0,224,0.6,2,4.8,0,0.0,0,0.0,149,0.1,1,0.6,659,0.2,2,0.8,0,0.0,0,0.0,
多摩地区計,161398,6.3,301,6.8,24947,7.0,69,7.7,10483,13.7,20,7.1,878,21.1,1,12.5,27521,7.6,44,8.6,30973,16.2,27,13.6,10843,13.2,19,10.8,16625,6.7,69,4.8,198,0.5,5,7.7,7855,6.7,15,7.5,1098,1.3,1,1.8,10276,29.3,17,40.5,1098,0.3,1,0.9,1521,0.6,4,2.5,14282,4.3,6,2.5,2800,12.0,3,5.2,
西多摩地域,6217,0.2,9,0.2,2631,0.7,4,0.4,2433,3.2,3,1.1,0,0.0,0,0.0,1153,0.3,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
南多摩(1)地域,26443,1.0,44,1.0,7278,2.0,11,1.2,1344,1.8,4,1.4,0,0.0,0,0.0,1071,0.3,4,0.8,5209,2.7,6,3.0,0,0.0,0,0.0,1937,0.8,6,0.4,27,0.1,1,1.5,5193,4.4,3,1.5,1098,1.3,1,1.8,1237,3.5,6,14.3,1098,0.3,1,0.9,950,0.4,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,
南多摩(2)地域,23719,0.9,43,1.0,2458,0.7,6,0.7,2717,3.6,3,1.1,0,0.0,0,0.0,2404,0.7,9,1.8,9431,4.9,6,3.0,86,0.1,4,2.3,3640,1.5,11,0.8,0,0.0,0,0.0,11,0.0,1,0.5,0,0.0,0,0.0,220,0.6,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,2753,0.8,2,0.8,0,0.0,0,0.0,
北多摩西部(1)地域,30879,1.2,32,0.7,1345,0.4,4,0.4,27,0.0,1,0.4,0,0.0,0,0.0,8971,2.5,7,1.4,3404,1.8,3,1.5,1976,2.4,2,1.1,1848,0.7,6,0.4,27,0.1,1,1.5,1312,1.1,3,1.5,0,0.0,0,0.0,1647,4.7,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,9882,2.9,3,1.3,439,1.9,1,1.7,
北多摩西部(2)地域,6822,0.3,26,0.6,1551,0.4,8,0.9,137,0.2,2,0.7,0,0.0,0,0.0,2260,0.6,4,0.8,769,0.4,1,0.5,1711,2.1,4,2.3,64,0.0,4,0.3,27,0.1,1,1.5,302,0.3,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
北多摩西部(3)地域,2086,0.1,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,329,0.1,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,110,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1647,0.5,1,0.4,0,0.0,0,0.0,
北多摩南部地域,42373,1.7,98,2.2,4411,1.2,23,2.6,838,1.1,4,1.4,878,21.1,1,12.5,9277,2.6,13,2.6,10236,5.4,9,4.5,4840,5.9,7,4.0,6227,2.5,31,2.1,27,0.1,1,1.5,5,0.0,2,1.0,0,0.0,0,0.0,3239,9.3,5,11.9,0,0.0,0,0.0,198,0.1,1,0.6,0,0.0,0,0.0,2196,9.4,1,1.7,
北多摩北部地域,20501,0.8,43,1.0,5219,1.5,12,1.3,737,1.0,2,0.7,0,0.0,0,0.0,2056,0.6,4,0.8,1925,1.0,2,1.0,2229,2.7,2,1.1,2744,1.1,9,0.6,88,0.2,1,1.5,1032,0.9,4,2.0,0,0.0,0,0.0,3934,11.2,4,9.5,0,0.0,0,0.0,373,0.1,2,1.3,0,0.0,0,0.0,165,0.7,1,1.7,
島しょ部,2358,0.1,3,0.1,55,0.0,1,0.1,2249,2.9,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
都外計,1485011,57.9,1191,26.8,172954,48.6,187,20.9,22443,29.4,40,14.1,1647,39.5,1,12.5,186642,51.8,164,32.2,108252,56.7,85,42.9,36097,43.9,46,26.1,80908,32.6,208,14.4,28673,67.4,18,27.7,70328,59.9,78,39.0,8686,9.9,5,8.8,3632,10.4,4,9.5,340535,99.4,115,98.3,253605,96.8,149,93.7,159777,47.6,79,33.2,10833,46.5,12,20.7,
北海道,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
青森県,28,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.0,1,0.1,0,0.0,0,0.0,14,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
岩手県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
宮城県,4330,0.2,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4330,1.3,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
秋田県,18117,0.7,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12627,3.7,3,2.6,5490,2.1,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,
山形県,23607,0.9,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23607,6.9,4,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福島県,70820,2.8,9,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,57096,16.7,7,6.0,13725,5.2,2,1.3,0,0.0,0,0.0,0,0.0,0,0.0,
茨城県,95327,3.7,62,1.4,4484,1.3,7,0.8,91,0.1,1,0.4,0,0.0,0,0.0,18228,5.1,8,1.6,1098,0.6,1,0.5,988,1.2,1,0.6,2787,1.1,11,0.8,4392,10.3,1,1.5,10358,8.8,6,3.0,0,0.0,0,0.0,2209,6.3,2,4.8,71,0.0,1,0.9,47262,18.0,19,11.9,1712,0.5,3,1.3,1647,7.1,1,1.7,
栃木県,46403,1.8,38,0.9,15088,4.2,10,1.1,0,0.0,0,0.0,0,0.0,0,0.0,4392,1.2,2,0.4,3294,1.7,1,0.5,0,0.0,0,0.0,4482,1.8,8,0.6,0,0.0,0,0.0,2207,1.9,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1098,0.3,1,0.9,11011,4.2,9,5.7,4831,1.4,5,2.1,0,0.0,0,0.0,
群馬県,109494,4.3,37,0.8,58413,16.4,8,0.9,615,0.8,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,329,0.4,1,0.6,3867,1.6,4,0.3,0,0.0,0,0.0,6425,5.5,6,3.0,0,0.0,0,0.0,0,0.0,0,0.0,20642,6.0,5,4.3,13712,5.2,10,6.3,5490,1.6,2,0.8,0,0.0,0,0.0,
埼玉県,250428,9.8,328,7.4,40516,11.4,78,8.7,9310,12.2,16,5.7,0,0.0,0,0.0,34743,9.6,39,7.7,30406,15.9,31,15.7,16645,20.2,15,8.5,16652,6.7,58,4.0,3908,9.2,2,3.1,9285,7.9,12,6.0,1958,2.2,3,5.3,1098,3.1,1,2.4,20463,6.0,15,12.8,25074,9.6,33,20.8,37395,11.1,23,9.7,2976,12.8,2,3.4,
千葉県,316483,12.3,326,7.3,32000,9.0,37,4.1,5108,6.7,9,3.2,0,0.0,0,0.0,48839,13.5,53,10.4,41479,21.7,24,12.1,7058,8.6,9,5.1,24909,10.0,62,4.3,13785,32.4,13,20.0,18110,15.4,26,13.0,0,0.0,0,0.0,325,0.9,1,2.4,43150,12.6,28,23.9,42101,16.1,39,24.5,34529,10.3,19,8.0,5088,21.8,6,10.3,
神奈川県,387893,15.1,324,7.3,17485,4.9,43,4.8,6221,8.1,12,4.2,1647,39.5,1,12.5,76048,21.1,60,11.8,27197,14.3,25,12.6,10527,12.8,19,10.8,24170,9.7,61,4.2,3294,7.7,1,1.5,8621,7.3,17,8.5,6728,7.7,2,3.5,0,0.0,0,0.0,133040,38.8,41,35.0,43292,16.5,22,13.8,29599,8.8,18,7.6,24,0.1,2,3.4,
新潟県,9509,0.4,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,549,0.7,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,220,0.1,1,0.9,8740,3.3,2,1.3,0,0.0,0,0.0,0,0.0,0,0.0,
富山県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
石川県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福井県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山梨県,57100,2.2,11,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2196,0.6,1,0.2,3294,1.7,1,0.5,0,0.0,0,0.0,549,0.2,1,0.1,0,0.0,0,0.0,2196,1.9,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,8239,2.4,2,1.7,0,0.0,0,0.0,39528,11.8,4,1.7,1098,4.7,1,1.7,
長野県,15926,0.6,9,0.2,549,0.2,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,2196,0.6,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,549,0.2,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6588,1.9,2,1.7,4941,1.9,2,1.3,1103,0.3,2,0.8,0,0.0,0,0.0,
岐阜県,385,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,385,0.2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
静岡県,67082,2.6,23,0.5,4419,1.2,3,0.3,1098,1.4,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2928,1.2,1,0.1,0,0.0,0,0.0,9790,8.3,5,2.5,0,0.0,0,0.0,0,0.0,0,0.0,5824,1.7,2,1.7,38081,14.5,9,5.7,4941,1.5,2,0.8,0,0.0,0,0.0,
愛知県,3944,0.2,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3294,1.0,1,0.9,0,0.0,0,0.0,650,0.2,1,0.4,0,0.0,0,0.0,
