 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,256",300,"1,256",300,151,300,151,300,"1,105",-,"1,105",-
,95.2%,33.2%,95.2%,33.2%,81.2%,33.2%,81.2%,33.2%,97.4%,-,97.4%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"114,377","25,639","114,377","25,639","25,643","25,447","25,643","25,447","88,734",192,"88,734",192
,109.7%,131.5%,109.7%,131.5%,103.0%,131.4%,103.0%,131.4%,111.8%,135.2%,111.8%,135.2%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"11,009","4,736","11,009","4,736","2,978","4,673","2,978","4,673","8,031",63,"8,031",63
,95.6%,110.6%,95.6%,110.6%,100.9%,112.1%,100.9%,112.1%,93.8%,55.8%,93.8%,55.8%
中国(香港含む),"73,326","49,632","73,326","49,632","8,505","49,569","8,505","49,569","64,821",63,"64,821",63
,91.4%,97.5%,91.4%,97.5%,72.4%,97.9%,72.4%,97.9%,94.7%,23.7%,94.7%,23.7%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"20,172","12,739","20,172","12,739","9,793","11,262","9,793","11,262","10,379","1,477","10,379","1,477"
,81.7%,73.2%,81.7%,73.2%,67.1%,72.0%,67.1%,72.0%,102.8%,83.7%,102.8%,83.7%
内航定期計,"15,733","3,437","15,733","3,437","7,793","1,964","7,793","1,964","7,940","1,473","7,940","1,473"
,96.2%,86.8%,96.2%,86.8%,87.2%,78.2%,87.2%,78.2%,107.2%,101.8%,107.2%,101.8%
北海道,"4,738",-,"4,738",-,"2,405",-,"2,405",-,"2,333",-,"2,333",-
,83.6%,-,83.6%,-,82.8%,-,82.8%,-,84.5%,-,84.5%,-
東北,"3,825",632,"3,825",632,"1,987",500,"1,987",500,"1,838",132,"1,838",132
,95.2%,41.3%,95.2%,41.3%,86.2%,36.4%,86.2%,36.4%,107.4%,83.5%,107.4%,83.5%
関東,44,140,44,140,-,140,-,140,44,-,44,-
,25.4%,538.5%,25.4%,538.5%,-,636.4%,-,636.4%,191.3%,-,191.3%,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,377",830,"1,377",830,264,830,264,830,"1,113",-,"1,113",-
,98.0%,169.4%,98.0%,169.4%,49.1%,183.6%,49.1%,183.6%,128.4%,-,128.4%,-
近畿,"1,177",501,"1,177",501,174,476,174,476,"1,003",25,"1,003",25
,259.8%,74.1%,259.8%,74.1%,177.6%,71.7%,177.6%,71.7%,282.5%,208.3%,282.5%,208.3%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,995",44,"1,995",44,892,18,892,18,"1,103",26,"1,103",26
,87.7%,163.0%,87.7%,163.0%,85.6%,-,85.6%,-,89.5%,96.3%,89.5%,96.3%
沖縄,"2,577","1,290","2,577","1,290","2,071",-,"2,071",-,506,"1,290",506,"1,290"
,109.2%,132.4%,109.2%,132.4%,108.8%,-,108.8%,-,111.0%,132.4%,111.0%,132.4%
内航不定期,"4,439","9,302","4,439","9,302","2,000","9,298","2,000","9,298","2,439",4,"2,439",4
,53.2%,69.2%,53.2%,69.2%,35.4%,70.8%,35.4%,70.8%,90.5%,1.3%,90.5%,1.3%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
