地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成23年中の転出者数
4,13212,日野市,195,242,709,492,284,237,282,279,220,224,189,214,3567
4,13213,東村山市,192,191,480,353,236,231,260,268,224,257,215,191,3098
4,13214,国分寺市,199,216,582,386,256,194,218,192,185,217,155,191,2991
4,13215,国立市,94,94,392,283,127,119,137,144,124,127,104,99,1844
4,13218,福生市,71,55,71,100,83,76,68,67,54,79,49,56,829
4,13219,狛江市,149,166,364,297,181,189,186,148,148,145,115,131,2219
4,13220,東大和市,72,61,175,145,83,71,95,87,67,88,66,67,1077
4,13221,清瀬市,104,94,259,198,145,103,133,125,104,148,107,125,1645
4,13222,東久留米市,147,128,391,357,164,181,178,186,178,176,142,208,2436
4,13223,武蔵村山市,66,51,198,58,79,50,74,55,59,96,54,56,896
4,13224,多摩市,204,264,550,467,252,237,221,194,224,222,186,204,3225
4,13225,稲城市,101,137,350,267,165,145,161,167,140,172,130,175,2110
4,13227,羽村市,62,59,107,119,75,74,49,40,50,53,45,60,793
4,13228,あきる野市,45,48,162,118,73,50,63,72,55,46,33,42,807
4,13229,西東京市,240,244,770,563,306,300,391,329,268,317,274,291,4293
1,13550,町村部,62,76,359,175,88,92,58,107,75,78,54,78,1302
2,13300,郡部,38,28,91,71,38,59,32,60,43,45,34,43,582
4,13303,瑞穂町,24,19,59,42,22,29,22,45,25,30,26,31,374
4,13305,日の出町,13,7,28,25,14,21,9,10,16,12,6,9,170
4,13307,檜原村,0,0,2,0,2,1,1,3,0,3,1,1,14
4,13308,奥多摩町,1,2,2,4,0,8,0,2,2,0,1,2,24
2,13350,島部,24,48,268,104,50,33,26,47,32,33,20,35,720
3,13360,大島支庁,9,18,137,32,25,12,12,14,15,14,4,16,308
4,13361,大島町,6,8,80,23,20,11,10,11,10,7,4,5,195
4,13362,利島村,1,4,7,0,0,0,0,0,0,0,0,0,12
4,13363,新島村,2,2,33,6,2,0,1,1,3,7,0,6,63
4,13364,神津島村,0,4,17,3,3,1,1,2,2,0,0,5,38
3,13380,三宅支庁,3,12,31,4,7,3,2,7,3,6,0,6,84
4,13381,三宅村,3,12,25,3,7,3,1,7,3,3,0,6,73
4,13382,御蔵島村,0,0,6,1,0,0,1,0,0,3,0,0,11
3,13400,八丈支庁,4,6,38,42,8,5,7,13,10,5,8,8,154
4,13401,八丈町,4,6,38,42,8,5,7,13,10,3,7,8,151
4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,2,1,0,3
3,13420,小笠原支庁,8,12,62,26,10,13,5,13,4,8,8,5,174
4,13421,小笠原村,8,12,62,26,10,13,5,13,4,8,8,5,174
,,,,,,,,,,,,,,,
人口の動き（平成23年中）,,,,,,,,,,,,,,,
第10表　区市町村別、月別他県転出者数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
