管内別,管内水防管理団（区市町村）,水防倉庫所管区分,水防倉庫数（棟）,土のう（袋）,大型土のう（袋）,水のう（袋）,土のう留杭（本）,軽量鋼板（枚）,篭（本）,木材（ｍ３）,シ－ト（ｍ２）,鉄線（ｋｇ）,杭（本）,縄（ｍ）,玉石（ｍ３）,ショベル（丁）,ツルハシ（丁）,掛矢（丁）,鋸（丁）,鉈（丁）,番線カッター（丁）,もっこ（丁）,一輪車（台）
三宅支庁,三宅村、御蔵島村,建設局,1,2500,100,0,0,0,0,0,45,0,45,130,0,47,1,1,1,9,1,0,0
三宅支庁,三宅村、御蔵島村,水防管理団体,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三宅支庁,三宅村、御蔵島村,計,1,2500,100,0,0,0,0,0,45,0,45,130,0,47,1,1,1,9,1,0,0
八丈支庁,八丈支町、青ヶ島村,建設局,1,2400,100,0,0,0,0,0,400,0,0,200,0,20,38,5,15,12,2,0,1
八丈支庁,八丈支町、青ヶ島村,水防管理団体,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈支庁,八丈支町、青ヶ島村,計,1,2400,100,0,0,0,0,0,400,0,0,200,0,20,38,5,15,12,2,0,1
小笠原支庁,小笠原村,建設局,2,2200,0,2200,0,0,0,0,100,15,0,0,0,20,4,4,8,16,4,0,3
小笠原支庁,小笠原村,水防管理団体,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原支庁,小笠原村,計,2,2200,0,2200,0,0,0,0,100,15,0,0,0,20,4,4,8,16,4,0,3
総計,,,423,1117962,5314,35320,160166,10545,1804,214.85,1045771,29257,15744,500300,650,31965,7025,4277,2324,1523,1642,1073,1605
内訳,東京都所管,建設局,66,616385,4740,7320,89275,6246,1564,48.95,79634,10970,10674,279421,450,5603,2124,976,436,615,477,283,248
内訳,東京都所管,港湾局,12,38350,0,0,0,0,0,2.9,2861,515,45,25100,0,137,70,19,16,10,30,9,16
内訳,東京都所管,警視庁,9,5550,3,0,1550,60,0,0,12000,405,0,5900,0,1018,193,143,199,70,114,0,67
内訳,東京都所管,東京消防庁,12,47523,401,26961,16643,1306,56,79,13878,2199,2318,17384,200,10038,1072,922,410,271,127,100,463
内訳,水防管理団体,,325,411854,170,3239,52498,2933,184,82,932654,15133,2707,162545,0,15164,3562,2218,1256,558,884,681,813
国土交通省所管（都関係分）,,,11,31385,0,2025,0,0,0,24241,400,24,8400,800,260,24,32,33,23,26,0,16,72
