年,月日,種目,被害地域,主な被害（死者）,主な被害（死者・不明）,主な被害（不明）,主な被害（負傷）,主な被害（住家）,主な被害（浸水）,主な被害（耕地）（ｈａ）,主な被害（船舶）,主な被害（その他）
昭和40,9.13～18,風水害（台風第２４号・前線）,全国,98,,9,330,8105,251820,81649,110,
昭和41,6.27～29,風水害（台風第４号）,中部～北海道,64,,19,91,433,128041,129195,12,
昭和41,9.24～25,風水害（台風第２４・２６号）,全国（特に山梨）,275,,43,976,73166,53601,34159,107,
昭和42,7.7～10,風水害（昭和４２年７月豪雨）,九州北部～関東,365,,6,618,3756,301445,44444,5,
昭和42,8.26～29,水害（羽越豪雨）,羽越,113,,33,190,2594,69424,62678,,
昭和43,8.15～18,風水害（台風第７号・前線）,西日本,112,,21,63,443,14662,1946,88,飛騨川バス転落
昭和44,6.24～7.1,水害（前線）,関東以西,81,,8,184,976,64390,55064,9,
昭和44,8.7～12,水害（前線）,東北・北陸,27,,14,83,608,34360,20564,36,
昭和45,8.20～22,風水害（台風第１０号）,中国・四国,23,,4,556,48652,59961,14329,1403,
昭和46,8.28～9.1,風水害（台風第２３号）,関東以西,37,,7,103,1427,122290,46720,57,
昭和47,7.3～13,水害（昭和４７年７月豪雨）,全国,410,,32,534,4339,194691,84794,2,
昭和47,9.13～20,風水害（台風第２０号・前線）,全国,,85,,157,4213,146547,43342,322,
昭和49,7.3～11,風水害（台風第８号・前線）,沖縄～中部,111,,,171,1448,148934,16230,19,
昭和50,8.17～20,風水害（台風第５号）,四国～北海道,,77,,209,2419,50222,12712,12,
昭和50,8.21～24,風水害（台風第６号）,四国～北海道,,33,,51,711,48832,80033,28,
昭和51,9.8～17,風水害（台風第１７号・前線）,全国,,169,,435,11193,442317,80304,237,
昭和54,9.24～10.2,風水害（前線・台風第１６号）,全国,12,,,83,1503,68216,7042,133,
昭和54,10.14～20,風水害（台風第２０号）,全国,111,,,478,7523,37450,25451,,
昭和55,8.26～31,水害（低気圧）,全国,,26,,50,405,39141,10069,9,
昭和55,12月下旬～56.2月,雪害,全国,,103,,1305,5819,5553,25,1269,
昭和56,8.20～27,風水害（台風第１５号）,近畿以北,,43,,173,4401,31082,65821,264,
昭和57,7.10～26,水害（昭和５７年７月豪雨）,関東以西,337,,8,661,851,52165,15354,30,
昭和57,8.1～3,風水害（台風第１０号・前線）,中国～東北,,95,,174,5312,113902,28311,12,
昭和57,9.8～14,風水害（台風第１８号・前線）,中国以北,,38,,174,651,136308,20012,3,
昭和58,7.20～27,水害（昭和５８年７月豪雨）,九州～東北,,117,,166,3669,17141,7796,,
昭和58,9.24～30,風水害（台風第１０号・前線）,中部以西,,44,,118,640,56267,5651,26,
昭和59,6.22～29,水害（前線）,中部以西（沖縄を除く）,,16,,6,21,2967,492,,
昭和60,6.18～7.6,風水害（台風第６号・前線）,九州～東北,,16,,49,811,12691,31617,1,
昭和60,7.26,水害（地すべり）,長野市,,26,,4,69,,3,,湯谷団地の地すべり
昭和60,8.29～9.2,風水害（台風第１２、１３、１４号）,九州～北海道,,31,,232,7805,2858,2112,1144,
昭和61,8.3～9,風水害（台風第１０号）,東海～東北,,21,,106,2683,105072,85119,9,
昭和62,7.13～21,風水害（台風第５号・前線）,沖縄～関東,,9,,24,51,3426,3778,7,
昭和62,8.28～9.1,風水害（台風第１２号）,沖縄～北海道,,8,,189,37078,611,78,791,
昭和62,10.13～18,風水害（台風第１９号）,中国～近畿,,9,,17,216,24044,6802,99,
昭和63,7.9～29,水害（前線）,九州～東北,,27,,61,613,10083,3021,22,
平成1,8.5～7,風水害（台風第１３号）,中部～東北,,15,,26,159,5063,1384,,
平成1,9.17～20,風水害（台風第２２号）,九州～東北,,8,,8,247,5824,584,39,
平成2,6.25～7.4,風水害（低気圧・前線）,九州～近畿,27,,,81,592,42141,20765,11,
平成2,9.16～20,風水害（台風第１９号）,沖縄～東北,40,,,131,16541,18183,41954,413,
平成2,9.25～10.1,風水害（台風第２０号）,九州～関東,,6,,20,210,13318,4273,31,
平成2,12.11～12,風水害（大雨・たつ巻）,四国～関東（特に千葉県）,,6,,81,2099,5,,,
平成3,2.13～19,大雨・強風（二つ玉低気圧）,近畿～北海道,,26,,14,178,54,,316,
平成3,7.25～31,風水害（台風第９号）,沖縄～中部,,6,,39,64,1472,263,120,
平成3,8.19～24,風水害（台風第１２号）,九州～東北南部,,16,,11,53,4162,4142,4,
平成3,9.7～9,風水害（台風第１５号）,宮崎・徳島、各県と関東,6,,,4,77,1505,,,
平成3,9.12～15,風水害（台風第１７号）,沖縄～中部,11,,,94,382,2586,875,69,
平成3,9.16～21,風水害（台風第１８号）,近畿～東北,,12,,23,225,52662,4973,2,
平成3,9.24～10.1,風水害（台風第１９号）,全国,62,,,1499,170447,22965,362,930,
平成4,1.31～2.1,大雪・強風（南岸低気圧）,九州～東北,,8,,311,6,,,6,
平成4,8.6～10,風水害（台風第１０号）,西日本・北海道,2,,,81,11082,1929,7408,84,
平成4,9.9～12,風水害（台風第１７号）,北海道,1,,,,9,3128,24549,,
平成5,7.31～8.29,風水害（８月豪雨等、台風第７・１１号）,全国、特に鹿児島,92,,1,219,950,55070,,,
平成11,6.23～7.3,風水害,九州～東北,39,,,69,730,18585,,,
平成11,8.13～16,風水害,関東～東北,16,,,7,36,4008,,,
平成12,9.10～17,風水害,沖縄～関東,10,,,98,312,71291,,,
平成13,6.18～,風水害,九州～中部,1,,,16,167,1156,,,
平成13,7.10～12,風水害（台風第６号）,全国,7,,1,30,260,10318,,,
平成13,7.20～22,風水害（台風第１１号）,全国,6,,,32,46,718,,,
平成13,9.10～11,風水害（台風第１５号）,全国,5,,3,48,162,838,,,
平成14,7.25～26,風水害（台風第９号）,九州,1,,,2,20,,,,
平成14,8.10,風水害,広島,3,,,,2,88,,,
平成14,10.1～2,風水害（台風第２１号）,中部～北海道,4,,,108,2706,2254,,,
平成15,7.18～21,風水害,西日本,23,,,25,268,7746,,,
平成15,8.10～12,風水害（台風第１０号）,全国,17,,2,94,614,2398,,,
平成15,9.11～14,風水害（台風第１４号）,全国,3,,,95,371,363,,,
平成16,6.18～21,風水害（台風第６号）,全国,2,,3,118,152,42,,,
平成16,7.30～8.6,風水害（台風第１０・１１号）,近畿・四国,3,,,19,92,2638,,,
平成16,8.17～20,風水害（台風第１５号）,全国,10,,,22,252,3034,,,
平成16,8.30～9.2,風水害（台風第１６号）,全国,14,,2,267,7161,46566,,,
平成16,9.6～8,風水害（台風第１８号）,全国,41,,4,1301,43140,8360,,,
平成16,9.26～10.1,風水害（台風第２１号）,全国,26,,1,97,2288,19681,,,
平成16,ｓ11.11～12,風水害,神奈川・三重・静岡,1,,,,4,657,,,
平成16,10.9～10.10,風水害（台風第２１号）,全国,7,,2,166,4930,7046,,,
平成16,10.2～10.22,風水害（台風第２３号）,東北～沖縄,95,,3,555,19640,55455,,,
平成17,6.27～28,風水害,北陸,1,,,7,4,734,,,
平成17,7.1～4,風水害,関東～九州,3,,2,3,11,2689,,,
平成17,7.8～11,風水害,関東～九州,6,,,3,14,401,,,
平成18,6.26～,風水害,東北～沖縄,30,,2,81,1905,10639,,,
平成18,9.15～18,風水害（台風第１３号）,全国,9,,1,448,11894,1366,,,
平成19,9.5～9,風水害（台風第９号）,東海～北海道,1,,2,87,672,1345,,,
平成20,8.26～8.31,風水害,全国,3,,,3,26,18958,,,
平成21,8.8～11,風水害（台風第１８号）,全国,25,,2,23,1178,5568,,,
平成22,7.10～16,風水害,全国,14,,,,住家等不明,,,,
平成23,7.27～30,風水害,新潟・福島,4,,2,13,1034,8783,,,
平成23,7.27～30,風水害,新潟・福島,4,,2,13,1034,8783,,,
平成25,10.16,風水害（台風第２６号）,全国,39,,4,108,905,5591,,,
