番号,施設名称,所在地,区市町村,所管局
101,大井ふ頭中央海浜公園,品川区八潮４－１－１９,品川区,港湾局
101,大井ふ頭中央海浜公園,品川区八潮４－２－１,品川区,港湾局
102,大崎高等学校,品川区豊町２－１－７,品川区,教育庁
103,小山台高等学校,品川区小山３－３－３２,品川区,教育庁
104,八潮高等学校,品川区東品川３－２７－２２,品川区,教育庁
105,東京都写真美術館,目黒区三田１－１３－３,目黒区,生活文化局
106,駒場高等学校,目黒区大橋２－１８－１,目黒区,教育庁
107,桜修館中等教育学校,目黒区八雲１－１－２,目黒区,教育庁
108,目黒高等学校,目黒区祐天寺２－７－１５,目黒区,教育庁
109,国際高等学校,目黒区駒場２－１９－５９,目黒区,教育庁
110,大田都税事務所,大田区西蒲田７－１１－１,大田区,主税局
111,大田市場,大田区東海３－２－１,大田区,中央卸売市場
112,城南職業能力開発センター大田校,大田区本羽田３－４－３０,大田区,産業労働局
113,産業技術研究センター城南支所,大田区南蒲田１－２０－２０,大田区,産業労働局
114,大田桜台高等学校,大田区中馬込３－１１－１０,大田区,教育庁
115,大森高等学校,大田区西蒲田２－２－１,大田区,教育庁
116,蒲田高等学校,大田区蒲田本町１－１－３０,大田区,教育庁
117,田園調布高等学校,大田区田園調布南２７－１,大田区,教育庁
118,美原高等学校,大田区大森東１－３３－１,大田区,教育庁
119,雪谷高等学校,大田区久が原１－１４－１,大田区,教育庁
120,六郷工科高等学校,大田区東六郷２－１８－２,大田区,教育庁
121,つばさ総合高等学校,大田区本羽田３－１１－５,大田区,教育庁
122,駒沢オリンピック公園総合運動場,世田谷区駒沢公園１－１,世田谷区,オリンピック・パラリンピック準備局
123,世田谷市場,世田谷区大蔵１－４－１,世田谷区,中央卸売市場
124,深沢高等学校,世田谷区深沢７－３－１４,世田谷区,教育庁
125,松原高等学校,世田谷区桜上水４－３－５,世田谷区,教育庁
126,園芸高等学校,世田谷区深沢５－３８－１,世田谷区,教育庁
127,総合工科高等学校,世田谷区成城９－２５－１,世田谷区,教育庁
128,世田谷総合高等学校,世田谷区岡本２－９－１,世田谷区,教育庁
129,桜町高等学校,世田谷区用賀２－４－１,世田谷区,教育庁
130,千歳丘高等学校,世田谷区船橋３－１８－１,世田谷区,教育庁
131,芦花高等学校,世田谷区粕谷３－８－１,世田谷区,教育庁
132,世田谷泉高等学校,世田谷区北烏山９－２２－１,世田谷区,教育庁
133,東京芸術劇場,豊島区西池袋１丁目８番１号,豊島区,生活文化局
134,労働相談情報センター池袋事務所,豊島区東池袋４－２３－９,豊島区,産業労働局
135,豊島市場,豊島区巣鴨５－１－５,豊島区,中央卸売市場
136,豊島高等学校,豊島区千早４－９－２１,豊島区,教育庁
137,文京高等学校,豊島区西巣鴨１－１－５,豊島区,教育庁
138,千早高等学校,豊島区千早３－４６－２１,豊島区,教育庁
139,池袋都民防災教育センター,豊島区西池袋２－３７－８,豊島区,東京消防庁
140,東京都障害者総合スポーツセンター,北区十条台１－２－２,北区,オリンピック・パラリンピック準備局
141,中央・城北職業能力開発センター赤羽校,北区西が丘３－７－８,北区,産業労働局
142,赤羽商業高等学校,北区西が丘３－１４－２０,北区,教育庁
143,王子総合高等学校,北区滝野川３－５４－７,北区,教育庁
144,飛鳥高等学校,北区王子６－８－８,北区,教育庁
145,桐ヶ丘高等学校,北区赤羽北３－５－２２,北区,教育庁
146,首都大学東京荒川キャンパス,荒川区東尾久７－２－１０,荒川区,総務局
147,荒川都税事務所,荒川区西日暮里２－２５－１,荒川区,主税局
148,荒川工業高等学校,荒川区南千住６－４２－１,荒川区,教育庁
149,竹台高等学校,荒川区東日暮里５－１４－１,荒川区,教育庁
150,中央・城北職業能力開発センター板橋校,板橋区舟渡２－２－１,板橋区,産業労働局
151,板橋市場,板橋区高島平６－１－５,板橋区,中央卸売市場
152,板橋高等学校,板橋区大谷口１－５４－１,板橋区,教育庁
153,大山高等学校,板橋区小茂根５－１８－１,板橋区,教育庁
154,北園高等学校,板橋区板橋４－１４－１,板橋区,教育庁
155,高島高等学校,板橋区高島平３－７－１,板橋区,教育庁
156,北豊島工業高等学校,板橋区富士見町２８－１,板橋区,教育庁
157,板橋有徳高等学校,板橋区徳丸２－１７－１,板橋区,教育庁
158,練馬工業高等学校,練馬区早宮２－９－１８,練馬区,教育庁
159,練馬高等学校,練馬区春日町４－２８－２５,練馬区,教育庁
160,第四商業高等学校,練馬区貫井３－４５－１９,練馬区,教育庁
161,井草高等学校,練馬区上石神井２－２－４３,練馬区,教育庁
162,大泉高等学校,練馬区東大泉５－３－１,練馬区,教育庁
163,大泉桜高等学校,練馬区大泉町３－５－７,練馬区,教育庁
164,石神井高等学校,練馬区関町北４－３２－４８,練馬区,教育庁
165,田柄高等学校,練馬区光が丘２－３－１,練馬区,教育庁
166,光丘高等学校,練馬区旭町２－１－３５,練馬区,教育庁
167,足立都税事務所,足立区西新井栄町２－８－１５,足立区,主税局
168,東京武道館,足立区綾瀬３－２０－１,足立区,オリンピック・パラリンピック準備局
169,足立市場,足立区千住橋戸町５０,足立区,中央卸売市場
170,北足立市場,足立区入谷６－３－１,足立区,中央卸売市場
171,足立新田高等学校,足立区新田２－１０－１６,足立区,教育庁
172,足立東高等学校,足立区大谷田２－３－５,足立区,教育庁
173,淵江高等学校,足立区東保木間２－１０－１,足立区,教育庁
174,荒川商業高等学校,足立区小台２－１－３１,足立区,教育庁
175,青井高等学校,足立区青井１－７－３５,足立区,教育庁
176,足立高等学校,足立区中央本町１－３－９,足立区,教育庁
177,江北高等学校,足立区西綾瀬４－１４－３０,足立区,教育庁
178,足立工業高等学校,足立区西新井４－３０－１,足立区,教育庁
179,足立西高等学校,足立区江北５－７－１,足立区,教育庁
180,産業技術研究センター城東支所,葛飾区青戸７－２－５,葛飾区,産業労働局
181,南葛飾高等学校,葛飾区立石６－４－１,葛飾区,教育庁
182,葛飾野高等学校,葛飾区亀有１－７－１,葛飾区,教育庁
183,農産高等学校,葛飾区西亀有１－２８－１,葛飾区,教育庁
184,葛飾商業高等学校,葛飾区新宿３－１４－１,葛飾区,教育庁
185,葛飾総合高等学校,葛飾区南水元４－２１－１,葛飾区,教育庁
186,城東職業能力開発センター江戸川校,江戸川区中央２－３１－２７,江戸川区,産業労働局
187,葛西市場,江戸川区臨海町３－４－１,江戸川区,中央卸売市場
188,江戸川高等学校,江戸川区松島２－３８－１,江戸川区,教育庁
189,葛西南高等学校,江戸川区南葛西１－１１－１,江戸川区,教育庁
190,小松川高等学校,江戸川区平井１－２７－１０,江戸川区,教育庁
191,篠崎高等学校,江戸川区東篠崎１－１０－１,江戸川区,教育庁
192,葛西工業高等学校,江戸川区一之江７－６８－１,江戸川区,教育庁
193,小岩高等学校,江戸川区本一色３－１０－１,江戸川区,教育庁
194,紅葉川高等学校,江戸川区臨海町２－１－１,江戸川区,教育庁
195,首都大学東京南大沢キャンパス,八王子市南大沢１－１,八王子市,総務局
196,八王子都税事務所,八王子市明神町３－１９－２　東京都八王子合同庁舎内,八王子市,主税局
197,労働相談情報センター八王子事務所,八王子市明神町３－５－１,八王子市,産業労働局
198,多摩職業能力開発センター八王子校,八王子市台町１－１１－１,八王子市,産業労働局
199,八王子北高等学校,八王子市楢原町６０１,八王子市,教育庁
200,八王子拓真高等学校,八王子市台町３－２５－１,八王子市,教育庁
201,南多摩中等教育学校,八王子市明神町４－２０－１,八王子市,教育庁
202,八王子桑志高等学校,八王子市千人町４－８－１,八王子市,教育庁
203,片倉高等学校,八王子市片倉町１６４３,八王子市,教育庁
204,翔陽高等学校,八王子市館町１０９７－１３６,八王子市,教育庁
205,八王子東高等学校,八王子市高倉町６８－１,八王子市,教育庁
206,富士森高等学校,八王子市長房町４２０－２,八王子市,教育庁
207,松が谷高等学校,八王子市松が谷１７７２,八王子市,教育庁
208,東京都農林水産振興財団（立川庁舎）,立川市富士見町３－８－１,立川市,産業労働局
209,立川国際中等教育学校,立川市曙町３－２９－３７,立川市,教育庁
210,多摩教育センター,立川市錦町６－３－１,立川市,教育庁
211,立川高等学校,立川市錦町２－１３－５,立川市,教育庁
212,砂川高等学校,立川市泉町９３５－４,立川市,教育庁
213,立川都民防災教育センター（立川防災館）,立川市泉町１１５６－１,立川市,東京消防庁
214,武蔵高等学校,武蔵野市境４－１３－２８,武蔵野市,教育庁
215,武蔵野北高等学校,武蔵野市八幡町２－３－１０,武蔵野市,教育庁
216,三鷹中等教育学校,三鷹市新川６－２１－２１,三鷹市,教育庁
217,東京都青梅合同庁舎,青梅市河辺町６－４－１,青梅市,産業労働局
218,東京都農林水産振興財団（青梅庁舎）,青梅市新町６－７－１,青梅市,産業労働局
219,多摩高等学校,青梅市裏宿町５８０,青梅市,教育庁
220,青梅総合高等学校,青梅市勝沼１－６０－１,青梅市,教育庁
221,多摩職業能力開発センター府中校,府中市南町４－３７－２,府中市,産業労働局
222,府中高等学校,府中市栄町３－３－１,府中市,教育庁
223,府中西高等学校,府中市日新町４－６－７,府中市,教育庁
224,府中東高等学校,府中市押立町４－２１,府中市,教育庁
225,農業高等学校,府中市寿町１－１０－２,府中市,教育庁
226,府中工業高等学校,府中市若松町２－１９－１,府中市,教育庁
227,多摩職業能力開発センター,昭島市東町３－６－３３,昭島市,産業労働局
228,産業技術研究センター多摩テクノプラザ,昭島市東町３－６－１,昭島市,産業労働局
229,昭和高等学校,昭島市東町２－３－２１,昭島市,教育庁
230,拝島高等学校,昭島市拝島町４－１３－１,昭島市,教育庁
231,味の素スタジアム（調布庁舎）,調布市西町３７６－３,調布市,オリンピック・パラリンピック準備局
232,神代高等学校,調布市若葉町１－４６－１,調布市,教育庁
233,調布北高等学校,調布市深大寺北町５－３９－１,調布市,教育庁
234,調布南高等学校,調布市多摩川６－２－１,調布市,教育庁
235,小川高等学校,町田市小川２－１００２－１,町田市,教育庁
236,町田総合高等学校,町田市木曽西３－５－１,町田市,教育庁
237,町田工業高等学校,町田市忠生１－２０－２,町田市,教育庁
238,町田高等学校,町田市中町４－２５－３,町田市,教育庁
239,成瀬高等学校,町田市成瀬１２２２－１,町田市,教育庁
240,野津田高等学校,町田市野津田町２００１,町田市,教育庁
241,山崎高等学校,町田市山崎町１４５３－１,町田市,教育庁
242,江戸東京たてもの園,小金井市桜町３－７－１,小金井市,生活文化局
243,小金井北高等学校,小金井市緑町４－１－１,小金井市,教育庁
244,多摩科学技術高等学校,小金井市本町６－８－９,小金井市,教育庁
245,小平高等学校,小平市仲町１１２,小平市,教育庁
246,小平南高等学校,小平市上水本町６－２１－１,小平市,教育庁
247,小平西高等学校,小平市小川町１－５０２－９５,小平市,教育庁
248,首都大学東京日野キャンパス,日野市旭が丘６－６,日野市,総務局
249,日野台高等学校,日野市大坂上４－１６－１,日野市,教育庁
250,南平高等学校,日野市南平８－２－３,日野市,教育庁
251,日野高等学校,日野市石田１－１９０－１,日野市,教育庁
252,東村山ナーシングホーム,東村山市青葉町１－７－１,東村山市,福祉保健局
253,東村山西高等学校,東村山市富士見町５－４－４１,東村山市,教育庁
254,東村山高等学校,東村山市恩多町４－２６－１,東村山市,教育庁
255,労働相談情報センター国分寺事務所,国分寺市南町３－２２－１０,国分寺市,産業労働局
256,国分寺高等学校,国分寺市新町３－２－５,国分寺市,教育庁
257,東京都多摩障害者スポーツセンター,国立市富士見台２－１－１,国立市,オリンピック・パラリンピック準備局
258,国立高等学校,国立市東４－２５－１,国立市,教育庁
259,第五商業高等学校,国立市中３－４－１,国立市,教育庁
260,福生高等学校,福生市北田園２－１１－３,福生市,教育庁
261,多摩工業高等学校,福生市熊川２１５,福生市,教育庁
262,狛江高等学校,狛江市元和泉３－９－１,狛江市,教育庁
263,東大和高等学校,東大和市中央３－９４５,東大和市,教育庁
264,東大和南高等学校,東大和市桜が丘３－４４－８,東大和市,教育庁
265,清瀬高等学校,清瀬市松山３－１－５６,清瀬市,教育庁
266,東久留米総合高等学校,東久留米市幸町５－８－４６,東久留米市,教育庁
267,久留米西高等学校,東久留米市野火止２－１－４４,東久留米市,教育庁
268,上水高等学校,武蔵村山市大南４－６２－１,武蔵村山市,教育庁
269,武蔵村山高等学校,武蔵村山市中原１－７－１,武蔵村山市,教育庁
270,多摩ニュータウン市場,多摩市永山７－４,多摩市,中央卸売市場
271,永山高等学校,多摩市永山５－２２,多摩市,教育庁
272,若葉総合高等学校,稲城市坂浜１４３４－３,稲城市,教育庁
273,羽村高等学校,羽村市羽４１５２－１,羽村市,教育庁
274,秋留台高等学校,あきる野市平沢１５３－４,あきる野市,教育庁
275,五日市高等学校,あきる野市五日市８９４,あきる野市,教育庁
276,田無高等学校,西東京市向台町５－４－３４,西東京市,教育庁
277,保谷高等学校,西東京市住吉町５－８－２３,西東京市,教育庁
278,田無工業高等学校,西東京市向台町１－９－１,西東京市,教育庁
279,瑞穂農芸高等学校,西多摩郡瑞穂町石畑２０２７,瑞穂町,教育庁
