市町村等をまとめた地域,市町村等,雨量基準,土壌雨量指数基準,複合基準,指定河川洪水予報による基準
多摩南部,日野市,Ｒ１＝５０,谷地川流域１９,-,多摩川［調布橋］、浅川［浅川橋］
多摩南部,多摩市,Ｒ１＝５０,大栗川流域１７,Ｒ３＝１２０かつ多摩川流域３５,多摩川［調布橋・石原］、浅川［浅川橋］
多摩南部,稲城市,Ｒ１＝５０,-,平坦地：Ｒ３＝９０かつ多摩川流域３５,多摩川［石原］
大島,大島町,Ｒ１＝７０,-,-,-
新島,利島村,Ｒ１＝８０,-,-,-
新島,新島村,Ｒ１＝６０,-,-,-
新島,神津島村,Ｒ１＝８０,-,-,-
八丈島,八丈町,Ｒ３＝１２０,-,-,-
八丈島,青ヶ島村,Ｒ１＝６０,-,-,-
三宅島,三宅村,Ｒ１＝６０,-,-,-
三宅島,御蔵島村,Ｒ１＝６０,-,-,-
小笠原諸島,小笠原村,Ｒ１＝７０,-,-,-
