区分,配備先
一時滞在施設,東京都立産多摩職業能力開発センター
一時滞在施設,東京都立昭和高等学校
一時滞在施設,味の素スタジアム（調布庁舎）
一時滞在施設,東京都立町田工業高等学校
一時滞在施設,東京都立町田総合高等学校
一時滞在施設,東京都立成瀬高等学校
一時滞在施設,江戸東京たてもの園
一時滞在施設,東京都立多摩科学技術高等学校
一時滞在施設,東京都立小金井北高等学校
一時滞在施設,東京都立小平西高等学校
一時滞在施設,東京都立小平高等学校
一時滞在施設,東京都立小平南高等学校
一時滞在施設,東京都立日野台高等学校
一時滞在施設,首都大学東京　日野キャンパス
一時滞在施設,東京都立南平高等学校
一時滞在施設,東京都東村山ナーシングホーム
一時滞在施設,東京都立東村山高等学校
一時滞在施設,東京都立国分寺高等学校
一時滞在施設,東京都労働相談情報センター国分寺事務所　
一時滞在施設,東京都立国立高等学校
一時滞在施設,東京都多摩障害者スポーツセンター　
一時滞在施設,東京都立第五商業高等学校
一時滞在施設,東京都立福生高等学校
一時滞在施設,東京都立多摩工業高等学校
一時滞在施設,東京都立東大和高等学校
一時滞在施設,東京都立清瀬高等学校
一時滞在施設,東京都立東久留米総合高等学校
一時滞在施設,東京都立上水高等学校
一時滞在施設,東京都立武蔵村山高等学校
一時滞在施設,東京都立永山高等学校
一時滞在施設,東京都立若葉総合高等学校
一時滞在施設,東京都立羽村高等学校
一時滞在施設,東京都立五日市高等学校
一時滞在施設,東京都立秋留台高等学校
一時滞在施設,東京都立瑞穂農芸高等学校
