番号,市町名,施設名,★応急給水槽（１５００ｍ３槽）／☆小規模応急給水槽（１００ｍ３槽）,所在地,確保水量（ｍ３）
40,調布市,深大寺浄水所,,深大寺南町五丁目５６番地１号,9900
41,町田市,小野路給水所,,小野路町２６３７番地１,6330
42,町田市,原町田浄水所,,原町田五丁目１３番３号,520
43,町田市,滝の沢浄水所,,旭町二丁目７番７号,1880
44,町田市,野津田浄水所,,野津田町３３９８番地,1000
45,町田市,市立つくし野セントラルパーク,★,つくし野三丁目１９番地,1500
46,町田市,市立鶴川中央公園,☆,鶴川六丁目６番地,100
47,町田市,成瀬コミュニティセンター,☆,成瀬２１４４番地,100
48,町田市,市立忠生公園,☆,忠生一丁目３番地,100
49,小金井市,梶野浄水所,,梶野町五丁目１０番３３号,1300
50,小金井市,上水南浄水所,,小平市上水南町三丁目１２番３６号,13330
51,小平市,小川浄水所,,小川町一丁目８４７番地,6580
52,小平市,津田二号水源,,津田町三丁目３９番３号,1200
53,日野市,大坂上浄水所,,大坂上一丁目１７番地の１１,650
54,日野市,多摩平浄水所,,多摩平二丁目７番地の２,3660
55,日野市,程久保給水所,,程久保五丁目１０番地の１,7000
56,日野市,三沢配水所,,三沢９０５番地の２,1490
57,日野市,日野旭が丘給水所,,旭が丘二丁目４２番地の２,1660
58,東村山市,八坂給水所,,富士見町五丁目４番地４６,20000
59,東村山市,東村山浄水場,,美住町二丁目２０番地２３６,36000
60,東村山市,美住給水所,,美住町二丁目１３番地４,0
61,東村山市,市立東村山運動公園,★,恩多町一丁目９番地５,1500
62,国分寺市,東恋ヶ窪浄水所,,東恋ヶ窪二丁目５番地８,1220
63,国分寺市,国分寺北町第二浄水所,,北町四丁目１番地５,5800
64,国立市,国立中浄水所,,中三丁目８番１号,2000
65,国立市,谷保浄水所,,谷保１４６２番地１,2000
66,福生市,福生武蔵野台浄水所,,武蔵野台二丁目３２番地,2540
67,福生市,市立明神下公園,★,南田園一丁目１２番地１,1500
68,狛江市,和泉本町浄水所,,和泉本町四丁目６番１号,2260
69,東大和市,上北台浄水所,,上北台一丁目８０１番地１,5330
70,東大和市,東大和給水所,,桜が丘三丁目４４番地,26660
71,清瀬市,清瀬元町浄水所,,元町二丁目２７番１２号,1260
72,清瀬市,清瀬旭が丘浄水所,,旭が丘二丁目５番５号,0
73,東久留米市,南沢浄水所,,南沢三丁目９番地２１,3330
74,東久留米市,滝山浄水所,,滝山六丁目１番地１,1960
75,武蔵村山市,学園配水所,,学園一丁目５番地の７,1460
76,武蔵村山市,中藤配水所,,中藤二丁目１番地の３,950
77,武蔵村山市,市立中原公園,★,中原二丁目２１番地の４,1500
78,多摩市,桜ヶ丘浄水所,,桜ヶ丘四丁目１０番地,1500
79,多摩市,落合浄水所,,中沢一丁目１２番地,100
80,多摩市,愛宕配水所,,愛宕二丁目５１番地,1140
81,多摩市,南野給水所,,南野二丁目１６番地,3360
82,多摩市,聖ヶ丘給水所,,聖ヶ丘四丁目１番地,14000
83,多摩市,市立並木公園,★,和田１５５１番地１,1500
84,稲城市,坂浜浄水所,,坂浜８１６番地,1510
85,稲城市,向陽台給水所,,向陽台六丁目１６番地,2000
86,稲城市,若葉台給水所,,若葉台一丁目１９番地,2160
87,あきる野市,秋留台給水所,,秋川三丁目２番地１０,2000
88,あきる野市,菅生給水所,,菅生６８３番地,2000
89,あきる野市,上代継浄水所,,上代継４０７番地,200
90,あきる野市,戸倉給水所,,戸倉３４８番地１,1660
91,あきる野市,小峰台配水所,,小峰台４０番地,160
92,あきる野市,伊奈配水所,,伊奈３７２番地３,130
93,西東京市,芝久保浄水所,,芝久保町五丁目９番１号,6030
94,西東京市,保谷町浄水所,,保谷町一丁目５番２４号,3830
95,西東京市,西東京栄町浄水所,,栄町二丁目７番６号,1000
96,瑞穂町,石畑給水所,,石畑２３０１番地,10000
97,日の出町,文化の森給水所,,平井３０７５番地,2000
,多摩地区【都営水道市町】小計（９７箇所）,,,,347950
98,武蔵野市,第一浄水場,,吉祥寺北町四丁目１１番４６号,3780
99,武蔵野市,第二浄水場,,桜堤一丁目６番６号,2610
100,昭島市,西部配水場,,緑町二丁目１７番１６号,2780
101,昭島市,東部配水場,,朝日町四丁目２３番地,2160
102,羽村市,第一配水場,,緑ヶ丘二丁目１８番地５,2060
103,羽村市,小作浄水場,,小作台四丁目２番地１,14260
,多摩地区【都営水道市町以外】小計（６箇所）,,,,27650
,多摩地区合計確保水量（１０３箇所）,,,,375600
