市町村等をまとめた地域,市町村等,雨量基準,土壌雨量指数基準,複合基準,指定河川洪水予報による基準
２３区東部,葛飾区,Ｒ１＝３０,中川流域＝２６、綾瀬川流域＝１１,-,中川［吉川］、江戸川［野田］、荒川［岩淵水門（上）］
２３区東部,江戸川区,平坦地：Ｒ１＝４０平坦地以外：Ｒ３＝６０,-,-,江戸川［野田］、荒川［岩淵水門（上）］
多摩北部,立川市,Ｒ１＝３０,残堀川流域＝７,-,多摩川［調布橋］
多摩北部,武蔵野市,Ｒ１＝２５,仙川流域＝１０,-,-
多摩北部,三鷹市,Ｒ１＝３０,仙川流域＝１０、野川流域＝１２、神田川流域＝７,-,-
多摩北部,府中市,Ｒ１＝３０,-,-,多摩川［石原］
多摩北部,昭島市,Ｒ１＝３０,残堀川流域＝６,-,多摩川［調布橋］
多摩北部,調布市,Ｒ１＝４０,野川流域＝１０,-,多摩川［石原］
多摩北部,小金井市,Ｒ１＝３０,仙川流域＝８、野川流域＝１０,-,-
多摩北部,小平市,Ｒ１＝２５,-,-,-
多摩北部,東村山市,Ｒ１＝２０,空堀川流域＝１４、,-,-
多摩北部,国分寺市,,柳瀬川流域＝９,,
多摩北部,国立市,Ｒ１＝２５,-,-,-
多摩北部,狛江市,Ｒ１＝３０,-,-,多摩川［調布橋］
多摩北部,東大和市,Ｒ１＝３０,野川流域＝１６,-,多摩川［石原］
多摩北部,清瀬市,Ｒ１＝４０,空堀川流域＝１２、柳瀬川流域＝１８,-,-
多摩北部,東久留米市,Ｒ１＝２０,黒目川流域＝６,-,-
多摩北部,武蔵村山市,Ｒ１＝４０,空堀川流域＝７、残堀川流域＝７,-,-
多摩北部,西東京市,Ｒ１＝２０,石神井川流域＝５,-,-
多摩西部,青梅市,Ｒ１＝５０,成木川流域＝９,-,多摩川［調布橋］
多摩西部,福生市,Ｒ１＝５０,-,-,多摩川［調布橋］
多摩西部,羽村市,Ｒ１＝５０,-,-,多摩川［調布橋］
多摩西部,あきる野市,Ｒ１＝５０,秋川流域＝２１、平井川流域＝１１,-,多摩川［調布橋］
多摩西部,瑞穂町,平坦地：Ｒ３＝５０平坦地以外：Ｒ３＝７０,-,-,-
多摩西部,日の出町,Ｒ１＝４０,平井川流域＝７,-,-
多摩西部,檜原村,Ｒ１＝５０,秋川流域＝２４、北秋川流域＝８,-,-
多摩西部,奥多摩町,Ｒ１＝５０,多摩川流域＝３１,-,-
多摩南部,八王子市,Ｒ１＝４０,谷地川流域＝９、大栗川流域＝１４、秋川流域＝２６,平坦地：Ｒ１＝３０かつ多摩川流域＝２４,多摩川［調布橋］、浅川［浅川橋］
多摩南部,町田市,Ｒ１＝４０,境川流域＝９、鶴見川流域＝１２、恩田川流域＝５,-,-
多摩南部,日野市,Ｒ１＝３０,谷地川流域＝９,-,多摩川［調布橋］、浅川［浅川橋］
多摩南部,多摩市,Ｒ１＝３０,大栗川流域＝１１,Ｒ３＝８０かつ多摩川流域＝３５,多摩川［石原］
多摩南部,稲城市,Ｒ１＝３０,-,平坦地：Ｒ３＝６０かつ多摩川流域＝３５,多摩川［石原］
大島,大島町,Ｒ１＝４０,-,-,-
新島,利島村,Ｒ１＝５０,-,-,-
新島,新島村,Ｒ１＝４０,-,-,-
新島,神津島村,Ｒ１＝５０,-,-,-
八丈島,八丈町,Ｒ３＝８０,-,-,-
八丈島,青ヶ島村,Ｒ１＝４０,-,-,-
三宅島,三宅村,Ｒ１＝３０,-,-,-
三宅島,御蔵島村,Ｒ１＝４０,-,-,-
小笠原諸島,小笠原村,Ｒ１＝５０,-,-,-
