番号,区名,施設名,★：応急給水槽（１，５００ｍ３槽）／☆：小規模応急給水槽（１００ｍ３槽）,所在地,確保水量（ｍ３）
49,渋谷区,区立景丘公園,☆,恵比寿四丁目１９番２１号,100
50,中野区,区立弥生公園,☆,弥生町五丁目４番,100
51,中野区,区立江古田の森公園,☆,江古田三丁目１４番,100
52,中野区,区立みずのとう公園,☆,江古田一丁目３番,100
53,杉並区,杉並浄水所,,善福寺三丁目２８番５号,800
54,杉並区,和泉水圧調整所,,和泉二丁目５番２３号,16600
55,杉並区,上井草給水所,,上井草三丁目２２番１２号,60000
56,杉並区,都立和田堀公園,★,大宮二丁目２６番,1500
57,杉並区,区立蚕糸の森公園,★,和田三丁目５５番,1500
58,杉並区,区立昭栄公園,★,高井戸西一丁目１２番,1500
59,杉並区,区立井草森公園,★,井草四丁目１２番１号,1500
60,杉並区,区立馬橋公園,☆,高円寺北四丁目３５番５号,100
61,豊島区,区立西池袋公園,★,西池袋三丁目２０番１号,1500
62,豊島区,都立文京高等学校,☆,西巣鴨一丁目１番５号,100
63,北区,区立桐ヶ丘中央公園,★,桐ヶ丘一丁目８番,1500
64,北区,区立滝野川公園,★,西ヶ原二丁目１番,1500
65,北区,区立北運動公園,★,神谷二丁目４７番６号,1500
66,荒川区,南千住給水所,,南千住八丁目２番６号,33300
67,荒川区,区立日暮里南公園,★,東日暮里五丁目１９番１号,1500
68,板橋区,三園浄水場,,三園二丁目１０番１号,15600
69,板橋区,板橋給水所,,加賀一丁目１７番１号,26600
70,板橋区,都立城北中央公園,★,桜川一丁目１番,1500
71,板橋区,区立城北公園,★,坂下二丁目１９番１号,1500
72,板橋区,都立板橋高等学校,☆,大谷口一丁目５４番１号,100
73,板橋区,都立赤塚公園,☆,高島平三丁目１番,100
74,板橋区,区立西徳第二公園,☆,西台三丁目４２番１号,100
75,板橋区,大谷口給水所,,大谷口一丁目４番,11600
76,練馬区,練馬給水所（注４）,,光が丘二丁目４番１号,42600
77,練馬区,区立大泉公園,★,大泉学園町六丁目２５番,1500
78,練馬区,区立学田公園,★,豊玉南三丁目３２番,1500
79,練馬区,区立はやいち公園,☆,早宮一丁目４７番１１号,100
80,練馬区,区立みんなの広場公園,☆,石神井町八丁目４１番,100
81,足立区,小右衛門給水所,,中央本町三丁目８番１号,16600
82,足立区,区総合スポーツセンター,★,東保木間二丁目２７番１号,1500
83,足立区,区立千住スポーツ公園,★,千住緑町二丁目１番１号,1500
84,足立区,区立諏訪木東公園,★,西新井三丁目２５番,1500
85,足立区,区立大谷田南公園,★,中川四丁目４２番１号,1500
86,足立区,区立北鹿浜公園,★,鹿浜三丁目２６番,1500
87,足立区,都立舎人公園,☆,舎人公園１番１号,100
88,葛飾区,金町浄水場,,金町浄水場１番１号,48700
89,葛飾区,水元給水所（都立水元公園内自由広場）,,水元公園４番地,33300
90,葛飾区,区立上千葉公園,★,東堀切三丁目２５番１号,1500
91,葛飾区,区立新小岩公園,★,西新小岩一丁目１番３号,1500
92,葛飾区,区立渋江東公園,☆,東四つ木二丁目１５番,100
93,江戸川区,西瑞江給水所（注５）,,東瑞江一丁目２６番２号,0
94,江戸川区,葛西給水所,,北葛西三丁目９番,13300
95,江戸川区,都立篠崎公園,★,上篠崎一丁目２５番,1500
96,江戸川区,区立宇喜田中央公園,★,北葛西四丁目１５番,1500
97,江戸川区,区立小岩公園,★,北小岩六丁目４３番,1500
98,江戸川区,都立大島小松川公園,★,小松川一丁目７番,1500
99,江戸川区,都立葛西南高等学校,☆,南葛西一丁目１１番１号,100
,区部合計確保水量（９９箇所）,,,,642780
都都市整備局等,墨田区,白鬚東地区防災拠点,,墨田区堤通二丁目,2700
