年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1502りんご(1kg)/円,1511みかん(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円,,,
令和６年４月,2024,4,520,110,99,256,526,140,171,689,348,250,470,358,167,...,327,281,900,400,652,599,176,810,2295,573,400,964,239,619,1022,382,1162,895,1511,...,2768,589,679,822,857,1272,1884,600,774,599,791,...,679,1094,...,...,...,...,...,...,...,2047,...,318,1428,1075,232,270,414,,,
令和６年５月,2024,5,501,112,105,244,524,128,166,716,376,260,492,362,186,...,326,337,920,337,828,470,176,985,2486,606,444,1021,251,616,1047,362,1514,887,1501,...,3004,592,631,755,760,1173,1768,623,788,600,873,...,725,1244,...,...,...,...,...,730,1135,1942,...,320,1206,1213,246,278,410,,,
令和６年５月上旬,2024,5上,505,117,118,250,...,129,168,708,370,244,...,...,...,...,...,305,857,327,755,503,...,893,2456,...,...,...,241,...,...,367,1461,...,...,...,3213,571,646,765,763,1216,...,...,...,...,845,...,...,1203,...,...,...,...,...,713,1157,1950,...,...,...,...,278,277,418,,,
令和６年５月中旬,2024,5中,504,107,103,241,524,128,166,713,376,267,492,362,186,...,326,371,931,340,854,445,176,1081,2535,606,444,1021,244,616,1047,356,1513,887,1501,...,2932,590,623,740,757,1146,1768,623,788,600,882,...,725,1231,...,...,...,...,...,738,1142,1941,...,320,1206,1213,236,281,408,,,
令和６年５月下旬,2024,5下,495,114,96,241,...,128,164,728,383,270,...,...,...,...,...,335,972,345,875,463,...,980,2466,...,...,...,267,...,...,364,1567,...,...,...,2869,615,624,760,760,1156,...,...,...,...,891,...,...,1296,...,...,...,...,...,740,1105,1935,...,...,...,...,223,276,405,,,
令和６年６月上旬,2024,6上,518,113,97,243,...,133,167,713,374,249,...,...,...,...,...,251,906,313,841,405,...,741,2626,...,...,...,234,...,...,352,2432,...,...,1971,2583,637,572,765,782,1135,...,...,...,...,956,...,...,...,...,2884,...,...,...,633,1010,...,4619,...,...,...,220,275,397,,,
令和６年６月中旬,2024,6中,532,120,99,250,507,135,170,709,371,257,478,352,195,...,332,234,899,285,831,364,177,715,2500,663,540,1218,215,583,1026,356,3000,887,1484,1772,2675,620,550,743,780,1112,1820,606,771,600,926,...,730,...,...,2608,...,...,...,595,956,...,3406,328,1162,1192,219,275,390,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和６年６月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
