地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,従業者規模／１～４人／事業所数（事業所）,従業者規模／５～９人／事業所数（事業所）,従業者規模／10～19人／事業所数（事業所）,従業者規模／20～29人／事業所数（事業所）,従業者規模／30～49人／事業所数（事業所）,従業者規模／50～99人／事業所数（事業所）,従業者規模／100～199人／事業所数（事業所）,従業者規模／200～299人／事業所数（事業所）,従業者規模／300～499人／事業所数（事業所）,従業者規模／500人以上／事業所数（事業所）,従業者規模／出向・派遣従業者のみ／事業所数（事業所）
4,1311100601,大田区,大森本町,大森本町１丁目,大森本町１丁目,76,43,14,10,1,4,3,1,-,-,-,-
4,1311100602,大田区,大森本町,大森本町２丁目,大森本町２丁目,132,85,13,25,5,3,1,-,-,-,-,-
3,1311100700,大田区,平和島,,平和島,422,76,77,90,45,53,39,16,4,5,6,11
4,1311100701,大田区,平和島,平和島１丁目,平和島１丁目,44,6,6,13,6,4,3,4,2,-,-,-
4,1311100702,大田区,平和島,平和島２丁目,平和島２丁目,59,10,13,7,7,5,11,4,-,-,-,2
4,1311100703,大田区,平和島,平和島３丁目,平和島３丁目,71,16,10,22,6,8,7,-,-,-,-,2
4,1311100704,大田区,平和島,平和島４丁目,平和島４丁目,11,1,-,3,1,-,1,-,2,2,1,-
4,1311100705,大田区,平和島,平和島５丁目,平和島５丁目,93,18,12,14,10,18,6,8,-,-,3,4
4,1311100706,大田区,平和島,平和島６丁目,平和島６丁目,144,25,36,31,15,18,11,-,-,3,2,3
3,1311100800,大田区,昭和島,,昭和島,80,13,23,14,9,10,5,3,2,-,-,1
4,1311100801,大田区,昭和島,昭和島１丁目,昭和島１丁目,40,5,14,8,5,4,2,1,1,-,-,-
4,1311100802,大田区,昭和島,昭和島２丁目,昭和島２丁目,40,8,9,6,4,6,3,2,1,-,-,1
3,1311100900,大田区,山王,,山王,907,557,167,118,26,15,17,4,-,1,-,2
4,1311100901,大田区,山王,山王１丁目,山王１丁目,151,103,29,10,3,4,1,1,-,-,-,-
4,1311100902,大田区,山王,山王２丁目,山王２丁目,422,221,87,72,17,10,13,-,-,-,-,2
4,1311100903,大田区,山王,山王３丁目,山王３丁目,260,183,39,28,3,1,2,3,-,1,-,-
4,1311100904,大田区,山王,山王４丁目,山王４丁目,74,50,12,8,3,-,1,-,-,-,-,-
3,1311101000,大田区,平和の森公園,,平和の森公園,1,-,1,-,-,-,-,-,-,-,-,-
3,1311101100,大田区,東馬込,,東馬込,188,129,33,15,5,3,3,-,-,-,-,-
4,1311101101,大田区,東馬込,東馬込１丁目,東馬込１丁目,134,91,27,10,3,1,2,-,-,-,-,-
4,1311101102,大田区,東馬込,東馬込２丁目,東馬込２丁目,54,38,6,5,2,2,1,-,-,-,-,-
3,1311101200,大田区,南馬込,,南馬込,505,320,105,48,13,9,6,1,-,-,-,3
4,1311101201,大田区,南馬込,南馬込１丁目,南馬込１丁目,81,47,12,13,2,4,2,-,-,-,-,1
4,1311101202,大田区,南馬込,南馬込２丁目,南馬込２丁目,66,44,14,6,1,-,-,1,-,-,-,-
4,1311101203,大田区,南馬込,南馬込３丁目,南馬込３丁目,63,39,12,10,1,-,-,-,-,-,-,1
4,1311101204,大田区,南馬込,南馬込４丁目,南馬込４丁目,74,49,19,4,-,-,1,-,-,-,-,1
4,1311101205,大田区,南馬込,南馬込５丁目,南馬込５丁目,175,116,33,12,7,5,2,-,-,-,-,-
4,1311101206,大田区,南馬込,南馬込６丁目,南馬込６丁目,46,25,15,3,2,-,1,-,-,-,-,-
3,1311101300,大田区,中馬込,,中馬込,189,112,39,16,9,7,2,-,1,1,2,-
4,1311101301,大田区,中馬込,中馬込１丁目,中馬込１丁目,61,38,13,3,-,2,1,-,1,1,2,-
4,1311101302,大田区,中馬込,中馬込２丁目,中馬込２丁目,64,32,14,9,6,3,-,-,-,-,-,-
4,1311101303,大田区,中馬込,中馬込３丁目,中馬込３丁目,64,42,12,4,3,2,1,-,-,-,-,-
3,1311101400,大田区,西馬込,,西馬込,233,149,37,26,11,4,6,-,-,-,-,-
4,1311101401,大田区,西馬込,西馬込１丁目,西馬込１丁目,91,57,15,10,4,2,3,-,-,-,-,-
4,1311101402,大田区,西馬込,西馬込２丁目,西馬込２丁目,142,92,22,16,7,2,3,-,-,-,-,-
3,1311101500,大田区,北馬込,,北馬込,272,167,61,27,5,8,2,-,-,-,-,2
4,1311101501,大田区,北馬込,北馬込１丁目,北馬込１丁目,85,52,18,6,4,4,-,-,-,-,-,1
4,1311101502,大田区,北馬込,北馬込２丁目,北馬込２丁目,187,115,43,21,1,4,2,-,-,-,-,1
3,1311101600,大田区,中央,,中央,807,543,136,68,26,20,7,4,-,1,1,1
4,1311101601,大田区,中央,中央１丁目,中央１丁目,86,68,9,3,3,3,-,-,-,-,-,-
4,1311101602,大田区,中央,中央２丁目,中央２丁目,54,35,5,8,4,2,-,-,-,-,-,-
4,1311101603,大田区,中央,中央３丁目,中央３丁目,160,115,25,12,2,1,4,1,-,-,-,-
4,1311101604,大田区,中央,中央４丁目,中央４丁目,133,79,30,12,4,5,1,-,-,-,1,1
4,1311101605,大田区,中央,中央５丁目,中央５丁目,31,24,5,-,2,-,-,-,-,-,-,-
4,1311101606,大田区,中央,中央６丁目,中央６丁目,77,49,13,9,4,1,1,-,-,-,-,-
4,1311101607,大田区,中央,中央７丁目,中央７丁目,77,50,15,7,3,1,-,1,-,-,-,-
4,1311101608,大田区,中央,中央８丁目,中央８丁目,189,123,34,17,4,7,1,2,-,1,-,-
3,1311101700,大田区,池上,,池上,1215,748,236,136,50,25,12,5,2,-,1,-
4,1311101701,大田区,池上,池上１丁目,池上１丁目,86,58,14,3,7,2,2,-,-,-,-,-
4,1311101702,大田区,池上,池上２丁目,池上２丁目,75,45,13,11,2,2,-,1,1,-,-,-
4,1311101703,大田区,池上,池上３丁目,池上３丁目,215,129,42,31,4,4,4,1,-,-,-,-
4,1311101704,大田区,池上,池上４丁目,池上４丁目,193,129,38,13,8,4,1,-,-,-,-,-
4,1311101705,大田区,池上,池上５丁目,池上５丁目,121,81,22,5,7,2,2,2,-,-,-,-
4,1311101706,大田区,池上,池上６丁目,池上６丁目,308,179,60,44,14,7,2,-,1,-,1,-
4,1311101707,大田区,池上,池上７丁目,池上７丁目,138,84,30,20,4,-,-,-,-,-,-,-
4,1311101708,大田区,池上,池上８丁目,池上８丁目,79,43,17,9,4,4,1,1,-,-,-,-
3,1311101800,大田区,京浜島,,京浜島,252,53,48,71,32,24,18,4,2,-,-,-
4,1311101801,大田区,京浜島,京浜島１丁目,京浜島１丁目,23,5,3,4,4,1,5,-,1,-,-,-
4,1311101802,大田区,京浜島,京浜島２丁目,京浜島２丁目,196,42,40,58,24,19,9,3,1,-,-,-
4,1311101803,大田区,京浜島,京浜島３丁目,京浜島３丁目,33,6,5,9,4,4,4,1,-,-,-,-
3,1311101900,大田区,東海,,東海,687,219,145,155,66,41,41,4,1,1,1,13
4,1311101901,大田区,東海,東海１丁目,東海１丁目,22,4,4,4,4,-,5,-,-,-,-,1
4,1311101902,大田区,東海,東海２丁目,東海２丁目,40,9,9,8,5,4,2,1,1,-,-,1
4,1311101903,大田区,東海,東海３丁目,東海３丁目,386,151,87,75,32,15,15,3,-,-,1,7
4,1311101904,大田区,東海,東海４丁目,東海４丁目,133,23,34,38,11,10,14,-,-,-,-,3
4,1311101905,大田区,東海,東海５丁目,東海５丁目,81,24,9,27,10,7,2,-,-,1,-,1
4,1311101906,大田区,東海,東海６丁目,東海６丁目,25,8,2,3,4,5,3,-,-,-,-,-
3,1311102000,大田区,城南島,,城南島,187,47,35,43,24,16,9,5,1,-,-,7
4,1311102001,大田区,城南島,城南島１丁目,城南島１丁目,14,4,4,3,2,-,-,-,-,-,-,1
4,1311102002,大田区,城南島,城南島２丁目,城南島２丁目,86,28,19,15,11,8,2,3,-,-,-,-
4,1311102003,大田区,城南島,城南島３丁目,城南島３丁目,10,2,-,-,3,2,1,-,-,-,-,2
4,1311102004,大田区,城南島,城南島４丁目,城南島４丁目,49,7,10,12,5,6,5,2,-,-,-,2
4,1311102005,大田区,城南島,城南島５丁目,城南島５丁目,15,2,2,8,1,-,1,-,-,-,-,1
4,1311102006,大田区,城南島,城南島６丁目,城南島６丁目,3,1,-,2,-,-,-,-,-,-,-,-
4,1311102007,大田区,城南島,城南島７丁目,城南島７丁目,10,3,-,3,2,-,-,-,1,-,-,1
3,1311102100,大田区,東嶺町,,東嶺町,135,95,21,10,5,3,1,-,-,-,-,-
3,1311102200,大田区,西嶺町,,西嶺町,49,34,6,6,2,-,1,-,-,-,-,-
3,1311102300,大田区,北嶺町,,北嶺町,229,153,33,26,9,2,4,1,-,-,-,1
3,1311102400,大田区,田園調布南,,田園調布南,59,30,11,12,2,3,-,1,-,-,-,-
3,1311102500,大田区,田園調布本町,,田園調布本町,168,113,36,10,5,3,1,-,-,-,-,-
3,1311102600,大田区,田園調布,,田園調布,648,424,124,64,9,15,7,3,-,-,-,2
4,1311102601,大田区,田園調布,田園調布１丁目,田園調布１丁目,195,129,39,16,2,5,3,1,-,-,-,-
4,1311102602,大田区,田園調布,田園調布２丁目,田園調布２丁目,246,147,53,29,5,7,1,2,-,-,-,2
4,1311102603,大田区,田園調布,田園調布３丁目,田園調布３丁目,89,55,13,14,2,3,2,-,-,-,-,-
4,1311102604,大田区,田園調布,田園調布４丁目,田園調布４丁目,41,31,7,3,-,-,-,-,-,-,-,-
4,1311102605,大田区,田園調布,田園調布５丁目,田園調布５丁目,77,62,12,2,-,-,1,-,-,-,-,-
3,1311102700,大田区,雪谷大塚町,,雪谷大塚町,113,62,27,13,4,3,2,-,-,1,1,-
3,1311102800,大田区,鵜の木,,鵜の木,398,268,65,32,19,8,4,1,1,-,-,-
4,1311102801,大田区,鵜の木,鵜の木１丁目,鵜の木１丁目,58,43,8,3,2,1,1,-,-,-,-,-
4,1311102802,大田区,鵜の木,鵜の木２丁目,鵜の木２丁目,230,148,47,20,8,3,2,1,1,-,-,-
4,1311102803,大田区,鵜の木,鵜の木３丁目,鵜の木３丁目,110,77,10,9,9,4,1,-,-,-,-,-
3,1311102900,大田区,千鳥,,千鳥,380,215,78,48,14,14,4,5,1,-,-,1
4,1311102901,大田区,千鳥,千鳥１丁目,千鳥１丁目,178,116,40,18,2,1,-,-,-,-,-,1
4,1311102902,大田区,千鳥,千鳥２丁目,千鳥２丁目,148,72,25,24,8,12,3,3,1,-,-,-
4,1311102903,大田区,千鳥,千鳥３丁目,千鳥３丁目,54,27,13,6,4,1,1,2,-,-,-,-
3,1311103000,大田区,南久が原,,南久が原,187,133,29,14,3,6,-,1,-,-,-,1
4,1311103001,大田区,南久が原,南久が原１丁目,南久が原１丁目,28,15,6,5,1,1,-,-,-,-,-,-
4,1311103002,大田区,南久が原,南久が原２丁目,南久が原２丁目,159,118,23,9,2,5,-,1,-,-,-,1
3,1311103100,大田区,久が原,,久が原,502,301,104,52,20,13,8,2,-,1,1,-
4,1311103101,大田区,久が原,久が原１丁目,久が原１丁目,52,30,7,9,2,3,-,1,-,-,-,-
4,1311103102,大田区,久が原,久が原２丁目,久が原２丁目,152,84,39,16,8,2,3,-,-,-,-,-
4,1311103103,大田区,久が原,久が原３丁目,久が原３丁目,132,82,29,13,4,4,-,-,-,-,-,-
4,1311103104,大田区,久が原,久が原４丁目,久が原４丁目,56,37,11,5,1,1,1,-,-,-,-,-
4,1311103105,大田区,久が原,久が原５丁目,久が原５丁目,92,54,15,8,5,3,4,1,-,1,1,-
4,1311103106,大田区,久が原,久が原６丁目,久が原６丁目,18,14,3,1,-,-,-,-,-,-,-,-
3,1311103200,大田区,南千束,,南千束,169,109,32,17,3,5,2,-,-,-,-,1
4,1311103201,大田区,南千束,南千束１丁目,南千束１丁目,68,35,16,9,2,3,2,-,-,-,-,1
4,1311103202,大田区,南千束,南千束２丁目,南千束２丁目,23,13,7,2,-,1,-,-,-,-,-,-
4,1311103203,大田区,南千束,南千束３丁目,南千束３丁目,78,61,9,6,1,1,-,-,-,-,-,-
3,1311103300,大田区,北千束,,北千束,568,357,118,44,24,10,7,4,-,1,1,2
4,1311103301,大田区,北千束,北千束１丁目,北千束１丁目,275,184,52,20,11,3,1,3,-,-,-,1
4,1311103302,大田区,北千束,北千束２丁目,北千束２丁目,130,87,23,10,5,1,2,1,-,-,1,-
4,1311103303,大田区,北千束,北千束３丁目,北千束３丁目,163,86,43,14,8,6,4,-,-,1,-,1
3,1311103400,大田区,石川町,,石川町,75,45,16,10,2,1,1,-,-,-,-,-
4,1311103401,大田区,石川町,石川町１丁目,石川町１丁目,26,22,2,2,-,-,-,-,-,-,-,-
4,1311103402,大田区,石川町,石川町２丁目,石川町２丁目,49,23,14,8,2,1,1,-,-,-,-,-
3,1311103500,大田区,仲池上,,仲池上,298,140,64,46,25,12,4,3,1,1,1,1
4,1311103501,大田区,仲池上,仲池上１丁目,仲池上１丁目,141,64,29,26,11,6,2,1,1,-,1,-
4,1311103502,大田区,仲池上,仲池上２丁目,仲池上２丁目,157,76,35,20,14,6,2,2,-,1,-,1
3,1311103600,大田区,東雪谷,,東雪谷,460,318,79,43,10,3,4,1,-,-,1,1
4,1311103601,大田区,東雪谷,東雪谷１丁目,東雪谷１丁目,64,42,13,7,2,-,-,-,-,-,-,-
4,1311103602,大田区,東雪谷,東雪谷２丁目,東雪谷２丁目,174,110,36,21,4,1,1,1,-,-,-,-
4,1311103603,大田区,東雪谷,東雪谷３丁目,東雪谷３丁目,95,67,15,10,-,2,-,-,-,-,-,1
4,1311103604,大田区,東雪谷,東雪谷４丁目,東雪谷４丁目,52,41,2,4,2,-,2,-,-,-,1,-
4,1311103605,大田区,東雪谷,東雪谷５丁目,東雪谷５丁目,75,58,13,1,2,-,1,-,-,-,-,-
3,1311103700,大田区,南雪谷,,南雪谷,359,215,71,47,15,6,3,-,1,-,-,1
4,1311103701,大田区,南雪谷,南雪谷１丁目,南雪谷１丁目,46,28,6,9,2,1,-,-,-,-,-,-
4,1311103702,大田区,南雪谷,南雪谷２丁目,南雪谷２丁目,217,127,45,29,8,3,3,-,1,-,-,1
4,1311103703,大田区,南雪谷,南雪谷３丁目,南雪谷３丁目,35,23,5,4,3,-,-,-,-,-,-,-
4,1311103704,大田区,南雪谷,南雪谷４丁目,南雪谷４丁目,25,16,5,4,-,-,-,-,-,-,-,-
4,1311103705,大田区,南雪谷,南雪谷５丁目,南雪谷５丁目,36,21,10,1,2,2,-,-,-,-,-,-
3,1311103800,大田区,上池台,,上池台,784,513,152,70,24,16,5,2,1,-,-,1
4,1311103801,大田区,上池台,上池台１丁目,上池台１丁目,294,195,54,31,8,3,2,-,-,-,-,1
4,1311103802,大田区,上池台,上池台２丁目,上池台２丁目,141,93,31,13,2,2,-,-,-,-,-,-
4,1311103803,大田区,上池台,上池台３丁目,上池台３丁目,135,95,24,11,3,-,2,-,-,-,-,-
4,1311103804,大田区,上池台,上池台４丁目,上池台４丁目,61,39,11,5,-,4,-,1,1,-,-,-
4,1311103805,大田区,上池台,上池台５丁目,上池台５丁目,153,91,32,10,11,7,1,1,-,-,-,-
3,1311103900,大田区,東糀谷,,東糀谷,648,325,137,88,31,29,17,11,5,2,-,3
4,1311103901,大田区,東糀谷,東糀谷１丁目,東糀谷１丁目,127,69,26,17,7,3,1,2,1,-,-,1
4,1311103902,大田区,東糀谷,東糀谷２丁目,東糀谷２丁目,74,42,11,13,1,2,4,1,-,-,-,-
4,1311103903,大田区,東糀谷,東糀谷３丁目,東糀谷３丁目,132,71,33,16,6,1,2,2,-,-,-,1
4,1311103904,大田区,東糀谷,東糀谷４丁目,東糀谷４丁目,102,51,9,20,4,9,5,2,1,-,-,1
4,1311103905,大田区,東糀谷,東糀谷５丁目,東糀谷５丁目,158,80,43,13,10,9,2,1,-,-,-,-
4,1311103906,大田区,東糀谷,東糀谷６丁目,東糀谷６丁目,55,12,15,9,3,5,3,3,3,2,-,-
3,1311104000,大田区,西糀谷,,西糀谷,852,554,168,74,28,16,8,3,-,-,-,1
4,1311104001,大田区,西糀谷,西糀谷１丁目,西糀谷１丁目,161,110,33,9,5,3,-,1,-,-,-,-
4,1311104002,大田区,西糀谷,西糀谷２丁目,西糀谷２丁目,176,115,33,14,6,4,3,1,-,-,-,-
4,1311104003,大田区,西糀谷,西糀谷３丁目,西糀谷３丁目,281,170,55,33,11,6,4,1,-,-,-,1
4,1311104004,大田区,西糀谷,西糀谷４丁目,西糀谷４丁目,234,159,47,18,6,3,1,-,-,-,-,-
3,1311104100,大田区,北糀谷,,北糀谷,196,126,29,26,4,8,2,-,-,-,-,1
4,1311104101,大田区,北糀谷,北糀谷１丁目,北糀谷１丁目,125,77,20,20,2,5,1,-,-,-,-,-
4,1311104102,大田区,北糀谷,北糀谷２丁目,北糀谷２丁目,71,49,9,6,2,3,1,-,-,-,-,1
3,1311104200,大田区,羽田旭町,,羽田旭町,103,26,20,24,8,8,4,4,2,3,3,1
3,1311104300,大田区,羽田,,羽田,546,336,113,50,16,16,10,3,2,-,-,-
4,1311104301,大田区,羽田,羽田１丁目,羽田１丁目,131,69,24,20,3,9,3,2,1,-,-,-
4,1311104302,大田区,羽田,羽田２丁目,羽田２丁目,78,59,12,3,2,-,2,-,-,-,-,-
4,1311104303,大田区,羽田,羽田３丁目,羽田３丁目,66,48,11,5,-,1,-,1,-,-,-,-
4,1311104304,大田区,羽田,羽田４丁目,羽田４丁目,124,70,31,13,3,3,3,-,1,-,-,-
4,1311104305,大田区,羽田,羽田５丁目,羽田５丁目,98,60,22,5,7,3,1,-,-,-,-,-
4,1311104306,大田区,羽田,羽田６丁目,羽田６丁目,49,30,13,4,1,-,1,-,-,-,-,-
3,1311104400,大田区,本羽田,,本羽田,381,239,78,30,12,11,6,5,-,-,-,-
4,1311104401,大田区,本羽田,本羽田１丁目,本羽田１丁目,156,106,28,10,4,5,2,1,-,-,-,-
4,1311104402,大田区,本羽田,本羽田２丁目,本羽田２丁目,142,87,31,13,4,1,3,3,-,-,-,-
4,1311104403,大田区,本羽田,本羽田３丁目,本羽田３丁目,83,46,19,7,4,5,1,1,-,-,-,-
3,1311104500,大田区,羽田空港,,羽田空港,603,136,112,119,56,52,43,27,12,11,16,19
4,1311104501,大田区,羽田空港,羽田空港１丁目,羽田空港１丁目,63,11,12,8,7,7,6,7,1,1,-,3
4,1311104502,大田区,羽田空港,羽田空港２丁目,羽田空港２丁目,156,51,30,25,16,15,9,2,1,2,-,5
4,1311104503,大田区,羽田空港,羽田空港３丁目,羽田空港３丁目,384,74,70,86,33,30,28,18,10,8,16,11
3,1311104600,大田区,萩中,,萩中,405,245,74,52,17,11,4,-,-,-,-,2
4,1311104601,大田区,萩中,萩中１丁目,萩中１丁目,118,80,21,8,3,5,-,-,-,-,-,1
4,1311104602,大田区,萩中,萩中２丁目,萩中２丁目,154,93,28,21,7,3,1,-,-,-,-,1
4,1311104603,大田区,萩中,萩中３丁目,萩中３丁目,133,72,25,23,7,3,3,-,-,-,-,-
3,1311104700,大田区,東六郷,,東六郷,357,230,55,33,18,11,3,7,-,-,-,-
4,1311104701,大田区,東六郷,東六郷１丁目,東六郷１丁目,115,72,13,13,7,6,-,4,-,-,-,-
4,1311104702,大田区,東六郷,東六郷２丁目,東六郷２丁目,144,96,28,12,5,3,-,-,-,-,-,-
4,1311104703,大田区,東六郷,東六郷３丁目,東六郷３丁目,98,62,14,8,6,2,3,3,-,-,-,-
3,1311104800,大田区,西六郷,,西六郷,501,328,79,45,24,19,5,-,-,-,-,1
4,1311104801,大田区,西六郷,西六郷１丁目,西六郷１丁目,142,100,20,14,5,3,-,-,-,-,-,-
4,1311104802,大田区,西六郷,西六郷２丁目,西六郷２丁目,162,118,31,8,2,3,-,-,-,-,-,-
4,1311104803,大田区,西六郷,西六郷３丁目,西六郷３丁目,87,59,13,7,5,3,-,-,-,-,-,-
4,1311104804,大田区,西六郷,西六郷４丁目,西六郷４丁目,110,51,15,16,12,10,5,-,-,-,-,1
3,1311104900,大田区,南六郷,,南六郷,572,398,89,44,12,11,10,6,-,-,-,2
4,1311104901,大田区,南六郷,南六郷１丁目,南六郷１丁目,181,133,26,13,4,1,3,1,-,-,-,-
4,1311104902,大田区,南六郷,南六郷２丁目,南六郷２丁目,243,170,39,18,6,3,2,3,-,-,-,2
4,1311104903,大田区,南六郷,南六郷３丁目,南六郷３丁目,148,95,24,13,2,7,5,2,-,-,-,-
3,1311105000,大田区,仲六郷,,仲六郷,672,461,105,66,21,8,4,1,2,-,-,4
4,1311105001,大田区,仲六郷,仲六郷１丁目,仲六郷１丁目,137,95,14,19,6,2,1,-,-,-,-,-
4,1311105002,大田区,仲六郷,仲六郷２丁目,仲六郷２丁目,332,233,57,27,9,1,-,-,2,-,-,3
4,1311105003,大田区,仲六郷,仲六郷３丁目,仲六郷３丁目,89,62,14,6,2,2,2,1,-,-,-,-
4,1311105004,大田区,仲六郷,仲六郷４丁目,仲六郷４丁目,114,71,20,14,4,3,1,-,-,-,-,1
3,1311105100,大田区,下丸子,,下丸子,628,364,127,69,25,14,15,8,1,2,1,2
4,1311105101,大田区,下丸子,下丸子１丁目,下丸子１丁目,123,74,32,11,5,1,-,-,-,-,-,-
4,1311105102,大田区,下丸子,下丸子２丁目,下丸子２丁目,173,83,35,21,8,9,10,3,1,2,-,1
4,1311105103,大田区,下丸子,下丸子３丁目,下丸子３丁目,224,135,43,27,8,4,3,2,-,-,1,1
4,1311105104,大田区,下丸子,下丸子４丁目,下丸子４丁目,108,72,17,10,4,-,2,3,-,-,-,-
3,1311105200,大田区,矢口,,矢口,678,390,143,88,27,15,11,4,-,-,-,-
4,1311105201,大田区,矢口,矢口１丁目,矢口１丁目,269,154,65,31,6,6,7,-,-,-,-,-
4,1311105202,大田区,矢口,矢口２丁目,矢口２丁目,220,124,44,36,10,3,2,1,-,-,-,-
4,1311105203,大田区,矢口,矢口３丁目,矢口３丁目,189,112,34,21,11,6,2,3,-,-,-,-
3,1311105300,大田区,東矢口,,東矢口,338,226,67,27,9,3,5,1,-,-,-,-
4,1311105301,大田区,東矢口,東矢口１丁目,東矢口１丁目,75,53,12,7,-,1,2,-,-,-,-,-
4,1311105302,大田区,東矢口,東矢口２丁目,東矢口２丁目,129,93,22,9,4,1,-,-,-,-,-,-
4,1311105303,大田区,東矢口,東矢口３丁目,東矢口３丁目,134,80,33,11,5,1,3,1,-,-,-,-
3,1311105400,大田区,多摩川,,多摩川,515,308,92,68,20,18,6,2,1,-,-,-
4,1311105401,大田区,多摩川,多摩川１丁目,多摩川１丁目,310,186,66,39,12,6,-,1,-,-,-,-
4,1311105402,大田区,多摩川,多摩川２丁目,多摩川２丁目,205,122,26,29,8,12,6,1,1,-,-,-
3,1311105500,大田区,東蒲田,,東蒲田,262,179,44,26,6,4,1,-,2,-,-,-
4,1311105501,大田区,東蒲田,東蒲田１丁目,東蒲田１丁目,99,73,17,4,4,-,1,-,-,-,-,-
4,1311105502,大田区,東蒲田,東蒲田２丁目,東蒲田２丁目,163,106,27,22,2,4,-,-,2,-,-,-
3,1311105600,大田区,南蒲田,,南蒲田,587,334,119,68,23,21,13,6,-,1,2,-
4,1311105601,大田区,南蒲田,南蒲田１丁目,南蒲田１丁目,147,76,36,21,6,5,2,1,-,-,-,-
4,1311105602,大田区,南蒲田,南蒲田２丁目,南蒲田２丁目,269,138,51,31,15,16,11,4,-,1,2,-
4,1311105603,大田区,南蒲田,南蒲田３丁目,南蒲田３丁目,171,120,32,16,2,-,-,1,-,-,-,-
3,1311105700,大田区,西蒲田,,西蒲田,2068,1127,453,281,98,49,32,16,3,-,-,9
4,1311105701,大田区,西蒲田,西蒲田１丁目,西蒲田１丁目,77,59,11,3,3,-,1,-,-,-,-,-
4,1311105702,大田区,西蒲田,西蒲田２丁目,西蒲田２丁目,26,15,3,5,3,-,-,-,-,-,-,-
4,1311105703,大田区,西蒲田,西蒲田３丁目,西蒲田３丁目,64,46,7,8,1,2,-,-,-,-,-,-
4,1311105704,大田区,西蒲田,西蒲田４丁目,西蒲田４丁目,114,91,11,7,3,-,-,2,-,-,-,-
4,1311105705,大田区,西蒲田,西蒲田５丁目,西蒲田５丁目,206,139,33,23,4,3,1,2,1,-,-,-
4,1311105706,大田区,西蒲田,西蒲田６丁目,西蒲田６丁目,204,139,32,21,6,6,-,-,-,-,-,-
4,1311105707,大田区,西蒲田,西蒲田７丁目,西蒲田７丁目,1183,554,309,186,62,31,22,9,2,-,-,8
4,1311105708,大田区,西蒲田,西蒲田８丁目,西蒲田８丁目,194,84,47,28,16,7,8,3,-,-,-,1
3,1311105800,大田区,蒲田,,蒲田,1721,879,398,222,95,59,34,13,1,5,4,11
4,1311105801,大田区,蒲田,蒲田１丁目,蒲田１丁目,185,132,26,16,2,8,-,1,-,-,-,-
4,1311105802,大田区,蒲田,蒲田２丁目,蒲田２丁目,152,103,30,12,4,-,2,-,-,-,-,1
4,1311105803,大田区,蒲田,蒲田３丁目,蒲田３丁目,125,82,19,15,7,1,1,-,-,-,-,-
4,1311105804,大田区,蒲田,蒲田４丁目,蒲田４丁目,368,199,89,39,24,10,5,-,-,-,-,2
4,1311105805,大田区,蒲田,蒲田５丁目,蒲田５丁目,891,363,234,140,58,40,26,12,1,5,4,8
3,1311105900,大田区,蒲田本町,,蒲田本町,184,117,29,24,9,2,1,1,-,1,-,-
4,1311105901,大田区,蒲田本町,蒲田本町１丁目,蒲田本町１丁目,62,33,10,9,5,2,1,1,-,1,-,-
4,1311105902,大田区,蒲田本町,蒲田本町２丁目,蒲田本町２丁目,122,84,19,15,4,-,-,-,-,-,-,-
3,1311106000,大田区,新蒲田,,新蒲田,337,224,60,35,4,6,2,2,1,-,2,1
4,1311106001,大田区,新蒲田,新蒲田１丁目,新蒲田１丁目,101,63,19,9,1,3,1,2,1,-,1,1
4,1311106002,大田区,新蒲田,新蒲田２丁目,新蒲田２丁目,96,64,21,7,2,1,-,-,-,-,1,-
4,1311106003,大田区,新蒲田,新蒲田３丁目,新蒲田３丁目,140,97,20,19,1,2,1,-,-,-,-,-
3,1311106100,大田区,ふるさとの浜辺公園,,ふるさとの浜辺公園,-,-,-,-,-,-,-,-,-,-,-,-
2,1311200000,世田谷区,,,世田谷区,27034,15744,5517,3208,1072,731,415,164,35,30,23,95
3,1311200100,世田谷区,池尻,,池尻,618,360,127,73,23,13,15,5,-,-,2,-
4,1311200101,世田谷区,池尻,池尻１丁目,池尻１丁目,47,26,10,7,2,1,1,-,-,-,-,-
4,1311200102,世田谷区,池尻,池尻２丁目,池尻２丁目,222,145,37,19,8,6,6,1,-,-,-,-
4,1311200103,世田谷区,池尻,池尻３丁目,池尻３丁目,269,139,61,41,10,5,7,4,-,-,2,-
4,1311200104,世田谷区,池尻,池尻４丁目,池尻４丁目,80,50,19,6,3,1,1,-,-,-,-,-
3,1311200200,世田谷区,三宿,,三宿,216,149,29,16,10,6,2,2,1,1,-,-
4,1311200201,世田谷区,三宿,三宿１丁目,三宿１丁目,127,86,19,9,4,4,2,1,1,1,-,-
4,1311200202,世田谷区,三宿,三宿２丁目,三宿２丁目,89,63,10,7,6,2,-,1,-,-,-,-
3,1311200300,世田谷区,太子堂,,太子堂,947,491,229,127,30,33,21,10,-,1,3,2
4,1311200301,世田谷区,太子堂,太子堂１丁目,太子堂１丁目,142,66,35,18,4,9,6,2,-,-,1,1
4,1311200302,世田谷区,太子堂,太子堂２丁目,太子堂２丁目,250,122,72,33,10,7,4,1,-,-,-,1
4,1311200303,世田谷区,太子堂,太子堂３丁目,太子堂３丁目,89,64,16,4,2,1,2,-,-,-,-,-
