産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／常用雇用者数／総数（人）,総数／常用雇用者数／男（人）,総数／常用雇用者数／女（人）,常用雇用者規模／０人／事業所数（事業所）,常用雇用者規模／０人／常用雇用者数／総数（人）,常用雇用者規模／０人／常用雇用者数／男（人）,常用雇用者規模／０人／常用雇用者数／女（人）,常用雇用者規模／１～４人／事業所数（事業所）,常用雇用者規模／１～４人／常用雇用者数／総数（人）,常用雇用者規模／１～４人／常用雇用者数／男（人）,常用雇用者規模／１～４人／常用雇用者数／女（人）,常用雇用者規模／５～９人／事業所数（事業所）,常用雇用者規模／５～９人／常用雇用者数／総数（人）,常用雇用者規模／５～９人／常用雇用者数／男（人）,常用雇用者規模／５～９人／常用雇用者数／女（人）,常用雇用者規模／10～19人／事業所数（事業所）,常用雇用者規模／10～19人／常用雇用者数／総数（人）,常用雇用者規模／10～19人／常用雇用者数／男（人）,常用雇用者規模／10～19人／常用雇用者数／女（人）,常用雇用者規模／20～29人／事業所数（事業所）,常用雇用者規模／20～29人／常用雇用者数／総数（人）,常用雇用者規模／20～29人／常用雇用者数／男（人）,常用雇用者規模／20～29人／常用雇用者数／女（人）,常用雇用者規模／30～49人／事業所数（事業所）,常用雇用者規模／30～49人／常用雇用者数／総数（人）,常用雇用者規模／30～49人／常用雇用者数／男（人）,常用雇用者規模／30～49人／常用雇用者数／女（人）,常用雇用者規模／50～99人／事業所数（事業所）,常用雇用者規模／50～99人／常用雇用者数／総数（人）,常用雇用者規模／50～99人／常用雇用者数／男（人）,常用雇用者規模／50～99人／常用雇用者数／女（人）,常用雇用者規模／100～199人／事業所数（事業所）,常用雇用者規模／100～199人／常用雇用者数／総数（人）,常用雇用者規模／100～199人／常用雇用者数／男（人）,常用雇用者規模／100～199人／常用雇用者数／女（人）,常用雇用者規模／200～299人／事業所数（事業所）,常用雇用者規模／200～299人／常用雇用者数／総数（人）,常用雇用者規模／200～299人／常用雇用者数／男（人）,常用雇用者規模／200～299人／常用雇用者数／女（人）,常用雇用者規模／300～499人／事業所数（事業所）,常用雇用者規模／300～499人／常用雇用者数／総数（人）,常用雇用者規模／300～499人／常用雇用者数／男（人）,常用雇用者規模／300～499人／常用雇用者数／女（人）,常用雇用者規模／500人以上／事業所数（事業所）,常用雇用者規模／500人以上／常用雇用者数／総数（人）,常用雇用者規模／500人以上／常用雇用者数／男（人）,常用雇用者規模／500人以上／常用雇用者数／女（人）
3,G,41,414,出版業,2448,41522,23100,18198,422,-,-,-,959,2137,1052,1048,385,2504,1386,1098,273,3617,1980,1604,127,3033,1722,1262,117,4488,2719,1769,83,5758,3257,2416,50,6968,3953,3015,14,3354,1876,1478,12,4512,2223,2289,6,5151,2932,2219
3,G,41,415,広告制作業,1047,11722,7131,4534,235,-,-,-,458,954,459,478,144,925,499,410,99,1377,784,569,38,925,558,367,40,1566,1023,543,17,1205,726,479,9,1231,754,477,2,489,331,158,3,1272,873,399,2,1778,1124,654
3,G,41,416,映像・音声・文字情報制作に附帯するサービス業,1326,15185,10053,5079,265,-,-,-,517,1107,612,471,248,1619,1004,586,169,2242,1519,723,38,914,583,331,38,1463,867,596,35,2567,1804,763,9,1349,920,429,3,701,487,214,1,440,302,138,3,2783,1955,828
1,H,00,000,運輸業，郵便業,15099,414900,333181,80412,4504,-,-,-,2587,5751,4042,1659,1998,13697,10799,2770,2197,30431,24787,5455,1042,24948,20444,4337,1011,38167,31486,6494,874,61120,50274,10846,518,72190,61556,10634,182,43847,37537,6086,110,41019,33687,6970,76,83730,58569,25161
2,H,42,000,鉄道業,552,47677,43034,4643,15,-,-,-,26,75,66,9,87,582,548,34,97,1384,1285,99,56,1403,1280,123,93,3446,3107,339,75,5332,4783,549,46,6974,6362,612,23,5746,5118,628,23,8209,7358,851,11,14526,13127,1399
3,H,42,420,管理，補助的経済活動を行う事業所,16,5305,4768,537,2,-,-,-,5,13,11,2,1,6,1,5,1,18,17,1,2,51,32,19,1,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-,1,320,311,9,3,4850,4349,501
3,H,42,421,鉄道業,536,42372,38266,4106,13,-,-,-,21,62,55,7,86,576,547,29,96,1366,1268,98,54,1352,1248,104,92,3399,3060,339,75,5332,4783,549,46,6974,6362,612,23,5746,5118,628,22,7889,7047,842,8,9676,8778,898
2,H,43,000,道路旅客運送業,4704,90358,85064,5040,3717,-,-,-,205,416,237,173,98,646,479,153,79,1109,925,174,32,753,643,110,66,2567,2329,238,144,10784,10073,711,229,33168,31508,1660,93,22040,20840,976,29,10692,10033,659,12,8183,7997,186
3,H,43,430,管理，補助的経済活動を行う事業所,14,415,369,46,1,-,-,-,3,10,7,3,3,21,20,1,3,50,44,6,1,23,23,-,-,-,-,-,1,85,85,-,2,226,190,36,-,-,-,-,-,-,-,-,-,-,-,-
3,H,43,431,一般乗合旅客自動車運送業,147,14546,13524,1022,4,-,-,-,20,56,25,31,11,67,30,37,15,214,174,40,4,95,60,35,12,464,438,26,21,1607,1501,106,37,5964,5628,336,19,4627,4465,162,4,1452,1203,249,-,-,-,-
3,H,43,432,一般乗用旅客自動車運送業,4320,70179,67034,2913,3706,-,-,-,130,214,100,111,24,153,93,55,22,304,241,63,8,195,182,13,36,1434,1313,121,104,7831,7470,361,181,25739,24868,871,72,16886,15940,722,25,9240,8830,410,12,8183,7997,186
3,H,43,433,一般貸切旅客自動車運送業,194,4565,3602,941,4,-,-,-,47,124,98,23,54,364,299,56,32,434,368,56,17,388,352,36,16,590,513,77,13,899,715,184,9,1239,822,417,2,527,435,92,-,-,-,-,-,-,-,-
3,H,43,439,その他の道路旅客運送業,29,653,535,118,2,-,-,-,5,12,7,5,6,41,37,4,7,107,98,9,2,52,26,26,2,79,65,14,5,362,302,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,44,000,道路貨物運送業,6226,137881,112965,24474,507,-,-,-,1318,2812,2141,646,1136,7896,6602,1216,1435,19934,16831,2987,677,16127,13765,2292,558,21084,18287,2644,401,27449,22658,4791,132,17037,13589,3448,33,7873,5693,2180,12,4725,3662,1063,17,12944,9737,3207
3,H,44,440,管理，補助的経済活動を行う事業所,92,2041,1538,503,12,-,-,-,32,72,32,40,14,102,73,29,11,153,115,38,6,132,109,23,10,355,255,100,1,81,67,14,5,678,533,145,-,-,-,-,1,468,354,114,-,-,-,-
3,H,44,441,一般貨物自動車運送業,5245,121755,100549,20801,282,-,-,-,1045,2207,1715,472,957,6700,5662,975,1309,18169,15446,2624,618,14713,12642,2001,508,19228,16864,2211,367,25095,20882,4213,107,13640,10884,2756,25,5877,4313,1564,11,4257,3308,949,16,11869,8833,3036
3,H,44,442,特定貨物自動車運送業,168,3318,2715,602,18,-,-,-,44,105,83,21,33,218,184,34,30,411,355,56,13,319,282,37,11,434,385,49,13,838,694,144,4,494,388,106,2,499,344,155,-,-,-,-,-,-,-,-
3,H,44,443,貨物軽自動車運送業,454,2746,2128,588,188,-,-,-,141,288,193,91,63,406,314,83,31,437,351,69,13,308,241,67,10,327,269,58,3,187,153,34,4,555,431,124,1,238,176,62,-,-,-,-,-,-,-,-
3,H,44,444,集配利用運送業,254,7708,5776,1926,5,-,-,-,53,134,113,21,68,464,364,94,49,701,513,188,27,655,491,164,19,740,514,226,16,1151,795,356,11,1529,1222,307,5,1259,860,399,-,-,-,-,1,1075,904,171
3,H,44,449,その他の道路貨物運送業,13,313,259,54,2,-,-,-,3,6,5,1,1,6,5,1,5,63,51,12,-,-,-,-,-,-,-,-,1,97,67,30,1,141,131,10,-,-,-,-,-,-,-,-,-,-,-,-
2,H,45,000,水運業,359,10581,8032,2492,22,-,-,-,120,287,169,118,75,504,341,158,54,689,491,198,18,449,310,87,29,1067,796,271,23,1508,1105,403,10,1359,1086,273,4,987,864,123,-,-,-,-,4,3731,2870,861
3,H,45,450,管理，補助的経済活動を行う事業所,5,44,37,7,-,-,-,-,4,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,1,36,32,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,45,451,外航海運業,115,5644,3942,1675,5,-,-,-,20,51,28,23,27,177,106,71,21,260,171,89,9,225,141,57,10,372,235,137,13,868,584,284,5,771,561,210,2,470,410,60,-,-,-,-,3,2450,1706,744
3,H,45,452,沿海海運業,140,3798,3226,572,7,-,-,-,56,136,90,46,22,152,122,30,24,311,244,67,6,147,131,16,13,465,380,85,5,313,226,87,4,476,415,61,2,517,454,63,-,-,-,-,1,1281,1164,117
3,H,45,453,内陸水運業,50,482,309,143,5,-,-,-,18,44,23,21,16,104,75,24,5,69,35,34,2,51,21,5,2,84,51,33,2,130,104,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,45,454,船舶貸渡業,49,613,518,95,5,-,-,-,22,48,23,25,10,71,38,33,4,49,41,8,1,26,17,9,3,110,98,12,3,197,191,6,1,112,110,2,-,-,-,-,-,-,-,-,-,-,-,-
2,H,46,000,航空運輸業,172,32883,16274,16237,5,-,-,-,30,78,49,19,33,218,121,97,20,276,187,89,15,361,254,107,19,714,420,294,20,1321,797,524,10,1655,1172,483,4,1069,892,177,6,2291,1530,399,10,24900,10852,14048
3,H,46,460,管理，補助的経済活動を行う事業所,11,3881,3649,232,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,81,65,16,3,186,125,61,2,341,324,17,-,-,-,-,1,486,461,25,2,2786,2673,113
3,H,46,461,航空運送業,148,28729,12376,15981,5,-,-,-,21,52,26,16,33,218,121,97,19,257,171,86,15,361,254,107,16,596,322,274,14,943,494,449,8,1314,848,466,4,1069,892,177,5,1805,1069,374,8,22114,8179,13935
3,H,46,462,航空機使用業（航空運送業を除く）,13,273,249,24,-,-,-,-,8,25,22,3,-,-,-,-,1,19,16,3,-,-,-,-,1,37,33,4,3,192,178,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,47,000,倉庫業,967,17021,10836,6129,89,-,-,-,293,659,471,187,191,1300,934,355,178,2451,1768,661,70,1677,1234,421,63,2424,1658,766,50,3576,2228,1348,29,3849,1970,1879,3,701,325,376,1,384,248,136,-,-,-,-
3,H,47,470,管理，補助的経済活動を行う事業所,29,572,430,142,5,-,-,-,8,17,12,5,5,31,19,12,3,39,31,8,2,51,36,15,3,112,86,26,2,163,119,44,1,159,127,32,-,-,-,-,-,-,-,-,-,-,-,-
3,H,47,471,倉庫業（冷蔵倉庫業を除く）,831,14160,8645,5481,80,-,-,-,269,603,426,176,162,1101,790,300,145,1976,1403,551,58,1396,1042,354,44,1672,1079,593,44,3127,1898,1229,26,3408,1617,1791,2,493,142,351,1,384,248,136,-,-,-,-
3,H,47,472,冷蔵倉庫業,107,2289,1761,506,4,-,-,-,16,39,33,6,24,168,125,43,30,436,334,102,10,230,156,52,16,640,493,147,4,286,211,75,2,282,226,56,1,208,183,25,-,-,-,-,-,-,-,-
2,H,48,000,運輸に附帯するサービス業,2060,57913,41121,16666,145,-,-,-,592,1415,906,501,373,2515,1747,748,332,4552,3271,1240,173,4151,2940,1188,183,6865,4889,1942,160,11068,8580,2488,61,8012,5745,2267,17,4104,2823,1281,13,4975,3594,1381,11,10256,6626,3630
3,H,48,480,管理，補助的経済活動を行う事業所,54,1691,1237,454,7,-,-,-,19,43,26,17,7,44,28,16,6,70,51,19,4,96,64,32,4,140,111,29,3,196,113,83,2,223,173,50,-,-,-,-,1,342,234,108,1,537,437,100
3,H,48,481,港湾運送業,254,5907,5031,876,4,-,-,-,71,172,149,23,41,295,255,40,52,678,591,87,20,456,379,77,32,1169,990,179,25,1659,1410,249,8,1067,863,204,-,-,-,-,1,411,394,17,-,-,-,-
3,H,48,482,貨物運送取扱業（集配利用運送業を除く）,493,13215,9072,4076,40,-,-,-,133,305,201,100,77,528,378,144,86,1190,848,342,48,1168,824,321,48,1816,1307,475,30,2222,1542,680,20,2644,1760,884,7,1668,1147,521,3,1158,678,480,1,516,387,129
3,H,48,483,運送代理店,150,2993,1738,1255,12,-,-,-,53,121,60,61,24,156,84,72,26,372,227,145,11,265,138,127,7,262,118,144,13,861,484,377,2,263,153,110,1,249,158,91,1,444,316,128,-,-,-,-
3,H,48,484,こん包業,360,7181,4271,2885,35,-,-,-,97,244,136,108,81,536,326,210,51,736,435,276,31,748,435,313,31,1157,576,581,22,1459,1006,453,6,685,298,387,5,1235,814,421,1,381,245,136,-,-,-,-
3,H,48,485,運輸施設提供業,44,2667,2263,404,1,-,-,-,11,34,31,3,7,50,48,2,6,99,78,21,4,95,69,26,4,147,139,8,2,113,88,25,5,695,564,131,1,254,219,35,3,1180,1027,153,-,-,-,-
3,H,48,489,その他の運輸に附帯するサービス業,705,24259,17509,6716,46,-,-,-,208,496,303,189,136,906,628,264,105,1407,1041,350,55,1323,1031,292,57,2174,1648,526,65,4558,3937,621,18,2435,1934,501,3,698,485,213,3,1059,700,359,9,9203,5802,3401
2,H,49,000,郵便業（信書便事業を含む）,55,20567,15843,4724,1,-,-,-,3,9,3,6,5,36,27,9,1,17,17,-,1,27,18,9,-,-,-,-,1,82,50,32,1,136,124,12,5,1327,982,345,26,9743,7262,2481,11,9190,7360,1830
3,H,49,490,管理，補助的経済活動を行う事業所,1,7,5,2,-,-,-,-,-,-,-,-,1,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,49,491,郵便業（信書便事業を含む）,54,20560,15838,4722,1,-,-,-,3,9,3,6,4,29,22,7,1,17,17,-,1,27,18,9,-,-,-,-,1,82,50,32,1,136,124,12,5,1327,982,345,26,9743,7262,2481,11,9190,7360,1830
1,I,00,000,卸売業，小売業,150728,1792157,1015942,769598,28785,-,-,-,57567,127589,56089,70381,27788,183567,86031,96125,19889,271347,146970,123088,6989,164551,92909,71006,4380,163580,95051,67900,2973,205644,119128,86129,1495,207389,117988,88551,363,87146,52618,34232,241,91407,57046,34361,258,289937,192112,97825
2,I,50,000,各種商品卸売業,180,23732,16821,6903,17,-,-,-,63,144,89,55,30,199,124,67,24,317,210,107,12,284,200,84,12,457,325,132,5,334,245,89,5,750,444,306,5,1102,735,367,-,-,-,-,7,20145,14449,5696
3,I,50,500,管理，補助的経済活動を行う事業所,6,7,7,-,1,-,-,-,5,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,50,501,各種商品卸売業,174,23725,16814,6903,16,-,-,-,58,137,82,55,30,199,124,67,24,317,210,107,12,284,200,84,12,457,325,132,5,334,245,89,5,750,444,306,5,1102,735,367,-,-,-,-,7,20145,14449,5696
2,I,51,000,繊維・衣服等卸売業,6000,84746,38412,45927,834,-,-,-,2598,5898,3023,2796,1127,7466,3964,3407,691,9313,4878,4354,272,6414,3127,3235,218,8210,4135,4034,137,9341,4438,4844,72,10079,4619,5460,24,6071,2946,3125,9,3327,1165,2162,18,18627,6117,12510
3,I,51,510,管理，補助的経済活動を行う事業所,85,1280,669,611,5,-,-,-,48,104,63,41,12,83,42,41,8,107,33,74,2,43,16,27,3,108,39,69,3,173,107,66,3,398,193,205,1,264,176,88,-,-,-,-,-,-,-,-
3,I,51,511,繊維品卸売業（衣服，身の回り品を除く）,773,8728,5536,3186,129,-,-,-,354,795,465,329,136,903,555,343,90,1201,754,447,24,554,346,208,23,830,572,258,9,623,387,236,3,462,283,179,2,492,285,207,1,355,70,285,2,2513,1819,694
3,I,51,512,衣服卸売業,2668,44446,18612,25602,336,-,-,-,1170,2720,1314,1357,500,3311,1656,1600,298,3993,2000,1934,125,2940,1376,1536,103,3843,1834,1968,61,4217,1911,2306,43,5882,2494,3388,15,3871,1846,2025,5,1798,690,1108,12,11871,3491,8380
3,I,51,513,身の回り品卸売業,2474,30292,13595,16528,364,-,-,-,1026,2279,1181,1069,479,3169,1711,1423,295,4012,2091,1899,121,2877,1389,1464,89,3429,1690,1739,64,4328,2033,2236,23,3337,1649,1688,6,1444,639,805,3,1174,405,769,4,4243,807,3436
2,I,52,000,飲食料品卸売業,8742,128080,84986,42632,1142,-,-,-,3436,7646,4491,3069,1668,10997,7250,3681,1194,16153,10787,5277,453,10801,7207,3508,393,14846,9792,5014,263,18470,12379,5996,129,18253,12080,6173,27,6470,4513,1957,20,7707,4900,2807,17,16737,11587,5150
3,I,52,520,管理，補助的経済活動を行う事業所,193,2264,1501,733,27,-,-,-,101,184,108,74,26,172,117,55,20,267,154,85,2,49,34,15,7,285,167,118,5,309,223,86,3,435,349,86,2,563,349,214,-,-,-,-,-,-,-,-
3,I,52,521,農畜産物・水産物卸売業,3788,38332,27109,11108,498,-,-,-,1615,3650,2242,1390,778,5065,3553,1484,483,6456,4693,1734,167,3962,2918,1044,121,4629,3252,1337,76,5457,3781,1676,35,4696,3349,1347,10,2318,1811,507,3,987,661,326,2,1112,849,263
3,I,52,522,食料・飲料卸売業,4761,87484,56376,30791,617,-,-,-,1720,3812,2141,1605,864,5760,3580,2142,691,9430,5940,3458,284,6790,4255,2449,265,9932,6373,3559,182,12704,8375,4234,91,13122,8382,4740,15,3589,2353,1236,17,6720,4239,2481,15,15625,10738,4887
2,I,53,000,建築材料，鉱物・金属材料等卸売業,10800,161277,117006,43859,1438,-,-,-,4406,9872,5999,3792,2114,14051,9824,4104,1442,19249,13931,5260,471,11283,8254,3009,410,15352,11057,4295,274,18557,13540,5017,135,18684,13406,5148,49,12095,8912,3183,30,11213,8483,2730,31,30921,23600,7321
3,I,53,530,管理，補助的経済活動を行う事業所,194,2479,1779,700,22,-,-,-,101,219,154,65,29,185,123,62,19,268,177,91,9,217,155,62,6,221,166,55,6,420,266,154,-,-,-,-,-,-,-,-,1,370,320,50,1,579,418,161
3,I,53,531,建築材料卸売業,3381,35151,25330,9694,507,-,-,-,1419,3151,2010,1117,622,4110,2935,1098,485,6410,4701,1683,135,3284,2369,915,101,3646,2678,968,62,4017,3029,988,29,4047,2992,1055,14,3489,2414,1075,4,1279,858,421,3,1718,1344,374
3,I,53,532,化学製品卸売業,3217,59671,43292,16155,325,-,-,-,1218,2784,1626,1129,675,4538,3051,1464,441,5888,4148,1718,178,4251,3111,1120,163,6261,4431,1830,108,7360,5277,2083,61,8538,5989,2419,22,5455,4290,1165,17,6459,4876,1583,9,8137,6493,1644
3,I,53,533,石油・鉱物卸売業,648,16450,12589,3847,67,-,-,-,199,482,283,191,148,978,688,284,118,1559,1159,400,27,638,502,136,38,1449,1014,435,26,1778,1339,439,16,2143,1583,560,3,779,543,236,2,740,538,202,4,5904,4940,964
3,I,53,534,鉄鋼製品卸売業,1264,29693,21174,8507,135,-,-,-,498,1146,700,439,268,1765,1255,505,169,2320,1658,662,59,1386,967,419,52,1956,1415,541,47,3288,2417,871,15,2049,1522,527,7,1694,1225,469,2,809,721,88,12,13280,9294,3986
3,I,53,535,非鉄金属卸売業,966,11932,8237,3683,138,-,-,-,452,1003,561,440,168,1104,722,382,99,1317,886,421,40,972,697,275,31,1125,781,344,16,1149,722,427,13,1725,1147,578,3,678,440,238,4,1556,1170,386,2,1303,1111,192
3,I,53,536,再生資源卸売業,1130,5901,4605,1273,244,-,-,-,519,1087,665,411,204,1371,1050,309,111,1487,1202,285,23,535,453,82,19,694,572,122,9,545,490,55,1,182,173,9,-,-,-,-,-,-,-,-,-,-,-,-
2,I,54,000,機械器具卸売業,14185,345459,263486,80587,1511,-,-,-,4995,11422,7301,3940,2845,18910,13806,4948,2109,28682,21453,7054,875,20861,15710,5062,748,28108,21349,6553,564,39287,29573,9597,304,42030,31779,10085,80,19185,14605,4284,67,25655,20366,5289,87,111319,87544,23775
3,I,54,540,管理，補助的経済活動を行う事業所,294,6708,4965,1742,31,-,-,-,112,240,167,72,54,353,256,97,43,593,433,160,19,459,334,125,16,646,431,215,11,850,603,247,3,361,276,85,-,-,-,-,1,451,303,148,4,2755,2162,593
3,I,54,541,産業機械器具卸売業,4765,94721,73635,20868,540,-,-,-,1802,4110,2593,1453,907,5982,4375,1573,712,9619,7427,2143,250,5900,4604,1272,249,9348,7444,1857,158,10890,8597,2293,77,10665,8224,2441,29,6898,5277,1621,16,6089,4961,1128,25,25220,20133,5087
3,I,54,542,自動車卸売業,1523,25487,20302,5138,203,-,-,-,579,1295,906,384,319,2109,1676,423,207,2779,2204,575,75,1754,1350,404,61,2286,1747,507,46,3332,2587,745,21,2883,2343,540,5,1323,909,414,3,1088,852,236,4,6638,5728,910
3,I,54,543,電気機械器具卸売業,5055,163152,123455,38681,473,-,-,-,1636,3751,2417,1259,1097,7325,5285,1973,749,10273,7532,2638,338,8182,6089,2028,258,9709,7121,2461,242,16921,12539,4265,146,20312,15305,4841,34,8306,6421,1589,38,14783,11775,3008,44,63590,48971,14619
3,I,54,549,その他の機械器具卸売業,2548,55391,41129,14158,264,-,-,-,866,2026,1218,772,468,3141,2214,882,398,5418,3857,1538,193,4566,3333,1233,164,6119,4606,1513,107,7294,5247,2047,57,7809,5631,2178,12,2658,1998,660,9,3244,2475,769,10,13116,10550,2566
2,I,55,000,その他の卸売業,14090,233260,143806,88546,2134,-,-,-,5708,12671,6813,5704,2462,16189,9788,6197,1704,23017,14564,8290,714,16958,11036,5899,547,20824,12840,7870,446,30999,19836,11163,226,31391,19207,11934,57,13120,8137,4983,40,15153,9814,5339,52,52938,31771,21167
3,I,55,550,管理，補助的経済活動を行う事業所,217,5803,3704,2099,29,-,-,-,80,182,137,45,24,148,98,50,25,329,219,110,22,503,367,136,12,461,294,167,13,900,476,424,6,934,538,396,2,479,313,166,3,1115,686,429,1,752,576,176
3,I,55,551,家具・建具・じゅう器等卸売業,1958,24384,15372,8920,287,-,-,-,768,1684,975,689,385,2522,1627,854,254,3387,2192,1164,97,2286,1433,853,75,2896,1793,1103,52,3342,2074,1268,26,3743,2456,1287,8,1866,1137,729,4,1393,1066,327,2,1265,619,646
3,I,55,552,医薬品・化粧品等卸売業,2589,78032,43539,34069,302,-,-,-,822,1840,844,964,447,2961,1623,1277,376,5189,3211,1955,210,4958,3183,1752,171,6552,3941,2576,140,10029,6410,3619,63,8752,4659,3843,18,4071,2307,1764,12,4584,2435,2149,28,29096,14926,14170
3,I,55,553,紙・紙製品卸売業,1400,24769,17274,7433,189,-,-,-,585,1304,776,519,262,1729,1147,573,164,2220,1515,705,60,1429,963,466,46,1693,1081,568,48,3278,2166,1112,32,4544,3145,1399,4,1013,689,324,6,2272,1697,575,4,5287,4095,1192
3,I,55,559,他に分類されない卸売業,7926,100272,63917,36025,1327,-,-,-,3453,7661,4081,3487,1344,8829,5293,3443,885,11892,7427,4356,325,7782,5090,2692,243,9222,5731,3456,193,13450,8710,4740,99,13418,8409,5009,25,5691,3691,2000,15,5789,3930,1859,17,16538,11555,4983
2,I,56,000,各種商品小売業,275,45811,18199,27612,9,-,-,-,28,64,19,45,33,219,61,158,35,476,163,313,9,205,95,110,23,844,327,517,25,1900,914,986,45,6397,2589,3808,21,5143,1824,3319,26,9676,3653,6023,21,20887,8554,12333
3,I,56,560,管理，補助的経済活動を行う事業所,23,1224,758,466,1,-,-,-,9,10,9,1,2,13,8,5,5,69,41,28,1,20,16,4,1,30,21,9,-,-,-,-,2,317,162,155,-,-,-,-,2,765,501,264,-,-,-,-
3,I,56,561,百貨店，総合スーパー,134,42921,16871,26050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,1900,914,986,43,6080,2427,3653,21,5143,1824,3319,24,8911,3152,5759,21,20887,8554,12333
3,I,56,569,その他の各種商品小売業（従業者が常時50人未満のもの）,118,1666,570,1096,8,-,-,-,19,54,10,44,31,206,53,153,30,407,122,285,8,185,79,106,22,814,306,508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,57,000,織物・衣服・身の回り品小売業,17438,109186,31042,77476,3968,-,-,-,7260,17733,3995,13627,4137,26437,5450,20757,1282,16625,4608,11886,303,7205,2298,4862,234,8837,2766,6036,153,10473,3398,6959,63,8961,3446,5515,18,4350,1583,2767,15,5564,2181,3383,5,3001,1317,1684
3,I,57,570,管理，補助的経済活動を行う事業所,238,10087,4931,5156,38,-,-,-,69,152,58,94,25,169,58,111,29,391,140,251,19,444,228,216,23,885,431,454,9,639,391,248,12,1724,856,868,4,986,410,576,6,2336,1192,1144,4,2361,1167,1194
3,I,57,571,呉服・服地・寝具小売業,1347,3868,985,2873,523,-,-,-,550,1042,292,750,192,1211,301,910,66,856,194,652,5,122,38,84,6,249,53,196,4,258,99,159,1,130,8,122,-,-,-,-,-,-,-,-,-,-,-,-
3,I,57,572,男子服小売業,2257,13682,6936,6674,447,-,-,-,869,2113,1266,820,609,4005,2011,1969,234,2986,1538,1428,47,1111,568,543,34,1270,637,633,8,575,264,311,6,751,384,367,2,503,255,248,1,368,13,355,-,-,-,-
3,I,57,573,婦人・子供服小売業,7564,48995,10131,38535,1713,-,-,-,3210,7893,880,6963,1812,11558,1117,10347,464,5960,1084,4822,111,2677,764,1868,104,3969,1054,2880,98,6777,2057,4669,35,5126,1682,3444,11,2647,797,1850,5,1748,546,1202,1,640,150,490
3,I,57,574,靴・履物小売業,1482,6525,2695,3755,342,-,-,-,610,1498,575,907,386,2483,846,1589,116,1480,689,780,15,349,184,165,9,327,172,155,3,212,113,99,1,176,116,60,-,-,-,-,-,-,-,-,-,-,-,-
3,I,57,579,その他の織物・衣服・身の回り品小売業,4550,26029,5364,20483,905,-,-,-,1952,5035,924,4093,1113,7011,1117,5831,373,4952,963,3953,106,2502,516,1986,58,2137,419,1718,31,2012,474,1473,8,1054,400,654,1,214,121,93,3,1112,430,682,-,-,-,-
2,I,58,000,飲食料品小売業,29884,327171,137060,188884,5942,-,-,-,9107,18813,5972,12743,4539,31190,11208,19767,6068,84938,39384,45191,2285,52754,23769,28781,892,32868,14237,18588,669,46492,18769,27723,333,44958,16308,28346,39,9263,4098,5165,6,2261,962,1299,4,3634,2353,1281
3,I,58,580,管理，補助的経済活動を行う事業所,281,6335,3747,2588,66,-,-,-,74,158,84,74,40,267,133,134,40,557,301,256,13,329,180,149,19,757,447,310,13,888,548,340,10,1299,805,494,4,1031,618,413,-,-,-,-,2,1049,631,418
3,I,58,581,各種食料品小売業,2390,107178,42876,63998,98,-,-,-,220,469,170,299,546,3959,1508,2451,239,3569,1485,2084,189,4638,2152,2486,279,10827,4886,5941,510,36196,14646,21550,277,37683,13384,23995,28,6555,2693,3862,2,697,230,467,2,2585,1722,863
3,I,58,582,野菜・果実小売業,1786,6131,2469,3629,556,-,-,-,844,1601,632,943,214,1442,606,829,121,1549,601,948,35,818,314,504,11,398,159,239,5,323,157,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,58,583,食肉小売業,1101,5383,2286,3087,278,-,-,-,493,955,395,560,190,1250,585,665,88,1173,465,698,33,770,303,467,13,489,141,348,4,297,149,148,1,196,70,126,1,253,178,75,-,-,-,-,-,-,-,-
3,I,58,584,鮮魚小売業,827,3643,1907,1703,224,-,-,-,402,787,360,427,98,658,381,264,68,940,500,440,12,271,148,103,17,598,302,296,6,389,216,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,58,585,酒小売業,2154,6314,3904,2398,774,-,-,-,980,1690,737,946,183,1209,740,464,176,2343,1707,636,32,731,455,276,7,237,183,54,2,104,82,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
