地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,総数／従業者数（人）,開設時期／昭和59年以前／事業所数（事業所）,開設時期／昭和59年以前／従業者数（人）,開設時期／昭和60年～平成６年／事業所数（事業所）,開設時期／昭和60年～平成６年／従業者数（人）,開設時期／平成７年～平成16年／事業所数（事業所）,開設時期／平成７年～平成16年／従業者数（人）,開設時期／平成17年／事業所数（事業所）,開設時期／平成17年／従業者数（人）,開設時期／平成18年／事業所数（事業所）,開設時期／平成18年／従業者数（人）,開設時期／平成19年／事業所数（事業所）,開設時期／平成19年／従業者数（人）,開設時期／平成20年／事業所数（事業所）,開設時期／平成20年／従業者数（人）,開設時期／平成21年／事業所数（事業所）,開設時期／平成21年／従業者数（人）,開設時期／平成22年／事業所数（事業所）,開設時期／平成22年／従業者数（人）,開設時期／平成23年／事業所数（事業所）,開設時期／平成23年／従業者数（人）,開設時期／平成24年／事業所数（事業所）,開設時期／平成24年／従業者数（人）,開設時期／平成25年／事業所数（事業所）,開設時期／平成25年／従業者数（人）,開設時期／平成26年／事業所数（事業所）,開設時期／平成26年／従業者数（人）,開設時期／平成27年／事業所数（事業所）,開設時期／平成27年／従業者数（人）,開設時期／平成28年／事業所数（事業所）,開設時期／平成28年／従業者数（人）,開設時期／不詳／事業所数（事業所）,開設時期／不詳／従業者数（人）
4,1310100906,千代田区,麹町,麹町６丁目,麹町６丁目,47,441,10,58,5,87,13,110,1,39,1,6,1,7,2,21,1,4,2,19,4,30,1,-,2,15,2,33,-,-,-,-,2,12
3,1310101000,千代田区,紀尾井町,,紀尾井町,355,13826,94,7364,43,746,70,2053,15,605,10,97,11,82,9,157,6,47,11,268,17,725,7,262,11,213,11,485,9,166,14,347,17,209
3,1310101100,千代田区,一番町,,一番町,341,7107,72,1711,37,602,84,2221,10,48,7,65,5,33,14,172,9,254,13,97,17,107,16,567,17,365,6,220,4,190,3,120,27,335
3,1310101200,千代田区,二番町,,二番町,323,23381,58,4121,35,770,85,11587,13,667,9,1508,6,274,11,132,5,2030,19,166,17,213,16,1126,18,133,13,202,10,49,-,-,8,403
3,1310101300,千代田区,三番町,,三番町,282,10707,64,2903,32,485,67,1100,7,173,12,466,6,39,7,357,14,279,13,205,12,652,2,94,9,1157,7,1719,1,17,19,888,10,173
3,1310101400,千代田区,四番町,,四番町,110,3862,36,1228,9,355,21,992,2,30,10,221,4,81,3,25,2,106,3,160,4,29,9,605,2,11,2,10,1,1,-,-,2,8
3,1310101500,千代田区,五番町,,五番町,231,7831,50,2823,37,799,59,1261,4,34,8,46,4,12,7,182,9,468,4,61,6,724,11,757,12,345,5,46,1,22,2,11,12,240
3,1310101600,千代田区,六番町,,六番町,245,4448,49,1024,27,198,70,2108,9,104,7,403,6,28,13,105,4,6,7,61,15,98,9,115,10,74,9,96,3,9,-,-,7,19
3,1310101700,千代田区,皇居外苑,,皇居外苑,4,113,2,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-
3,1310101800,千代田区,日比谷公園,,日比谷公園,39,681,12,198,1,2,10,54,2,13,3,27,-,-,1,107,-,-,1,4,3,60,1,4,-,-,-,-,1,200,2,9,2,3
3,1310101900,千代田区,千代田,,千代田,9,43,4,24,-,-,1,4,-,-,-,-,1,4,1,2,-,-,-,-,-,-,1,7,-,-,-,-,1,2,-,-,-,-
3,1310102000,千代田区,北の丸公園,,北の丸公園,18,581,8,309,1,5,5,219,-,-,-,-,-,-,-,-,3,18,-,-,-,-,-,-,1,30,-,-,-,-,-,-,-,-
3,1310102100,千代田区,九段南,,九段南,780,18495,165,4239,111,2834,181,4464,32,273,24,319,27,2135,22,290,31,444,28,397,34,519,30,838,17,310,24,375,16,442,5,101,33,515
4,1310102101,千代田区,九段南,九段南１丁目,九段南１丁目,90,3368,15,654,5,80,18,1377,2,29,1,5,6,128,3,107,5,49,5,169,4,40,5,92,2,14,5,92,6,385,-,-,8,147
4,1310102102,千代田区,九段南,九段南２丁目,九段南２丁目,152,6008,32,929,23,2165,44,1141,10,103,7,114,2,199,4,58,4,238,4,140,4,209,5,356,3,165,6,99,1,3,1,82,2,7
4,1310102103,千代田区,九段南,九段南３丁目,九段南３丁目,243,3722,41,278,38,250,69,938,12,82,14,186,9,1372,7,38,9,52,9,29,7,44,6,27,4,44,7,124,1,5,1,8,9,245
4,1310102104,千代田区,九段南,九段南４丁目,九段南４丁目,295,5397,77,2378,45,339,50,1008,8,59,2,14,10,436,8,87,13,105,10,59,19,226,14,363,8,87,6,60,8,49,3,11,14,116
3,1310102200,千代田区,九段北,,九段北,871,21091,204,8830,127,2018,217,3239,33,1006,42,685,29,477,17,435,21,241,28,250,32,968,29,366,26,706,12,545,16,348,8,293,30,684
4,1310102201,千代田区,九段北,九段北１丁目,九段北１丁目,496,10533,94,5605,81,1065,129,1842,17,143,24,358,18,131,10,90,14,95,19,190,23,302,18,85,17,218,7,68,7,130,1,5,17,206
4,1310102202,千代田区,九段北,九段北２丁目,九段北２丁目,17,291,10,224,1,11,2,9,-,-,-,-,-,-,-,-,-,-,1,7,-,-,2,28,-,-,-,-,-,-,1,12,-,-
4,1310102203,千代田区,九段北,九段北３丁目,九段北３丁目,56,1625,14,672,4,144,8,113,2,96,-,-,2,40,4,221,1,3,4,24,1,1,5,46,5,81,3,52,2,128,-,-,1,4
4,1310102204,千代田区,九段北,九段北４丁目,九段北４丁目,302,8642,86,2329,41,798,78,1275,14,767,18,327,9,306,3,124,6,143,4,29,8,665,4,207,4,407,2,425,7,90,6,276,12,474
3,1310102300,千代田区,富士見,,富士見,451,17198,110,4981,53,1135,110,3766,15,345,19,316,10,173,5,75,17,165,21,1140,13,503,20,218,7,190,24,2652,11,1021,4,39,12,479
4,1310102301,千代田区,富士見,富士見１丁目,富士見１丁目,177,2781,54,1090,23,143,49,1169,8,21,8,32,3,26,-,-,5,17,8,89,3,18,8,26,3,130,-,-,-,-,-,-,5,20
4,1310102302,千代田区,富士見,富士見２丁目,富士見２丁目,274,14417,56,3891,30,992,61,2597,7,324,11,284,7,147,5,75,12,148,13,1051,10,485,12,192,4,60,24,2652,11,1021,4,39,7,459
3,1310102400,千代田区,飯田橋,,飯田橋,1059,31580,247,10879,146,1959,276,12768,48,1148,30,307,34,349,38,487,28,251,36,408,35,664,30,346,24,570,19,268,27,627,4,207,37,342
4,1310102401,千代田区,飯田橋,飯田橋１丁目,飯田橋１丁目,290,3573,69,1357,39,207,73,775,8,103,11,104,10,97,15,81,4,50,14,100,9,283,3,18,10,69,6,82,10,193,-,-,9,54
4,1310102402,千代田区,飯田橋,飯田橋２丁目,飯田橋２丁目,207,8261,51,4338,27,298,60,2901,8,22,7,60,11,98,5,13,4,33,6,40,7,40,7,48,2,7,4,121,1,7,1,179,6,56
4,1310102403,千代田区,飯田橋,飯田橋３丁目,飯田橋３丁目,296,15477,63,3649,38,931,78,8148,21,794,5,27,12,149,13,316,8,56,7,140,8,167,13,231,8,433,4,25,7,299,2,7,9,105
4,1310102404,千代田区,飯田橋,飯田橋４丁目,飯田橋４丁目,266,4269,64,1535,42,523,65,944,11,229,7,116,1,5,5,77,12,112,9,128,11,174,7,49,4,61,5,40,9,128,1,21,13,127
3,1310102500,千代田区,一ツ橋,,一ツ橋,225,11754,61,6912,16,466,39,2008,12,303,6,176,6,43,3,19,8,89,20,337,12,241,7,150,3,70,6,98,6,292,6,316,14,234
4,1310102501,千代田区,一ツ橋,一ツ橋１丁目,一ツ橋１丁目,115,6300,31,4093,7,46,18,842,7,217,2,32,3,11,2,16,4,77,18,251,9,189,3,47,1,9,1,14,3,257,4,176,2,23
4,1310102502,千代田区,一ツ橋,一ツ橋２丁目,一ツ橋２丁目,110,5454,30,2819,9,420,21,1166,5,86,4,144,3,32,1,3,4,12,2,86,3,52,4,103,2,61,5,84,3,35,2,140,12,211
3,1310102600,千代田区,神田神保町,,神田神保町,1793,27185,494,6582,191,2170,430,4387,65,1535,59,580,45,396,65,2632,52,602,45,492,92,1795,68,1082,46,2222,36,1445,24,549,24,293,57,423
4,1310102601,千代田区,神田神保町,神田神保町１丁目,神田神保町１丁目,853,11630,249,2933,85,1202,208,1921,28,630,33,221,16,118,31,1456,21,307,23,168,34,512,34,431,17,139,19,929,15,301,12,73,28,289
