,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,"原宿・
表参道・
青山",渋谷,"六本木・
赤坂","新宿・
大久保","恵比寿・
代官山",池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,"お台場・
東京湾","吉祥寺・
三鷹",立川,"八王子・
高尾山","青梅・
御岳山",奥多摩,"伊豆諸島・
小笠原諸島",その他
美術館・博物館の探索,0.9,0.1,0.3,0.2,0.8,0.4,11.5,0.6,3.6,0.4,17.0,0.4,3.7,1.4,0.9,0.0,2.7,36.1,4.6,0.0,8.7,0.0,3.8,0.0
水辺などの探索,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,3.0,0.7,0.7,0.0,36.6,2.1,0.0,0.0,0.0,2.5,0.0,0.0
自然を感じる,1.3,0.1,0.1,0.2,2.7,0.3,0.4,1.4,0.6,0.0,10.0,0.5,0.0,0.0,1.0,0.0,3.0,15.3,38.9,51.6,67.6,66.1,65.7,3.6
テーマパーク、レジャー施設で遊ぶ,0.6,0.2,0.1,0.0,5.1,0.1,1.7,0.1,0.0,0.9,11.0,0.1,0.0,0.4,4.2,0.0,5.1,2.6,0.0,1.2,0.0,3.8,0.0,0.0
室内型アミューズメント施設で遊ぶ,0.3,3.0,0.2,0.0,0.2,0.7,0.0,0.8,0.3,2.6,0.3,0.2,1.3,0.0,0.0,0.0,1.4,0.3,0.0,3.8,0.0,0.0,0.0,0.0
スポーツをする・観戦する,0.8,0.3,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,2.5,0.0,0.0,0.0,0.6
スパ・エステ,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.5,3.4,0.0,1.7,0.0,0.0,3.7,0.0,0.0,0.7,1.5,0.0,3.2,8.4
宿泊施設での滞在を楽しむ,7.3,1.2,3.4,0.5,0.9,1.8,10.3,9.8,6.6,17.4,9.1,4.3,7.1,8.1,33.1,26.8,3.1,1.6,0.0,7.2,4.4,0.0,3.2,8.5
ナイトライフを楽しむ,0.1,0.1,0.8,0.0,0.4,3.4,13.6,4.8,0.4,1.3,0.0,0.2,0.0,3.2,2.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
夜景・ライトアップを楽しむ,1.9,0.0,0.6,0.0,0.3,0.9,11.0,1.7,6.5,0.5,1.0,0.7,4.5,12.6,1.4,0.0,5.6,0.0,0.0,0.0,0.0,9.2,1.5,0.0
その他,5.1,1.3,1.2,0.0,0.6,1.4,4.4,2.8,2.1,3.9,2.0,0.2,3.6,4.6,12.6,6.6,5.3,3.1,6.5,7.4,0.0,13.4,0.0,28.4
無回答,3.2,1.3,1.7,0.9,2.3,2.1,2.2,1.5,1.3,0.9,1.9,1.0,2.8,3.5,1.5,0.0,1.1,2.1,1.6,1.3,11.1,0.0,6.1,11.3
合計,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
標本数,560,"1,156","1,349",309,823,"1,197",401,"1,412",110,338,722,"1,247",109,108,129,8,841,144,28,64,22,15,35,93
