,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,"原宿・
表参道・
青山",渋谷,"六本木・
赤坂","新宿・
大久保","恵比寿・
代官山",池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,"お台場・
東京湾","吉祥寺・
三鷹","八王子・
高尾山","青梅・
御岳山",奥多摩,"伊豆諸島・
小笠原諸島",その他
高層ビル、近代的な街並み・景観・建築物の探索,23.8,8.3,8.3,1.1,10.8,16.5,22.3,12.2,20.5,7.1,4.8,3.5,52.3,29.5,6.5,0.0,6.8,4.2,0.6,0.0,0.0,4.9,5.5
美術館・博物館の探索,0.6,0.0,0.2,0.0,1.1,0.2,7.3,0.1,4.1,0.1,14.9,9.7,10.6,0.0,0.7,0.0,0.8,30.9,0.0,5.1,0.0,2.4,1.2
自然を感じる,1.4,0.0,0.0,0.1,1.2,0.1,0.3,0.9,2.1,0.6,12.7,1.1,0.7,2.7,0.8,0.0,2.2,10.9,61.0,64.7,83.4,70.1,8.6
テーマパーク、レジャー施設で遊ぶ,0.0,0.3,0.1,0.0,0.0,0.1,0.8,0.0,0.0,0.3,8.8,0.2,0.9,0.0,2.6,0.0,6.2,1.3,8.2,0.0,0.0,0.0,4.5
室内型アミューズメント施設で遊ぶ,0.0,3.0,0.0,0.0,0.2,0.3,0.1,0.8,0.0,2.0,0.5,0.0,0.0,1.3,0.0,3.7,0.9,0.0,1.5,0.0,0.0,0.0,0.0
スポーツをする・観戦する,0.3,0.2,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.1,0.0,0.0,1.9,0.0,0.3,0.0,0.0,1.7,0.7,0.0,0.0,0.0,2.1
スパ・エステ,0.0,0.0,0.0,0.0,0.7,0.1,0.2,0.3,0.0,0.5,0.0,0.0,0.0,0.6,0.0,0.0,6.8,0.0,0.6,0.0,0.0,3.5,0.4
宿泊施設での滞在を楽しむ,3.5,1.2,2.8,0.9,0.6,3.4,8.3,11.1,9.2,19.5,7.9,2.3,8.2,16.8,40.7,57.4,2.6,3.6,5.1,0.0,0.0,3.5,7.6
ナイトライフを楽しむ,0.4,0.4,0.6,0.0,0.3,4.3,13.7,6.2,1.4,1.0,1.1,0.2,0.0,4.1,3.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
ウォーターフロント、夜景などの探索,0.3,0.0,0.1,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.3,0.1,0.3,0.0,0.1,0.0,10.1,0.9,0.0,0.0,0.0,0.0,0.0
水辺などの探索,0.0,0.4,0.0,0.3,0.0,0.2,1.1,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,27.2,0.0,0.0,4.7,0.0,0.0,0.0
夜景・ライトアップを楽しむ,0.7,0.1,0.1,0.0,0.2,0.5,5.5,1.2,5.3,0.2,0.0,0.4,2.4,6.4,3.1,0.0,5.4,0.0,0.6,0.0,0.0,0.0,0.0
その他,6.8,1.9,1.2,0.2,0.6,2.5,4.9,2.9,1.0,4.1,3.3,0.1,1.3,10.3,10.0,11.9,5.8,1.7,4.8,0.0,0.0,1.5,23.9
無回答,3.1,2.2,1.3,2.3,1.8,2.7,1.6,1.6,7.5,1.5,1.5,4.2,2.2,1.5,1.4,0.0,2.0,4.6,2.1,0.0,0.0,7.5,8.4
合計,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
標本数,511,1019,1375,362,904,1182,354,1430,126,353,710,1309,152,121,161,11,734,134,88,11,14,43,121
