,,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
,上野,4.4 ,2.0 ,6.8 ,4.7 ,3.5 ,7.9 ,2.7 ,6.8 ,4.1 ,4.1 ,4.5 ,2.3 ,6.1 ,5.0 ,3.1 ,3.2 ,2.7 ,2.0 ,5.6 ,3.0 ,7.4 ,2.4 
,浅草,9.6 ,6.2 ,13.2 ,9.9 ,7.5 ,10.9 ,6.0 ,9.8 ,9.4 ,5.2 ,9.0 ,7.9 ,14.3 ,11.4 ,11.5 ,5.4 ,8.8 ,17.7 ,6.4 ,8.5 ,7.0 ,13.1 
,墨田・両国,1.1 ,0.5 ,1.6 ,1.0 ,0.7 ,0.4 ,1.8 ,0.4 ,1.7 ,1.5 ,1.9 ,3.2 ,2.0 ,0.4 ,0.5 ,0.4 ,4.5 ,2.2 ,1.7 ,1.5 ,1.0 ,3.3 
,新橋・汐留,0.6 ,0.8 ,0.5 ,0.4 ,0.6 ,0.6 ,0.7 ,2.2 ,0.6 ,1.0 ,2.0 ,2.8 ,0.4 ,1.9 ,0.0 ,0.7 ,2.7 ,0.0 ,2.1 ,0.0 ,0.0 ,0.0 
,品川,1.2 ,1.3 ,1.2 ,0.6 ,1.5 ,0.2 ,1.1 ,1.4 ,2.7 ,1.7 ,1.1 ,3.1 ,0.8 ,0.4 ,0.0 ,1.1 ,6.4 ,1.1 ,1.1 ,0.7 ,0.8 ,3.2 
,蒲田,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.4 ,0.0 ,0.1 ,0.0 ,0.0 ,1.0 ,0.0 ,0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 ,0.0 ,0.0 
,お台場・東京湾,8.7 ,17.8 ,13.3 ,4.1 ,4.5 ,6.6 ,3.0 ,8.4 ,2.1 ,1.0 ,4.9 ,3.6 ,2.9 ,3.0 ,3.3 ,3.7 ,3.0 ,3.1 ,7.7 ,8.3 ,9.0 ,2.6 
,吉祥寺・三鷹,2.3 ,1.6 ,6.1 ,1.5 ,2.8 ,0.0 ,2.1 ,0.4 ,0.9 ,1.0 ,1.0 ,2.4 ,0.0 ,0.7 ,1.2 ,0.7 ,0.7 ,0.0 ,0.4 ,0.0 ,0.8 ,0.0 
,八王子・高尾山,0.8 ,0.4 ,1.3 ,0.5 ,1.4 ,0.6 ,0.0 ,0.5 ,0.6 ,0.5 ,1.8 ,0.0 ,0.0 ,0.0 ,1.3 ,0.4 ,2.0 ,1.2 ,0.6 ,4.0 ,0.0 ,1.2 
,伊豆諸島・小笠原諸島,0.8 ,0.1 ,0.5 ,1.6 ,1.4 ,0.0 ,1.6 ,0.0 ,0.1 ,1.0 ,0.0 ,0.7 ,0.4 ,0.0 ,0.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.7 ,3.3 ,0.0 
,その他,0.7 ,0.9 ,0.8 ,0.7 ,0.7 ,0.6 ,0.7 ,1.0 ,0.9 ,0.0 ,0.7 ,1.4 ,0.9 ,0.0 ,1.2 ,0.4 ,3.2 ,0.6 ,0.6 ,0.0 ,1.7 ,0.0 
,全体,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
,標本数,9748,1332,1707,1919,551,637,303,208,920,185,204,132,246,166,168,279,117,159,185,139,122,69
