 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"2,075",780,"5,903","2,153",246,780,675,"2,153","1,829",-,"5,228",-
,113.4%,126.4%,98.6%,142.8%,91.1%,126.4%,81.1%,142.8%,117.2%,-,101.4%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"117,172","24,037","453,328","81,438","34,400","23,883","134,526","80,772","82,772",154,"318,802",666
,99.8%,110.7%,97.1%,87.6%,101.6%,110.6%,105.6%,87.6%,99.0%,126.2%,93.9%,92.2%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"10,835","5,558","37,470","19,632","2,714","5,479","9,692","19,247","8,121",79,"27,778",385
,95.3%,82.5%,84.6%,95.9%,84.5%,81.9%,75.1%,95.1%,99.6%,161.2%,88.4%,163.1%
中国(香港含む),"80,524","54,748","260,910","168,140","12,310","54,678","44,318","167,831","68,214",70,"216,592",309
,110.9%,114.8%,92.1%,87.2%,85.6%,114.8%,92.0%,87.2%,117.1%,218.8%,92.1%,70.1%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,307","10,086","91,145","67,740","11,466","8,343","47,589","60,573","10,841","1,743","43,556","7,167"
,87.6%,41.6%,104.0%,86.8%,106.2%,40.3%,115.2%,86.5%,73.9%,48.8%,94.0%,89.5%
内航定期計,"16,086","1,929","68,732","9,836","7,930",303,"32,984","3,913","8,156","1,626","35,748","5,923"
,76.3%,24.5%,95.6%,48.7%,88.1%,7.1%,96.2%,32.1%,67.5%,45.6%,95.1%,74.2%
北海道,"6,119",117,"25,456",927,"2,746",116,"12,559",915,"3,373",1,"12,897",12
,90.0%,24.5%,112.3%,141.7%,78.3%,24.3%,105.8%,139.9%,102.4%,-,119.4%,-
東北,"3,352",191,"14,737","2,201","1,408",155,"6,256","2,141","1,944",36,"8,481",60
,109.5%,25.5%,109.8%,74.0%,95.5%,22.5%,93.9%,79.5%,122.5%,58.1%,125.4%,21.3%
関東,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,362,-,"4,503",785,69,-,450,549,293,-,"4,053",236
,11.3%,-,54.3%,13.3%,38.5%,-,25.9%,9.4%,9.7%,-,61.9%,1072.7%
近畿,683,1,"2,521",202,109,-,434,196,574,1,"2,087",6
,34.3%,0.1%,43.6%,7.1%,70.8%,-,90.6%,7.1%,31.2%,2.1%,39.4%,6.3%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,144",-,"9,570",222,"1,043",-,"4,241",80,"1,101",-,"5,329",142
,79.7%,-,99.4%,174.8%,91.4%,-,101.3%,148.1%,71.1%,-,97.9%,194.5%
沖縄,"3,426","1,620","11,945","5,499","2,555",32,"9,044",32,871,"1,588","2,901","5,467"
,102.3%,47.3%,101.8%,72.8%,100.1%,-,99.2%,82.1%,109.4%,46.4%,111.2%,72.8%
内航不定期,"6,221","8,157","22,413","57,904","3,536","8,040","14,605","56,660","2,685",117,"7,808","1,244"
,142.1%,49.7%,142.4%,100.1%,198.0%,49.0%,208.0%,98.0%,103.6%,1462.5%,89.6%,4784.6%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
