"所管","丁目","総数 会社企業数","総数 従業者数[人]","資本金階級 300万円未満 会社企業数","資本金階級 300万円未満 従業者数[人]","資本金階級 300万～500万円未満 会社企業数","資本金階級 300万～500万円未満 従業者数[人]","資本金階級 500万～1000万円未満 会社企業数","資本金階級 500万～1000万円未満 従業者数[人]","資本金階級 1000万～3000万円未満 会社企業数","資本金階級 1000万～3000万円未満 従業者数[人]","資本金階級 3000万～5000万円未満 会社企業数","資本金階級 3000万～5000万円未満 従業者数[人]","資本金階級 5000万～1億円未満 会社企業数","資本金階級 5000万～1億円未満 従業者数[人]","資本金階級 1億円～3億円未満 会社企業数","資本金階級 1億円～3億円未満 従業者数[人]","資本金階級 3億円～10億円未満 会社企業数","資本金階級 3億円～10億円未満 従業者数[人]","資本金階級 10億円～50億円未満 会社企業数","資本金階級 10億円～50億円未満 従業者数[人]","資本金階級 50億円以上 会社企業数","資本金階級 50億円以上 従業者数[人]"
"芝地区総合支所","芝公園３丁目","37","5554","1","3","2","20","2","41","15","2717","3","223","2","57","4","142","3","159","1","1835","-","-"
"芝地区総合支所","芝公園４丁目","17","2280","-","-","3","10","-","-","5","68","-","-","2","36","2","60","1","84","2","2009","-","-"
"芝地区総合支所","虎ノ門１丁目","366","26803","12","88","57","329","19","73","145","1754","31","1868","35","2378","21","5945","16","2323","6","1709","6","9673"
"芝地区総合支所","虎ノ門２丁目","172","22067","4","367","10","36","8","37","69","1268","12","274","13","200","21","3867","10","1301","3","577","8","13904"
"芝地区総合支所","虎ノ門３丁目","206","10087","16","47","30","162","8","433","85","911","19","1252","10","466","6","808","10","1549","6","3742","1","2"
"芝地区総合支所","虎ノ門４丁目","186","32885","6","71","3","18","4","38","62","1883","4","26","24","6306","24","4088","21","2147","17","9163","11","8893"
"芝地区総合支所","虎ノ門５丁目","162","5023","11","235","22","151","5","29","76","1889","13","228","9","170","10","1449","6","564","1","29","2","234"
"芝地区総合支所","愛宕１丁目","30","565","-","-","4","9","3","10","14","240","-","-","3","47","1","228","-","-","2","16","-","-"
"芝地区総合支所","愛宕２丁目","36","5249","2","3","1","1","2","20","8","381","1","4","6","1379","4","198","2","820","5","2223","-","-"
"麻布地区総合支所","麻布狸穴町","2","21","-","-","1","7","-","-","1","14","-","-","-","-","-","-","-","-","-","-","-","-"
"麻布地区総合支所","麻布永坂町","16","791","-","-","-","-","-","-","6","92","1","316","3","11","3","294","-","-","1","25","-","-"
"麻布地区総合支所","南麻布１丁目","68","3557","-","-","14","87","4","14","36","502","1","8","6","300","2","1685","1","16","2","908","-","-"
"麻布地区総合支所","南麻布２丁目","76","4311","2","5","13","215","3","10","34","726","4","52","4","138","3","2762","1","12","1","171","-","-"
"麻布地区総合支所","南麻布３丁目","43","2828","3","43","3","20","5","33","12","822","2","35","1","74","5","997","1","78","1","261","-","-"
"麻布地区総合支所","南麻布４丁目","101","1346","5","47","26","144","8","36","43","674","4","19","6","247","1","38","1","60","-","-","-","-"
"麻布地区総合支所","南麻布５丁目","92","1343","5","41","14","193","11","60","40","348","5","83","1","67","2","54","1","159","1","260","-","-"
"麻布地区総合支所","元麻布１丁目","15","317","2","6","-","-","3","14","8","157","-","-","2","140","-","-","-","-","-","-","-","-"
"麻布地区総合支所","元麻布２丁目","31","279","1","4","12","172","-","-","11","28","1","2","-","-","1","23","-","-","-","-","-","-"
"麻布地区総合支所","元麻布３丁目","64","1360","5","23","15","61","4","26","25","417","6","139","3","106","1","20","1","33","-","-","-","-"
"麻布地区総合支所","西麻布１丁目","183","2783","14","81","37","193","18","175","68","950","8","81","13","246","8","337","1","431","-","-","-","-"
"麻布地区総合支所","西麻布２丁目","114","3934","9","50","27","276","4","15","44","395","5","255","6","289","3","104","2","812","2","1176","-","-"
"麻布地区総合支所","西麻布３丁目","152","2404","4","47","44","350","15","126","58","680","6","68","10","840","2","60","1","59","-","-","-","-"
"麻布地区総合支所","西麻布４丁目","137","8616","8","37","37","151","11","87","48","565","6","147","4","1188","3","331","4","348","-","-","2","5651"
"麻布地区総合支所","六本木１丁目","127","12249","3","29","2","34","6","24","27","1049","8","385","12","548","19","859","14","3111","12","2456","9","2881"
"麻布地区総合支所","六本木２丁目","42","3012","-","-","6","21","5","27","21","438","-","-","2","136","2","47","-","-","-","-","1","2209"
"麻布地区総合支所","六本木３丁目","290","5515","14","195","68","341","13","141","128","2466","14","412","10","637","10","463","3","218","1","245","1","-"
"麻布地区総合支所","六本木４丁目","157","3207","8","111","35","192","10","45","62","764","10","320","6","1026","5","195","2","208","-","-","-","-"
"麻布地区総合支所","六本木５丁目","134","7466","4","112","36","338","4","57","51","5293","10","264","5","825","2","5","4","287","-","-","-","-"
"麻布地区総合支所","六本木６丁目","198","29434","10","21","19","134","15","194","58","5996","8","1003","18","1573","14","7979","14","2746","6","891","8","6532"
"麻布地区総合支所","六本木７丁目","300","5997","12","101","72","502","22","127","124","2235","11","434","12","610","6","123","3","66","-","-","1","1111"
"麻布地区総合支所","麻布台１丁目","99","1407","2","5","6","40","7","54","49","363","3","75","11","234","5","86","5","342","1","70","-","-"
"麻布地区総合支所","麻布台２丁目","53","1538","1","4","2","10","-","-","23","615","6","123","10","303","5","204","1","8","-","-","-","-"
"麻布地区総合支所","麻布台３丁目","56","615","1","4","18","132","6","25","20","169","2","18","4","104","-","-","1","55","-","-","-","-"
"麻布地区総合支所","麻布十番１丁目","149","2551","9","29","41","269","15","198","46","565","11","233","12","438","2","10","1","641","1","48","-","-"
"麻布地区総合支所","麻布十番２丁目","151","1495","9","172","64","310","14","130","45","349","3","82","3","195","-","-","-","-","-","-","-","-"
"麻布地区総合支所","麻布十番３丁目","42","591","1","4","16","173","1","27","15","186","2","76","3","98","1","12","-","-","-","-","-","-"
"麻布地区総合支所","麻布十番４丁目","13","257","-","-","4","22","-","-","4","93","1","3","1","29","2","71","-","-","-","-","-","-"
"麻布地区総合支所","東麻布１丁目","153","4162","6","22","38","132","9","44","57","697","8","217","17","2174","5","707","1","39","-","-","-","-"
"麻布地区総合支所","東麻布２丁目","106","2464","7","23","35","153","5","27","41","597","6","525","7","776","1","2","-","-","-","-","-","-"
"麻布地区総合支所","東麻布３丁目","94","907","9","44","23","111","7","71","44","558","7","74","1","27","1","9","-","-","1","11","-","-"
"赤坂地区総合支所","元赤坂１丁目","167","34872","8","47","17","68","7","28","71","2501","14","765","12","976","12","1030","7","723","3","4147","4","24358"
"赤坂地区総合支所","元赤坂２丁目","1","107","-","-","-","-","-","-","-","-","1","107","-","-","-","-","-","-","-","-","-","-"
"赤坂地区総合支所","赤坂１丁目","248","21601","10","52","15","217","12","63","90","2324","19","610","29","4401","28","2091","12","5845","11","2930","6","2916"
"赤坂地区総合支所","赤坂２丁目","463","77952","20","121","72","406","35","914","180","4304","35","10204","24","1382","26","18473","21","4448","5","19871","6","17420"
"赤坂地区総合支所","赤坂３丁目","357","10793","8","48","68","462","21","139","134","2518","23","1083","29","2291","10","773","6","997","3","611","1","613"
"赤坂地区総合支所","赤坂４丁目","268","11600","14","71","40","167","18","68","105","3514","23","1056","25","1300","8","294","12","1404","7","2382","1","982"
"赤坂地区総合支所","赤坂５丁目","175","25661","6","33","12","93","9","67","45","514","9","656","13","6304","15","2126","11","3734","19","1164","25","9874"
"赤坂地区総合支所","赤坂６丁目","214","11758","9","18","40","280","12","40","89","1363","10","698","16","1594","12","1876","6","1309","2","38","3","4247"
"赤坂地区総合支所","赤坂７丁目","290","4595","23","122","47","227","19","99","130","2005","23","578","9","60","7","698","4","346","2","117","-","-"
"赤坂地区総合支所","赤坂８丁目","139","19007","8","34","13","56","15","78","52","705","4","68","9","368","9","4403","7","1148","6","4102","4","7838"
"赤坂地区総合支所","赤坂９丁目","177","33202","4","43","50","169","9","83","57","3399","7","166","6","106","8","5283","5","1560","3","613","6","21132"
"赤坂地区総合支所","南青山１丁目","205","49881","7","11","32","351","9","63","72","2471","20","438","9","329","10","5441","10","1405","4","657","6","37765"
"赤坂地区総合支所","南青山２丁目","536","89731","52","343","112","499","33","147","188","5705","24","25265","25","5219","14","6426","4","1168","2","5068","2","38595"
"赤坂地区総合支所","南青山３丁目","287","7749","18","81","58","305","30","357","104","1239","15","362","15","820","8","928","7","2780","2","344","1","5"
"赤坂地区総合支所","南青山４丁目","160","1762","16","63","31","156","18","75","57","514","10","558","8","116","3","121","1","6","-","-","-","-"
"赤坂地区総合支所","南青山５丁目","501","28989","30","201","99","1384","47","318","198","4650","31","562","31","3577","14","11800","3","473","1","47","2","5215"
"赤坂地区総合支所","南青山６丁目","205","3368","5","15","40","227","24","164","95","1132","10","198","12","828","5","576","1","26","1","34","-","-"
"赤坂地区総合支所","南青山７丁目","71","3237","2","4","15","88","4","10","28","471","2","203","7","697","3","149","-","-","1","1380","-","-"
"赤坂地区総合支所","北青山１丁目","105","5615","5","28","15","72","4","31","40","424","8","106","9","776","8","1357","5","484","3","1037","1","1091"
"赤坂地区総合支所","北青山２丁目","171","9848","4","10","30","186","7","49","48","842","11","534","15","1369","14","566","12","798","4","657","5","4566"
"赤坂地区総合支所","北青山３丁目","276","13658","20","333","49","362","18","269","101","1579","10","564","14","1594","12","2696","6","2167","1","457","1","2812"
"高輪地区総合支所","三田４丁目","63","1869","3","10","13","51","4","10","27","354","7","787","2","76","-","-","2","537","-","-","-","-"
"高輪地区総合支所","三田５丁目","102","2409","4","17","43","163","6","29","31","439","6","288","1","81","2","525","2","568","1","4","-","-"
"高輪地区総合支所","高輪１丁目","143","10029","10","33","47","207","9","38","46","1122","2","36","4","354","9","8051","2","69","-","-","1","10"
"高輪地区総合支所","高輪２丁目","218","27847","5","75","30","116","13","53","86","1251","15","555","14","1889","19","5550","9","12618","3","429","3","4994"
"高輪地区総合支所","高輪３丁目","178","11197","6","29","38","601","10","164","66","889","14","1649","16","896","8","982","3","881","3","4631","-","-"
"高輪地区総合支所","高輪４丁目","160","9401","10","56","29","137","13","158","73","1210","6","83","7","339","4","1872","-","-","1","425","1","4717"
"高輪地区総合支所","白金１丁目","156","13444","7","19","55","222","9","72","52","363","4","45","4","202","7","1047","3","2039","1","9","4","9209"
"高輪地区総合支所","白金２丁目","19","325","2","3","5","21","3","21","4","23","1","12","-","-","1","34","1","173","-","-","-","-"
"高輪地区総合支所","白金３丁目","84","786","4","14","34","204","6","27","33","256","-","-","4","199","-","-","-","-","-","-","-","-"
"高輪地区総合支所","白金４丁目","21","117","1","3","4","20","1","1","11","37","2","11","1","4","1","41","-","-","-","-","-","-"
"高輪地区総合支所","白金５丁目","52","347","4","61","26","98","6","20","13","121","1","25","-","-","-","-","-","-","-","-","-","-"
"高輪地区総合支所","白金６丁目","61","298","8","14","26","105","6","60","16","95","1","2","-","-","-","-","-","-","-","-","-","-"
"高輪地区総合支所","白金台１丁目","27","1149","-","-","7","25","2","25","8","185","4","110","3","610","2","184","-","-","-","-","-","-"
"高輪地区総合支所","白金台２丁目","70","592","5","8","15","50","6","81","31","244","1","10","5","148","-","-","-","-","-","-","-","-"
"高輪地区総合支所","白金台３丁目","103","2467","1","2","28","147","8","26","37","543","5","109","10","475","2","279","3","673","2","45","-","-"
"高輪地区総合支所","白金台４丁目","42","772","3","10","10","64","5","31","13","133","5","84","2","431","1","6","-","-","-","-","-","-"
"高輪地区総合支所","白金台５丁目","137","1469","7","17","45","179","22","82","40","292","3","35","3","438","2","157","-","-","-","-","-","-"
"芝浦港南地区総合支所","芝浦１丁目","114","78174","1","4","15","135","1","12","29","645","9","888","14","1823","7","1550","8","7827","8","8418","10","56616"
"芝浦港南地区総合支所","芝浦２丁目","102","6744","3","6","16","85","4","11","41","1219","6","364","8","375","10","2597","3","947","2","911","-","-"
"芝浦港南地区総合支所","芝浦３丁目","184","19532","9","52","22","212","9","96","65","2347","13","1607","18","3382","10","732","5","1447","3","1927","5","6741"
"芝浦港南地区総合支所","芝浦４丁目","173","41742","6","9","18","100","6","60","40","1026","9","2423","21","5568","16","6469","14","4967","9","5529","9","14882"
"芝浦港南地区総合支所","海岸２丁目","40","8598","-","-","3","8","2","2","14","184","3","280","7","632","3","1057","3","4643","1","1747","-","-"
"芝浦港南地区総合支所","海岸３丁目","161","18530","3","10","14","87","8","77","55","1832","10","457","22","2486","15","5181","10","2664","6","2793","5","2253"
"芝浦港南地区総合支所","港南１丁目","74","86804","1","30","1","17","4","254","11","792","3","1971","10","5384","18","14732","8","1190","2","787","10","61528"
"芝浦港南地区総合支所","港南２丁目","368","229578","4","181","40","238","13","177","97","40357","21","454","42","7797","33","5624","35","10983","21","31308","22","130185"
"芝浦港南地区総合支所","港南３丁目","38","2941","3","5","4","15","2","9","17","1722","-","-","2","22","3","577","-","-","1","485","-","-"
"芝浦港南地区総合支所","港南４丁目","48","7978","2","6","6","82","3","22","10","104","2","260","1","39","7","4784","3","2455","1","3","1","65"
"芝浦港南地区総合支所","港南５丁目","21","2324","1","7","-","-","1","1","5","91","4","262","3","131","6","1813","-","-","1","19","-","-"
"芝浦港南地区総合支所","台場１丁目","23","1009","4","18","5","43","2","6","5","56","2","223","-","-","2","566","-","-","-","-","-","-"
"芝浦港南地区総合支所","台場２丁目","53","20223","1","3","1","4","1","10","5","294","2","80","3","250","11","2088","11","2107","5","6837","9","8528"
"その他",,"1","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"

"町丁目、資本金階級(１０区分)別会社企業数及び企業従業者数","Ver201801","資料：平成26年経済センサス-基礎調査報告(東京都総務局)を加工して作成。","注:資本金額が不祥の事業所が含まれるため、各資本金階級の合計が総数と一致しない場合がある。",,,,,,,,,,,,,,,,,,,,
