施設名称,所在地,水飲み栓設置場所,入場料等,タイプ
麻布十番駅（都営大江戸線）,港区麻布十番１－４－６,ホーム,有料,飲み口型
青山一丁目駅（都営大江戸線）,港区北青山１－２－４,ホーム,有料,飲み口型
芝浦中央公園運動場,港区港南１－４－１,,,飲み口型
港南図書館,港区港南３－３－１７,２・３階,,飲み口型
三田駅（都営三田線）,港区芝５－１８－８,ホーム,有料,飲み口型
"三田図書館
（郷土資料館）",港区芝５－２８－４,１・２・３階,,飲み口型
三田駅（都営浅草線）,港区芝５－３４－１０,ホーム,有料,飲み口型
港勤労福祉会館,港区芝５ー１８ー２,１・２階冷水器,,飲み口型
港区スポーツセンター,港区芝浦１－１６－１みなとパーク芝浦内,３・４・５・８階,,飲み口型
港区役所庁舎,港区芝公園１－５－２５,１～１１階,,飲み口型
みなと図書館,港区芝公園３－２－２５,地下１階,,飲み口型
芝給水所公園運動場,港区芝公園３－６－７,,,飲み口型
芝公園駅（都営三田線）,港区芝公園４－８－１４,ホーム,有料,飲み口型
高輪台駅（都営浅草線）,港区白金台２－２６－７先,ホーム,有料,飲み口型
新橋駅（都営浅草線）,港区新橋２－２１－１先,ホーム,有料,飲み口型
高輪図書館,"港区高輪１－２５－５
高輪コミュティーぷらざ３階",３・４階フロア,,飲み口型
泉岳寺駅（都営浅草線）,港区高輪２－１６－３４,ホーム,有料,飲み口型
港区子どもふれあいルーム,港区西麻布２ー１３ー３　３階,３階廊下,,飲み口型
御成門駅（都営三田線）,港区西新橋３－２４－６,ホーム,有料,飲み口型
大門駅（都営浅草線）,港区浜松町１－２７－１２,ホーム,有料,飲み口型
神明いきいきプラザ,港区浜松町１－６－７,４・５・６階,,飲み口型
大門駅（都営大江戸線）,港区浜松町２－３－４,ホーム,有料,飲み口型
赤羽橋駅（都営大江戸線）,港区東麻布１－２８－１３,ホーム,有料,飲み口型
汐留駅（都営大江戸線）,港区東新橋１－９－１先,ホーム,有料,飲み口型
水道局港営業所,港区三田１－３－２７,１階,,飲み口型
青山運動場,港区南青山２－２１－１２,,,飲み口型
青山生涯学習館,港区南青山４－１９－７,２階給湯室,,ボトルディスペンサー型
都立中央図書館,港区南麻布５ー７ー１３,１・４・５階,,飲み口型
麻布運動場,港区南麻布５－６－３３,,,飲み口型
麻布図書館,港区六本木５－１２－２４,５階,,飲み口型
新宿三丁目駅（都営新宿線）,新宿区新宿３－３－２,ホーム,有料,飲み口型
新宿区役所第二分庁舎,新宿区新宿５－１８－２１,１・２・３階,,飲み口型
新宿区役所第二分庁舎分館,新宿区新宿５－１８－２１,１・２階,,飲み口型
東新宿駅（都営大江戸線）,新宿区新宿７－２７－３,ホーム,有料,飲み口型
国立競技場駅（都営大江戸線）,新宿区霞ヶ丘町１０－３,ホーム,有料,飲み口型
新宿区役所本庁舎,新宿区歌舞伎町１－４－１,４・５・６・７階,,飲み口型
中井駅（都営大江戸線）,新宿区上落合２－２０－８,ホーム,有料,飲み口型
若松河田駅（都営大江戸線）,新宿区河田町１０－１０,ホーム,有料,飲み口型
曙橋駅（都営新宿線）,新宿区住吉町７－１,ホーム,有料,飲み口型
牛込神楽坂駅（都営大江戸線）,新宿区箪笥町１５,ホーム,有料,飲み口型
"四谷区民センター
（水道局新宿営業所）",新宿区内藤町８７,３・４階,,飲み口型
落合南長崎駅（都営大江戸線）,新宿区西落合３－１－１８,ホーム,有料,飲み口型
新宿西口駅（都営大江戸線）,新宿区西新宿１－３－１７,ホーム,有料,飲み口型
東京都庁第１本庁舎,新宿区西新宿２－８－１,４５階　北側・南側展望室,,ボトルディスペンサー型・飲み口型
都議会議事堂,新宿区西新宿２－８－１,１階トイレ前・２階ＰＲコーナー・７階,,飲み口型
東京都庁第２本庁舎,新宿区西新宿２－８－１,１・２階,,ボトルディスペンサー型・飲み口型
都庁前駅（都営大江戸線）,新宿区西新宿２－８－１,ホーム,有料,飲み口型
西新宿五丁目駅（都営大江戸線）,新宿区西新宿５－２５－９,ホーム,有料,飲み口型
牛込柳町駅（都営大江戸線）,新宿区原町２－３２,ホーム,有料,飲み口型
消防防災資料センター,新宿区四谷３－１０,地下１・１・３～６・７・１０階,,飲み口型
スポーツセンター,文京区大塚３－２９－２,１・２・３・４階,,ボトルディスペンサー型・飲み口型
大塚公園集会所,文京区大塚４－４９－２,１階エントランス,,飲み口型
春日駅（都営大江戸線）,文京区春日１－１６－１７,ホーム,有料,飲み口型
礫川地域活動センター,文京区小石川２－１８－１８,１階ロビー,,飲み口型
水道橋駅（都営三田線）,文京区後楽１－３－４２先,ホーム,有料,飲み口型
飯田橋駅（都営大江戸線）,文京区後楽１－９－５,ホーム,有料,飲み口型
千石駅（都営三田線）,文京区千石１－２９－１３,ホーム,有料,飲み口型
本郷図書館,文京区千駄木３－２－６,１階トイレ付近,,飲み口型
水道局文京営業所,文京区西片２－１６－２３,２階,,飲み口型
白山駅（都営三田線）,文京区白山５－３６－１０,ホーム,有料,飲み口型
本郷三丁目駅（都営大江戸線）,文京区本郷２－４０－８,ホーム,有料,飲み口型
東京都水道歴史館,文京区本郷２－７－１,１階ラウンジ・２階公苑側休憩所,,ボトルディスペンサー型・飲み口型
真砂中央図書館,文京区本郷４－８－１５,１階入口付近,,飲み口型
文京区男女平等センター,文京区本郷４－８－３,ロビー,,飲み口型
区民センター,文京区本郷４－１５－１４,２・３・４階（冷水器）,,飲み口型
春日駅（都営三田線）,文京区本郷４－１５－１６,ホーム,有料,飲み口型
総合体育館,文京区本郷７－１－２,地下１階、１階、２階,,飲み口型
駒込地域活動センター,文京区本駒込３－２２－４,１階エントランス,,飲み口型
文京区勤労福祉会館,文京区本駒込４－３５－１５,１階ロビー,,飲み口型
向丘地域活動センター,文京区向丘１－２０－８,１階廊下,,飲み口型
大原地域活動センター,文京区千石１－４－３,１階ロビー,,飲み口型
文京シビックセンター,文京区春日１－１６－２１,1階、３階　健康センター内,,飲み口型
不忍通りふれあい館,文京区文京区根津２－２０－７,１階,,飲み口型
上野御徒町駅（都営大江戸線）,台東区上野５－２６－６,ホーム,有料,飲み口型
台東都税事務所,台東区雷門１－６－１,１階,,飲み口型
蔵前駅（都営浅草線）,台東区蔵前２－３－１,ホーム,有料,飲み口型
浅草駅（都営浅草線）,台東区駒形１－１２－１４,ホーム,有料,飲み口型
蔵前駅（都営大江戸線）,台東区寿３－３－１,ホーム,有料,飲み口型
新御徒町駅（都営大江戸線）,台東区元浅草１－５－２,ホーム,有料,飲み口型
浅草橋駅（都営浅草線）,台東区浅草橋１－１８－１１,ホーム,有料,飲み口型
浅草文化観光センター,台東区雷門２－１８－９,並木通り側出入口付近,,ボトルディスペンサー型
恩賜上野動物園,台東区上野公園９ー８３,さるやまキッチン,有料,ボトルディスペンサー型
本所吾妻橋駅（都営浅草線）,墨田区吾妻橋３－７－１６先,ホーム,有料,飲み口型
菊川駅（都営新宿線）,墨田区菊川３－１６－２,ホーム,有料,飲み口型
水道局墨田営業所,墨田区千歳２－２－１１,１階,,飲み口型
両国駅（都営大江戸線）,墨田区横網１－４－２９,ホーム,有料,飲み口型
有明スポーツセンター,江東区有明２－３－５,Ａ棟７階・Ｂ棟３階,,ボトルディスペンサー型・飲み口型
東京都水の科学館,江東区有明３－１－８,１・２・３階エレベーター前,,ボトルディスペンサー型・飲み口型
深川南部保健相談所,江東区枝川１－８－１５－１０２,１階,,飲み口型
深川スポーツセンター,江東区越中島１－２－１８　,１・２・３・４階,,ボトルディスペンサー型・飲み口型
小松橋出張所・区民館,江東区扇橋２－１－５,２階,,飲み口型
男女共同参画推進センター,江東区扇橋３－２２－２,１・３階,,飲み口型
西大島駅（都営新宿線）,江東区大島２－４１－１９,ホーム,有料,飲み口型
大島駅（都営新宿線）,江東区大島５－１０－８,ホーム,有料,飲み口型
江東区　大島児童館,江東区大島７－２８－１－１０４,１階,,飲み口型
東大島駅（都営新宿線）,江東区大島９－３－１４,ホーム,有料,飲み口型
江東区亀戸野球場庭球場,江東区亀戸２－６－５０,上階,,飲み口型
亀戸児童館,江東区亀戸２－１－１９,１階,,飲み口型
亀戸第三児童館,江東区亀戸７－３９－９,３階,,飲み口型
亀戸スポーツセンター,江東区亀戸８－２２－１,地下１階・１・２・３階,,飲み口型
スポーツ会館,江東区北砂１－２－９,１・２・３階,,ボトルディスペンサー型・飲み口型
砂町出張所・区民館,江東区北砂４－７－３,１階,,飲み口型
塩浜児童館,江東区塩浜２－５－２０,２階,,飲み口型
江東区潮見野球場庭球場,江東区潮見１－１－１,１階,,飲み口型
江東区環境学習情報館,江東区潮見１ー２９－７,２階,,飲み口型
東雲児童館,江東区東雲２－４－４－１０２,１階,,飲み口型
清澄白河駅（都営大江戸線）,江東区白河１－７－１４,ホーム,有料,飲み口型
水道局東部第一支所,江東区新砂１－７－２,１階,,飲み口型
江東区新砂運動場,"江東区新砂３－９－１
（砂町水再生センター内）",１階,,ボトルディスペンサー型・飲み口型
住吉駅（都営新宿線）,江東区住吉２－２３－１２,ホーム,有料,飲み口型
東京アクアティクスセンター,江東区辰巳２－２－１,１階,,飲み口型
江東区健康センター,江東区東陽２－１－１,２・４階,,飲み口型
江東区保健所,江東区東陽２－１－１,健康センタ－２階,,飲み口型
高齢者総合福祉センター,江東区東陽６－２－１７,１・２・３階,,飲み口型
江東区役所,江東区東陽４－１１－２８,２～９階,,飲み口型
江東区豊住庭球場,江東区東陽６－１－１３,１階,,ボトルディスペンサー型・飲み口型
富岡出張所・区民館,江東区富岡１－１６－１２,１階,,飲み口型
深川庭球場,江東区富岡１－１７－９,管理事務所,有料,ボトルディスペンサー型
江東区東砂庭球場,江東区東砂１－２－１３,１階,,ボトルディスペンサー型・飲み口型
東砂第二児童館,江東区東砂２－１３－１３,２・３階,,飲み口型
江東区荒川砂町庭球場,江東区東砂３－２８－１３,１階,,ボトルディスペンサー型・飲み口型
東砂スポーツセンター,江東区東砂４－２４－１,地下１階・２階,,ボトルディスペンサー型・飲み口型
深川北スポーツセンター,江東区平野３－２－２０,１・２階,,ボトルディスペンサー型・飲み口型
南砂児童館,江東区南砂２－３－１７,１階,,飲み口型
東京都現代美術館,江東区三好４－１－１,地下２階・地下１階・１・２・３階,一部有料,飲み口型
森下駅（都営新宿線）,江東区森下１－１３－１０,ホーム,有料,飲み口型
森下駅（都営大江戸線）,江東区森下２－１７－１７,ホーム,有料,飲み口型
門前仲町駅（都営大江戸線）,江東区門前仲町２－５－２先,ホーム,有料,飲み口型
江東区夢の島野球場,江東区夢の島１－１－１,１階,,ボトルディスペンサー型・飲み口型
江東区夢の島競技場,江東区夢の島１－１－２,１階,,ボトルディスペンサー型・飲み口型
夢の島熱帯植物館,江東区夢の島２－１－２,エントランス・カフェ,,ボトルディスペンサー型・飲み口型
東京ビッグサイト,江東区有明３－１１－１,西展示棟１階アトリウムトイレ脇,,ボトルディスペンサー型
荏原区民センター,品川区荏原５ー６ー５,１階ロビー,,飲み口型
一本橋児童センター,品川区大井２－２５－１,児童センター内,,飲み口型
大井倉田児童センター,品川区大井４－１１－３４,児童センター内,,飲み口型
滝王子児童センター,品川区大井５－１９－１４,児童センター内,,飲み口型
大井図書館,品川区大井５－１９－１４,１階図書館内,,飲み口型
大崎図書館分館,品川区大崎３－１２－２２,地下１階図書館内,,飲み口型
品川図書館,品川区北品川２－３２－３,４階図書館内,,飲み口型
北品川児童センター,品川区北品川２－７－２１,児童センター内,,飲み口型
大崎図書館,品川区北品川５－２－１,２階図書館内,,飲み口型
小関児童センター,品川区北品川５－８－１５,児童センター内,,飲み口型
中原児童センター,品川区小山１－４－１,児童センター内,,飲み口型
後地児童センター,品川区小山２－９－１９,児童センター内,,飲み口型
戸越駅（都営浅草線）,品川区戸越３－４－１７,ホーム,有料,飲み口型
大原児童センター,品川区戸越６－１６－１,児童センター内,,飲み口型
ゆたか図書館,品川区豊町１－１７－７,１・２階図書館内,,飲み口型
荏原文化センター,品川区中延１－９－１５,２階,,飲み口型
源氏前図書館,品川区中延４－１４－１７,３階図書館内,,飲み口型
伊藤児童センター,品川区西大井６－１３－１,児童センター内,,飲み口型
冨士見台児童センター,品川区西大井６－１－８,児童センター内,,飲み口型
五反田図書館,品川区西五反田６－５－１,２階図書館内,,飲み口型
三ツ木児童センター,品川区西品川２－６－１３,児童センター内,,飲み口型
中延児童センター,品川区西中延１－６－１６,児童センター内,,飲み口型
水道局品川営業所,品川区西中延１－９－１０,１階,,飲み口型
西中延児童センター,品川区西中延３－８－５,児童センター内,,飲み口型
旗の台児童センター,品川区旗の台５－１９－５,児童センター内,,飲み口型
旗の台文化センター,品川区旗の台５－１９－５,２・３階,,飲み口型
東大井児童センター,品川区東大井１－２２－１６,児童センター内,,飲み口型
五反田駅（都営浅草線）,品川区東五反田１－２６－２,ホーム,有料,飲み口型
総合体育館,品川区東五反田２－１１－２,地下２階,,飲み口型
東五反田児童センター,品川区東五反田５－２４－１,児童センター内,,飲み口型
東品川児童センター,品川区東品川１－３４－９,児童センター内,,飲み口型
天王洲公園,"品川区東品川２－５－４２
～２－６－２３",クラブハウス１階ロビー,,飲み口型
東中延児童センター,品川区東中延２－５－１０,児童センター内,,飲み口型
中延駅（都営浅草線）,品川区東中延２－９－１２,ホーム,有料,飲み口型
平塚児童センター,品川区平塚２－２－３,児童センター内,,飲み口型
二葉図書館,品川区二葉１－４－２５,２階図書館内,,飲み口型
南大井児童センター,品川区南大井３－７－１３,児童センター内,,飲み口型
南大井図書館,品川区南大井３－７－１３,４階図書館内,,飲み口型
水神児童センター,品川区南大井５－１３－１９,児童センター内,,飲み口型
南品川児童センター,品川区南品川４－５－２８,児童センター内,,飲み口型
八潮児童センター,品川区八潮５－１０－２７,児童センター内,,飲み口型
ゆたか児童センター,品川区豊町１－１８－１５,児童センター内,,飲み口型
戸越体育館,品川区豊町２－１－１７,１階ロビー・２階,,飲み口型
南ゆたか児童センター,品川区豊町４－１７－２１,児童センター内,,飲み口型
八潮図書館,品川区八潮５－１０－２７,３階図書館内,,飲み口型
五本木小学校屋内プール,目黒区五本木２－２４－３,受付右,,飲み口型
目黒区総合庁舎,目黒区上目黒２－１９－１５,本館１・２・３階、別館２階,,飲み口型
中央町さくらプラザ,目黒区中央町２－４－１８,１階ロビー,,飲み口型
水道局目黒営業所,目黒区中町２－４３－１８,１階,,飲み口型
中目黒スクエア,目黒区中目黒２－１０－１３,地下１階・６・４・３階,,飲み口型
東山児童館,目黒区東山３－２４－２,２階廊下,,飲み口型
東山社会教育館,目黒区東山３－２４－２,２階ロビー,,飲み口型
東京都写真美術館,目黒区三田１－１３－３,地下１階トイレ前・２階トイレ前・３階トイレ前,,飲み口型
碑小学校屋内プール,目黒区碑文谷１－１８－１４,受付正面,,飲み口型
碑文谷保健センター,目黒区碑文谷４－１６－１８,１・２階,,飲み口型
碑文谷体育館,目黒区碑文谷６－１２－４３,１階体育室口ホール,,ボトルディスペンサー型・飲み口型
緑が丘文化会館,目黒区緑が丘２－１４－２３,１・２・３階,,飲み口型
緑が丘文化会館別館,目黒区緑が丘２－７－２０,１・２階,,飲み口型
目黒区民センター社会教育館,目黒区目黒２－４－３６,６階,,飲み口型
目黒区民センター体育館,目黒区目黒２－４－３６,１階トレーニング室・３階ロビー・地下プール,有料,飲み口型
目黒本町社会教育館,目黒区目黒本町２－１－２０,３階ロビー,,飲み口型
中央体育館,目黒区目黒本町５－２２－８,１・２・３・４階,,飲み口型
石川町文化センター,大田区石川町１－３－８,１階,,飲み口型
大森東特別出張所,大田区大森南４－９－１,１階ロビー,,飲み口型
大森スポーツセンター,大田区大森本町２－２－５,地下２・１階,,飲み口型
大田区役所本庁舎,大田区蒲田５－１３－１４,１階ロビー,,ボトルディスペンサー型・飲み口型
馬込駅（都営浅草線）,大田区北馬込２－３１－９,ホーム,有料,飲み口型
久が原特別出張所,大田区久が原４－１２－１０,１階,,飲み口型
新井宿特別出張所,大田区中央１－２１－６,１階,,飲み口型
嶺町文化センター,大田区田園調布本町７－１,１階,,飲み口型
大田市場,大田区東海３－２－１,事務棟２階展示室,,飲み口型
糀谷文化センター,大田区西糀谷２－１４－５,１階,,飲み口型
西馬込駅（都営浅草線）,大田区西馬込２－１－６,ホーム,有料,飲み口型
萩中公園水泳場,大田区萩中３－２６－４６,１階ロビー,,飲み口型
大田区総合体育館,大田区東蒲田１ー１１ー１,地下１階,,飲み口型
平和島公園水泳場,大田区平和島４－２－２,１階ホール,,飲み口型
鵜の木特別出張所,大田区南久が原２－３０－５,地下１階,,飲み口型
東調布公園水泳場,大田区南雪谷５－１３－１,１階エントランス・２階ギャラリー,,ボトルディスペンサー型・飲み口型
総合運動場温水プール,世田谷区大蔵4－6－1,地下２階男女更衣室・１階男女更衣室前,一部有料,飲み口型
総合運動場体育館,世田谷区大蔵4－6－1,地下１階ロビー,,ボトルディスペンサー型・飲み口型
総合運動場陸上競技場,世田谷区大蔵4－6－1,１階エントランス,,ボトルディスペンサー型
大蔵第二運動場,世田谷区大蔵４－７－１,トレーニングルーム・ゴルフ練習場,一部有料,飲み口型
岡本地区会館,世田谷区岡本１－２５－４,入口ロビー,,飲み口型
尾山台地域体育館,世田谷区尾山台３－１９－３,１階ロビー（アリーナ入口）,,飲み口型
粕谷区民センター,世田谷区粕谷４－１３－６,２階ロビー,,飲み口型
鎌田区民センター,世田谷区鎌田３－３５－１,１階入口ロビー・地下１階図書館入口付近,,飲み口型
上北沢地区会館,世田谷区上北沢２－１－３,１階ロビー,,飲み口型
上北沢区民センター,世田谷区上北沢３－８－９,１階ロビー,,飲み口型
砧野球場・サッカー場,世田谷区喜多見１－１２－２,１階ロビー,,飲み口型
桜丘区民センター別館,世田谷区桜丘２－２２－１,１階,,飲み口型
桜丘区民センター,世田谷区桜丘５－１４－１,地下１階・１階,,飲み口型
下馬図書館,世田谷区下馬２－３２－１,１階フロア,,飲み口型
砧図書館,世田谷区祖師谷３－１０－４,１・２階,,飲み口型
水道局世田谷営業所,世田谷区太子堂１－１３－１３,２階,,飲み口型
玉川台区民センター,世田谷区玉川台１－６－１５,地下１階,,飲み口型
千歳台地区会館,世田谷区千歳台３－３１－９,１階入口ロビー,,飲み口型
弦巻区民センター,世田谷区弦巻１－２６－１１,地下１階・１・２・３階,,飲み口型
中央図書館,世田谷区弦巻３－１６－８,１階図書館内,,飲み口型
教育会館,世田谷区弦巻３－１６－８,１階ロビー,,飲み口型
希望丘地域体育館,世田谷区船橋６－２５－１,１階廊下・３階自動販売機横,,ボトルディスペンサー型・飲み口型
千歳温水プール,世田谷区船橋７－９－１,２階,有料,飲み口型
世田谷文学館,世田谷区南烏山１－１０－１０,１階,,飲み口型
烏山図書館,世田谷区南烏山６－２－１９,４階図書館入口,,飲み口型
烏山総合支所,世田谷区南烏山６－２２－１４,１階受付横,,ボトルディスペンサー型・飲み口型
烏山区民センター,世田谷区南烏山６－２－９,地下１階・１・３・４階,,飲み口型
宮坂区民センター,世田谷区宮坂１－２４－６,地階,,飲み口型
経堂図書館,世田谷区宮坂３－１－３０,１階,,飲み口型
砧公園,世田谷区砧公園１－１,サービスセンター前,,ボトルディスペンサー型
富ヶ谷図書館,渋谷区上原１－４６－２,誰でもトイレ入口,,飲み口型
上原社会教育館,渋谷区上原３－１３－８,地下１階・２階,,飲み口型
渋谷区役所,渋谷区宇田川町１－１,１～１５階,,ボトルディスペンサー型・飲み口型
恵比寿社会教育館,渋谷区恵比寿２－２７－１８,地下１階,,飲み口型
長谷戸社会教育館,渋谷区恵比寿西１－２３－４,１階,,飲み口型
こもれび大和田図書館,"渋谷区桜丘町２３－２１
文化総合センター大和田２階",児童用トイレ前,,飲み口型
笹塚図書館,"渋谷区笹塚１－４７－１
メルクマール京王笹塚４階",カウンター横,,飲み口型
笹塚こども図書館,渋谷区笹塚３－３－１,２階窓口前,,飲み口型
美竹の丘・しぶや,渋谷区渋谷１－１８－９,１階総合案内前・２階階段,,飲み口型
中央図書館,渋谷区神宮前1-4-1,１・２・３・４階,,飲み口型
ケアコミュニティー・原宿の丘,渋谷区神宮前３－１２－８,１階受付前・１階レクリエーションホール,,飲み口型
千駄ヶ谷社会教育館,渋谷区千駄ヶ谷１－６－５,地下１階・１・２・３階,,飲み口型
東京体育館,渋谷区千駄ヶ谷１－１７－１,プール棟,有料,ボトルディスペンサー型・飲み口型
総合ケアコミュニティ・せせらぎ,渋谷区西原１－４０－１０,１・２階階段踊り場・２階正面玄関ＥＶ横,,飲み口型
西原図書館,渋谷区西原２－２８－９,２階検索機付近,,飲み口型
初台青年館,渋谷区初台１ー３３ー１０,４階,,飲み口型
幡ヶ谷社会教育館（一時使用休止中）,渋谷区幡ヶ谷２－５０－２,２・４階,,飲み口型
渋谷図書館,渋谷区東１－６－６,地下１階トイレ前・２階こども室入口,,飲み口型
リフレッシュ氷川,渋谷区東１－２６－２３,地下１階・３階,,飲み口型
ひがし健康プラザ,渋谷区東３－１４－１３,地下２階・地下１階・１・２階,,飲み口型
臨川みんなの図書館,渋谷区広尾１－９－１７,１階第３閲覧室廊下,,飲み口型
本町図書館,渋谷区本町１－３３－５,１階児童トイレ前、１階・２階一般トイレ前,,飲み口型
地域交流センター　二軒家,渋谷区本町３ー３５ー４,リラクゼーションルーム,,飲み口型
児童青少年センター,渋谷区本町６－６－２,Ｂ２階・Ｂ１階・１階各廊下・３階,,飲み口型
代々木駅（都営大江戸線）,渋谷区代々木１－３５－５,ホーム,有料,飲み口型
新宿駅（都営大江戸線）,渋谷区代々木２－１－１,ホーム,有料,飲み口型
東京観光情報センターバスタ新宿,渋谷区千駄ヶ谷5-24-55,バスタ新宿３階,,ボトルディスペンサー型
みずの塔ふれあいの家,中野区江古田１－９－２４,１階交流コーナー,,飲み口型
新江古田駅（都営大江戸線）,中野区江原町２－２９－１３,ホーム,有料,飲み口型
鷺宮スポーツ・コミュニティプラザ,中野区白鷺３－１－１３,１階体育館,,ボトルディスペンサー型
中野坂上駅（都営大江戸線）,中野区中央２－２－２８,ホーム,有料,飲み口型
水道局中野営業所,中野区中野１－５－７,１階,,飲み口型
城山ふれあいの家,中野区中野１－２０－４,１階事務室前,,飲み口型
中野区役所,中野区中野４－８－１,２階エレベーター前、２階南側出入口付近,,飲み口型
中野区社会福祉会館,中野区中野５－６８－７,４階,,飲み口型
東中野駅（都営大江戸線）,中野区東中野３－８－１６,ホーム,有料,飲み口型
南部スポーツ・コミュニティプラザ,中野区弥生町５－１１－２６,１階ロビー,,ボトルディスペンサー型
中野区立総合体育館,中野区新井３－３７－７８,１階エントランスロビー、１階メインアリーナ前、２階ラウンジ奥、３階トレーニングルーム内,,飲み口型
東部区民活動センター,中野区中央２－１８－２１,２階ロビー,,飲み口型
桃園区民活動センター,中野区中央４－５７－１,地下1階・1階ロビー,,飲み口型
上高田区民活動センター,中野区上高田２－１１－１,地下1階・1階・2階,,飲み口型
新井区民活動センター,中野区新井３ー１１－４,１階ロビー,,飲み口型
江古田区民活動センター,中野区江原町２－３－１５,１・２階ロビー,,飲み口型
野方区民活動センター,中野区野方５－３ー１,１・２・３階,,飲み口型
鍋横区民活動センター,中野区本町５－４７－１３,１階ロビー,,飲み口型
鷺宮区民活動センター,中野区鷺宮３ー２２－５,１階,,飲み口型
上鷺宮区民活動センター,中野区上鷺宮3ー７－６,１階ロビー,,飲み口型
中野区産業振興センター,中野区中野２－１３－１４,１階エントランスロビー,,飲み口型
阿佐谷図書館,杉並区阿佐谷北３－３６－１４,１・２階,,飲み口型
阿佐谷地域区民センター,杉並区阿佐谷北１－１－１,1階,,飲み口型
水道局和泉合同庁舎,杉並区和泉３－８－１０,２階,,飲み口型
今川図書館,杉並区今川４－１２－１０,１階,,飲み口型
高円寺地域区民センター,杉並区梅里１－２２－３２,地下1階、1階、2階、3階,,ボトルディスペンサー型・飲み口型
永福PA上り,杉並区永福１－５,地下１階トイレ前,有料,飲み口型
荻窪地域区民センター,杉並区荻窪２－３４－２０,地下２階廊下・２階廊下,,飲み口型
中央図書館,杉並区荻窪３－４０－２３,１階・２階,,飲み口型
荻窪体育館,杉並区荻窪３－４７－２,地下１階自動販売機前・１階武道館入口,,飲み口型
柿木図書館,杉並区上井草１－６－１３,１階,,飲み口型
上井草スポーツセンター,杉並区上井草３－３４－１,地下１階・１階廊下,,飲み口型
久我山会館,杉並区久我山３－２３－２０,１階ロビー,,飲み口型
高円寺図書館,杉並区高円寺南２－３６－２５,２・３階,,飲み口型
高円寺体育館,杉並区高円寺南２－３６－３１,２階廊下身障者用トイレ前,,飲み口型
妙正寺体育館,杉並区清水３－２０－１２,地下１階・１階廊下,,ボトルディスペンサー型・飲み口型
下井草図書館,杉並区下井草３－２６－５,１・２階,,飲み口型
井草地域区民センター,杉並区下井草５－７－２２,地下１階廊下・１階廊下・２階廊下,,飲み口型
ウェルファーム杉並,杉並区天沼３－１９－１６,１階、２階、３階,,ボトルディスペンサー型・飲み口型
高井戸図書館,杉並区高井戸東１－２８－１,１・２階,,飲み口型
高井戸地域区民センター,杉並区高井戸東３－７－５,１・３階,,飲み口型
成田図書館,杉並区成田東３－２８－５,１階,,飲み口型
西荻図書館,杉並区西荻北２－３３－９,,,飲み口型
