処分先,合計,燃え殻,汚泥,汚泥（内、上水汚泥）,汚泥（内、下水汚泥）,汚泥（内、建設汚泥）,汚泥（内、その他の汚泥）,廃油,廃酸,廃アルカリ,廃プラスチック類,ゴムくず,金属くず,ガラス・陶磁器くず,鉱さい,がれき類,がれき類（内、コンクリート塊）,がれき類（内、アスファルト･コンクリート塊）,がれき類（内、その他のがれき類）,石綿含有産業廃棄物,ばいじん,紙くず,木くず,繊維くず,動植物性残さ,動物系固形不要物,動物のふん尿,動物の死体,政令13号物,混合廃棄物,その他
滋賀県,1,,,,,,,,,,0,,0,,,,,,,1,,,,,,,,,,,
京都府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府,1,0,0,,,,0,0,,,0,,0,0,,0,0,0,,,0,0,0,,,,,,,0,0
兵庫県,22,,14,,,14,0,0,3,0,1,,,,,,,,,0,,,,,,,,,,,
奈良県,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
和歌山県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥取県,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
島根県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山県,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広島県,1,,0,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
山口県,1,,,,,,,,0,,,,0,0,,0,,,0,0,,,,,,,,,,,0
徳島県,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
香川県,0,,,,,,,,,,0,,0,0,,,,,,,,,0,,,,,,,,
愛媛県,0,,,,,,,,,,0,,0,0,,0,0,0,,,,,0,,,,,,,,0
高知県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
福岡県,1,,0,0,,,0,0,0,0,0,,0,0,,,,,,,,0,,,,,,,,,0
佐賀県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長崎県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊本県,37,,37,,,37,,,,,0,,,,,,,,,,,,,,,,,,,,
大分県,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
宮崎県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿児島県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,
沖縄県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,0,,0,,,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,0
東北,39,,2,,,2,0,0,0,0,1,,0,0,,15,14,1,0,8,3,2,0,0,,,,,,0,
関東,24345,3,16399,468,13065,2228,637,30,30,29,296,0,143,668,45,5795,3652,1014,1129,24,2,45,339,5,47,,41,,0,328,10
甲信越,60,,2,,1,,2,0,1,5,3,,0,3,,32,31,0,0,0,,0,7,,1,,,,,2,0
東海・中部,8,,0,,,,0,0,0,0,1,,0,1,,0,0,,,1,,1,2,1,,,,,,0,
近畿,23,0,14,,,14,0,0,3,0,1,,0,0,,0,0,0,,1,0,0,0,,,,,,,0,0
中国・四国,3,,0,,,,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,0
九州・沖縄,38,,37,0,,37,0,0,0,0,0,,0,0,,,,,,,,0,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
