町丁目,世帯数,男人数,女人数,合計人数
上荻4丁目,1997,1634,1836,3470
西荻南1丁目,1395,1152,1340,2492
西荻南2丁目,2596,1702,2237,3939
西荻南3丁目,1604,1151,1343,2494
西荻南4丁目,1632,1349,1578,2927
西荻北1丁目,1397,1174,1165,2339
西荻北2丁目,2465,1935,2405,4340
西荻北3丁目,3064,2142,2665,4807
西荻北4丁目,2326,1703,2004,3707
西荻北5丁目,1116,914,1038,1952
今川1丁目,1137,1125,1249,2374
今川2丁目,867,957,994,1951
今川3丁目,1426,1397,1483,2880
今川4丁目,1146,1149,1228,2377
清水1丁目,1887,1493,1732,3225
清水2丁目,969,920,1028,1948
清水3丁目,1773,1728,1813,3541
桃井1丁目,2159,1894,1998,3892
桃井2丁目,1291,1232,1436,2668
桃井3丁目,1202,1224,1431,2655
桃井4丁目,1441,1226,1314,2540
井草1丁目,2551,2222,2426,4648
井草2丁目,2967,2880,3115,5995
井草3丁目,1610,1260,1392,2652
井草4丁目,1236,960,1028,1988
井草5丁目,1134,987,1014,2001
下井草1丁目,1888,1590,1660,3250
下井草2丁目,2163,1977,2135,4112
下井草3丁目,2582,2255,2465,4720
下井草4丁目,2020,1788,1939,3727
下井草5丁目,1462,1172,1272,2444
上井草1丁目,1939,1679,1887,3566
上井草2丁目,2695,2517,2640,5157
上井草3丁目,1965,2051,2088,4139
上井草4丁目,1354,1396,1555,2951
善福寺1丁目,2008,1881,2150,4031
善福寺2丁目,1913,1732,2049,3781
善福寺3丁目,1000,981,1097,2078
善福寺4丁目,1032,1115,1174,2289
松庵1丁目,1872,1746,2029,3775
松庵2丁目,1438,1196,1443,2639
松庵3丁目,2703,2006,2362,4368
宮前1丁目,943,826,907,1733
宮前2丁目,1667,1714,1891,3605
宮前3丁目,2631,2570,2672,5242
宮前4丁目,2298,2170,2339,4509
宮前5丁目,2058,1925,2083,4008
久我山1丁目,919,735,860,1595
久我山2丁目,1420,1245,1443,2688
久我山3丁目,3023,2426,2821,5247
久我山4丁目,2638,2353,2781,5134
久我山5丁目,3007,2568,2962,5530
高井戸東1丁目,1790,1759,1999,3758
高井戸東2丁目,2135,1783,2020,3803
高井戸東3丁目,3816,3439,3980,7419
高井戸東4丁目,2574,2322,2544,4866
高井戸西1丁目,3499,2313,3225,5538
高井戸西2丁目,1553,1418,1696,3114
高井戸西3丁目,1356,1292,1369,2661
上高井戸1丁目,4143,2896,3501,6397
上高井戸2丁目,1819,1718,1913,3631
上高井戸3丁目,1294,1096,1090,2186
