町丁目,世帯数,男人数,女人数,合計人数
西荻南1丁目,1400,1153,1341,2494
西荻南2丁目,2594,1706,2230,3936
西荻南3丁目,1597,1147,1338,2485
西荻南4丁目,1638,1354,1574,2928
西荻北1丁目,1405,1175,1174,2349
西荻北2丁目,2466,1940,2413,4353
西荻北3丁目,3059,2131,2672,4803
西荻北4丁目,2342,1712,2017,3729
西荻北5丁目,1103,913,1032,1945
今川1丁目,1132,1124,1246,2370
今川2丁目,866,958,990,1948
今川3丁目,1429,1396,1492,2888
今川4丁目,1148,1157,1226,2383
清水1丁目,1899,1505,1736,3241
清水2丁目,970,918,1033,1951
清水3丁目,1766,1724,1810,3534
桃井1丁目,2172,1898,2000,3898
桃井2丁目,1297,1237,1435,2672
桃井3丁目,1209,1230,1436,2666
桃井4丁目,1438,1228,1311,2539
井草1丁目,2550,2215,2424,4639
井草2丁目,2966,2877,3112,5989
井草3丁目,1604,1258,1388,2646
井草4丁目,1245,964,1031,1995
井草5丁目,1140,993,1016,2009
下井草1丁目,1885,1588,1663,3251
下井草2丁目,2169,1982,2138,4120
下井草3丁目,2586,2256,2469,4725
下井草4丁目,2031,1790,1948,3738
下井草5丁目,1463,1166,1278,2444
上井草1丁目,1942,1680,1893,3573
上井草2丁目,2709,2523,2650,5173
上井草3丁目,1964,2055,2083,4138
上井草4丁目,1363,1402,1562,2964
善福寺1丁目,2010,1883,2160,4043
善福寺2丁目,1913,1728,2051,3779
善福寺3丁目,998,983,1098,2081
善福寺4丁目,1033,1115,1179,2294
松庵1丁目,1876,1750,2031,3781
松庵2丁目,1451,1209,1444,2653
松庵3丁目,2707,2005,2362,4367
宮前1丁目,944,826,911,1737
宮前2丁目,1668,1716,1886,3602
宮前3丁目,2624,2571,2663,5234
宮前4丁目,2300,2173,2339,4512
宮前5丁目,2065,1922,2087,4009
久我山1丁目,921,737,862,1599
久我山2丁目,1425,1254,1446,2700
久我山3丁目,3025,2423,2826,5249
久我山4丁目,2639,2356,2784,5140
久我山5丁目,3003,2565,2960,5525
高井戸東1丁目,1798,1769,2001,3770
高井戸東2丁目,2134,1792,2013,3805
高井戸東3丁目,3825,3446,3969,7415
高井戸東4丁目,2579,2325,2549,4874
高井戸西1丁目,3495,2309,3218,5527
高井戸西2丁目,1548,1413,1693,3106
高井戸西3丁目,1363,1305,1375,2680
上高井戸1丁目,4145,2907,3499,6406
上高井戸2丁目,1810,1709,1904,3613
上高井戸3丁目,1294,1099,1093,2192
