町丁目,世帯数,男人数,女人数,合計人数
阿佐谷北6丁目,1805,1659,1705,3364
天沼1丁目,2483,2134,1914,4048
天沼2丁目,3128,2573,2688,5261
天沼3丁目,3990,2966,3182,6148
本天沼1丁目,1834,1626,1563,3189
本天沼2丁目,2446,2324,2270,4594
本天沼3丁目,1845,1819,1914,3733
成田西1丁目,1321,1367,1469,2836
成田西2丁目,1421,1517,1576,3093
成田西3丁目,972,1075,1129,2204
成田西4丁目,443,459,465,924
成田東1丁目,2458,2237,2367,4604
成田東2丁目,1706,1833,1948,3781
成田東3丁目,1852,1617,1669,3286
成田東4丁目,3040,2700,3014,5714
成田東5丁目,3511,2719,3120,5839
荻窪1丁目,2613,2638,2750,5388
荻窪2丁目,2184,1915,2092,4007
荻窪3丁目,3687,3398,3626,7024
荻窪4丁目,2702,1980,2351,4331
荻窪5丁目,3114,2231,2628,4859
南荻窪1丁目,1912,1852,1991,3843
南荻窪2丁目,1923,1965,2052,4017
南荻窪3丁目,1628,1465,1563,3028
南荻窪4丁目,1967,1607,1819,3426
上荻1丁目,1156,782,909,1691
上荻2丁目,3203,2523,2546,5069
上荻3丁目,1765,1663,1781,3444
上荻4丁目,2000,1629,1839,3468
西荻南1丁目,1401,1152,1347,2499
西荻南2丁目,2589,1696,2231,3927
西荻南3丁目,1609,1159,1348,2507
西荻南4丁目,1629,1341,1566,2907
西荻北1丁目,1405,1181,1171,2352
西荻北2丁目,2475,1938,2412,4350
西荻北3丁目,3082,2156,2669,4825
西荻北4丁目,2328,1701,2006,3707
西荻北5丁目,1122,915,1042,1957
今川1丁目,1144,1131,1263,2394
今川2丁目,859,947,984,1931
今川3丁目,1419,1388,1482,2870
今川4丁目,1148,1151,1221,2372
清水1丁目,1890,1495,1733,3228
清水2丁目,969,924,1025,1949
清水3丁目,1775,1727,1813,3540
桃井1丁目,2159,1901,1990,3891
桃井2丁目,1295,1235,1435,2670
桃井3丁目,1201,1222,1423,2645
桃井4丁目,1437,1223,1312,2535
井草1丁目,2554,2222,2425,4647
井草2丁目,2978,2881,3118,5999
井草3丁目,1614,1261,1392,2653
井草4丁目,1239,958,1028,1986
井草5丁目,1129,986,1013,1999
下井草1丁目,1885,1594,1658,3252
下井草2丁目,2171,1986,2139,4125
下井草3丁目,2585,2263,2470,4733
下井草4丁目,2022,1783,1940,3723
下井草5丁目,1457,1163,1273,2436
上井草1丁目,1929,1671,1872,3543
上井草2丁目,2677,2517,2625,5142
上井草3丁目,1971,2059,2094,4153
上井草4丁目,1347,1388,1547,2935
善福寺1丁目,2004,1876,2152,4028
善福寺2丁目,1903,1732,2043,3775
善福寺3丁目,1007,985,1109,2094
善福寺4丁目,1036,1116,1173,2289
松庵1丁目,1865,1747,2026,3773
松庵2丁目,1436,1194,1444,2638
松庵3丁目,2696,2008,2352,4360
宮前1丁目,946,819,912,1731
宮前2丁目,1664,1709,1890,3599
宮前3丁目,2634,2572,2680,5252
宮前4丁目,2303,2177,2342,4519
宮前5丁目,2061,1924,2086,4010
久我山1丁目,921,735,863,1598
久我山2丁目,1423,1248,1442,2690
久我山3丁目,3015,2419,2821,5240
久我山4丁目,2629,2349,2777,5126
久我山5丁目,3007,2573,2954,5527
高井戸東1丁目,1787,1757,1998,3755
高井戸東2丁目,2134,1785,2015,3800
高井戸東3丁目,3800,3430,3966,7396
高井戸東4丁目,2575,2321,2539,4860
高井戸西1丁目,3506,2321,3226,5547
高井戸西2丁目,1550,1414,1694,3108
高井戸西3丁目,1363,1299,1376,2675
上高井戸1丁目,4151,2902,3502,6404
上高井戸2丁目,1811,1717,1909,3626
上高井戸3丁目,1285,1090,1082,2172
