"設置場所","住所","設置台数[台]","利用場所","緯度","経度"
"セブン-イレブン虎ノ門4丁目","東京都港区虎ノ門四丁目3番10号虎ノ門きよしビル","1",,"35.66435","139.744169"
"セブン-イレブン虎ノ門5丁目","東京都港区虎ノ門五丁目12番1号","1",,"35.6628","139.745372"
"セブン-イレブン港区飯倉","東京都港区麻布台一丁目9番8号","1",,"35.659856","139.742425"
"セブン-イレブン虎ノ門1丁目","東京都港区虎ノ門一丁目14番1号","1",,"35.668888","139.74931"
"セブン-イレブン新橋5丁目","東京都港区新橋五丁目34番3号","1",,"35.662981","139.753635"
"セブン-イレブン港区芝5丁目北","東京都港区芝五丁目3番2号","1",,"35.650101","139.74595"
"セブン-イレブン芝浦ベイワード","東京都港区芝浦二丁目6番11号","1",,"35.644055","139.75333"
"セブン-イレブン港区三田1丁目","東京都港区三田一丁目7番1号パ-クコ-ト麻布十番1階","1",,"35.654651","139.739406"
"セブン-イレブン白金台プラチナ通り","東京都港区白金台五丁目14番1号","1",,"35.638605","139.722694"
"セブン-イレブン日立ハイテクビル","東京都港区西新橋一丁目24番14号-B1F","1",,"35.668377","139.751362"
"セブン-イレブン港区溜池山王","東京都港区赤坂一丁目4番1号","1",,"35.670385","139.743391"
"セブン-イレブン赤坂4丁目","東京都港区赤坂四丁目9番9号","1",,"35.675193","139.733003"
"セブン-イレブン新橋SL広場前","東京都港区新橋二丁目8番9号","1",,"35.667108","139.756976"
"セブン-イレブン六本木駅北","東京都港区六本木七丁目14番23号","1",,"35.663722","139.730764"
"セブン-イレブン新橋1丁目","東京都港区新橋一丁目16番4号","1",,"35.668241","139.756912"
"セブン-イレブン赤坂6丁目","東京都港区赤坂六丁目14番15号","1",,"35.669702","139.733286"
"セブン-イレブン芝浦4丁目","東京都港区芝浦四丁目15番33号","1",,"35.638447","139.747517"
"セブン-イレブン浜松町1丁目北","東京都港区浜松町一丁目2番1号","1",,"35.660039","139.755924"
"セブン-イレブン赤坂ガーデンシティ","東京都港区赤坂四丁目15番1号","1",,"35.674057","139.731439"
"セブン-イレブン港区広尾駅北","東京都港区南麻布五丁目10番38号","1",,"35.6543","139.722935"
"セブン-イレブン虎ノ門37森ビル","東京都港区虎ノ門三丁目5番1号","1",,"35.666544","139.746149"
"セブン-イレブン新橋2丁目","東京都港区新橋二丁目10番3号","1",,"35.667289","139.755873"
"セブン-イレブン港区芝浦ふ頭","東京都港区海岸三丁目12番7号","1",,"35.640228","139.755905"
"セブン-イレブン西麻布3丁目六本木通り","東京都港区西麻布三丁目1番22号","1",,"35.660647","139.727132"
"セブン-イレブン浜松町2丁目","東京都港区浜松町二丁目13番5号","1",,"35.653279","139.754829"
"セブン-イレブン港区南青山7丁目中央","東京都港区南青山七丁目10番3号","1",,"35.659102","139.718294"
"セブン-イレブン赤坂8丁目","東京都港区赤坂八丁目10番22号","1",,"35.670379","139.726959"
"セブン-イレブン西新橋1丁目外堀通り","東京都港区西新橋一丁目6番13号","1",,"35.669588","139.752826"
"セブン-イレブン芝フロントビル","東京都港区芝四丁目11番3号","1",,"35.648135","139.750894"
"セブン-イレブン青山1丁目駅前","東京都港区赤坂八丁目4番23号","1",,"35.673279","139.726692"
"セブン-イレブン赤坂3丁目みすじ通り","東京都港区赤坂三丁目10番12号","1",,"35.675543","139.736863"
"セブン-イレブン芝浦3丁目","東京都港区芝浦三丁目14番15号","1",,"35.642436","139.747"
"セブン-イレブン赤坂3丁目一ツ木通り","東京都港区赤坂三丁目16番7号","1",,"35.674687","139.736422"
"セブン-イレブン品川駅前","東京都港区高輪三丁目25番20号","1",,"35.630301","139.737793"
"セブン-イレブン六本木3丁目","東京都港区六本木三丁目4番31号","1",,"35.664774","139.735833"
"セブン-イレブン芝公園1丁目","東京都港区芝公園一丁目7番6号","1",,"35.657967","139.752402"
"セブン-イレブン港区白金1丁目南","東京都港区白金一丁目25番20号","1",,"35.643832","139.732251"
"セブン-イレブングランドプリンスホテル新高輪","東京都港区高輪三丁目13番1号","1",,"35.630959","139.735268"
"セブン-イレブン港区南青山3丁目","東京都港区南青山三丁目15番6号","1",,"35.665121","139.715641"
"セブン-イレブンセレスティン芝三井ビル","東京都港区芝三丁目23番1号","1",,"35.651112","139.748958"
"セブン-イレブン港区虎ノ門駅南","東京都港区虎ノ門一丁目2番4号","1",,"35.669952","139.748807"
"セブン-イレブン港区一の橋","東京都港区麻布十番四丁目1番8号","1",,"35.654914","139.737345"
"セブン-イレブン泉岳寺駅前","東京都港区三田三丁目11番22号","1",,"35.640172","139.741251"
"セブン-イレブン南麻布","東京都港区南麻布二丁目8番10号ベルナール麻布1F","1",,"35.648637","139.736492"
"セブン-イレブン高輪台駅前","東京都港区白金台二丁目26番8号ハイツ白金台1F","1",,"35.632017","139.730243"
"セブン-イレブン浜松町1丁目中央","東京都港区浜松町一丁目20番8号山市ビル1F","1",,"35.657745","139.756737"
"セブン-イレブン港区赤坂駅南","東京都港区赤坂二丁目17番54号グランドメゾン赤坂1F","1",,"35.670185","139.738425"
"セブン-イレブンテレビ東京本社","東京都港区六本木三丁目2番1号住友不動産六本木グランドタワー<テレビ東京>11F","1",,"35.664588","139.737767"
"セブン-イレブン六本木ティーキューブ","東京都港区六本木三丁目1番1号","1",,"35.665638","139.738111"
"セブン-イレブン赤坂2丁目","東京都港区赤坂二丁目13番1号ルーセント赤坂1F","1",,"35.673046","139.738266"
"セブン-イレブン港区芝2丁目","東京都港区芝二丁目16番7号-1F","1",,"35.651235","139.752227"
"セブン-イレブン品川イーストワンタワー","東京都港区港南二丁目16番1号","1",,"35.627765","139.740768"
"セブン-イレブン港区乃木坂駅南","東京都港区六本木七丁目3番12号","1",,"35.665952","139.728417"
"セブン-イレブン港区芝浦3なぎさ通り","東京都港区芝浦三丁目11番8号","1",,"35.642816","139.749786"
"セブン-イレブン外苑前駅前","東京都港区北青山二丁目7番19号","1",,"35.670596","139.717004"
"セブン-イレブン7FS芝浦スクエアビル","東京都港区芝浦四丁目9番25号","1",,"35.640097","139.745889"
"セブン-イレブン港区芝4丁目","東京都港区芝四丁目7番8号","1",,"35.649035","139.752149"
"セブン-イレブン品川プリンスホテル","東京都港区高輪四丁目10番30号","1",,"35.627923","139.735154"
"セブン-イレブン南青山5丁目","東京都港区南青山五丁目13番3号","1",,"35.661119","139.713905"
"セブン-イレブン港区芝浦1丁目","東京都港区芝浦一丁目13番10号","1",,"35.646357","139.752991"
"セブン-イレブン三田駅北","東京都港区芝四丁目3番5号","1",,"35.649018","139.750285"
"セブン-イレブン三田国際ビル","東京都港区三田一丁目4番28号","1",,"35.653656","139.744744"
"セブン-イレブン西新橋3丁目","東京都港区西新橋三丁目6番10号","1",,"35.664855","139.751896"
"セブン-イレブン港区白金台1丁目","東京都港区白金台一丁目4番20号","1",,"35.636372","139.728727"
"セブン-イレブンなぎさテラス","東京都港区芝浦三丁目1番32号","1",,"35.644708","139.748655"
"セブン-イレブン神谷町駅東","東京都港区虎ノ門三丁目17番1号","1",,"35.66408","139.746524"
"セブン-イレブン神谷町駅北","東京都港区虎ノ門四丁目3番13号","1",,"35.663761","139.744202"
"セブン-イレブン港区芝1丁目","東京都港区芝一丁目12番7号","1",,"35.650826","139.755027"
"セブン-イレブン南麻布5外苑西通り","東京都港区南麻布五丁目1番10号","1",,"35.655222","139.722796"
"セブン-イレブン港区三田5丁目","東京都港区三田五丁目18番3号","1",,"35.644763","139.737287"
"セブン-イレブン赤坂氷川坂下","東京都港区赤坂六丁目11番1号","1",,"35.669561","139.734926"
"セブン-イレブン御成門駅北","東京都港区新橋六丁目16番10号","1",,"35.66212","139.752254"

"特設災害時公衆電話事前設置場所一覧","Ver202004",,,,
