 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"3,702",779,"44,955","14,231",556,779,"8,264","14,228","3,146",-,"36,691",3
,303.7%,74.0%,249.1%,167.3%,237.6%,74.0%,299.5%,167.3%,319.4%,-,240.0%,50.0%
印パ･ペルシャ･ベンガル,-,-,"23,426",870,-,-,"18,538",861,-,-,"4,888",9
,-,-,25.3%,14.6%,-,-,33.7%,14.6%,-,-,13.0%,22.5%
東南アジア,"130,105","23,601","1,148,722","198,786","35,707","23,475","323,014","196,142","94,398",126,"825,708","2,644"
,125.9%,141.0%,113.5%,102.9%,126.4%,141.6%,120.4%,103.1%,125.7%,78.8%,111.1%,90.0%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"12,523","5,264","116,496","45,251","3,568","5,164","33,613","44,035","8,955",100,"82,883","1,216"
,126.8%,151.1%,104.9%,99.0%,105.7%,152.5%,105.8%,99.5%,137.8%,103.1%,104.6%,82.3%
中国(香港含む),"73,683","48,740","763,737","474,155","13,013","48,541","144,969","472,372","60,670",199,"618,768","1,783"
,93.2%,102.9%,92.7%,106.3%,93.8%,102.7%,87.7%,106.5%,93.1%,186.0%,94.0%,83.3%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"23,629","23,344","232,802","219,500","11,525","21,668","124,734","201,430","12,104","1,676","108,068","18,070"
,95.8%,109.7%,97.0%,105.6%,80.8%,110.7%,93.5%,105.8%,116.4%,97.4%,101.3%,103.1%
内航定期計,"17,835","3,554","158,852","36,602","9,120","2,068","82,167","21,973","8,715","1,486","76,685","14,629"
,113.5%,99.6%,101.7%,103.3%,115.5%,107.5%,104.4%,110.2%,111.5%,90.3%,99.1%,94.4%
北海道,"6,666",318,"58,087","2,109","3,466",138,"30,390","1,009","3,200",180,"27,697","1,100"
,102.8%,112.4%,95.8%,70.3%,100.8%,164.3%,96.3%,124.6%,105.0%,90.5%,95.2%,50.2%
東北,"3,032",988,"33,332","10,228","1,593",885,"16,001","9,041","1,439",103,"17,331","1,187"
,123.7%,101.9%,108.5%,91.7%,140.6%,108.1%,112.3%,89.2%,109.2%,68.2%,105.2%,115.8%
関東,-,-,93,90,-,-,93,-,-,-,-,90
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,515",940,"12,316","7,514",237,905,"1,702","7,115","1,278",35,"10,614",399
,111.2%,104.4%,87.9%,92.0%,1316.7%,100.6%,140.2%,87.1%,95.0%,-,82.9%,39900.0%
近畿,851,140,"4,554","4,808",30,140,262,"4,808",821,-,"4,292",-
,126.1%,80.5%,85.6%,385.6%,65.2%,117.6%,37.0%,707.1%,130.5%,-,93.1%,-
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,446",-,"21,033",-,"1,208",-,"10,611",-,"1,238",-,"10,422",-
,121.8%,-,98.8%,-,124.5%,-,101.3%,-,119.3%,-,96.3%,-
沖縄,"3,325","1,168","29,437","11,853","2,586",-,"23,108",-,739,"1,168","6,329","11,853"
,121.8%,94.1%,121.9%,100.2%,113.0%,-,112.6%,-,168.0%,94.1%,175.0%,101.3%
内航不定期,"5,794","19,790","73,950","182,898","2,405","19,600","42,567","179,457","3,389",190,"31,383","3,441"
,64.7%,111.7%,88.1%,106.0%,37.7%,111.1%,77.9%,105.3%,131.4%,253.3%,107.2%,168.8%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
