年次,南武線_府中本町_乗車人員_総数(人),南武線_府中本町_乗車人員_定期(人),南武線_府中本町_乗車人員_普通(人),南武線_府中本町_1日平均乗客人数(人),南武線_分倍河原_乗車人員_総数(人),南武線_分倍河原_乗車人員_定期(人),南武線_分倍河原_乗車人員_普通(人),南武線_分倍河原_1日平均乗客人数(人),南武線_西府_乗車人員_総数(人),南武線_西府_乗車人員_定期(人),南武線_西府_乗車人員_普通(人),南武線_西府_1日平均乗客人数(人),武蔵野線_北府中_乗車人員_総数(人),武蔵野線_北府中_乗車人員_定期(人),武蔵野線_北府中_乗車人員_普通(人),武蔵野線_北府中_1日平均乗客人数(人)
1984,3447000,1153000,2294000,9418,8660000,5012000,3649000,23661,…,…,…,…,1882000,1546000,337000,5142
1985,3482000,1192000,2290000,9540,9643000,5810000,3833000,26419,…,…,…,…,2023000,1613000,410000,5542
1986,2993000,727000,2266000,8200,10318000,6185000,4133000,28268,…,…,…,…,1796000,1290000,507000,4921
1987,3754000,1343000,2411000,10284,10657000,4600000,6057000,29197,…,…,…,…,2358000,1993000,365000,6460
1988,4123000,1447000,2676000,11265,9220000,7136000,2084000,25191,…,…,…,…,2819000,2185000,634000,7702
1989,4432000,1535000,2897000,12142,9899000,7638000,2261000,27121,…,…,…,…,3132000,2415000,716000,8581
1990,4811000,1608000,3203000,13181,10527000,8107000,2420000,28841,…,…,…,…,3532000,2732000,800000,9677
1991,5016000,1700000,3316000,13742,11157000,8519000,2638000,30567,…,…,…,…,4093000,3218000,875000,11214
1992,5591000,1811000,3781000,15318,11893000,9097000,2796000,32584,…,…,…,…,4580000,3589000,991000,12548
1993,6083000,2001000,4082000,16666,12625000,9708000,2917000,34589,…,…,…,…,4635000,3651000,984000,12699
1994,6680000,2124000,4556000,18301,12934000,10028000,2906000,35436,…,…,…,…,4621000,3652000,969000,12660
1995,6911000,2226000,4685000,18934,13049000,10139000,2910000,35751,…,…,…,…,4600000,3633000,967000,12603
1996,7029000,2360000,4669000,19258,13042000,10102000,2940000,35732,…,…,…,…,4433000,3498000,935000,12145
1997,6830000,2375000,4455000,18712,12992000,10094000,2898000,35595,…,…,…,…,4248000,3328000,920000,11638
1998,6709000,2391000,4317000,18381,12932000,9969000,2964000,35430,…,…,…,…,4130000,3231000,898000,11315
1999,6634000,2386000,4248000,18175,12764000,9803000,2961000,34970,…,…,…,…,4088000,3173000,915000,11200
2000,6314458,2380144,3934314,17300,12533506,9141964,3391542,34338,…,…,…,…,4130378,3202587,927791,11316
2001,6205091,2441480,3763611,17000,12474294,8872768,3601526,34176,…,…,…,…,4134546,3197884,936662,11328
2002,5975573,2540499,3435074,16371,12300935,8589647,3711288,33701,…,…,…,…,4217412,3253334,964078,11555
2003,6268834,2564825,3704009,17128,12438597,8612771,3825826,33985,…,…,…,…,4347574,3350031,997543,11879
2004,6207349,2615075,3592274,17006,12666385,8798328,3868057,34702,…,…,…,…,4256546,3305021,951525,11662
2005,6192278,2597091,3595187,16965,13129152,9150892,3978260,35970,…,…,…,…,4156127,3218071,938056,11387
2006,6218477,2620778,3597699,17037,13424490,9301320,4123170,36779,…,…,…,…,4309333,3338974,970359,11806
2007,6388395,2674321,3714074,17454,14403168,9787136,4616032,39352,…,…,…,…,4674387,3602255,1072132,12771
2008,6403207,2711179,3692028,17543,14737881,9979990,4757891,40377,…,…,…,…,4804298,3699167,1105131,13162
2009,6316020,2732280,3583740,17304,13738905,9160414,4578491,37640,2426313,1598055,828258,6647,4776521,3721015,1055506,13086
2010,6090552,2719319,3371233,16686,13775089,9228954,4546135,37739,2801523,1921123,880400,7675,4967957,3897979,1069978,13610
2011,6063053,2699447,3363606,16565,13761188,9209679,4551509,37598,3003167,2095668,907499,8205,4937694,3870769,1066925,13490
2012,6176769,2760780,3415989,16922,14009442,9265452,4743990,38382,3295177,2295363,999814,9027,4999126,3885072,1114054,13696
2013,6255604,2816996,3438608,17138,14260292,9417536,4842756,39069,3551522,2523320,1028202,9730,5131599,3976883,1154716,14059
2014,6233968,2779419,3454549,17079,14293027,9329532,4963495,39158,3700298,2651164,1049134,10137,5177406,4002264,1175142,14184
2015,6298818,2829323,3469495,17209,14653291,9535286,5118005,40036,3755549,2686878,1068671,10261,5523305,4284014,1239291,15090
2016,6322519,2857212,3465307,17321,14727910,9554864,5173046,40350,3751782,2696460,1055322,10278,5524772,4305157,1219615,15136
2017,6371023,2907202,3463821,17454,14933526,9682894,5250632,40913,3740728,2695432,1045296,10248,5570309,4365757,1204552,15261
2018,6383494,2889105,3494389,17489,15069312,9716650,5352662,41285,3781243,2722910,1058333,10359,5575926,4393548,1182378,15276
2019,6268116,2887374,3380742,17126,15093840,9875412,5218428,41240,3903024,2852604,1050054,10664,5513424,4372236,1140822,15064
2020,3943460,2361550,1581545,10804,11159510,7631420,3527725,30574,3120020,2352060,767595,8548,4532570,3735045,797160,12418
2021,4354815,2315925,2038890,11931,11834760,7696390,4138370,32424,3129510,2258620,870890,8574,4482565,3592330,890235,12281
2022,5129345,2371770,2757575,14053,12777190,8013210,4763980,35006,3318580,2338920,979660,9092,4398250,3455090,943160,12050
