年次,月,総数_自転車駐車場_収容台数,総数_バイク駐車場_収容台数,総数_自転車_総利用台数,総数_バイク_総利用台数,総数_自転車駐車場_利用台数,総数_バイク駐車場_利用台数,総数_自転車_放置台数,総数_バイク_放置台数,京王線_総数_自転車駐車場_収容台数,京王線_総数_バイク駐車場_収容台数,京王線_総数_自転車_総利用台数,京王線_総数_バイク_総利用台数,京王線_総数_自転車駐車場_利用台数,京王線_総数_バイク駐車場_利用台数,京王線_総数_自転車_放置台数,京王線_総数_バイク_放置台数,京王線_武蔵野台_自転車駐車場_収容台数,京王線_武蔵野台_バイク駐車場_収容台数,京王線_武蔵野台_自転車_総利用台数,京王線_武蔵野台_バイク_総利用台数,京王線_武蔵野台_自転車駐車場_利用台数,京王線_武蔵野台_バイク駐車場_利用台数,京王線_武蔵野台_自転車_放置台数,京王線_武蔵野台_バイク_放置台数,京王線_多磨霊園_自転車駐車場_収容台数,京王線_多磨霊園_バイク駐車場_収容台数,京王線_多磨霊園_自転車_総利用台数,京王線_多磨霊園_バイク_総利用台数,京王線_多磨霊園_自転車駐車場_利用台数,京王線_多磨霊園_バイク駐車場_利用台数,京王線_多磨霊園_自転車_放置台数,京王線_多磨霊園_バイク_放置台数,京王線_東府中_自転車駐車場_収容台数,京王線_東府中_バイク駐車場_収容台数,京王線_東府中_自転車_総利用台数,京王線_東府中_バイク_総利用台数,京王線_東府中_自転車駐車場_利用台数,京王線_東府中_バイク駐車場_利用台数,京王線_東府中_自転車_放置台数,京王線_東府中_バイク_放置台数,京王線_府中_自転車駐車場_収容台数,京王線_府中_バイク駐車場_収容台数,京王線_府中_自転車_総利用台数,京王線_府中_バイク_総利用台数,京王線_府中_自転車駐車場_利用台数,京王線_府中_バイク駐車場_利用台数,京王線_府中_自転車_放置台数,京王線_府中_バイク_放置台数,京王線_分倍河原_自転車駐車場_収容台数,京王線_分倍河原_バイク駐車場_収容台数,京王線_分倍河原_自転車_総利用台数,京王線_分倍河原_バイク_総利用台数,京王線_分倍河原_自転車駐車場_利用台数,京王線_分倍河原_バイク駐車場_利用台数,京王線_分倍河原_自転車_放置台数,京王線_分倍河原_バイク_放置台数,京王線_中河原_自転車駐車場_収容台数,京王線_中河原_バイク駐車場_収容台数,京王線_中河原_自転車_総利用台数,京王線_中河原_バイク_総利用台数,京王線_中河原_自転車駐車場_利用台数,京王線_中河原_バイク駐車場_利用台数,京王線_中河原_自転車_放置台数,京王線_中河原_バイク_放置台数,京王線_府中競馬正門前_自転車駐車場_収容台数,京王線_府中競馬正門前_バイク駐車場_収容台数,京王線_府中競馬正門前_自転車_総利用台数,京王線_府中競馬正門前_バイク_総利用台数,京王線_府中競馬正門前_自転車駐車場_利用台数,京王線_府中競馬正門前_バイク駐車場_利用台数,京王線_府中競馬正門前_自転車_放置台数,京王線_府中競馬正門前_バイク_放置台数,西武(多摩川)線_総数_自転車駐車場_収容台数,西武(多摩川)線_総数_バイク駐車場_収容台数,西武(多摩川)線_総数_自転車_総利用台数,西武(多摩川)線_総数_バイク_総利用台数,西武(多摩川)線_総数_自転車駐車場_利用台数,西武(多摩川)線_総数_バイク駐車場_利用台数,西武(多摩川)線_総数_自転車_放置台数,西武(多摩川)線_総数_バイク_放置台数,西武(多摩川)線_多磨_自転車駐車場_収容台数,西武(多摩川)線_多磨_バイク駐車場_収容台数,西武(多摩川)線_多磨_自転車_総利用台数,西武(多摩川)線_多磨_バイク_総利用台数,西武(多摩川)線_多磨_自転車駐車場_利用台数,西武(多摩川)線_多磨_バイク駐車場_利用台数,西武(多摩川)線_多磨_自転車_放置台数,西武(多摩川)線_多磨_バイク_放置台数,西武(多摩川)線_白糸台_自転車駐車場_収容台数,西武(多摩川)線_白糸台_バイク駐車場_収容台数,西武(多摩川)線_白糸台_自転車_総利用台数,西武(多摩川)線_白糸台_バイク_総利用台数,西武(多摩川)線_白糸台_自転車駐車場_利用台数,西武(多摩川)線_白糸台_バイク駐車場_利用台数,西武(多摩川)線_白糸台_自転車_放置台数,西武(多摩川)線_白糸台_バイク_放置台数,西武(多摩川)線_競艇場前_自転車駐車場_収容台数,西武(多摩川)線_競艇場前_バイク駐車場_収容台数,西武(多摩川)線_競艇場前_自転車_総利用台数,西武(多摩川)線_競艇場前_バイク_総利用台数,西武(多摩川)線_競艇場前_自転車駐車場_利用台数,西武(多摩川)線_競艇場前_バイク駐車場_利用台数,西武(多摩川)線_競艇場前_自転車_放置台数,西武(多摩川)線_競艇場前_バイク_放置台数,西武(多摩川)線_是政_自転車駐車場_収容台数,西武(多摩川)線_是政_バイク駐車場_収容台数,西武(多摩川)線_是政_自転車_総利用台数,西武(多摩川)線_是政_バイク_総利用台数,西武(多摩川)線_是政_自転車駐車場_利用台数,西武(多摩川)線_是政_バイク駐車場_利用台数,西武(多摩川)線_是政_自転車_放置台数,西武(多摩川)線_是政_バイク_放置台数,南武線_総数_自転車駐車場_収容台数,南武線_総数_バイク駐車場_収容台数,南武線_総数_自転車_総利用台数,南武線_総数_バイク_総利用台数,南武線_総数_自転車駐車場_利用台数,南武線_総数_バイク駐車場_利用台数,南武線_総数_自転車_放置台数,南武線_総数_バイク_放置台数,南武線_府中本町_自転車駐車場_収容台数,南武線_府中本町_バイク駐車場_収容台数,南武線_府中本町_自転車_総利用台数,南武線_府中本町_バイク_総利用台数,南武線_府中本町_自転車駐車場_利用台数,南武線_府中本町_バイク駐車場_利用台数,南武線_府中本町_自転車_放置台数,南武線_府中本町_バイク_放置台数,南武線_西府_自転車駐車場_収容台数,南武線_西府_バイク駐車場_収容台数,南武線_西府_自転車_総利用台数,南武線_西府_バイク_総利用台数,南武線_西府_自転車駐車場_利用台数,南武線_西府_バイク駐車場_利用台数,南武線_西府_自転車_放置台数,南武線_西府_バイク_放置台数,武蔵野線_北府中_自転車駐車場_収容台数,武蔵野線_北府中_バイク駐車場_収容台数,武蔵野線_北府中_自転車_総利用台数,武蔵野線_北府中_バイク_総利用台数,武蔵野線_北府中_自転車駐車場_利用台数,武蔵野線_北府中_バイク駐車場_利用台数,武蔵野線_北府中_自転車_放置台数,武蔵野線_北府中_バイク_放置台数
2011,10月,20548,744,15255,557,15034,527,221,30,15647,602,11008,385,10909,361,99,24,1096,39,1148,20,1133,20,15,0,1539,63,921,22,915,20,6,2,1874,10,1139,39,1109,27,30,12,4815,242,3565,169,3537,164,28,5,3748,122,2654,72,2651,68,3,4,2575,126,1581,63,1564,62,17,1,0,0,0,0,0,0,0,0,1433,45,1378,35,1297,34,81,1,488,45,345,10,338,9,7,1,530,0,571,24,571,24,0,0,155,0,210,1,141,1,69,0,260,0,252,0,247,0,5,0,2058,77,1842,118,1839,116,3,2,1195,58,1227,89,1226,87,1,2,863,19,615,29,613,29,2,0,1410,20,1027,19,989,16,38,3
2012,10月,20532,744,15069,541,14851,520,218,21,15667,592,10753,375,10659,357,94,18,1096,39,1091,24,1055,24,36,0,1559,43,908,22,908,22,0,0,1874,20,978,27,954,20,24,7,4815,242,3600,170,3592,165,8,5,3748,122,2614,65,2595,62,19,3,2575,126,1562,67,1555,64,7,3,0,0,0,0,0,0,0,0,1433,45,1439,32,1351,31,88,1,488,45,377,16,370,15,7,1,530,0,601,15,599,15,2,0,155,0,199,1,128,1,71,0,260,0,262,0,254,0,8,0,2022,87,1769,117,1767,116,2,1,1195,58,1127,87,1126,86,1,1,827,29,642,30,641,30,1,0,1410,20,1108,17,1074,16,34,1
2013,10月,21086,744,15461,560,15269,538,192,22,16221,592,11055,394,10941,377,114,17,1650,39,1159,20,1155,20,4,0,1559,43,998,20,995,20,3,0,1874,20,969,25,908,14,61,11,4815,242,3672,204,3652,202,20,2,3748,122,2611,69,2599,65,12,4,2575,126,1646,56,1632,56,14,0,0,0,0,0,0,0,0,0,1433,45,1519,35,1445,34,74,1,488,45,406,17,401,16,5,1,530,0,643,17,643,17,0,0,155,0,201,0,136,0,65,0,260,0,269,1,265,1,4,0,2022,87,1801,106,1797,102,4,4,1195,58,1099,80,1096,76,3,4,827,29,702,26,701,26,1,0,1410,20,1086,25,1086,25,0,0
2014,10月,21086,744,14652,550,14467,526,185,24,16221,592,10361,402,10270,383,91,19,1650,39,789,19,789,19,0,0,1559,43,959,22,959,22,0,0,1874,20,934,16,882,12,52,4,4815,242,3618,212,3603,203,15,9,3748,122,2615,72,2607,69,8,3,2575,126,1446,61,1430,58,16,3,0,0,0,0,0,0,0,0,1433,45,1475,33,1384,31,91,2,488,45,411,18,399,18,12,0,530,0,583,15,580,13,3,2,155,0,225,0,152,0,73,0,260,0,256,0,253,0,3,0,2022,87,1775,98,1773,96,2,2,1195,58,1032,66,1030,65,2,1,827,29,743,32,743,31,0,1,1410,20,1041,17,1040,16,1,1
2015,10月,21392,730,15172,523,15045,515,127,8,16391,578,11049,392,10995,384,54,8,1653,25,1384,35,1383,35,1,0,1559,43,956,17,956,17,0,0,1874,20,905,16,875,12,30,4,4815,242,3544,208,3533,205,11,3,3915,122,2646,58,2637,57,9,1,2575,126,1614,58,1611,58,3,0,0,0,0,0,0,0,0,0,1433,45,1482,18,1413,18,69,0,488,45,389,8,387,8,2,0,530,0,597,9,597,9,0,0,155,0,217,1,151,1,66,0,260,0,279,0,278,0,1,0,2158,87,1640,96,1636,96,4,0,1195,58,878,72,874,72,4,0,963,29,762,24,762,24,0,0,1410,20,1001,17,1001,17,0,0
2016,10月,21185,808,14188,675,14025,665,163,10,16483,624,10172,548,10087,538,85,10,1653,25,1162,15,1143,15,19,0,1559,43,969,15,969,15,0,0,1874,20,346,18,314,15,32,3,4815,288,3506,379,3492,376,14,3,4007,122,2602,71,2590,68,12,3,2575,126,1587,50,1579,49,8,1,0,0,0,0,0,0,0,0,1433,45,1477,24,1401,24,76,0,488,45,405,13,399,13,6,0,530,0,583,11,583,11,0,0,155,0,188,0,118,0,70,0,260,0,301,0,301,0,0,0,1859,119,1543,86,1541,86,2,0,896,90,727,59,725,59,2,0,963,29,816,27,816,27,0,0,1410,20,996,17,996,17,0,0
2017,10月,22099,808,15793,573,15655,560,138,13,16963,624,11525,425,11460,414,65,11,1653,25,1158,18,1150,17,8,1,1559,43,981,13,981,13,0,0,1874,20,885,16,855,13,30,3,5295,288,4112,228,4110,228,2,0,4007,122,2787,80,2781,78,6,2,2575,126,1602,70,1583,65,19,5,0,0,0,0,0,0,0,0,1733,45,1436,25,1365,24,71,1,488,45,397,12,394,11,3,1,830,0,590,12,590,12,0,0,155,0,185,1,119,1,66,0,260,0,264,0,262,0,2,0,1993,119,1803,106,1801,105,2,1,896,90,967,81,966,80,1,1,1097,29,836,25,835,25,1,0,1410,20,1029,17,1029,17,0,0
2018,10月,22099,808,14711,369,14564,358,147,11,16963,624,10401,225,10329,217,72,8,1653,25,1161,18,1135,18,26,0,1559,43,968,11,968,11,0,0,1874,20,877,19,849,15,28,4,5295,288,3133,77,3128,77,5,0,4007,122,2673,46,2669,46,4,0,2575,126,1589,54,1580,50,9,4,0,0,0,0,0,0,0,0,1733,45,1538,31,1463,28,75,3,488,45,413,18,405,15,8,3,830,0,669,13,668,13,1,0,155,0,196,0,132,0,64,0,260,0,260,0,258,0,2,0,1993,119,1753,98,1753,98,0,0,896,90,857,72,857,72,0,0,1097,29,896,26,896,26,0,0,1410,20,1019,15,1019,15,0,0
2019,10月,21461,806,14435,532,14318,526,117,6,16330,624,10194,372,10140,367,54,5,1653,25,1098,27,1096,27,2,0,1559,43,967,20,965,19,2,1,1874,20,841,15,817,15,24,0,4662,288,2956,218,2954,218,2,0,4007,122,2634,49,2628,47,6,2,2575,126,1698,43,1680,41,18,2,0,0,0,0,0,0,0,0,1728,43,1477,35,1417,34,60,1,483,43,381,18,380,18,1,0,830,0,655,16,655,16,0,0,155,0,186,0,129,0,57,0,260,0,255,1,253,0,2,1,1993,119,1788,109,1786,109,2,0,896,90,862,85,861,85,1,0,1097,29,926,24,925,24,1,0,1410,20,976,16,975,16,1,0
2020,10月,21479,806,11889,475,11786,469,103,6,16348,624,8275,347,8237,341,38,6,1671,25,921,17,917,17,4,0,1559,43,834,19,832,18,2,1,1874,20,535,16,518,15,17,1,4662,288,2138,197,2138,197,0,0,4007,122,2273,43,2267,43,6,0,2575,126,1574,55,1565,51,9,4,0,0,0,0,0,0,0,0,1728,43,1244,25,1186,25,58,0,483,43,298,14,296,14,2,0,830,0,545,11,545,11,0,0,155,0,182,0,128,0,54,0,260,0,219,0,217,0,2,0,1993,119,1560,97,1555,97,5,0,896,90,751,73,749,73,2,0,1097,29,809,24,806,24,3,0,1410,20,810,6,808,6,2,0
2021,10月,21352,748,12616,436,12525,432,91,4,16221,566,9076,289,9054,287,22,2,1671,25,977,14,976,14,1,0,1559,43,812,21,808,21,4,0,1874,20,528,11,517,9,11,2,4662,288,2413,174,2410,174,3,0,4007,122,2165,32,2164,32,1,0,2448,68,2181,37,2179,37,2,0,0,0,0,0,0,0,0,0,1728,43,1211,27,1160,25,51,2,483,43,279,16,279,15,0,1,830,0,546,10,546,10,0,0,155,0,167,0,116,0,51,0,260,0,219,1,219,0,0,1,1993,119,1609,115,1593,115,16,0,896,90,812,87,796,87,16,0,1097,29,797,28,797,28,0,0,1410,20,720,5,718,5,2,0
2022,10月,21438,667,13587,489,13509,477,78,12,16207,493,9668,317,9591,307,77,10,1671,25,1163,19,1127,17,36,2,1559,43,916,20,911,16,5,4,1874,20,657,14,631,12,26,2,4662,288,2591,166,2586,164,5,2,3978,64,2302,46,2299,46,3,0,2463,53,2039,52,2037,52,2,0,0,0,0,0,0,0,0,0,1828,43,1378,28,1378,26,0,2,483,43,372,15,372,14,0,1,830,0,589,12,589,12,0,0,255,0,160,0,160,0,0,0,260,0,257,1,257,0,0,1,1993,119,1712,136,1711,136,1,0,896,90,855,114,855,114,0,0,1097,29,857,22,856,22,1,0,1410,12,829,8,829,8,0,0
2023,10月,21438,667,13237,429,13197,421,40,8,16207,493,9172,288,9137,281,35,7,1671,25,1048,10,1047,10,1,0,1559,43,960,25,955,22,5,3,1874,20,688,18,677,14,11,4,4662,288,2747,157,2745,157,2,0,3978,64,2310,42,2303,42,7,0,2463,53,1419,36,1410,36,9,0,0,0,0,0,0,0,0,0,1828,43,1458,34,1455,34,3,0,483,43,392,21,391,21,1,0,830,0,631,13,631,13,0,0,255,0,191,0,191,0,0,0,260,0,244,0,242,0,2,0,1993,119,1724,101,1724,101,0,0,896,90,831,77,831,77,0,0,1097,29,883,6,893,889,1,0,1410,12,883,6,881,5,2,1
