時点,世帯数_総数,世帯数_1人,世帯数_2人,世帯数_3人,世帯数_4人,世帯数_5人,世帯数_6人,世帯数_7人,世帯数_8人,世帯数_9人,世帯数_10人以上,世帯人員_総数,世帯人員_総数_1人,世帯人員_総数_2人,世帯人員_総数_3人,世帯人員_総数_4人,世帯人員_総数_5人,世帯人員_総数_6人,世帯人員_総数_7人,世帯人員_総数_8人,世帯人員_総数_9人,世帯人員_総数_10人以上,世帯人員_男_総数,世帯人員_男_1人,世帯人員_男_2人,世帯人員_男_3人,世帯人員_男_4人,世帯人員_男_5人,世帯人員_男_6人,世帯人員_男_7人,世帯人員_男_8人,世帯人員_男_9人,世帯人員_男_10人以上,世帯人員_女_総数,世帯人員_女_1人,世帯人員_女_2人,世帯人員_女_3人,世帯人員_女_4人,世帯人員_女_5人,世帯人員_女_6人,世帯人員_女_7人,世帯人員_女_8人,世帯人員_女_9人,世帯人員_女_10人以上
1990/1/1,80871,28993,14259,13366,16910,5560,1352,330,72,21,8,204323,28993,28518,40098,67640,27800,8112,2310,576,189,87,107157,20719,13436,19733,34112,13633,3953,1148,286,95,42,97166,8274,15082,20365,33528,14167,4159,1162,290,94,45
1991/1/1,82472,30209,14910,13528,16697,5396,1321,322,67,18,4,205306,30209,29820,40584,66788,26980,7926,2254,536,162,47,107697,21440,13985,20002,33678,13272,3832,1116,265,82,25,97609,8769,15835,20582,33110,13708,4094,1138,271,80,22
1992/1/1,84094,31285,15654,13746,16427,5323,1258,318,62,16,5,206625,31285,31308,41238,65708,26615,7548,2226,496,144,57,108253,21914,14665,20368,33108,13141,3614,1103,237,71,32,98372,9371,16643,20870,32600,13474,3934,1123,259,73,25
1993/1/1,86078,32505,16313,14263,16146,5265,1184,321,62,15,4,208857,32505,32626,42789,64584,26325,7104,2247,496,135,46,109277,22494,15261,21159,32508,13019,3395,1107,244,63,27,99580,10011,17365,21630,32076,13306,3709,1140,252,72,19
1994/1/1,87436,33347,17018,14502,15909,5115,1177,292,55,15,6,209846,33347,34036,43506,63636,25575,7062,2044,440,135,65,109799,22960,16013,21500,31986,12641,3372,1013,215,67,32,100047,10387,18023,22006,31650,12934,3690,1031,225,68,33
1995/1/1,88489,33729,17775,14844,15673,4965,1155,281,48,12,7,210791,33729,35550,44532,62692,24825,6930,1967,384,108,74,109982,22936,16713,22014,31515,12238,3318,973,186,54,35,100809,10793,18837,22518,31177,12587,3612,994,198,54,39
1996/1/1,89468,33973,18680,15102,15423,4852,1105,266,47,13,7,211650,33973,37360,45306,61692,24260,6630,1862,376,117,74,110162,22880,17584,22361,31036,11932,3170,923,183,56,37,101488,11093,19776,22945,30656,12328,3460,939,193,61,37
1997/1/1,90957,34461,19641,15478,15278,4746,1036,252,43,16,6,213552,34461,39282,46434,61112,23730,6216,1764,344,144,65,110816,22899,18461,22915,30723,11674,2989,883,168,69,35,102736,11562,20821,23519,30389,12056,3227,881,176,75,30
1998/1/1,92507,35304,20280,15816,15149,4653,1006,240,43,10,6,215389,35304,40560,47448,60596,23265,6036,1680,344,90,66,111504,23212,19001,23409,30434,11454,2895,845,169,50,35,103885,12092,21559,24039,30162,11811,3141,835,175,40,31
1999/1/1,94149,36142,20921,16216,15077,4549,955,233,40,9,7,217523,36142,41842,48648,60308,22745,5730,1631,320,81,76,112480,23476,19694,24022,30248,11236,2753,804,165,43,39,105043,12666,22148,24626,30060,11509,2977,827,155,38,37
2000/1/1,95738,37129,21608,16426,14938,4469,904,212,36,10,6,219073,37129,43216,49278,59752,22345,5424,1484,288,90,67,113070,23760,20351,24338,29967,11063,2634,729,149,44,35,106003,13369,22865,24940,29785,11282,2790,755,139,46,32
2001/1/1,97121,37834,22342,16546,14900,4393,848,202,40,10,6,220699,37834,44684,49638,59600,21965,5088,1414,320,90,66,113589,23911,21001,24569,29869,10834,2465,698,164,43,35,107110,13923,23683,25069,29731,11131,2623,716,156,47,31
2002/1/1,99669,39279,22932,16956,15025,4419,821,188,36,6,7,224866,39279,45864,50868,60100,22095,4926,1316,288,54,76,115777,24716,21570,25157,30167,10914,2387,651,148,27,40,109089,14563,24294,25711,29933,11181,2539,665,140,27,36
2003/1/1,101450,40397,23558,17064,15061,4349,815,160,35,5,6,227095,40397,47116,51192,60244,21745,4890,1120,280,45,66,116838,25276,22156,25280,30268,10724,2347,583,149,20,35,110257,15121,24960,25912,29976,11021,2543,537,131,25,31
2004/1/1,103552,41920,23989,17260,15062,4322,804,152,30,7,6,229793,41920,47978,51780,60248,21610,4824,1064,240,63,66,118194,25985,22585,25576,30290,10676,2339,547,131,32,33,111599,15935,25393,26204,29958,10934,2485,517,109,31,33
2005/1/1,105593,42949,24597,17602,15198,4280,789,141,25,7,5,233178,42949,49194,52806,60792,21400,4734,987,200,63,53,119511,26209,23165,25989,30576,10578,2330,495,110,33,26,113667,16740,26029,26817,30216,10822,2404,492,90,30,27
2006/1/1,107754,43834,25422,17991,15326,4241,769,131,28,8,4,237030,43834,50844,53973,61304,21205,4614,917,224,72,43,121239,26477,23992,26593,30759,10504,2267,472,119,35,21,115791,17357,26852,27380,30545,10701,2347,445,105,37,22
2007/1/1,108972,44843,25598,18066,15373,4180,734,139,29,5,5,238334,44843,51196,54198,61492,20900,4404,973,232,45,51,121793,26895,24114,26710,30901,10358,2153,492,122,24,24,116541,17948,27082,27488,30591,10542,2251,481,110,21,27
2008/1/1,110283,45705,25991,18244,15303,4169,698,137,25,7,4,239928,45705,51982,54732,61212,20845,4188,959,200,63,42,122399,27242,24426,26987,30732,10313,2055,485,105,33,21,117529,18463,27556,27745,30480,10532,2133,474,95,30,21
2009/1/1,111716,46563,26419,18400,15411,4070,686,133,23,7,4,241930,46563,52838,55200,61644,20350,4116,931,184,63,41,123141,27404,24848,27176,30946,10115,2021,481,98,30,22,118789,19159,27990,28024,30698,10235,2095,450,86,33,19
2010/1/1,113743,47917,26817,18690,15443,4032,677,130,31,1,5,244834,47917,53634,56070,61772,20160,4062,910,248,9,52,124892,28334,25262,27594,31062,10022,1992,464,128,4,30,119942,19583,28372,28476,30710,10138,2070,446,120,5,22
2011/1/1,114783,48436,27010,18969,15554,4006,645,128,27,4,4,246667,48436,54020,56907,62216,20030,3870,896,216,36,40,125754,28574,25370,28053,31243,10003,1899,459,113,16,24,120913,19862,28650,28854,30973,10027,1971,437,103,20,16
2012/1/1,115239,48565,27286,19051,15542,3985,646,131,25,4,4,247454,48565,54572,57153,62168,19925,3876,917,200,36,42,125819,28435,25632,28102,31184,9931,1914,476,104,16,25,121635,20130,28940,29051,30984,9994,1962,441,96,20,17
2013/1/1,117380,49567,27729,19428,15784,4034,672,131,27,5,3,251858,49567,55458,58284,63136,20170,4032,917,216,45,33,127358,28530,25875,28571,31718,10013,2016,483,109,23,20,124500,21037,29583,29713,31418,10157,2016,434,107,22,13
2014/1/1,118429,50171,28083,19574,15790,4007,647,121,27,5,4,253288,50171,56166,58722,63160,20035,3882,847,216,45,44,128018,28685,26198,28824,31750,10013,1951,440,109,24,24,125270,21486,29968,29898,31410,10022,1931,407,107,21,20
2015/1/1,119640,51113,28350,19691,15740,3970,628,115,24,5,4,254551,51113,56700,59073,62960,19850,3768,805,192,45,45,128467,29024,26445,28966,31636,9941,1906,406,95,25,23,126084,22089,30255,30107,31324,9909,1862,399,97,20,22
2016/1/1,121495,52620,28569,19887,15718,3933,624,115,24,2,3,256748,52620,57138,59661,62872,19665,3744,805,192,18,33,129681,29748,26678,29305,31645,9890,1889,398,99,11,18,127067,22872,30460,30356,31227,9775,1855,407,93,7,15
2017/1/1,122656,53610,28734,19879,15805,3889,596,110,28,2,3,258000,53610,57468,59637,63220,19445,3576,770,224,18,32,130160,30139,26821,29297,31763,9821,1801,370,118,12,18,127840,23471,30647,30340,31457,9624,1775,400,106,6,14
2018/1/1,123648,54538,29014,19782,15729,3866,582,104,25,5,3,258654,54538,58028,59346,62916,19330,3492,728,200,45,31,130203,30318,27077,29142,31618,9790,1750,360,104,27,17,128451,24220,30951,30204,31298,9540,1742,368,96,18,14
2019/1/1,125060,55781,29288,19721,15741,3821,579,95,25,7,2,260011,55781,58576,59163,62964,19105,3474,665,200,63,20,130582,30691,27304,29035,31649,9674,1748,333,101,36,11,129429,25090,31272,30128,31315,9431,1726,332,99,27,9
2020/1/1,126160,56981,29610,19525,15610,3759,548,93,27,5,2,260232,56981,59220,58575,62440,18795,3288,651,216,45,21,130731,31282,27546,28829,31399,9554,1655,314,112,26,14,129501,25699,31674,29746,31041,9241,1633,337,104,19,7
2021/1/1,127224,58247,29830,19405,15384,3712,526,89,25,3,3,260255,58247,59660,58215,61536,18560,3156,623,200,27,31,130653,31814,27774,28623,30940,9484,1582,295,107,14,20,129602,26433,31886,29592,30596,9076,1574,328,93,13,11
2022/1/1,127939,58951,30212,19308,15186,3634,535,84,22,4,3,260253,58951,60424,57924,60744,18170,3210,588,176,36,30,130324,31937,28084,28460,30561,9236,1632,289,89,20,16,129929,27014,32340,29464,30183,8934,1578,299,87,16,14
2023/1/1,128686,59957,30390,19179,14951,3570,522,86,22,6,3,259924,59957,60780,57537,59804,17850,3132,602,176,54,32,130035,32261,28281,28294,30081,9081,1604,300,86,30,17,129889,27696,32499,29243,29723,8769,1528,302,90,24,15
2024/1/1,129835,61241,30665,19062,14761,3499,501,84,14,6,2,260078,61241,61330,57186,59044,17495,3006,588,112,54,22,130030,32894,28555,28071,29703,8883,1540,288,55,27,14,130048,28347,32775,29115,29341,8612,1466,300,57,27,8
