年,月,日,時間,曜日,(自)八王子_(至)新宿_総数(台),(自)八王子_(至)新宿_大型(台),(自)八王子_(至)新宿_普通(台),(自)八王子_(至)新宿_二輪(台),(自)八王子_(至)国分寺_総数(台),(自)八王子_(至)国分寺_大型(台),(自)八王子_(至)国分寺_普通(台),(自)八王子_(至)国分寺_二輪(台),(自)八王子_(至)競馬場_総数(台),(自)八王子_(至)競馬場_大型(台),(自)八王子_(至)競馬場_普通(台),(自)八王子_(至)競馬場_二輪(台),(自)新宿_(至)八王子_総数(台),(自)新宿_(至)八王子_大型(台),(自)新宿_(至)八王子_普通(台),(自)新宿_(至)八王子_二輪(台),(自)新宿_(至)競馬場_総数(台),(自)新宿_(至)競馬場_大型(台),(自)新宿_(至)競馬場_普通(台),(自)新宿_(至)競馬場_二輪(台),(自)新宿_(至)国分寺_総数(台),(自)新宿_(至)国分寺_大型(台),(自)新宿_(至)国分寺_普通(台),(自)新宿_(至)国分寺_二輪(台),(自)競馬場_(至)国分寺_総数(台),(自)競馬場_(至)国分寺_大型(台),(自)競馬場_(至)国分寺_普通(台),(自)競馬場_(至)国分寺_二輪(台),(自)競馬場_(至)八王子_総数(台),(自)競馬場_(至)八王子_大型(台),(自)競馬場_(至)八王子_普通(台),(自)競馬場_(至)八王子_二輪(台),(自)競馬場_(至)新宿_総数(台),(自)競馬場_(至)新宿_大型(台),(自)競馬場_(至)新宿_普通(台),(自)競馬場_(至)新宿_二輪(台),(自)国分寺_(至)競馬場_総数(台),(自)国分寺_(至)競馬場_大型(台),(自)国分寺_(至)競馬場_普通(台),(自)国分寺_(至)競馬場_二輪(台),(自)国分寺_(至)新宿_総数(台),(自)国分寺_(至)新宿_大型(台),(自)国分寺_(至)新宿_普通(台),(自)国分寺_(至)新宿_二輪(台),(自)国分寺_(至)八王子_総数(台),(自)国分寺_(至)八王子_大型(台),(自)国分寺_(至)八王子_普通(台),(自)国分寺_(至)八王子_二輪(台)
1986,7,20,7:00-19:00,日,13519,594,11111,1814,2412,136,2017,259,328,8,280,40,12294,582,9989,1723,2349,92,2026,231,1159,203,861,95,3626,81,3026,519,330,9,280,41,2144,69,1844,231,2673,57,2282,334,707,38,581,88,1897,97,1606,194
1987,7,19,7:00-19:00,日,12592,229,11634,729,2333,50,2183,100,261,1,240,20,11240,256,10457,527,2348,27,2237,84,1056,151,872,33,3312,50,3081,181,375,2,356,17,1798,25,1680,93,2999,62,2782,155,894,12,855,27,1866,54,1722,90
1988,7,24,7:00-19:00,日,12937,643,11268,1026,2691,180,2379,132,344,33,260,51,11824,841,10037,946,2260,135,1948,177,1221,183,943,95,3540,154,3097,289,413,22,358,33,1813,52,1617,144,3211,219,2753,239,930,22,828,80,2397,186,2073,138
1989,7,23,7:00-19:00,日,12722,570,10829,1323,2565,155,2217,193,261,17,214,30,12015,579,9905,1531,2262,82,1939,241,1138,203,851,84,3651,114,3087,450,465,16,404,45,2064,61,1768,235,3546,123,3018,405,1092,29,980,83,2565,165,2143,257
1990,7,22,7:00-19:00,日,12262,270,10659,1333,2447,73,2183,191,307,4,258,45,12822,535,10921,1366,2237,70,1990,177,1002,192,732,78,3617,110,3150,357,492,12,441,39,1994,52,1768,174,3314,68,2898,348,966,22,868,76,2561,135,2261,165
1991,7,21,7:00-19:00,日,11453,400,9974,1079,2405,126,2100,179,450,16,383,51,12623,521,10827,1275,2296,81,2007,208,1000,188,739,73,3316,111,2885,320,447,14,382,51,2190,64,1942,184,3255,107,2852,296,1166,52,1026,88,2719,142,2394,183
1992,7,19,7:00-19:00,日,13860,392,12299,1169,2120,101,1895,124,356,9,306,41,13240,395,11604,1241,2251,46,2029,176,918,181,661,76,3583,85,3189,309,519,8,462,49,2154,47,1890,217,3318,89,2927,302,1041,24,938,79,2466,112,2186,168
1993,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1994,7,17,7:00-19:00,日,14028,538,12601,889,1867,111,1681,75,592,30,530,32,12636,487,11379,770,1888,62,1710,116,1154,200,889,65,4321,117,3848,356,496,20,440,36,2165,74,1977,114,3923,108,3416,399,819,20,748,51,2463,112,2235,116
1995,7,16,7:00-19:00,日,13651,508,12422,721,2092,85,1925,82,655,31,575,49,12638,570,11478,590,1905,76,1756,73,1105,207,861,37,3718,109,3324,285,490,18,447,25,2134,48,1986,100,3538,86,3163,289,947,27,863,57,2473,130,2229,114
1996,7,14,7:00-19:00,日,12504,483,11893,128,1872,101,1665,106,701,35,596,70,11629,540,10347,742,1333,48,1226,59,984,211,731,42,3799,121,3314,364,525,23,460,42,2088,48,1886,154,3138,109,2733,296,814,37,730,47,2218,106,1984,128
1997,7,13,7:00-19:00,日,14660,435,13958,267,1262,76,1157,29,532,23,490,19,12935,467,12174,294,1246,63,1156,27,1120,212,901,7,4238,105,3982,151,353,21,321,11,2339,67,2215,57,3479,90,3283,106,716,25,677,14,2077,105,1918,54
1998,7,12,7:00-19:00,日,13412,497,12335,580,1559,75,1439,45,698,25,639,34,11805,575,10681,549,1300,54,1201,45,1190,194,960,36,3782,88,3405,289,527,15,487,25,2523,64,2327,132,3252,109,2868,275,850,43,765,42,2417,153,2140,124
1999,7,18,7:00-19:00,日,12662,485,11611,566,1361,65,1247,49,529,29,474,26,11049,612,9887,550,1171,49,1076,46,1045,213,803,29,3388,108,3009,271,578,20,528,30,1898,62,1709,127,3032,84,2719,229,902,31,838,33,1458,92,1277,89
2000,7,9,7:00-19:00,日,12761,524,11408,829,1228,56,1118,54,835,28,749,58,11381,604,9991,786,1467,54,1320,93,1012,217,756,39,3615,129,3162,324,776,28,690,58,2282,57,2054,171,3281,107,2881,293,1036,65,927,44,1782,93,1610,79
2001,7,8,7:00-19:00,日,11598,512,10347,739,1159,63,1048,48,816,28,750,38,10873,505,9672,696,1195,64,1087,44,1102,224,839,39,3891,94,3471,326,695,18,602,75,1954,54,1782,118,3161,95,2857,209,1045,71,917,57,1662,105,1490,67
2002,7,7,7:00-19:00,日,12016,539,10666,811,1110,51,1011,48,817,34,736,47,10833,538,9534,761,1352,56,1199,97,1189,204,931,54,3528,102,3109,317,755,23,675,57,2114,55,1917,142,3099,99,2724,276,887,43,806,38,1436,78,1298,60
2003,8,3,7:00-19:00,日,11453,583,9958,912,1235,67,1119,49,930,43,830,57,12084,537,10666,881,1267,56,1129,82,1156,204,910,42,3602,96,3159,347,929,31,824,74,1798,57,1626,115,3300,98,2873,329,999,57,885,57,1719,77,1564,78
2004,8,1,7:00-19:00,日,11975,536,10588,851,1197,75,1053,69,1078,42,972,64,11157,557,9821,779,1202,39,1104,59,1173,241,885,47,3809,166,3292,351,1077,29,975,73,1819,108,1553,158,3394,176,2915,303,1018,50,909,59,1708,81,1551,76
2005,8,7,7:00-19:00,日,11799,475,10610,714,1110,56,1005,49,1122,36,1027,59,13392,554,12130,708,1119,46,1000,73,1238,190,999,49,3714,136,3262,316,1074,22,991,61,1975,93,1751,131,3407,129,3026,252,941,45,849,47,1492,69,1378,45
2006,8,6,7:00-19:00,日,11332,490,10057,785,997,57,883,57,1178,52,1067,59,13293,512,12079,702,1097,50,985,62,1303,224,1029,50,3716,116,3290,310,1021,38,923,60,1881,109,1647,125,3208,101,2806,301,1065,57,967,41,1356,74,1213,69
2008,8,3,7:00-19:00,日,9954,482,8738,734,806,46,714,46,1004,49,881,74,9651,532,8332,787,967,24,878,65,1060,198,816,46,3099,117,2722,260,957,33,855,69,1489,80,1267,142,2896,104,2539,253,928,61,833,34,1208,66,1074,68
2010,8,8,7:00-19:00,日,10642,419,9479,744,740,33,643,64,1104,34,994,76,10313,503,9155,655,927,28,835,64,1217,210,951,56,3234,109,2843,282,1036,35,939,62,1446,74,1256,116,2878,101,2516,261,972,36,883,53,1121,44,1023,54
2012,8,5,7:00-19:00,日,9824,465,8722,637,676,31,620,25,1058,35,963,60,10549,607,9266,676,1202,90,1026,86,1402,262,1093,47,3073,110,2734,229,1113,80,960,73,1356,77,1166,113,2659,85,2346,228,870,39,780,51,1010,45,902,63
2014,8,3,7:00-19:00,日,10004,482,8977,545,684,31,621,32,1074,43,976,55,9732,509,8684,539,808,21,756,31,1154,180,941,33,2981,81,2674,226,1027,30,954,43,1343,73,1172,98,2684,91,2399,194,966,46,881,39,1051,53,934,64
2016,8,7,7:00-19:00,日,9498,453,8568,477,647,23,604,20,986,43,906,37,10093,447,9156,490,986,23,919,44,1122,190,902,30,3079,113,2744,222,1040,35,965,40,1399,73,1239,87,2687,88,2432,167,867,40,802,25,953,45,844,64
2018,8,5,7:00-19:00,日,9096,431,8207,458,594,28,551,15,939,44,859,36,8973,460,8109,404,731,21,691,19,1117,219,877,21,2880,87,2608,185,1007,43,931,33,1424,99,1243,82,2647,88,2415,144,835,44,777,14,828,48,751,29
2020,8,2,7:00-19:00,日,9220,366,8115,739,595,24,544,27,1059,40,964,55,8931,394,7794,743,638,14,565,59,1098,185,867,46,2662,63,2437,162,991,35,894,62,1165,24,1037,104,2468,76,2238,154,917,37,824,56,812,28,744,40
1976,7,26,7:00-18:00,月,11492,1766,9389,337,1515,287,1194,34,277,41,226,10,9023,1532,7177,314,1300,223,1022,55,1215,330,851,34,3066,511,2350,205,376,51,304,21,1322,119,1144,59,2613,549,1914,150,458,81,351,26,1016,185,791,40
1977,7,25,7:00-18:00,月,11842,1653,9740,449,1684,380,1256,48,314,48,254,12,9938,1561,7953,424,1286,218,1021,47,872,270,578,24,2956,488,2253,215,406,43,337,26,1209,108,1035,66,2303,544,1583,176,403,76,298,29,1304,308,951,45
1978,7,31,7:00-18:00,月,12402,660,11178,564,2092,220,1822,50,297,17,266,14,10210,694,8996,520,1338,86,1161,91,863,227,614,22,3107,259,2609,239,445,18,399,28,1721,54,1524,143,2571,288,2073,210,413,53,337,23,1445,182,1223,40
1979,7,23,7:00-19:00,月,12696,2017,9924,755,1903,478,1355,70,382,173,197,12,11326,2055,8580,691,1204,153,966,85,1027,337,647,43,3106,616,2181,309,509,150,325,34,1437,127,1185,125,2231,540,1511,180,473,106,322,45,1388,388,920,80
1980,7,21,7:00-19:00,月,12601,1695,10024,882,2090,467,1514,109,510,86,385,39,10743,1696,8365,682,1515,171,1229,115,1028,345,629,54,3434,525,2484,425,764,76,596,92,1164,74,967,123,2328,482,1583,263,424,104,282,38,1470,340,1006,124
1981,7,13,7:00-19:00,月,12713,2073,9660,980,2060,460,1497,103,382,63,283,36,11759,1932,8946,881,1783,186,1415,182,1201,326,817,58,3436,604,2443,389,395,75,274,46,1654,111,1355,188,2530,495,1754,281,483,93,361,29,1484,406,987,91
1982,7,12,7:00-19:00,月,12852,2032,9621,1199,2083,481,1487,115,283,68,184,31,11616,1906,8614,1096,1837,199,1460,178,1094,296,720,78,3492,568,2470,454,436,69,315,52,1888,127,1505,256,2797,540,1871,386,433,92,305,36,1740,508,1087,145
1983,7,11,7:00-19:00,月,12459,1744,9936,779,1993,465,1476,52,341,74,254,13,12007,1950,9331,726,1931,181,1634,116,1148,304,795,49,3429,554,2577,298,430,63,329,38,1904,139,1582,183,2711,553,1935,223,455,93,341,21,1696,458,1138,100
1984,7,30,7:00-19:00,月,12183,1747,9214,1222,1968,395,1483,90,328,54,242,32,12410,1773,9372,1265,2000,233,1553,214,1123,312,749,62,3450,496,2501,453,367,39,288,40,1606,126,1267,213,2726,465,1891,370,483,99,349,35,1860,488,1230,142
1985,7,15,7:00-19:00,月,12752,1898,9395,1459,2097,469,1467,161,387,64,278,45,11697,1993,8394,1310,2092,241,1627,224,1134,300,754,80,3765,566,2647,552,416,62,308,46,2023,145,1570,308,2714,564,1732,418,387,65,275,47,1765,465,1102,198
1986,7,21,7:00-19:00,月,12592,1861,9833,898,1950,489,1354,107,337,58,256,23,11530,1818,9056,656,2119,269,1668,182,1208,328,803,77,3615,515,2734,366,373,55,289,29,2140,164,1787,189,2768,602,1882,284,515,90,383,42,1558,407,1033,118
1987,7,20,7:00-19:00,月,12315,485,10989,841,2049,149,1804,96,340,23,291,26,11031,541,9848,642,1958,52,1804,102,1038,184,801,53,3811,164,3330,317,424,45,351,28,1981,42,1776,163,3433,207,2946,280,797,40,710,47,2249,186,1901,162
1988,7,25,7:00-19:00,月,13068,1913,9982,1173,2491,579,1783,129,381,57,293,31,12035,1828,9194,1013,1991,212,1621,158,1141,277,790,74,3867,626,2826,415,428,65,315,48,2116,181,1697,238,3719,626,2700,393,810,108,643,59,2547,596,1775,176
1989,7,24,7:00-19:00,月,12819,1789,10067,963,2225,504,1592,129,329,75,228,26,12088,1731,9535,822,1985,206,1639,140,1129,306,778,45,3874,523,3017,334,471,85,354,32,2357,208,1904,245,3371,578,2475,318,813,125,650,38,2419,497,1751,171
1990,7,23,7:00-19:00,月,12238,757,10610,871,2397,373,1900,124,286,29,232,25,11600,1795,9033,772,1891,195,1590,106,1056,302,707,47,3675,641,2742,292,527,79,407,41,2417,186,2004,227,2902,254,2395,253,714,68,596,50,2652,400,2113,139
1991,7,22,7:00-19:00,月,12918,2019,9988,911,2410,549,1755,106,463,85,349,29,11220,1793,8752,675,1646,223,1328,95,1088,312,732,44,3597,664,2629,304,625,121,446,58,2696,236,2202,258,3294,631,2420,243,788,126,618,44,2728,728,1850,150
1992,7,20,7:00-19:00,月,12704,1849,9945,910,1754,475,1207,72,489,142,335,12,11749,1808,9112,829,1709,191,1402,116,898,311,536,51,3725,625,2767,333,708,105,558,45,2503,198,2069,236,3064,622,2213,229,682,132,511,39,2233,623,1493,117
1993,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1994,7,18,7:00-19:00,月,13180,2198,10486,496,1270,340,904,26,831,395,417,19,11732,1940,9303,489,1425,252,1135,38,1124,328,773,23,3988,663,3101,224,519,116,388,15,2433,174,2128,131,3841,583,3030,228,750,131,588,31,2071,524,1455,92
1995,7,17,7:00-19:00,月,12474,2285,9734,455,1527,382,1105,40,593,143,434,16,12127,2007,9683,437,1333,150,1151,32,894,296,577,21,3570,598,2789,183,463,73,385,5,2084,158,1787,139,3404,609,2598,197,625,103,502,20,2258,540,1610,108
1996,7,15,7:00-19:00,月,13183,2208,10292,683,1511,316,1141,54,660,126,500,34,12380,2057,9683,640,1226,136,1041,49,959,300,614,45,3938,628,3057,253,560,95,428,37,2172,160,1840,172,3353,524,2567,262,765,97,632,36,2317,558,1632,127
1997,7,14,7:00-19:00,月,12602,2162,9849,591,1378,311,1013,54,629,156,455,18,11681,1961,9119,601,1095,128,923,44,1008,311,669,28,3932,752,2932,248,486,91,377,18,1930,148,1641,141,3286,637,2405,244,681,105,558,18,2186,500,1559,127
1998,7,13,7:00-19:00,月,13325,2265,10438,622,1446,269,1118,59,733,221,476,36,12249,2159,9507,583,1141,119,973,49,1031,311,705,15,3867,708,2910,249,487,102,367,18,2231,181,1864,186,3304,621,2407,276,724,86,617,21,2295,564,1616,115
1999,7,19,7:00-19:00,月,12091,2007,9510,574,1268,255,974,39,835,259,538,38,12066,2048,9457,561,1143,140,945,58,1043,326,690,27,4070,678,3127,265,614,94,493,27,2093,162,1724,207,3539,631,2635,273,822,152,638,32,2027,447,1509,71
2000,7,10,7:00-19:00,月,12755,2169,9872,714,1144,249,855,40,906,229,622,55,10750,1942,8236,572,1027,111,856,60,994,343,629,22,3782,587,2865,330,589,92,459,38,1856,130,1573,153,3482,609,2558,315,1021,166,812,43,1742,424,1220,98
2001,7,9,7:00-19:00,月,12357,2005,9731,621,1036,279,726,31,779,133,612,34,11102,1884,8627,591,829,89,707,33,1102,414,658,30,4102,656,3102,344,789,101,641,47,1916,174,1588,154,3433,515,2610,308,970,169,755,46,1557,379,1087,91
2002,7,8,7:00-19:00,月,12299,1828,9713,758,1008,219,743,46,916,171,704,41,11289,1876,8822,591,1160,201,897,62,1129,345,764,20,3793,568,2915,310,787,126,615,46,2037,220,1659,158,3288,575,2450,263,848,140,671,37,1476,336,1067,73
2003,8,4,7:00-19:00,月,12383,1831,9805,747,1076,209,837,30,906,176,677,53,11610,1921,8939,750,1115,171,885,59,1173,367,770,36,3708,526,2895,287,863,140,658,65,1847,210,1474,163,3420,625,2509,286,1001,195,767,39,1728,375,1254,99
2004,8,2,7:00-19:00,月,12826,2336,9738,752,1087,246,797,44,1140,227,852,61,11653,2111,8868,674,1122,133,934,55,1201,368,789,44,4139,752,3032,355,1018,185,770,63,1926,267,1508,151,3514,613,2561,340,921,159,722,40,1624,352,1188,84
2005,8,8,7:00-19:00,月,13393,1740,11077,576,925,208,689,28,1192,278,877,37,12561,1666,10352,543,1074,112,922,40,1109,312,776,21,4171,578,3322,271,892,165,695,32,1899,221,1558,120,3759,498,3020,241,854,130,691,33,1504,272,1156,76
2006,8,7,7:00-19:00,月,13042,1866,10589,587,942,183,731,28,1275,303,939,33,11552,1588,9459,505,955,80,850,25,1230,274,916,40,4428,585,3562,281,916,112,778,26,1928,185,1616,127,3830,501,3047,282,968,108,819,41,1580,281,1251,48
2008,8,4,7:00-19:00,月,10719,1614,8561,544,742,177,540,25,1169,251,874,44,10577,1564,8474,539,913,70,799,44,1253,310,907,36,3535,480,2805,250,915,144,735,36,1610,167,1287,156,3197,445,2493,259,833,111,693,29,1223,225,951,47
2010,8,9,7:00-19:00,月,11347,1349,9548,450,714,115,577,22,1244,247,960,37,10383,1338,8647,398,865,69,765,31,1264,291,945,28,3368,396,2750,222,858,89,748,21,1432,130,1197,105,3097,325,2567,205,769,64,685,20,1122,158,916,48
2012,8,6,7:00-19:00,月,10110,1339,8396,375,665,88,561,16,1025,177,817,31,10889,1538,8896,455,680,102,531,47,1653,352,1253,48,3380,453,2764,163,898,134,729,35,1318,176,1047,95,3218,389,2625,204,879,92,762,25,964,138,785,41
2014,8,4,7:00-19:00,月,10168,1564,8102,502,692,103,566,23,1170,219,899,52,9121,1289,7377,455,533,56,464,13,1221,300,892,29,3274,375,2685,214,932,130,771,31,1332,106,1114,112,2960,387,2354,219,952,119,809,24,1130,200,876,54
2016,8,8,7:00-19:00,月,10257,1323,8534,400,594,85,492,17,1076,212,836,28,9537,1168,7978,391,658,49,586,23,1259,304,937,18,3478,414,2845,219,940,148,761,31,1302,116,1074,112,3198,345,2658,195,915,124,768,23,1080,140,886,54
2018,8,6,7:00-19:00,月,9596,1253,7997,346,532,74,452,6,1198,232,942,24,8819,1092,7424,303,602,41,548,13,1219,281,923,15,3428,448,2772,208,857,140,696,21,1349,137,1093,119,3141,396,2561,184,813,88,709,16,810,104,678,28
2020,8,3,7:00-19:00,月,9204,997,7783,424,516,54,446,16,1123,207,883,33,8919,946,7570,403,595,40,523,32,1365,311,1026,28,3367,327,2856,184,938,144,763,31,1303,53,1122,128,3038,311,2549,178,895,98,781,16,836,92,704,40
2022,8,8,7:00-19:00,月,9318,1032,7859,427,434,45,372,17,1120,201,888,31,8930,1067,7503,360,558,47,481,30,1242,300,917,25,3201,325,2700,176,710,107,576,27,1173,65,1000,108,2987,312,2515,160,735,66,659,10,666,81,561,24
