年度,総額(円),議会費(円),役所費(円),総務費(円),民生費(円),衛生費(円),労働費(円),社会及び労働施設費(円),保健衛生費(円),農林水産業費(円),商工費(円),産業経済費(円),財産費(円),統計調査費(円),選挙費(円),土木費(円),消防費(円),教育費(円),公債費(円),諸支出金(円),災害復旧費(円)
1964,"1,508,927,022","31,680,747",…,"250,703,956","210,905,535","244,237,727","10,412,076",…,…,"18,091,927","39,919,707",…,…,…,…,"195,879,402","50,613,175","431,424,685","24,331,405","726,680",…
1965,"2,137,950,091","35,033,762",…,"290,599,216","266,242,614","342,447,511","9,581,567",…,…,"16,901,187","64,839,703",…,…,…,…,"380,988,479","70,876,460","633,565,141","26,628,051","246,400",…
1966,"2,285,480,482","39,158,820",…,"345,811,780","331,205,791","304,623,373","8,730,940",…,…,"26,029,358","47,710,175",…,…,…,…,"330,287,769","100,122,728","719,294,327","31,559,101","946,320",…
1967,"2,894,110,734","46,124,324",…,"414,017,420","448,026,730","401,950,388","9,745,307",…,…,"21,825,860","40,267,181",…,…,…,…,"361,346,311","107,172,630","1,004,742,232","38,892,351",0,…
1968,"3,106,919,552","48,104,289",…,"480,708,420","644,044,251","420,490,827","11,639,408",…,…,"22,727,771","27,624,832",…,…,…,…,"400,674,478","122,825,769","880,412,079","47,667,428",0,…
1969,"4,103,925,052","59,733,548",…,"588,142,524","829,671,660","452,543,095","15,051,834",…,…,"25,575,579","47,365,183",…,…,…,…,"550,282,724","135,540,834","1,183,112,478","66,106,440","150,799,153",…
1970,"5,441,906,251","70,384,416",…,"909,263,943","1,018,005,557","590,401,134","18,445,607",…,…,"28,150,144","72,776,153",…,…,…,…,"788,587,892","168,552,235","1,609,311,676","117,790,374","50,237,120",…
1971,"6,214,583,858","81,024,662",…,"995,021,570","1,316,499,137","765,778,104","19,198,552",…,…,"32,321,930","130,845,217",…,…,…,…,"866,486,615","207,660,545","1,651,701,171","147,251,395","794,960",…
1972,"8,412,029,919","97,061,268",…,"1,352,180,735","1,739,788,659","1,003,366,223","16,235,160",…,…,"37,480,739","131,466,721",…,…,…,…,"943,647,204","268,415,707","2,537,963,154","283,192,221","1,232,128",…
1973,"10,975,421,480","127,519,931",…,"1,660,556,649","2,972,287,596","1,053,061,042","17,350,353",…,…,"43,125,934","143,324,091",…,…,…,…,"1,176,133,770","322,161,218","2,936,961,197","399,926,965","123,012,734",…
1974,"14,764,103,075","181,896,455",…,"1,930,216,690","4,354,310,716","1,460,676,690","22,926,041",…,…,"65,853,548","183,182,074",…,…,…,…,"1,497,069,236","399,347,996","4,113,623,906","553,695,269","1,304,454",…
1975,"16,447,615,499","190,898,512",…,"2,119,379,475","4,533,239,828","1,821,436,677","24,468,157",…,…,"66,889,435","258,728,535",…,…,…,…,"1,299,715,450","423,021,096","4,942,647,166","766,149,460","1,041,708",…
1976,"17,680,017,559","204,940,662",…,"2,558,808,607","4,651,178,196","2,100,518,471","25,489,707",…,…,"58,244,586","262,169,753",…,…,…,…,"1,652,987,897","523,587,632","4,415,076,889","1,026,705,011","200,310,148",…
1977,"20,900,934,254","236,616,379",…,"3,327,879,843","5,759,179,245","2,242,388,919","25,058,077",…,…,"61,202,815","325,784,728",…,…,…,…,"1,867,993,861","616,031,639","5,187,044,198","851,354,738","400,399,812",…
1978,"23,136,738,319","254,883,304",…,"3,800,891,926","6,566,244,709","2,025,237,077","27,830,412",…,…,"73,972,065","431,313,683",…,…,…,…,"2,372,369,664","663,362,380","5,546,958,993","1,223,398,130","150,275,976",…
1979,"25,767,785,104","279,089,303",…,"4,875,280,071","7,442,630,748","2,109,920,319","70,200,058",…,…,"76,449,118","541,302,612",…,…,…,…,"2,355,211,275","924,370,109","5,916,293,431","1,027,038,060","150,000,000",…
1980,"28,048,135,206","300,711,753",…,"4,303,919,209","8,237,875,801","2,311,550,234","92,643,135",…,…,"90,542,723","502,190,398",…,…,…,…,"3,302,141,420","879,375,285","6,118,594,212","1,108,118,236","800,472,800",…
1981,"30,583,176,821","333,968,426",…,"3,411,894,655","9,944,786,062","2,347,313,585","115,768,271",…,…,"96,133,720","210,522,503",…,…,…,…,"3,070,249,656","1,108,514,515","7,738,638,470","1,154,680,758","1,050,706,200",…
1982,"32,315,631,276","294,038,688",…,"3,611,648,711","9,411,965,169","2,550,194,956","138,154,133",…,…,"83,779,410","214,213,551",…,…,…,…,"3,733,773,393","1,317,188,255","8,511,840,453","1,332,660,901","1,005,795,000","110,378,656"
1983,"33,826,431,478","304,021,215",…,"4,039,600,567","10,053,020,486","2,794,944,612","142,619,061",…,…,"102,589,620","228,647,389",…,…,…,…,"4,446,720,430","1,222,139,221","8,585,298,982","1,391,406,895","515,423,000",…
1984,"35,931,290,851","309,021,556",…,"5,773,688,024","8,989,648,938","2,623,748,311","161,072,545",…,…,"96,492,839","206,241,373",…,…,…,…,"5,941,090,405","1,428,059,600","8,092,767,112","1,322,536,148","986,924,000",…
1985,"40,059,998,754","326,603,542",…,"6,679,334,904","9,905,199,330","2,500,725,966","170,707,970",…,…,"99,352,898","223,813,450",…,…,…,…,"5,780,038,754","1,498,931,902","10,248,675,288","1,476,614,750","1,150,000,000",…
1986,"42,419,584,270","353,183,432",…,"6,943,999,081","10,684,557,514","2,855,913,229","163,321,586",…,…,"106,178,266","215,048,333",…,…,…,…,"5,390,201,136","1,598,362,514","10,990,771,498","2,278,047,681","840,000,000",…
1987,"46,075,501,719","355,342,479",…,"8,457,941,796","10,926,108,253","2,695,562,036","158,621,091",…,…,"97,020,576","283,319,790",…,…,…,…,"6,320,045,830","1,655,266,049","10,522,741,716","1,603,532,103","3,000,000,000",…
1988,"51,666,492,963","382,848,001",…,"7,578,799,763","13,733,536,376","2,876,314,057","158,878,243",…,…,"114,036,788","329,745,000",…,…,…,…,"9,584,535,554","1,730,887,674","10,896,705,481","1,780,206,026","2,500,000,000",…
1989,"56,698,053,773","398,813,655",…,"10,915,177,350","13,790,272,205","3,147,087,764","153,125,264",…,…,"110,622,454","247,317,393",…,…,…,…,"12,512,773,852","1,780,947,534","10,851,957,102","1,917,931,200","872,028,000",…
1990,"73,264,188,071","420,816,519",…,"20,064,579,602","15,521,842,681","3,709,174,536","164,708,319",…,…,"121,571,681","305,117,210",…,…,…,…,"13,309,837,310","1,914,632,143","14,401,570,287","2,101,337,783","1,229,000,000",…
1991,"71,830,172,768","462,353,287",…,"12,757,574,999","18,783,153,042","4,070,442,574","462,533,252",…,…,"170,114,644","554,431,478",…,…,…,…,"11,131,688,861","2,148,128,256","18,002,077,603","2,574,674,772","713,000,000",…
1992,"75,029,805,491","499,206,755",…,"11,218,560,787","19,006,094,260","4,362,364,213","184,512,505",…,…,"187,885,952","512,530,526",…,…,…,…,"12,485,374,885","2,211,669,153","21,129,854,310","3,033,752,145","198,000,000",…
1993,"70,160,202,010","499,442,848",…,"10,400,938,461","22,272,559,695","6,877,979,046","193,023,139",…,…,"175,596,163","516,101,286",…,…,…,…,"10,564,512,697","2,262,878,114","12,424,087,182","3,921,083,379","52,000,000",…
1994,"70,240,666,544","464,548,646",…,"10,605,252,063","20,573,461,450","6,920,741,674","194,893,150",…,…,"168,049,225","534,193,913",…,…,…,…,"14,142,483,295","2,410,777,259","9,610,252,775","4,560,013,094","56,000,000",…
1995,"77,967,695,208","512,295,480",…,"10,118,645,671","21,420,336,852","10,726,724,120","191,856,535",…,…,"165,611,186","579,021,160",…,…,…,…,"16,949,509,208","2,742,271,566","9,315,883,247","5,217,540,183","28,000,000",…
1996,"71,901,564,853","524,558,476",…,"11,960,460,366","22,809,550,327","7,769,661,845","182,889,255",…,…,"163,842,486","446,563,303",…,…,…,…,"8,922,302,771","2,790,536,950","9,734,891,284","5,653,307,790","943,000,000",…
1997,"69,184,038,989","528,901,878",…,"11,091,336,018","24,031,786,721","7,198,493,809","174,834,572",…,…,"169,056,018","414,126,204",…,…,…,…,"6,013,160,117","2,702,287,174","10,221,296,381","6,112,760,097","526,000,000",…
1998,"74,532,667,699","507,493,974",…,"9,747,212,816","24,654,163,550","7,461,813,271","164,663,266",…,…,"175,512,052","933,725,103",…,…,…,…,"5,001,031,091","2,717,509,363","11,544,738,499","9,389,804,714","2,235,000,000",…
1999,"78,135,107,501","493,757,882",…,"10,902,344,094","27,862,724,571","6,893,552,650","147,706,321",…,…,"140,582,391","960,238,849",…,…,…,…,"9,409,733,054","2,728,630,317","12,293,240,263","6,115,575,473","187,021,636",…
2000,"67,503,013,910","505,190,927",…,"9,608,874,479","24,243,406,895","6,801,963,343","137,284,365",…,…,"129,476,723","430,607,427",…,…,…,…,"5,968,282,166","2,732,773,397","10,461,428,792","5,997,425,305","486,300,091",…
2001,"75,037,050,660","500,690,190",…,"9,553,467,447","25,422,686,512","7,295,535,187","132,446,325",…,…,"121,716,881","439,080,705",…,…,…,…,"11,841,149,896","2,866,463,799","9,354,623,188","5,901,551,473","1,607,639,057",…
2002,"76,579,744,435","468,651,917",…,"9,334,275,376","29,464,428,110","7,477,320,142","121,225,948",…,…,"120,975,037","431,743,153",…,…,…,…,"5,873,685,652","3,077,737,530","8,942,952,171","6,068,330,248","5,198,419,151",…
2003,"72,712,486,592","468,344,698",…,"9,314,953,725","28,228,215,911","7,105,487,370","105,281,743",…,…,"101,173,315","405,608,821",…,…,…,…,"6,595,374,438","2,951,355,074","8,820,174,858","7,243,166,614","1,373,350,025",…
2004,"83,635,656,256","482,100,832",…,"9,593,437,961","30,592,889,565","7,875,771,542","97,613,535",…,…,"101,043,294","446,754,470",…,…,…,…,"10,035,280,935","2,856,862,799","8,563,219,445","11,264,788,896","1,725,892,982",…
2005,"76,727,764,034","464,366,774",…,"9,635,941,210","31,780,118,384","8,478,541,722","92,302,074",…,…,"92,938,877","419,090,792",…,…,…,…,"6,325,397,850","2,884,183,504","9,302,150,905","5,291,080,235","1,961,651,707",…
2006,"75,517,186,959","459,450,103",…,"9,120,165,377","31,441,207,146","6,848,010,628","88,900,663",…,…,"90,282,220","385,260,029",…,…,…,…,"6,255,851,825","2,970,517,654","9,900,053,050","5,054,765,617","2,902,722,647",…
2007,"79,619,144,618","480,881,012",…,"9,747,797,214","31,789,222,020","8,181,211,059","79,052,323",…,…,"93,697,886","481,491,799",…,…,…,…,"6,203,357,252","2,922,223,338","12,151,002,221","4,810,621,064","2,678,587,430",…
2008,"80,705,659,838","485,622,166",…,"9,648,425,496","33,921,861,547","7,599,664,210","83,079,122",…,…,"92,910,142","413,854,206",…,…,…,…,"9,088,699,538","3,027,279,630","11,248,785,611","4,797,230,369","298,247,801",…
2009,"85,225,553,134","467,236,580",…,"11,587,053,043","34,467,571,694","7,807,011,150","79,746,655",…,…,"106,625,949","4,176,084,980",…,…,…,…,"6,396,793,926","3,233,044,566","10,816,259,675","4,731,531,549","1,356,593,367",…
2010,"87,619,103,410","448,031,875",…,"10,516,609,396","40,094,254,988","7,794,952,306","79,210,879",…,…,"118,607,741","414,936,066",…,…,…,…,"6,461,250,317","3,122,725,806","12,925,805,700","4,744,718,336","898,000,000",…
2011,"87,692,661,241","588,280,491",…,"9,125,714,688","41,022,297,795","7,537,084,114","78,342,545",…,…,"110,325,739","376,728,805",…,…,…,…,"6,546,149,581","3,009,191,113","12,530,379,976","4,702,879,394","2,065,287,000",…
2012,"89,671,385,876","550,104,145",…,"9,095,437,946","42,221,226,571","7,549,214,715","75,243,183",…,…,"97,705,124","381,238,066",…,…,…,…,"5,358,585,952","3,014,570,860","15,061,359,812","4,804,797,502","1,461,902,000",…
2013,"92,606,680,948","510,874,957",…,"11,985,409,243","43,173,700,160","6,479,521,995","74,070,731",…,…,"92,550,680","369,711,569",…,…,…,…,"10,985,049,664","2,871,978,460","9,331,734,310","5,022,479,179","1,709,600,000",…
2014,"89,515,412,659","515,458,776",…,"9,641,711,870","44,027,957,839","6,651,755,865","69,206,070",…,…,"135,514,955","410,315,239",…,…,…,…,"8,307,878,312","2,908,404,818","9,142,260,294","4,821,948,621","2,883,000,000",…
2015,"95,314,073,752","559,438,219",…,"8,863,030,065","47,128,382,047","6,497,864,826","67,810,717",…,…,"142,131,297","487,211,345",…,…,…,…,"9,940,735,489","2,906,864,881","10,858,628,394","4,440,976,472","3,421,000,000",…
2016,"106,657,985,839","531,582,517",…,"8,276,959,656","48,613,043,308","6,244,176,477","70,111,249",…,…,"110,470,745","369,513,774",…,…,…,…,"12,474,329,268","2,965,680,018","16,402,207,407","4,254,309,420","6,345,602,000",…
2017,"114,265,472,444","530,768,156",…,"16,291,120,428","50,306,724,837","5,922,010,771","60,843,004",…,…,"131,147,766","400,581,764",…,…,…,…,"5,861,786,424","2,888,802,181","15,846,512,006","4,185,690,813","11,839,484,294",…
2018,"97,955,733,431","527,312,298",…,"9,015,352,591","51,094,102,952","5,907,222,305","61,221,079",…,…,"130,213,417","442,453,943",…,…,…,…,"6,074,335,932","2,925,991,911","12,191,092,321","4,136,044,682","5,450,390,000",…
2019,"103,243,366,228","528,344,695",…,"9,497,535,661","52,417,289,926","6,239,608,881","61,305,237",…,…,"162,613,831","692,951,147",…,…,…,…,"6,721,547,609","2,935,701,967","13,472,628,094","4,062,677,180","6,451,162,000",…
2020,"135,182,639,267","500,393,865",…,"10,013,572,330","53,775,964,095","6,425,116,931","64,369,763",…,…,"402,512,258","29,054,582,785",…,…,…,…,"6,948,513,803","3,007,886,219","16,171,370,724","3,969,600,494","4,848,756,000",…
2021,"136,521,351,581","472,477,221",…,"11,986,080,437","59,354,688,478","8,776,195,484","63,682,424",…,…,"171,779,840","1,142,868,973",…,…,…,…,"6,164,826,453","3,010,167,076","33,812,017,619","3,766,454,576","7,800,113,000",…
2022,"129,842,853,889","487,199,549",…,"13,064,587,177","59,589,248,992","8,563,072,316","56,747,264",…,…,"126,027,394","1,271,110,374",…,…,…,…,"6,077,259,948","3,013,022,616","26,217,509,707","3,518,211,552","7,858,857,000",…
