年度,総数_申込件数,総数_申込金額(×1000円),総数_貸付件数,総数_貸付金額(×1000円),製造業_申込件数,製造業_申込金額(×1000円),製造業_貸付件数,製造業_貸付金額(×1000円),建設業_申込件数,建設業_申込金額(×1000円),建設業_貸付件数,建設業_貸付金額(×1000円),運輸業_申込件数,運輸業_申込金額(×1000円),運輸業_貸付件数,運輸業_貸付金額(×1000円),卸売業_申込件数,卸売業_申込金額(×1000円),卸売業_貸付件数,卸売業_貸付金額(×1000円),小売業_申込件数,小売業_申込金額(×1000円),小売業_貸付件数,小売業_貸付金額(×1000円),飲食業_申込件数,飲食業_申込金額(×1000円),飲食業_貸付件数,飲食業_貸付金額(×1000円),サービス業_申込件数,サービス業_申込金額(×1000円),サービス業_貸付件数,サービス業_貸付金額(×1000円),その他_申込件数,その他_申込金額(×1000円),その他_貸付件数,その他_貸付金額(×1000円)
1986,687,2389380,565,1874210,105,379390,78,254600,173,555640,138,434020,10,47400,9,45500,30,133800,22,79700,249,857770,216,725200,…,…,…,…,112,377490,94,290190,8,37890,8,45000
1987,506,1738660,462,1585730,68,242360,65,229560,135,442750,125,407170,11,40200,6,25900,22,83540,22,83200,186,637370,169,587900,…,…,…,…,82,285440,73,242000,2,7000,2,10000
1988,528,2034250,471,1679130,64,288300,62,256400,123,426150,109,350300,11,90300,8,35900,23,97000,22,92000,150,562930,137,485430,…,…,…,…,152,560370,131,455900,5,9200,2,3200
1989,612,2832780,554,2315700,122,631200,110,530900,151,657670,129,507320,9,34100,9,54100,34,165000,29,136000,131,596410,126,533610,…,…,…,…,151,679850,138,498220,14,68550,13,55550
1990,660,3111270,593,2681420,82,439850,75,365750,160,714980,146,643680,13,72000,13,58500,22,127000,21,107800,166,779990,155,698740,54,272400,43,218400,159,698150,134,568650,4,6900,6,19900
1991,585,2798690,503,2172720,88,460750,79,390350,140,669200,122,518300,13,88600,13,85600,40,232900,31,169300,133,679820,120,564170,44,121500,40,99700,114,473420,87,289600,13,72500,11,55700
1992,658,3008200,539,2283700,90,441500,74,312900,184,815040,150,589940,12,38500,6,28000,35,196980,34,175480,124,567700,105,440600,55,231630,40,155730,145,649850,122,498850,12,60000,7,31900
1993,857,3845800,748,2991400,98,471700,87,358200,212,947800,190,761700,32,141500,20,93500,34,193900,32,164100,189,847700,167,685900,64,249600,60,177100,206,854100,173,629800,16,117100,15,106900
1994,1011,4576800,838,3066950,148,682500,131,477800,286,1289900,235,857200,16,77600,10,30800,56,279100,46,186950,229,1049300,193,769300,86,328900,64,179000,174,780700,146,495400,13,75800,11,66500
1995,781,3488800,662,2466600,93,422100,78,320500,199,873900,178,613600,15,54900,9,19900,39,207600,31,148400,171,784300,153,612400,63,236200,50,140400,174,794400,144,524800,19,64900,15,49600
1996,736,3035800,644,2283700,88,379300,83,326300,179,709800,152,510400,15,50000,10,28300,40,205100,34,143100,150,634400,138,518400,107,391000,94,239500,140,588300,118,448300,17,77900,15,69400
1997,561,2442400,450,1719900,61,309900,50,245900,165,669500,128,451600,8,32800,6,21500,33,181500,29,146500,116,514600,95,365700,38,107000,33,69400,118,512600,91,354400,22,114500,18,64900
1998,567,2499900,478,1922850,62,308600,51,219600,158,675800,134,533300,16,54900,16,53600,24,116800,17,77300,122,531900,107,432500,48,206300,36,119700,122,529300,105,422950,15,76300,12,63900
1999,674,3262950,559,2454450,75,393400,70,338100,181,875200,151,639400,10,43400,8,29400,36,227900,31,178200,120,611200,100,456300,74,265950,51,168450,159,764900,134,585400,19,81000,14,59200
2000,620,3029300,536,2377500,85,463200,72,348400,172,847100,147,660400,13,51700,13,47700,35,211700,28,147900,119,593100,102,473900,50,182900,49,149500,131,599800,111,498200,15,79800,14,51500
2001,682,3491900,537,2479800,86,511400,67,361400,187,941800,155,720300,20,84400,15,68400,45,270300,31,171000,121,616900,102,493600,61,249900,51,172400,136,673100,98,404900,26,144100,18,87800
2002,538,2671100,485,2120600,70,401100,59,296200,149,721900,145,637700,10,45200,6,18600,32,187700,32,166000,101,483500,91,400500,42,168800,34,99300,118,570100,105,428700,16,92800,13,73600
2003,538,2610750,439,1980750,59,298150,51,246950,165,827700,142,658200,9,57700,4,38000,27,143900,23,114900,87,463400,72,347900,37,131900,28,83400,134,601500,107,430700,20,86500,12,60700
2004,595,2942950,496,2304950,64,351100,52,267100,180,858100,138,631100,6,29500,6,26500,35,203500,32,180500,106,541300,98,470650,41,175300,36,130000,145,709050,120,548800,18,75100,14,50300
2005,505,2461600,487,2261700,49,266800,52,281200,140,677200,144,682800,12,49400,9,35400,30,179200,27,153500,96,453000,91,405800,51,215600,50,184300,91,447500,89,412300,36,172900,25,106400
2006,601,3002500,547,2633400,60,334300,57,332600,171,878800,165,802700,6,19300,6,18700,36,205800,31,180800,110,592900,94,464500,61,225100,48,170200,113,505800,99,422300,44,240500,47,241600
2007,515,2516010,439,2039810,36,212400,40,205500,129,634910,101,489400,10,52700,10,52700,27,146600,23,113500,85,452500,81,422400,48,198800,39,136510,133,569700,103,404900,47,248400,42,214900
2008,1021,4757020,777,3282630,114,589800,92,435200,313,1466500,240,1031910,16,68400,12,55300,51,274800,41,211300,173,818720,137,583920,79,291000,58,180200,229,1030200,167,647900,46,217600,30,136900
2009,485,2248300,410,1636400,58,282700,42,176400,150,672200,138,556700,8,39500,5,22500,14,73000,12,42500,73,326300,63,255400,37,127500,26,71400,126,649000,107,442600,19,78100,17,68900
2010,449,1901900,381,1400800,32,170000,28,112100,130,545800,108,382300,7,41700,5,28000,16,87000,16,64000,70,309800,65,261600,47,154200,40,91400,105,415400,86,328100,42,178000,33,133300
2011,674,2867300,600,2331200,47,223200,43,173700,186,839000,169,685600,16,60700,9,34300,24,111000,22,95000,108,451100,101,417500,71,218000,55,147800,188,812600,160,613400,34,151700,41,163900
2012,402,1838300,337,1365900,30,167700,26,135600,115,559200,94,419600,6,38000,7,30100,17,85300,14,61800,77,342900,65,265100,26,101300,24,70500,101,411800,82,292300,30,132100,25,90900
2013,366,1661800,289,1156200,39,200300,33,153900,94,407400,80,317700,8,40000,5,24000,19,93000,16,76000,44,196200,42,159600,42,131600,26,50200,97,494000,69,297300,23,99300,18,77500
2014,357,1564100,292,1163000,34,177800,26,130500,90,404100,76,313200,3,7100,3,2800,12,48200,10,36500,64,287600,50,208800,30,120100,25,85800,98,418800,78,299500,26,100400,24,85900
2015,340,1534000,283,1190100,46,232900,39,163700,87,419300,82,383800,5,16700,3,14900,17,76400,15,59700,60,293200,53,237300,20,56600,19,45100,96,398600,61,240600,9,40300,11,45000
2016,304,1352500,252,1020400,20,98700,22,105100,76,319100,61,234600,7,36200,6,29000,15,66000,15,65000,47,230100,39,173900,43,183300,30,114400,78,333100,66,252000,18,86000,13,46400
2017,285,1326500,243,1147800,20,98400,17,70900,92,305400,77,412300,7,26200,3,10500,10,44900,9,41900,30,172500,29,122600,24,155200,22,110400,92,464600,76,317300,10,59300,10,61900
2018,314,1560500,247,1135000,23,117000,21,88200,91,484900,69,354100,2,10300,2,5200,15,71000,12,59000,40,170200,30,126400,33,160700,24,106300,83,433500,70,336500,27,112900,19,59300
2019,295,1485200,272,1220800,25,119300,22,108000,75,370000,63,296000,9,49700,7,33700,12,62100,14,69100,39,191100,39,179900,34,163400,32,120400,84,424000,81,358200,17,105600,14,55500
2020,125,685600,105,565100,17,85300,13,66900,25,143900,26,129800,3,19000,3,19000,4,15500,3,5000,17,87100,12,71500,10,56000,11,58000,36,204500,26,150800,13,74300,11,64100
2021,319,1512300,243,1074600,16,73200,12,48700,95,393800,77,314100,7,38800,5,27800,12,65000,12,60000,38,197500,33,137800,29,145800,16,71200,95,446500,72,341300,27,151700,16,73700
2022,270,1336300,215,875000,23,134000,22,119800,56,293000,50,184700,13,54000,12,48000,7,37000,5,33500,26,167700,18,105900,34,138600,23,72500,70,346900,54,206000,41,165100,31,104600
2023,381,1753100,331,1395700,22,107300,18,78900,94,470200,88,447000,8,24900,7,22300,12,62200,11,40700,37,183600,29,138600,35,163400,35,145400,87,374100,71,258400,86,367400,72,264400
