年度,国民健康保険(円),後期高齢者医療(円),介護保険(円),競走事業(円),公共用地(円),下水道事業(円),火災共済事業(円),国保直営診療所(円),競輪事業(円),上水道(円),庁舎建設(円),婦人補導院(円),赤松高校建設(現：府中高校)(円),公益質屋(円),市民会館建設(円),都市計画三本木土地区画整理事業(円),市立図書館資料館建設(円),奨学金・福祉基金(円),市民健康センター建設(円),災害救助基金(円),福祉会館・振興会館建設(円),交通災害共済(円),緑化基金(円),受託水道事業(円),老人保健医療(円),シルバー入院共済事業(円),市立診療所(円)
1970,"489,532,084",…,…,"24,277,834,350","1,318,798,376","1,253,214,013",…,…,…,…,…,…,…,…,…,"381,160,761",…,"38,948,098","510,767,246","2,147,362",…,…,…,…,…,…,…
1971,"592,308,662",…,…,"26,042,895,943","2,009,568,890","2,699,916,945",…,…,…,…,…,…,…,…,…,"541,087,986",…,"39,967,459","204,046,674","1,868,728",…,…,…,…,…,…,…
1972,"746,442,355",…,…,"30,883,219,906","2,425,953,396","3,173,387,616",…,…,…,…,…,…,…,…,…,"327,246,184",…,"40,330,380","103,919,089","1,862,876",…,…,…,…,…,…,…
1973,"870,332,363",…,…,"46,134,444,831","3,762,259,807","3,765,135,829",…,…,…,…,…,…,…,…,…,"357,012,122",…,"39,635,289",…,"2,099,730",…,…,…,…,…,…,…
1974,"1,296,869,912",…,…,"55,394,414,977","3,694,141,593","5,365,243,085",…,…,…,…,…,…,…,…,…,"313,197,645",…,"53,945,638",…,"2,397,117",…,…,"16,661,635",…,…,…,…
1975,"1,630,463,862",…,…,"56,738,988,336","2,869,190,892","4,961,265,751",…,…,…,…,…,…,…,…,…,"375,764,976",…,"64,665,405",…,"2,492,713",…,…,"111,015,621","840,089,353",…,…,…
1976,"1,950,952,250",…,…,"65,019,782,809","3,230,048,087","5,522,171,006",…,…,…,…,…,…,…,…,…,"984,049,339",…,"356,635,026",…,"2,743,969",…,…,"253,699,514","1,198,365,035",…,…,…
1977,"2,330,466,952",…,…,"73,812,649,395","3,625,199,442","6,827,104,268",…,…,…,…,…,…,…,…,…,"1,275,562,354",…,"314,292,844",…,"152,145,216",…,…,"25,490,008","1,294,905,306",…,…,…
1978,"2,852,113,587",…,…,"82,507,556,341","3,023,681,192","6,917,443,107",…,…,…,…,…,…,…,…,…,"1,142,854,222",…,"149,771,087",…,"10,696,732",…,…,"123,907,677","1,511,707,463",…,…,…
1979,"3,299,598,902",…,…,"91,664,291,534","3,545,780,936","8,411,560,528",…,…,…,…,…,…,…,…,…,"1,356,013,781",…,"142,142,733",…,"8,993,096",…,…,"74,285,341","2,334,466,925",…,…,…
1980,"3,728,719,110",…,…,"108,285,380,578","5,222,111,794","10,525,823,691",…,…,…,…,…,…,…,…,…,"1,617,164,066",…,"184,877,980",…,"11,668,419",…,…,"88,756,163","2,281,042,040",…,…,…
1981,"4,199,231,612",…,…,"114,600,246,642","5,394,224,136","10,628,309,363","2,032,194",…,…,…,…,…,…,…,…,"2,637,814,873",…,"305,746,851",…,"15,856,672",…,…,"149,562,279","2,149,138,155",…,…,…
1982,"4,579,514,304",…,…,"116,510,458,120","7,069,865,257","8,581,037,006","3,660,273",…,…,…,…,…,…,…,…,"3,408,164,601",…,"322,531,179",…,"13,743,986",…,…,"203,954,798","2,149,766,291","244,004,911",…,…
1983,"4,408,125,654",…,…,"108,615,106,599","4,744,447,572","6,810,318,843","4,970,833",…,…,…,…,…,…,…,…,"3,076,969,009",…,"315,047,291",…,"13,433,663",…,…,"211,269,178","1,918,074,846","3,487,650,998",…,…
1984,"4,628,086,820",…,…,"109,623,786,170","6,738,043,759","5,662,682,610","6,839,605",…,…,…,…,…,…,…,…,"2,227,954,227",…,"311,735,495",…,"14,240,429",…,…,"216,570,025","2,248,598,498","3,862,900,462",…,…
1985,"5,502,272,618",…,…,"114,522,538,661","6,539,072,394","4,559,793,714","5,759,383",…,…,…,…,…,…,…,…,"1,153,370,726",…,"307,614,267",…,"14,403,793",…,…,"192,416,263","2,126,934,153","4,190,949,562",…,…
1986,"6,076,546,228",…,…,"116,322,127,812","6,727,237,296","4,627,818,219","9,361,307",…,…,…,…,…,…,…,…,"259,370,717",…,"283,035,959",…,"22,849,958",…,…,"286,719,013","2,520,857,888","4,644,289,918",…,…
1987,"5,937,176,773",…,…,"144,415,221,854","12,698,852,976","4,277,094,758","4,677,038",…,…,…,…,…,…,…,…,"207,714,551",…,…,…,…,…,…,…,"2,336,205,445","4,975,709,099","12,750,963",…
1988,"6,143,457,075",…,…,"149,667,219,303","13,621,101,562","4,475,546,213","3,219,637",…,…,…,…,…,…,…,…,"164,114,042",…,…,…,…,…,…,…,"2,445,150,340","5,455,712,216","44,352,900",…
1989,"6,588,028,010",…,…,"177,644,137,625","17,713,532,360","4,851,224,435","7,753,557",…,…,…,…,…,…,…,…,"189,980,404",…,…,…,…,…,…,…,"2,231,126,677","5,816,045,618","37,007,125",…
1990,"6,905,592,548",…,…,"195,185,633,854","17,837,920,829","4,698,402,567","6,451,711",…,…,…,…,…,…,…,…,"1,210,406,763",…,…,…,…,…,…,…,"2,169,827,702","6,207,658,113","47,895,168",…
1991,"7,266,882,061",…,…,"197,807,402,833","15,174,413,274","4,681,330,983","4,833,424",…,…,…,…,…,…,…,…,"91,796,791",…,…,…,…,…,…,…,"1,835,872,822","6,869,532,288","51,046,858",…
1992,"7,621,259,167",…,…,"187,158,009,968","20,864,881,471","4,333,956,337","8,114,731",…,…,…,…,…,…,…,…,"74,299,608",…,…,…,…,…,…,…,"1,787,267,883","7,521,863,039","82,594,341",…
1993,"8,198,328,917",…,…,"170,265,671,696","19,710,122,065","4,657,397,060","8,330,056",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,798,372,360","8,341,754,133","116,081,035",…
1994,"8,928,745,812",…,…,"168,285,223,553","15,450,899,433","4,397,883,818","8,032,849",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,845,040,954","9,143,061,955","142,327,887",…
1995,"9,523,550,216",…,…,"165,761,449,949","10,901,240,751","4,397,865,319","8,824,780",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,369,806,589","9,890,665,846","149,409,675",…
1996,"10,217,584,645",…,…,"138,303,483,271","9,570,306,425","4,705,129,903","6,019,807",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,568,537,276","11,229,299,381","159,273,846",…
1997,"10,630,437,736",…,…,"142,038,989,898","4,449,774,531","5,287,852,836","9,598,317",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,608,760,641","12,090,988,673","167,697,986",…
1998,"11,485,063,174",…,…,"121,144,519,173","2,661,374,797","5,228,294,179","8,145,335",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,340,560,935","12,633,202,751","164,297,072",…
1999,"12,469,089,828",…,…,"109,409,971,466","8,303,516,889","4,632,974,238","4,691,531",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,054,080,078","13,980,410,657","163,273,344",…
2000,"13,378,278,657",…,"5,147,673,673","107,351,866,107","12,137,716,673","4,586,599,155","4,378,624",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,993,026,397","13,583,811,840","134,390,244",…
2001,"14,056,992,148",…,"6,201,514,137","106,884,824,697","6,908,455,270","4,562,949,051","4,903,228",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,163,924,968","14,519,118,665","40,353,580",…
2002,"14,273,368,544",…,"7,034,470,693","98,798,219,472","2,526,485,030","5,087,776,206","6,506,401",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,323,336,800","14,415,422,390",…,…
2003,"16,046,505,299",…,"7,797,025,435","91,357,543,720","2,866,960,342","4,731,361,736","4,267,126",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,025,397,784","13,683,209,865",…,…
2004,"16,823,994,635",…,"8,279,837,383","62,637,449,498","3,256,947,619","4,322,302,634","7,290,298",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,870,479,752","13,578,309,077",…,…
2005,"17,821,293,213",…,"8,735,943,423","84,269,679,406","1,741,494,390","4,796,610,588","4,342,861",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,709,637,684","13,768,967,328",…,…
2006,"18,898,477,679",…,"9,196,101,185","82,101,002,807","1,151,221,480","4,372,611,989","3,685,689",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,382,765,110","13,418,407,018",…,…
2007,"20,918,835,512",…,"9,893,586,369","89,044,478,005","1,593,538,775","4,085,989,377","4,382,924",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,338,209,527","13,308,460,619",…,…
2008,"22,046,829,968","2,948,896,676","10,322,988,601","105,344,760,248","2,070,599,575","4,014,218,619","3,975,313",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,037,664,197","1,382,103,373",…,…
2009,"20,499,924,581","3,201,041,163","10,961,507,025","94,882,074,583","2,438,503,560","3,723,565,859","3,632,303",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"46,331,487",…,…
2010,"20,320,314,225","3,570,076,084","11,353,715,080","91,537,110,379","4,872,985,222","4,004,280,647","6,989,231",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"11,688,377",…,…
2011,"21,874,490,663","3,747,590,584","11,913,804,807","109,618,476,548","5,420,450,685","3,988,198,463","5,762,561",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2012,"23,016,804,459","4,105,762,464","12,859,020,650","107,536,635,587","2,763,055,910","3,837,027,813","4,544,934",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2013,"23,637,489,843","4,270,229,183","13,419,697,537","117,487,303,690","2,645,920,922","3,948,188,883","6,348,939",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2014,"23,463,806,194","4,553,531,320","14,314,475,054","120,956,982,558","3,541,947,469","4,007,489,997","3,300,490",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2015,"27,421,237,927","4,579,957,061","14,843,385,595",…,"2,214,275,708","4,107,016,493","4,460,321",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2016,"26,874,993,193","4,893,136,786","15,685,766,461",…,"1,922,410,506","3,983,150,833","4,969,535",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2017,"26,385,996,179","5,011,593,266","16,956,355,656",…,"1,647,650,485","4,016,923,462","8,037,952",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2018,"23,672,374,502","5,197,340,590","17,451,710,050",…,"2,622,614,325","3,675,759,594","3,758,660",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2019,"23,316,767,542","5,470,896,822","18,000,459,429",…,"1,342,643,633","3,491,075,750",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2020,"22,839,183,079","5,510,702,820","18,986,229,674",…,"1,356,854,809",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2021,"23,780,325,390","5,460,757,005","19,652,404,551",…,"1,437,134,577",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2022,"23,916,313,919","6,078,672,343","19,697,259,952",…,"1,481,534,858",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
