時点,総数,乗用車_総数,乗用車_普通車,乗用車_小型車,貨物自動車_総数,貨物自動車_普通車,貨物自動車_小型車,貨物自動車_被けん引車,乗合自動車,特種用途車,大型特殊車,小型二輪車,貨物自動車_小型三輪車
1990/3/31,"66,043","51,574","2,914","48,660","12,436","2,997","9,386",53,310,"1,517",206,"3,056",…
1991/3/31,"68,460","53,878","4,151","49,727","12,541","3,162","9,345",34,265,"1,565",211,"2,885",…
1992/3/31,"69,675","54,976","5,940","49,036","12,627","3,295","9,299",33,254,"1,603",215,"2,957",…
1993/3/31,"70,262","55,971","8,002","47,969","12,245","3,301","8,908",36,249,"1,580",217,"3,044",…
1994/3/31,"70,941","56,930","10,456","46,474","11,921","3,233","8,647",41,251,"1,622",217,"3,061",…
1995/3/31,"71,468","57,804","12,839","44,965","11,485","3,235","8,211",39,246,"1,713",220,"3,171",…
1996/3/31,"72,717","59,277","15,355","43,922","11,149","3,218","7,891",40,230,"1,844",217,"3,187",…
1997/3/31,"73,980","60,587","17,966","42,621","10,937","3,279","7,616",42,223,"2,021",212,"3,113",…
1998/3/31,"74,540","61,331","19,998","41,333","10,658","3,221","7,397",40,234,"2,105",212,"3,108",…
1999/3/31,"74,395","61,432","21,517","39,915","10,267","3,051","7,177",39,233,"2,250",213,"3,009",…
2000/3/31,"74,294","61,589","22,823","38,766","9,957","3,016","6,897",44,237,"2,301",210,"3,004",…
2001/3/31,"73,858","61,426","23,986","37,440","9,625","2,924","6,660",41,240,"2,361",206,"3,065",…
2002/3/31,"80,079","61,526","25,044","36,482","15,787","9,300","6,448",39,244,"2,313",209,"3,085",…
2003/3/31,"73,302","61,747","25,786","35,961","8,887","2,656","6,195",36,238,"2,219",211,"3,086",…
2004/3/31,"72,235","61,330","26,500","34,830","8,386","2,522","5,827",37,260,"2,049",210,"3,122",…
2005/3/31,"72,176","61,596","27,191","34,405","8,144","2,428","5,686",30,255,"1,970",211,"3,118",…
2006/3/31,"72,033","61,835","27,603","34,232","7,882","2,386","5,467",29,253,"1,847",216,"3,128",…
2007/3/31,"70,922","61,163","27,462","33,701","7,515","2,203","5,283",29,248,"1,784",212,"3,212",…
2008/3/31,"70,371","60,779","27,882","32,897","7,473","2,237","5,211",25,260,"1,647",212,"3,252",…
2009/3/31,"68,872","59,699","27,757","31,942","7,179","2,160","4,998",21,257,"1,523",214,"3,381",…
2010/3/31,"68,492","59,515","28,016","31,499","6,897","2,064","4,813",20,270,"1,596",214,"3,336",…
2011/3/31,"67,931","59,072","28,246","30,826","6,754","2,031","4,706",17,270,"1,623",212,"3,327",…
2012/3/31,"67,760","59,042","28,634","30,408","6,701","2,091","4,593",17,272,"1,534",211,"3,244",…
2013/3/31,"67,000","58,325","28,578","29,747","6,654","2,113","4,524",17,264,"1,545",212,"3,257",…
2014/3/31,"66,795","58,127","28,903","29,224","6,567","2,121","4,428",18,260,"1,624",217,"3,285",…
2015/3/31,"65,960","57,405","28,823","28,582","6,475","2,126","4,329",20,265,"1,600",215,"3,224",…
2016/3/31,"65,750","57,193","29,210","27,983","6,447","2,171","4,259",17,269,"1,630",211,"3,168",…
2017/3/31,"65,500","56,953","29,453","27,500","6,423","2,199","4,201",23,273,"1,640",211,"3,093",…
2018/3/31,"68,710","56,882","29,883","26,999","6,490","2,267","4,202",21,269,"1,681",212,"3,176",…
2019/3/31,"68,175","56,307","30,161","26,146","6,554","2,300","4,233",21,258,"1,695",212,"3,149",…
2020/3/31,"67,527","55,638","30,360","25,278","6,558","2,290","4,247",21,261,"1,737",211,"3,122",…
2021/3/31,"67,066","55,154","30,614","24,540","6,558","2,257","4,280",21,243,"1,766",208,"3,137",…
2022/3/31,"66,829","54,763","30,784","23,979","6,638","2,282","4,335",21,226,"1,788",210,"3,204",…
2023/3/31,"66,684","54,446","31,076","23,370","6,668","2,276","4,373",19,226,"1,842",204,"3,298",…
