年度,八王子市_歳入(×1000円),八王子市_歳出(×1000円),八王子市_歳出1人当たり(×1000円),八王子市_財政力指数,立川市_歳入(×1000円),立川市_歳出(×1000円),立川市_歳出1人当たり(×1000円),立川市_財政力指数,武蔵野市_歳入(×1000円),武蔵野市_歳出(×1000円),武蔵野市_歳出1人当たり(×1000円),武蔵野市_財政力指数,三鷹市_歳入(×1000円),三鷹市_歳出(×1000円),三鷹市_歳出1人当たり(×1000円),三鷹市_財政力指数,青梅市_歳入(×1000円),青梅市_歳出(×1000円),青梅市_歳出1人当たり(×1000円),青梅市_財政力指数,府中市_歳入(×1000円),府中市_歳出(×1000円),府中市_歳出1人当たり(×1000円),府中市_財政力指数,昭島市_歳入(×1000円),昭島市_歳出(×1000円),昭島市_歳出1人当たり(×1000円),昭島市_財政力指数,調布市_歳入(×1000円),調布市_歳出(×1000円),調布市_歳出1人当たり(×1000円),調布市_財政力指数,町田市_歳入(×1000円),町田市_歳出(×1000円),町田市_歳出1人当たり(×1000円),町田市_財政力指数,小金井市_歳入(×1000円),小金井市_歳出(×1000円),小金井市_歳出1人当たり(×1000円),小金井市_財政力指数,小平市_歳入(×1000円),小平市_歳出(×1000円),小平市_歳出1人当たり(×1000円),小平市_財政力指数,日野市_歳入(×1000円),日野市_歳出(×1000円),日野市_歳出1人当たり(×1000円),日野市_財政力指数,東村山市_歳入(×1000円),東村山市_歳出(×1000円),東村山市_歳出1人当たり(×1000円),東村山市_財政力指数,国分寺市_歳入(×1000円),国分寺市_歳出(×1000円),国分寺市_歳出1人当たり(×1000円),国分寺市_財政力指数,国立市_歳入(×1000円),国立市_歳出(×1000円),国立市_歳出1人当たり(×1000円),国立市_財政力指数,田無市_歳入(×1000円),田無市_歳出(×1000円),田無市_歳出1人当たり(×1000円),田無市_財政力指数,保谷市_歳入(×1000円),保谷市_歳出(×1000円),保谷市_歳出1人当たり(×1000円),保谷市_財政力指数,福生市_歳入(×1000円),福生市_歳出(×1000円),福生市_歳出1人当たり(×1000円),福生市_財政力指数,狛江市_歳入(×1000円),狛江市_歳出(×1000円),狛江市_歳出1人当たり(×1000円),狛江市_財政力指数,東大和市_歳入(×1000円),東大和市_歳出(×1000円),東大和市_歳出1人当たり(×1000円),東大和市_財政力指数,清瀬市_歳入(×1000円),清瀬市_歳出(×1000円),清瀬市_歳出1人当たり(×1000円),清瀬市_財政力指数,東久留米市_歳入(×1000円),東久留米市_歳出(×1000円),東久留米市_歳出1人当たり(×1000円),東久留米市_財政力指数,武蔵村山市_歳入(×1000円),武蔵村山市_歳出(×1000円),武蔵村山市_歳出1人当たり(×1000円),武蔵村山市_財政力指数,多摩市_歳入(×1000円),多摩市_歳出(×1000円),多摩市_歳出1人当たり(×1000円),多摩市_財政力指数,稲城市_歳入(×1000円),稲城市_歳出(×1000円),稲城市_歳出1人当たり(×1000円),稲城市_財政力指数,秋川市_歳入(×1000円),秋川市_歳出(×1000円),秋川市_歳出1人当たり(×1000円),秋川市_財政力指数,羽村市_歳入(×1000円),羽村市_歳出(×1000円),羽村市_歳出1人当たり(×1000円),羽村市_財政力指数,あきる野市_歳入(×1000円),あきる野市_歳出(×1000円),あきる野市_歳出1人当たり(×1000円),あきる野市_財政力指数,西東京市_歳入(×1000円),西東京市_歳出(×1000円),西東京市_歳出1人当たり(×1000円),西東京市_財政力指数
1981,72121503,71362068,184,0.89,30274667,29791696,211,0.98,27332763,26016583,197,1.37,25391721,24707282,155,1.04,22475869,21892488,217,0.81,35502884,34375932,183,0.99,18789062,18583762,200,0.89,29140275,28667429,161,0.93,53588211,53004510,178,0.89,14346652,14245300,145,0.85,24376916,23964521,163,0.92,23326127,22577187,156,1.02,20892525,20859115,177,0.76,16135852,15902866,180,0.9,11385847,11264944,179,0.8,14486109,14057144,212,0.97,16676148,16489659,184,0.86,11307332,11145370,227,0.67,9989483,9854660,143,0.73,12371268,12146850,182,0.72,10061510,9856179,160,0.61,14558455,14487814,136,0.72,11180095,10856426,187,0.77,24473565,24040563,244,0.72,8997187,8182167,171,0.67,8728869,8543690,196,0.6,…,…,…,…,…,…,…,…,…,…,…,…
1982,81883501,80955662,203,0.92,32868776,31998922,224,1,32065949,30890730,233,1.4,28510223,27426523,173,1.05,23785240,23091128,225,0.83,38261932,37687625,199,1.01,18526176,18156684,192,0.9,30994107,30136987,168,0.95,52466468,51420899,171,0.93,15814878,15676681,158,0.87,29739545,29175292,196,0.96,26364097,25122688,171,1.09,20598013,20402384,172,0.78,18541662,17895182,200,0.93,11133834,11072385,174,0.84,12150604,11160112,167,0.99,13346952,13058246,146,0.9,10483137,10301874,208,0.7,11181861,10908351,157,0.76,12582764,12252856,180,0.73,10439514,10194956,163,0.63,16955262,16599451,154,0.75,13813334,13207320,224,0.8,24310605,23641846,230,0.76,10439132,10009337,207,0.73,9749856,9341552,212,0.63,…,…,…,…,…,…,…,…,…,…,…,…
1983,79451842,77264422,191,0.96,31730471,30623023,213,1.02,33925557,32357514,242,1.45,31767850,30968885,193,1.08,27208365,26349724,252,0.83,37303239,36559171,190,1.05,20544982,20215152,212,0.89,31426196,30381385,168,0.98,53087526,51778396,168,0.98,16932228,16249789,163,0.9,28851916,27857765,185,0.99,29553327,28584117,191,1.11,21758789,21696465,181,0.81,16159697,15530164,171,0.95,10666524,10543572,166,0.88,14912948,14367001,213,1,14755432,14461612,161,0.92,11463030,11265385,224,0.71,14001172,13556916,194,0.8,13472702,12821687,187,0.75,11371275,11026692,175,0.64,16949720,16919908,156,0.78,13509037,13167667,220,0.79,31365089,30680884,281,0.81,9771155,9228355,188,0.79,9046298,8683330,194,0.66,…,…,…,…,…,…,…,…,…,…,…,…
1984,85558410,84521557,209,0.99,33999515,32983352,229,1.04,33340501,32241723,241,1.5,31831846,30996842,193,1.12,22858571,22236621,212,0.85,42629755,41874403,218,1.07,18797063,18433771,193,0.92,33719387,32632267,180,1.02,53415769,52313558,170,1.02,17405046,16810144,168,0.92,32730236,31882173,212,1.02,33048184,31905438,214,1.16,22596062,22395690,187,1.1,19340785,18465696,204,0.98,10823404,10583679,166,0.92,13737491,13213372,196,1.04,14618783,14395451,160,0.94,12165409,11968521,238,0.73,12113216,11817087,169,0.84,14535603,14191409,207,0.77,12257593,1192236,189,0.66,18425401,18414915,170,0.81,13020500,12501288,209,0.8,27675258,27025247,247,0.86,14089338,13688297,279,0.84,10751604,10126755,226,0.7,…,…,…,…,…,…,…,…,…,…,…,…
1985,84641673,81945096,196,1.02,34900901,33805191,229,1.08,34946970,33655911,249,1.57,33060721,32175059,199,1.18,22502489,21740886,199,0.88,47104562,45877863,232,1.13,19433401,19149129,198,0.97,35887676,34983451,187,1.07,55792220,54754669,170,1.05,18043473,17172909,170,0.96,31321349,30756275,201,1.06,34729427,33869194,220,1.18,21707856,21529642,173,0.85,20235012,19504708,207,1.02,11776133,11605897,181,0.95,14208245,13549536,191,1.07,15483186,15231794,167,0.95,12192344,11971786,230,0.73,12699921,12477722,173,0.88,14389134,14182727,202,0.78,12753457,12523832,196,0.68,19343865,19293230,175,0.83,13727167,13367792,220,0.84,29317464,28660537,234,0.9,11204008,10761222,214,0.88,9702319,8803823,191,0.73,…,…,…,…,…,…,…,…,…,…,…,…
1986,96508578,94918137,223,1.05,37672947,35760698,239,1.12,37722946,35087737,258,1.63,38870324,37722934,234,1.21,26425436,25709664,229,0.91,50357987,47889910,239,1.17,20547128,20059817,204,0.997,37458578,36290662,192,1.12,63897043,62187962,189,1.08,20228649,19453904,192,0.98,30856749,30054083,196,1.08,33666384,32600772,209,1.2,23327408,23057181,181,0.86,20305913,19651508,205,1.04,12128631,11712506,182,0.98,14765215,14267656,198,1.08,17125426,16853745,183,0.96,13260014,12874209,243,0.75,13757514,13369304,185,0.91,14749806,14275207,199,0.8,12808820,12505632,192,0.7,19030345,18944504,171,0.86,13610346,13131491,214,0.86,34237776,33224317,260,0.94,12118532,11568007,226,0.92,10851319,10353728,222,0.75,…,…,…,…,…,…,…,…,…,…,…,…
1987,103349772,100977999,233,1.09,43217790,41232230,274,1.17,43047273,40498875,299,1.68,42217540,38885437,240,1.23,27095095,26131216,226,0.92,61169182,58519672,291,1.19,21451826,21116696,208,1.01,41872084,40791110,215,1.16,72379379,70811412,211,1.13,21839436,20755266,206,1.01,33968149,32924711,214,1.09,35942289,35004200,223,1.19,25549633,25231939,197,0.87,22063005,21257326,219,1.07,15802798,15365510,239,1.01,16051772,15348519,212,1.06,19572565,18989179,205,0.99,14254002,13517512,249,0.78,14734909,13919072,191,0.94,17571786,17149218,234,0.84,13776450,13359368,204,0.72,21182278,21041535,189,0.89,15389201,14928915,239,0.86,31691054,30649858,230,1.01,15133696,14722460,282,0.92,10979550,10589155,222,0.78,…,…,…,…,…,…,…,…,…,…,…,…
1988,115855128,114844013,262,1.142,47184913,45110860,297,1.227,45677716,44074060,327,1.74,44852649,42882518,266,1.275,29874262,28941311,245,0.913,67682868,63854916,316,1.215,24351673,23966403,233,1.009,46793282,45118811,238,1.219,77956145,75619076,223,1.209,24182256,23618153,233,1.053,35792937,34884404,225,1.111,39800632,38222342,242,1.202,29079115,28704310,221,0.89,27116154,26003951,267,1.116,15852296,15512422,242,1.04,17221463,16375528,225,1.059,21657633,21298151,228,1.029,14768025,14479530,258,0.8,17337896,16989917,235,0.965,17521933,16845880,229,0.885,16548843,15990625,244,0.742,22176923,21981228,196,0.921,16441076,16015344,252,0.818,30772009,30063340,219,1.051,14874627,14509771,265,0.932,13820830,13530020,278,0.8,…,…,…,…,…,…,…,…,…,…,…,…
1989,113736020,112178146,250,1.201,67125931,65008157,427,1.282,49222256,46358551,344,1.798,51032262,50340939,314,1.334,32552878,31571715,260,0.948,76944004,74112790,365,1.289,26504730,26079290,252,1.043,54076523,52915739,278,1.299,95319653,93124428,271,1.294,26151371,25381058,250,1.118,39372330,38452831,246,1.164,43269084,41946830,262,1.246,28313458,27809726,210,0.927,31091534,30268242,309,1.166,17220438,16821846,262,10125,20578716,18923906,259,1.087,22009664,21339809,228,1.078,15060286,14408728,252,0.832,17909164,17770200,246,1.024,18230326,17843393,240,0.907,17527650,17131183,259,0.779,24202341,24065358,213,0.949,16516294,15999893,246,0.836,35857297,34568908,248,1.101,17670022,17077147,302,0.961,14773967,14411382,289,0.833,…,…,…,…,…,…,…,…,…,…,…,…
1990,122179445,120980810,266,1.216,70122639,67807075,444,1.297,55011867,52899769,393,1.805,66603838,64005085,399,1.359,36459753,34756945,279,0.959,94679673,92602977,453,1.336,26658544,26222671,251,1.053,57768767,56363013,296,1.34,96407612,94105519,271,1.349,28595048,27479537,268,1.134,42981782,41689733,263,1.184,46496478,45311973,282,1.255,3818860,34367973,258,0.935,29623577,28875737,292,1.186,17729523,17393957,269,1.14,32299315,31338310,428,1.103,23399786,22870967,242,1.072,17750029,17258289,297,0.834,21398405,21058318,291,1.047,20825859,20299896,271,0.911,19636159,19117523,287,0.79,30579976,30298364,267,0.951,18407559,18037185,276,0.841,39082417,37945766,269,1.112,22228241,20728111,357,0.991,16001662,15137801,297,0.8228,…,…,…,…,…,…,…,…,…,…,…,…
1991,142413324,141264329,305,1.209,67905626,66266635,431,1.306,59402424,57532711,429,1.791,57094153,55891448,347,1.362,40364805,39374653,310,0.968,88407650,86784384,421,1.354,29229306,28767101,270,1.047,60219309,58654084,306,1.342,96854332,95176764,272,1.351,31756800,31044730,301,1.132,46912785,45554855,284,1.174,48574327,47717490,296,1.251,35311601,34796567,259,0.927,32754449,31771251,320,1.18,20119547,19894113,306,1.149,24093466,22827532,312,1.106,24096048,23695074,249,1.045,18650929,18164953,309,0.83,24095884,23652849,326,1.049,21314427,20341231,270,0.894,23370004,22915768,344,0.78,31067621,30591118,270,0.95,18776280,18366167,279,0.89,43009602,41906262,293,1.14,24499169,23010339,390,1.008,16757827,16008900,308,0.806,19527746,19095333,364,1.274,…,…,…,…,…,…,…,…
1992,140530703,137967149,294,1.168,76243292,74809452,485,1.261,58050523,56672823,426,1.744,57039856,54097919,336,1.33,40215464,39178901,301,0.95,97631584,96209678,462,1.299,33190606,32760029,311,1.005,68799850,67367911,351,1.295,109841146,107395429,304,1.316,36019231,35127782,341,1.091,56419992,54863329,338,1.128,47836987,47108991,292,1.194,38954814,38399211,286,0.886,43444802,42773034,426,1.145,20018776,19673597,302,1.071,24882383,24324439,332,1.062,27921383,27211213,284,0.973,21464172,21082514,355,0.8,23894476,23503920,351,1.016,26657091,26048580,344,0.861,24224207,23970060,359,0.741,35753196,35079134,311,0.905,19205261,18658344,280,0.874,45158633,43714339,302,1.137,24240873,23623358,388,0.96,18852107,17661020,332,0.777,19779176,19416690,365,1.212,…,…,…,…,…,…,…,…
1993,162625952,161084950,339,1.16,69721171,68092908,440,1.251,56061412,53911530,409,1.706,59045032,56366844,352,1.324,39548092,38754082,293,0.95,91644165,90178507,431,1.275,33226549,32642049,307,1,69088566,67929477,355,1.275,107636753,105065994,295,1.288,33117757,32437204,315,1.08,58687240,57520664,352,1.116,48281923,46568923,288,1.18,38968052,38607171,289,0.884,38234480,37769886,372,1.132,21553546,21373685,328,1.067,25834891,25288852,346,1.05,31867984,31193215,323,0.959,21473300,20842700,348,0.802,29790329,29411525,404,1.005,25104951,24698453,324,0.859,25700518,25317211,379,0.73,34183596,33393688,297,0.889,19855674,19219500,287,0.883,44951268,43675236,303,1.165,23155771,22216151,362,0.941,20121491,19577001,367,0.785,19472779,19187817,357,1.152,…,…,…,…,…,…,…,…
1994,161762335,160148018,332,1.133,63384236,61691037,396,1.214,62852102,60036305,461,1.643,57177744,54703324,343,1.294,37376975,36645451,273,0.937,87349608,85688298,408,1.253,31605239,31094572,292,1.004,78389738,76659268,402,1.249,99379363,96730926,271,1.259,32355082,31723110,304,1.065,46795955,45251790,275,1.099,47935039,46053090,286,1.156,37965951,37635721,279,0.873,39848295,39315218,384,1.1,20469432,20197278,306,1.045,29100093,28485299,389,1.027,28579514,28060005,288,0.938,23774914,23084019,384,0.796,26506479,26108198,360,0.996,23440976,22996132,302,0.857,22907514,22462001,335,0.727,35093642,34251735,305,0.87,20252871,19653235,293,0.85,44994327,43054470,299,1.175,21042665,19748072,322,0.915,18662915,18302507,341,0.793,18662779,18422151,340,1.119,…,…,…,…,…,…,…,…
1995,153204374,150437270,306,1.127,69458788,68007587,430,1.225,56256876,54054933,409,1.583,59440086,57130942,353,1.276,37935028,37067417,271,0.918,90580051,88664564,414,1.275,34196558,33915627,313,1.011,68139581,67094840,346,1.242,111024343,107751012,300,1.258,31367681,30746236,288,1.056,49354032,47893630,284,1.089,49253960,48072069,296,1.147,42065647,41780956,309,0.876,39223565,38550168,372,1.079,20318664,20084585,302,1.046,25262531,24618327,331,1.006,31475453,30851683,311,0.95,21839161,21260918,344,0.795,33048266,32638048,446,0.988,24427840,24049134,310,0.864,29389510,28611591,423,0.738,35473245,35032703,311,0.885,20568363,20145914,298,0.845,50891051,49794885,344,1.194,22358263,21750594,346,0.928,19881596,19699613,356,1.103,26939417,26647556,348,0.744,…,…,…,…,…,…,…,…
1996,178675408,177506270,364,1.108,72518262,71162088,456,1.219,56968952,54300469,418,1.552,56317939,54076776,339,1.247,38662424,37889442,280,0.921,82880300,80996874,383,1.301,36063209,35818800,336,1.002,67822003,66535744,349,1.223,111047097,107014896,300,1.252,31246005,31013411,295,1.039,50279553,48870847,295,1.072,48661023,47199732,293,1.138,41917773,41510678,309,0.87,35901227,35287384,349,1.049,21017819,20918879,319,1.019,24372795,23604905,320,0.978,32594937,32156476,327,0.93,22557759,21884391,364,0.784,25654143,25159925,347,0.958,22971302,22702576,296,0.862,25320701,24931767,372,0.742,38169063,37598590,336,0.887,20982580,20363421,306,0.837,55234747,54194330,378,1.21,21943966,21125135,340,0.913,…,…,…,…,20634818,20436507,376,1.113,25872773,25603913,336,0.751,…,…,…,…
1997,184347222,182957371,366,1.096,76135022,75276829,474,1.193,53536202,52025916,398,1.521,67499566,65890570,409,1.235,39010145,38204645,278,0.923,75316315,73567489,342,1.307,31595632,31369094,296,0.98,69459039,67550318,348,1.204,113224511,109252062,302,1.24,30832873,30818003,290,1.006,52795246,51691226,307,1.059,49187458,47544871,294,1.108,41076268,40794719,297,0.86,34193563,33591770,325,1.023,20843555,20730890,304,1.003,24397899,23583522,310,0.961,32011130,31708048,320,0.901,22231584,21641904,358,0.764,25127562,24432141,335,0.913,25226682,24835505,325,0.845,23356833,23188398,347,0.728,31208547,30724865,272,0.865,20659494,20183108,304,0.834,52274830,51491582,361,1.212,22930876,22268137,347,0.891,…,…,…,…,20002723,19676180,360,1.127,24690788,24372140,317,0.749,…,…,…,…
