年度,総額(円),市税(円),地方譲与税(円),利子割交付金(円),配当割交付金(円),株式等譲渡所得割交付金(円),法人事業税交付金(円),地方消費税交付金(円),特別地方消費税交付金(円),自動車取得税交付金(円),環境性能割交付金(円),国有提供施設等所在市町村助成交付金等(円),地方特例交付金(円),地方交付税(円),臨時地方特例交付金(財政)(円),公営企業及び財産収入(円),交通安全対策特別交付金(円),分担金及び負担金(円),使用料及び手数料(円),国庫支出金(円),都支出金(円),財産収入(円),寄附金(円),繰入金(円),繰越金(円),雑収入(円),諸収入(円),市債(円),自動車重量譲与税及び自動車取得税交付金(円)
1964,"1,603,010,868","897,244,388",…,…,…,…,…,…,…,…,…,"80,738,000",…,"14,415,000",…,…,…,"8,298,631","62,876,815","124,217,547","33,147,917","2,657,557","7,000,000",0,"115,094,384",…,"236,320,629","21,000,000",…
1965,"2,229,899,472","1,128,260,750",…,…,…,…,…,…,…,…,…,"81,913,000",…,"9,806,000",…,…,…,"10,083,987","74,720,018","191,818,943","66,560,273","21,398,454","11,830,000",0,"94,023,846",…,"469,484,201","70,000,000",…
1966,"2,354,207,768","1,314,034,963",…,…,…,…,…,…,…,…,…,"82,413,000",…,"10,272,000","25,360,000",…,…,"12,294,244","81,934,733","209,495,628","64,095,167","3,007,585","6,768,000",0,"91,949,381",…,"392,683,067","59,900,000",…
1967,"2,976,744,588","1,641,500,193",…,…,…,…,…,…,…,…,…,"83,913,000",…,"10,430,000","895,000",…,…,"13,781,342","85,260,397","255,552,973","95,028,311","2,516,149","7,950,000",0,"68,727,286",…,"652,489,937","58,700,000",…
1968,"3,268,369,689","1,956,193,263",…,…,…,…,…,…,…,"49,598,000",…,"86,413,000",…,"11,520,000",…,…,"5,693,000","15,511,133","91,125,394","319,778,258","145,019,040","3,653,733","70,350",0,"82,633,854",…,"476,960,664","24,200,000",…
1969,"4,344,670,364","2,489,870,085",0,…,…,…,…,…,…,"79,832,000",…,"118,934,000",…,"103,786,000",…,…,"6,011,000","24,894,034","107,502,725","368,874,734","215,504,544","4,110,558","7,195,000",0,"161,450,137",…,"586,205,547","70,500,000",…
1970,"5,550,704,989","3,065,333,873",0,…,…,…,…,…,…,"85,297,000",…,"154,658,000",…,"31,923,000",…,…,"3,989,000","31,539,682","103,516,121","538,673,950","466,999,523","11,263,637","9,242,500",0,"242,301,354",…,"706,567,349","99,400,000",…
1971,"6,432,226,684","3,732,362,702",0,…,…,…,…,…,…,…,…,"173,158,000",…,"48,381,000",…,…,"6,110,000","33,023,662","113,376,191","646,447,056","538,182,861","21,687,131","11,708,000",0,"108,798,738",…,"745,249,343","157,200,000","96,542,000"
1972,"8,671,670,489","4,538,322,330","29,577,000",…,…,…,…,…,…,"90,052,000",…,"195,967,000",…,"179,542,000",…,…,"15,596,000","38,450,031","139,186,555","998,642,840","663,752,055","7,556,589","327,892,000","2,852,500","217,642,826",…,"1,035,238,763","191,400,000",…
1973,"11,420,507,724","5,914,509,963","31,582,000",…,…,…,…,…,…,"119,366,000",…,"221,481,000",…,"624,285,000",…,…,"19,689,000","47,264,002","156,594,479","1,318,548,253","872,489,904","6,766,380","257,828,500","9,375,378","259,640,570",…,"1,339,387,295","221,700,000",…
1974,"15,187,276,300","7,440,166,522","54,354,000",…,…,…,…,…,…,"146,603,000",…,"256,775,000",…,"960,218,000",…,…,"21,199,000","87,949,003","166,342,042","1,734,463,417","1,049,873,911","22,124,800","222,783,639","5,582,000","445,086,244",…,"2,070,555,722","503,200,000",…
1975,"16,850,716,997","8,163,247,099","63,741,000",…,…,…,…,…,…,"186,213,000",…,"201,331,000",…,"473,957,000",…,…,"25,192,000","55,105,523","182,635,696","2,294,831,886","1,086,650,640","8,629,326","298,002,000","7,325,892","404,638,225",…,"2,714,416,710","684,800,000",…
1976,"18,184,113,232","9,823,462,709","117,212,000",…,…,…,…,…,…,"197,010,000",…,"76,499,000",…,"835,728,000",…,…,"26,165,000","99,091,516","240,559,278","2,323,422,011","1,169,748,917","16,229,567","300,203,500","11,245,180","403,101,498",…,"2,031,335,056","513,100,000",…
1977,"21,310,176,938","11,258,353,746","137,441,000",…,…,…,…,…,…,"229,234,000",…,"61,619,000",…,"211,458,000",…,…,"38,384,000","124,739,245","255,075,088","2,721,211,401","1,354,167,816","49,421,343","344,800,000","16,412,367","504,095,673",…,"3,432,464,259","571,300,000",…
1978,"23,574,530,655","12,781,630,415","141,855,000",…,…,…,…,…,…,"271,204,000",…,"47,045,000",…,"485,120,000",…,…,"44,122,000","137,755,802","301,466,074","3,099,340,710","1,414,146,816","124,575,893","346,680,000","26,952,440","409,242,684",…,"3,471,193,821","472,200,000",…
1979,"26,177,085,588","14,356,538,875","204,432,000",…,…,…,…,…,…,"305,542,000",…,"37,603,000",…,"394,301,000",…,…,"37,115,000","156,680,177","319,112,415","3,431,893,206","1,447,388,615","176,578,661","354,860,000","996,022,094","437,792,336",…,"3,008,526,209","512,700,000",…
1980,"28,757,105,828","16,645,641,577","210,680,000",…,…,…,…,…,…,"280,068,000",…,"32,771,000",…,"532,420,000",…,…,"23,691,000","188,732,675","354,169,894","3,351,911,925","1,489,388,099","316,526,903","351,515,000","863,673,790","409,300,484",…,"3,196,615,481","510,000,000",…
1981,"31,263,131,211","18,530,834,483","215,968,000",…,…,…,…,…,…,"306,819,000",…,"19,906,000",…,"36,229,000",…,…,"19,737,000","230,110,013","402,359,050","3,478,795,142","1,880,025,686","296,924,019","961,615,000","61,880,109","618,970,622",…,"3,286,258,087","916,700,000",…
1982,"32,796,126,830","20,529,215,517","233,858,000",…,…,…,…,…,…,"346,120,000",…,"25,240,000",…,"38,904,000",…,…,"24,472,000","269,635,751","467,065,064","3,865,433,478","1,818,745,006","339,898,549","1,086,610,000","55,192,204","589,954,390",…,"2,207,682,871","898,100,000",…
1983,"34,511,747,969","22,338,687,205","246,621,000",…,…,…,…,…,…,"362,426,000",…,"22,716,000",…,"39,302,000",…,…,"22,898,000","307,697,759","479,909,167","3,716,977,734","1,965,230,534","394,234,639","497,580,000","102,683,312","360,495,554",…,"2,813,789,065","840,500,000",…
1984,"36,620,625,866","24,205,389,717","234,501,000",…,…,…,…,…,…,"378,863,000",…,"21,576,000",…,"39,406,000",…,…,"32,404,000","322,678,526","507,745,976","3,528,053,870","2,188,982,505","502,281,894","1,383,700,000","301,123,426","495,316,491",…,"1,390,303,461","1,088,300,000",…
1985,"41,115,105,952","27,868,416,594","225,427,000",…,…,…,…,…,…,"416,620,000",…,"20,066,000",…,"41,733,000",…,…,"35,193,000","339,039,923","562,386,611","3,299,464,779","2,787,303,997","931,884,977","436,121,000","1,010,509,197","499,335,015",…,"465,504,859","2,176,100,000",…
1986,"43,102,872,527","27,751,835,853","253,794,000",…,…,…,…,…,…,"521,340,000",…,"16,053,000",…,"43,812,000",…,…,"30,140,000","417,990,982","624,573,165","3,320,452,574","2,874,598,405","784,799,599","499,294,000","570,650,183","1,055,107,198",…,"3,018,631,568","1,319,800,000",…
1987,"48,570,738,248","30,680,931,867","271,614,000",…,…,…,…,…,…,"595,204,000",…,"14,608,000",…,"45,001,000",…,…,"41,571,000","535,078,737","711,596,572","3,535,212,492","3,284,844,439","1,045,406,972","820,851,360","399,000","708,235,595",…,"4,722,683,214","1,557,500,000",…
1988,"53,389,123,432","34,407,418,540","278,972,000","965,688,000",…,…,…,…,…,"736,902,000",…,"13,148,000",…,"46,052,000",…,…,"32,319,000","517,218,882","742,980,114","3,583,937,774","3,301,273,171","1,535,142,312","907,729,810","350,000","1,095,236,529",…,"3,451,625,300","1,773,130,000",…
1989,"59,426,878,153","36,017,679,546","933,081,000","1,659,219,000",…,…,…,…,…,"756,324,000",…,"13,315,000",…,"56,355,000",…,…,"32,513,000","516,288,507","776,669,003","4,305,140,384","3,848,865,613","1,865,853,758","826,060,583","557,754,000","1,722,630,469",…,"3,538,929,290","2,000,200,000",…
1990,"75,304,295,963","37,503,906,928","1,068,325,000","2,391,059,000",…,…,…,…,0,"786,301,000",…,"11,899,000",…,"63,842,000",…,…,"40,038,000","515,549,965","840,810,143","4,939,293,428","4,436,913,475","2,772,980,855","894,661,586","5,176,521,618","2,728,824,380",…,"5,367,970,585","5,765,399,000",…
1991,"73,090,093,392","39,378,623,702","1,135,987,000","1,712,089,000",…,…,…,…,"7,653,000","766,421,000",…,"9,325,000",…,"68,093,000",…,…,"47,702,000","768,280,206","1,013,711,052","4,651,346,825","4,569,446,177","2,299,514,272","846,965,912","3,712,538,881","2,040,107,892",…,"4,829,488,473","5,232,800,000",…
1992,"76,249,012,224","40,141,181,457","1,291,107,000","751,186,000",…,…,…,…,"14,407,000","616,659,000",…,"9,325,000",…,"72,177,000",…,…,"44,385,000","1,463,746,985","1,144,933,661","5,096,227,144","5,494,782,396","1,340,491,604","903,307,037","5,519,339,378","1,259,920,624",…,"3,544,335,938","7,541,500,000",…
1993,"71,428,266,489","41,477,476,726","1,409,882,000","1,029,077,000",…,…,…,…,"13,566,000","552,409,000",…,"9,325,000",…,"66,750,000",…,…,"41,847,000","1,789,941,118","1,270,110,522","5,871,194,452","5,604,729,835","827,020,167","885,189,138","2,427,000,000","1,238,862,381",…,"1,702,686,150","5,211,200,000",…
1994,"71,702,085,054","40,964,812,677","1,418,651,000","1,223,762,000",…,…,…,…,"12,939,000","594,072,000",…,"9,325,000",…,"70,025,000",…,…,"40,942,000","1,400,180,217","1,321,831,165","7,120,502,585","5,984,109,354","654,292,978","973,484,477","1,202,188,000","1,268,064,479",…,"2,394,603,122","5,048,300,000",…
1995,"79,465,776,267","42,855,838,066","1,444,811,000","1,281,876,000",…,…,…,…,"12,476,000","627,576,000",…,"8,772,000",…,"69,357,000",…,…,"40,842,000","1,416,255,322","1,421,709,943","8,702,542,218","6,693,643,030","385,295,448","700,091,220","2,914,362,000","1,461,418,510",…,"3,283,310,510","6,145,600,000",…
1996,"73,233,168,874","45,735,044,051","1,494,769,000","643,644,000",…,…,…,0,"11,301,000","660,679,000",…,"8,362,000",…,"71,399,000",…,…,"41,334,000","1,452,571,536","1,475,232,550","5,300,467,134","6,208,268,955","211,877,814","949,824,196","1,210,214,034","1,498,081,059",…,"2,195,399,545","4,064,700,000",…
1997,"70,670,893,842","47,219,035,560","780,483,950","596,101,000",…,…,…,"543,610,000","26,278,000","608,757,000",…,"4,059,000",…,"76,997,000",…,…,"42,276,000","1,501,725,850","1,643,775,058","5,269,116,299","5,989,342,917","245,493,304","910,435,438","278,293,000","1,331,604,021",…,"2,293,410,445","1,310,100,000",…
1998,"76,370,890,097","46,547,736,328","395,820,000","530,449,000",…,…,…,"2,494,705,000","30,171,000","514,943,000",…,"4,085,000",…,"116,132,000",…,…,"42,721,000","1,552,759,247","1,721,528,214","6,431,396,099","6,281,780,059","235,862,644","827,673,326","3,828,273,498","986,854,853",…,"1,865,099,829","1,962,900,000",…
1999,"79,215,424,833","42,874,220,139","405,200,000","510,883,000",…,…,…,"2,321,393,000","27,259,000","454,400,000",…,"3,533,000","1,264,449,000","119,002,000",…,…,"41,908,000","1,623,193,305","1,859,069,105","8,096,409,365","5,788,731,001","143,353,560","826,000,525","6,966,620,874","1,338,222,398",…,"1,057,177,561","3,494,400,000",…
2000,"68,992,537,165","41,844,272,014","424,391,000","1,299,844,000",…,…,…,"2,393,808,000","7,734,000","484,669,000",…,"3,476,000","1,633,346,000","127,010,000",…,…,"36,359,000","612,476,761","1,942,471,852","5,448,497,015","5,783,063,593","158,152,049","791,616,851","896,781,245","930,317,332",…,"2,367,551,453","1,806,700,000",…
2001,"76,697,856,613","43,097,089,572","434,005,000","1,310,847,000",…,…,…,"2,597,877,000","719,000","514,151,000",…,"3,461,000","1,616,472,000","115,007,000",…,…,"39,379,000","693,979,454","1,929,606,284","8,559,938,079","7,016,101,267","227,918,921","918,361,537","2,173,610,620","989,523,255",…,"2,026,509,624","2,433,300,000",…
2002,"77,862,185,238","42,731,345,358","438,497,000","499,967,000",…,…,…,"2,302,913,000",…,"457,573,000",…,"3,470,000","1,679,729,000","107,013,000",…,…,"39,829,000","770,245,913","1,943,723,334","6,354,751,712","5,859,216,529","210,467,747","804,961,418","6,455,062,269","1,060,805,953",…,"4,250,656,005","1,891,958,000",…
2003,"74,135,898,948","41,776,902,875","463,204,000","384,001,000",…,…,…,"2,607,701,000",…,"566,638,000",…,"3,469,000","1,642,356,000","97,006,000",…,…,"42,305,000","741,740,017","1,996,524,101","7,730,715,836","6,151,205,889","328,365,911","784,143,817","2,197,243,642","882,440,803",…,"2,646,036,057","3,093,900,000",…
2004,"85,086,852,920","42,137,622,588","860,238,000","320,617,000","84,002,000","86,947,000",…,"2,933,023,000",…,"499,010,000",…,"3,667,000","1,602,637,000","84,029,000",…,…,"40,621,000","754,350,993","1,981,556,709","9,884,051,847","6,617,221,215","291,031,656","617,880,387","2,813,777,163","1,023,412,356",…,"3,436,757,006","9,014,400,000",…
2005,"78,325,378,871","44,563,653,471","1,275,985,000","295,797,000","139,999,000","205,697,000",…,"2,715,545,000",…,"535,700,000",…,"3,581,000","1,657,637,000","71,046,000",…,…,"41,168,000","753,518,629","2,001,728,799","9,073,513,811","6,075,033,129","241,667,529","515,713,182","1,236,579,086","1,251,196,664",…,"2,932,319,571","2,738,300,000",…
2006,"78,584,224,696","46,114,822,857","1,955,805,077","323,271,000","191,711,000","171,792,000",…,"2,869,897,000",…,"595,946,000",…,"2,668,000","1,467,867,000","53,285,000",…,…,"44,176,000","808,165,573","1,825,906,923","8,098,691,534","5,992,756,833","665,472,602","605,850,591","131,853,022","1,497,614,837",…,"3,847,671,847","1,319,000,000",…
2007,"81,195,445,326","49,670,485,789","503,414,000","446,008,000","219,874,000","151,920,000",…,"2,858,554,000",…,"527,044,000",…,"2,789,000","313,164,000","44,974,000",…,…,"43,666,000","850,699,237","1,975,628,934","8,122,935,428","6,332,456,353","528,540,609","637,490,598","417,671,697","2,967,037,737",…,"2,891,091,944","1,690,000,000",…
2008,"87,278,569,159","48,783,196,095","474,534,000","359,876,000","104,882,000","36,778,000",…,"2,659,871,000",…,"473,559,000",…,"2,769,000","615,306,000","50,443,000",…,…,"39,381,000","877,569,964","1,873,041,384","12,328,827,743","6,607,238,009","504,932,342","661,949,212","2,260,162,939","1,476,300,708",…,"3,527,351,763","3,560,600,000",…
2009,"88,209,556,707","48,840,663,223","447,062,623","281,921,000","85,453,000","36,439,000",…,"2,832,676,000",…,"229,676,000",…,"2,742,000","573,136,000","50,443,000",…,…,"39,332,000","916,000,082","2,137,753,808","9,606,855,504","7,525,934,944","337,326,305","577,663,913","1,860,185,699","6,472,909,321",…,"3,209,583,285","2,145,800,000",…
2010,"90,388,143,326","47,551,069,007","435,588,311","284,054,000","107,326,000","33,174,000",…,"2,827,810,000",…,"258,871,000",…,"2,878,000","422,582,000","65,572,000",…,…,"36,979,000","948,681,207","2,291,309,327","13,564,911,910","8,813,954,596","315,362,084","502,233,668","3,679,221,176","2,884,003,573",…,"2,324,862,467","3,037,700,000",…
2011,"90,617,966,776","47,573,480,154","438,666,541","267,323,000","119,173,000","26,554,000",…,"2,845,667,000",…,"219,465,000",…,"3,481,000","454,111,000","251,337,000",…,…,"34,841,000","976,516,788","2,252,584,951","13,894,203,047","9,474,279,684","366,259,294","443,577,494","3,567,424,857","2,669,039,916",…,"2,596,682,050","2,143,300,000",…
2012,"91,976,274,446","47,459,314,459","412,292,571","258,319,000","130,733,000","33,644,000",…,"2,857,164,000",…,"249,265,000",…,"3,852,000","222,614,000","108,366,000",…,…,"33,853,000","987,692,357","2,267,295,722","14,297,786,879","9,535,994,336","269,138,753","429,590,576","2,459,847,007","2,825,305,535",…,"3,544,306,251","3,589,900,000",…
2013,"95,937,371,280","49,620,848,129","395,031,003","331,683,000","226,385,000","295,621,000",…,"2,832,813,000",…,"244,266,000",…,"4,167,000","211,848,000","55,240,000",…,…,"32,389,000","1,010,220,125","2,204,475,732","16,371,873,008","10,239,845,174","248,765,372","375,694,764","3,673,254,518","2,204,888,570",…,"2,693,562,885","2,664,500,000",…
2014,"91,805,143,234","50,090,686,990","368,177,005","336,654,000","424,910,000","357,442,000",…,"3,544,079,000",…,"122,865,000",…,"4,181,000","189,350,000","61,091,000",…,…,"28,235,000","1,038,277,311","2,184,823,608","16,452,038,830","9,646,327,268","241,075,783","399,628,853","492,860,889","3,230,690,332",…,"1,286,649,365","1,305,100,000",…
2015,"99,841,227,269","50,755,977,722","375,629,005","289,660,000","347,887,000","342,429,000",…,"6,125,438,000",…,"168,762,000",…,"4,200,000","185,853,000","55,075,000",…,…,"30,121,000","736,433,527","4,208,092,262","18,873,073,446","10,650,818,188","252,731,119","398,129,771","1,270,512,974","2,189,730,575",…,"1,332,573,680","1,248,100,000",…
2016,"109,508,180,105","51,080,043,133","397,730,000","79,545,000","259,485,000","150,633,000",…,"5,458,552,000",…,"180,974,000",…,"4,398,000","198,233,000","40,715,000",…,…,"27,684,000","821,776,486","4,025,466,513","20,408,538,712","11,439,143,502","742,359,734","708,815,462","2,102,656,517","4,427,153,517",…,"1,521,777,529","5,432,500,000",…
2017,"117,337,034,486","51,443,238,355","375,505,000","84,290,000","347,073,000","347,654,000",…,"5,565,169,000",…,"215,240,000",…,"4,318,000","214,797,000","39,645,000",…,…,"24,774,000","978,408,064","4,311,635,087","17,752,939,715","11,043,184,103","207,287,820","654,212,332","11,657,046,683","2,850,194,266",…,"1,848,723,061","7,371,700,000",…
2018,"101,397,592,045","52,827,215,557","379,596,000","89,124,000","296,757,000","241,716,000",…,"4,747,751,000",…,"226,144,000",…,"4,288,000","241,633,000","42,586,000",…,…,"22,499,000","1,015,361,803","4,116,997,986","16,392,812,778","10,948,244,189","247,081,385","432,007,036","1,831,250,689","2,537,562,042",…,"3,777,664,580","979,300,000",…
2019,"105,711,871,978","52,773,924,970","385,143,038","66,780,000","331,703,000","204,269,000",…,"4,544,158,000",…,"113,634,000","39,247,878","4,416,000","732,427,000","54,490,000",…,…,"22,075,000","772,517,466","3,932,663,958","17,251,257,683","12,124,773,760","592,582,050","865,537,595","1,846,523,101","2,806,858,614",…,"4,463,789,865","1,783,100,000",…
2020,"138,893,875,087","52,036,887,089","393,565,000","63,106,000","304,835,000","354,232,000","375,479,000","5,667,511,000",…,"33,190","68,939,321","4,449,000","301,809,000","33,837,000",…,…,"23,993,000","439,739,283","3,668,343,829","47,549,707,293","13,466,298,491","191,644,807","1,054,140,022","3,621,950,204","2,434,505,750",…,"5,105,769,808","1,733,100,000",…
2021,"140,927,594,665","52,299,715,660","400,488,000","58,318,000","418,044,000","510,122,000","841,918,000","6,194,849,000",…,943,"88,666,737","4,502,000","525,263,000","36,006,000",…,…,"23,044,000","528,656,040","3,725,640,193","28,410,314,225","12,999,987,618","239,677,714","924,778,756","20,606,062,318","3,447,235,820",…,"6,098,004,641","2,546,300,000",…
2022,"132,826,223,661","55,175,128,078","400,908,000","76,235,000","405,537,000","311,161,000","1,122,934,000","6,449,439,000",…,517,"101,905,943",…,"311,481,000","42,472,000",…,…,"21,676,000","511,043,388","3,763,290,323","25,070,572,879","13,325,515,479","326,588,718","1,237,620,247","7,665,458,585","4,180,243,084",…,"6,162,713,420","6,164,300,000",…
