執行年月日,選挙種別,当日有権者数_総数,当日有権者数_男,当日有権者数_女,投票者数_総数,投票者数_男,投票者数_女,投票率(％)_平均,投票率(％)_男,投票率(％)_女
1985/7/7,東京都議会議員選挙,140312,73030,67282,68557,33739,34818,48.86039683,46.1988224,51.74935347
1989/7/2,東京都議会議員選挙,150197,78731,71466,84690,41745,42945,56.38594646,53.0223165,60.09151205
1993/6/27,東京都議会議員選挙,160465,83765,76700,71690,35871,35819,44.67640919,42.82337492,46.70013038
1997/7/6,東京都議会議員選挙,169342,87761,81581,60544,30359,30185,35.75250086,34.59281458,37.00003677
2001/6/24,東京都議会議員選挙,177328,91060,86268,82011,40463,41548,46.24819543,44.43553701,48.1615431
2005/7/3,東京都議会議員選挙,189154,96610,92544,75004,37411,37593,39.65234677,38.7237346,40.6217583
2009/7/12,東京都議会議員選挙,197373,100239,97134,107189,54055,53134,54.30783339,53.92611658,54.70175222
2013/6/23,東京都議会議員選挙,198386,99980,98406,80428,40665,39763,40.54116722,40.67313463,40.407089
2017/7/2,東京都議会議員選挙,209438,105287,104151,106234,53155,53079,50.72336443,50.48581496,50.96350491
2021/7/4,東京都議会議員選挙,213225,106579,106646,81476,40746,40730,38.21127917,38.23079594,38.19177466
1954/4/25,府中市長選挙,26369,13205,13164,20061,10170,9891,76.07797034,77.01628171,75.13673655
1958/4/20,府中市長選挙,35442,17595,17847,22503,11414,11089,63.49246657,64.8707019,62.13369194
1962/4/21,府中市長選挙,50518,25075,25443,29335,14097,15238,58.06841126,56.21934197,59.89073616
1966/4/17,府中市長選挙,78719,40079,38640,37420,19201,18219,47.53617297,47.90788193,47.15062112
1970/4/19,府中市長選挙,101372,52184,49188,59811,29290,30521,59.00149943,56.12831519,62.04968692
1974/4/21,府中市長選挙,111017,57258,53759,66783,33069,33714,60.15565184,57.75437493,62.71322011
1978/4/16,府中市長選挙,124499,64197,60302,61245,29828,31417,49.19316621,46.46323037,52.09943285
1980/2/10,府中市長選挙,127046,65780,61266,54819,26462,28357,43.14893818,40.22803284,46.28505207
1984/1/29,府中市長選挙,134986,70059,64927,50363,24850,25513,37.30979509,35.47010377,39.29490043
1988/1/24,府中市長選挙,146161,76912,69249,61395,29765,31630,42.00504923,38.70007281,45.67574983
1992/1/26,府中市長選挙,156670,82444,74226,61642,29509,32133,39.34512032,35.79278055,43.29076065
1996/1/28,府中市長選挙,166058,86615,79443,62423,29939,32484,37.59108263,34.56560642,40.8896945
2000/1/30,府中市長選挙,174795,90223,84572,85510,40941,44569,48.92016362,45.37756448,52.699475
2004/2/1,府中市長選挙,184133,94447,89686,67086,32468,34618,36.43344756,34.37695215,38.59911246
2008/1/27,府中市長選挙,193324,98276,95048,71847,35152,36695,37.16403551,35.76865155,38.60680919
2012/1/22,府中市長選挙,199194,100834,98360,59932,29586,30346,30.08725162,29.34129361,30.85197235
2016/1/31,府中市長選挙,203151,102252,100899,66614,32663,33951,32.79038745,31.94362946,33.64849999
2020/1/26,府中市長選挙,211622,106076,105546,67556,33077,34479,31.92295697,31.18235982,32.66727304
2024/1/28,府中市長選挙,213296,106287,107009,72060,34956,37104,33.78403721,32.88831183,34.67371903
1955/3/27,府中市議会議員選挙,28925,14555,14370,23027,11470,11557,79.60933449,78.80453452,80.42449548
1958/4/20,府中市議会議員選挙*,35442,17595,17847,22497,11411,11086,63.4755375,64.85365161,62.11688239
1959/3/29,府中市議会議員選挙,37858,18830,19028,30836,15194,15642,81.45174072,80.69038768,82.20517133
1962/4/21,府中市議会議員選挙*,50518,25075,25443,29330,14094,15236,58.0585138,56.20737787,59.88287545
1963/4/30,府中市議会議員選挙,59042,29425,29617,41346,19791,21555,70.02811558,67.25913339,72.77914711
1966/4/17,府中市議会議員選挙*,78719,40079,38640,37399,19189,18210,47.5094958,47.87794107,47.12732919
1967/4/28,府中市議会議員選挙,82293,41599,40694,53651,25462,28189,65.19509557,61.20820212,69.27065415
1970/4/19,府中市議会議員選挙*,101372,52184,49188,0,0,0,0,0,0
1971/4/25,府中市議会議員選挙,104979,53875,51104,69198,33550,35648,65.91604035,62.2737819,69.75579211
1975/4/27,府中市議会議員選挙,118003,60874,57129,74673,36202,38471,63.28059456,59.47038144,67.34058009
1978/4/16,府中市議会議員選挙*,124499,64197,60302,61221,29812,31409,49.17388895,46.43830709,52.0861663
1979/4/22,府中市議会議員選挙,122733,63335,59398,77541,37731,39810,63.17860722,59.57369543,67.02245867
1983/4/24,府中市議会議員選挙,128271,65912,62359,78760,37981,40779,61.40125204,57.62380143,65.3939287
1987/4/26,府中市議会議員選挙,142861,74345,68516,83507,40771,42736,58.45332176,54.84027171,62.37375212
1991/4/21,府中市議会議員選挙,150532,78440,72092,82747,39692,43055,54.96970744,50.60173381,59.72229928
1995/4/23,府中市議会議員選挙,161646,84089,77557,78666,38034,40632,48.66560261,45.23064848,52.3898552
1999/4/25,府中市議会議員選挙,172908,89384,83524,87863,42506,45357,50.81488422,47.55437215,54.3041521
2003/4/27,府中市議会議員選挙,180931,92720,88211,84591,40467,44124,46.75318215,43.64430544,50.02097244
2007/4/22,府中市議会議員選挙,189925,96479,93446,89192,43016,46176,46.96169541,44.58586843,49.41463519
2011/4/24,府中市議会議員選挙,196756,99509,97247,86945,42305,44640,44.18924963,42.51374248,45.90372968
2015/4/26,府中市議会議員選挙,200131,100604,99527,94346,45975,48371,47.14212191,45.69897817,48.60088217
2019/4/21,府中市議会議員選挙,208863,104572,104291,97418,47116,50302,46.64205723,45.05603795,48.23234987
2023/4/23,府中市議会議員選挙,210850,104959,105891,96436,46725,49711,45.7367797,44.51738298,46.9454439
