年度,京王電鉄_武蔵野台駅_乗車人員_総数_千人,京王電鉄_武蔵野台駅_乗車人員_定期_千人,京王電鉄_武蔵野台駅_乗車人員_定期外_千人,京王電鉄_武蔵野台駅_降車人員_総数_千人,京王電鉄_武蔵野台駅_降車人員_定期_千人,京王電鉄_武蔵野台駅_降車人員_定期外_千人,京王電鉄_武蔵野台駅_一日平均_乗車人員_人,京王電鉄_武蔵野台駅_一日平均_降車人員_人,京王電鉄_多磨霊園駅_乗車人員_総数_千人,京王電鉄_多磨霊園駅_乗車人員_定期_千人,京王電鉄_多磨霊園駅_乗車人員_定期外_千人,京王電鉄_多磨霊園駅_降車人員_総数_千人,京王電鉄_多磨霊園駅_降車人員_定期_千人,京王電鉄_多磨霊園駅_降車人員_定期外_千人,京王電鉄_多磨霊園駅_一日平均_乗車人員_人,京王電鉄_多磨霊園駅_一日平均_降車人員_人,京王電鉄_東府中駅_乗車人員_総数_千人,京王電鉄_東府中駅_乗車人員_定期_千人,京王電鉄_東府中駅_乗車人員_定期外_千人,京王電鉄_東府中駅_降車人員_総数_千人,京王電鉄_東府中駅_降車人員_定期_千人,京王電鉄_東府中駅_降車人員_定期外_千人,京王電鉄_東府中駅_一日平均_乗車人員_人,京王電鉄_東府中駅_一日平均_降車人員_人,京王電鉄_府中競馬正門前駅_乗車人員_総数_千人,京王電鉄_府中競馬正門前駅_乗車人員_定期_千人,京王電鉄_府中競馬正門前駅_乗車人員_定期外_千人,京王電鉄_府中競馬正門前駅_降車人員_総数_千人,京王電鉄_府中競馬正門前駅_降車人員_定期_千人,京王電鉄_府中競馬正門前駅_降車人員_定期外_千人,京王電鉄_府中競馬正門前駅_一日平均_乗車人員_人,京王電鉄_府中競馬正門前駅_一日平均_降車人員_人,京王電鉄_府中駅_乗車人員_総数_千人,京王電鉄_府中駅_乗車人員_定期_千人,京王電鉄_府中駅_乗車人員_定期外_千人,京王電鉄_府中駅_降車人員_総数_千人,京王電鉄_府中駅_降車人員_定期_千人,京王電鉄_府中駅_降車人員_定期外_千人,京王電鉄_府中駅_一日平均_乗車人員_人,京王電鉄_府中駅_一日平均_降車人員_人,京王電鉄_分倍河原駅_乗車人員_総数_千人,京王電鉄_分倍河原駅_乗車人員_定期_千人,京王電鉄_分倍河原駅_乗車人員_定期外_千人,京王電鉄_分倍河原駅_降車人員_総数_千人,京王電鉄_分倍河原駅_降車人員_定期_千人,京王電鉄_分倍河原駅_降車人員_定期外_千人,京王電鉄_分倍河原駅_一日平均_乗車人員_人,京王電鉄_分倍河原駅_一日平均_降車人員_人,京王電鉄_中河原駅_乗車人員_総数_千人,京王電鉄_中河原駅_乗車人員_定期_千人,京王電鉄_中河原駅_乗車人員_定期外_千人,京王電鉄_中河原駅_降車人員_総数_千人,京王電鉄_中河原駅_降車人員_定期_千人,京王電鉄_中河原駅_降車人員_定期外_千人,京王電鉄_中河原駅_一日平均_乗車人員_人,京王電鉄_中河原駅_一日平均_降車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_普通_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_普通_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_乗車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_降車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_定期外_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_総数_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_定期_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_定期外_人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_普通_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_普通_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_一日平均_乗車人員_人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_一日平均_降車人員_人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_定期外_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_総数_人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_定期_人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_定期外_人,西武多摩川線_競艇場前駅_乗車人員_総数_千人,西武多摩川線_競艇場前駅_乗車人員_定期_千人,西武多摩川線_競艇場前駅_乗車人員_普通_千人,西武多摩川線_競艇場前駅_降車人員_総数_千人,西武多摩川線_競艇場前駅_降車人員_定期_千人,西武多摩川線_競艇場前駅_降車人員_普通_千人,西武多摩川線_競艇場前駅_一日平均_乗車人員_人,西武多摩川線_競艇場前駅_一日平均_降車人員_人,西武多摩川線_競艇場前駅_乗降人員_総数_千人,西武多摩川線_競艇場前駅_乗降人員_定期_千人,西武多摩川線_競艇場前駅_乗降人員_定期外_千人,西武多摩川線_競艇場前駅_一日平均_総数_人,西武多摩川線_競艇場前駅_一日平均_定期_人,西武多摩川線_競艇場前駅_一日平均_定期外_人,西武多摩川線_是政駅_乗車人員_総数_千人,西武多摩川線_是政駅_乗車人員_定期_千人,西武多摩川線_是政駅_乗車人員_普通_千人,西武多摩川線_是政駅_降車人員_総数_千人,西武多摩川線_是政駅_降車人員_定期_千人,西武多摩川線_是政駅_降車人員_普通_千人,西武多摩川線_是政駅_一日平均_乗車人員_人,西武多摩川線_是政駅_一日平均_降車人員_人,西武多摩川線_是政駅_乗降人員_総数_千人,西武多摩川線_是政駅_乗降人員_定期_千人,西武多摩川線_是政駅_乗降人員_定期外_千人,西武多摩川線_是政駅_一日平均_総数_人,西武多摩川線_是政駅_一日平均_定期_人,西武多摩川線_是政駅_一日平均_定期外_人,,
1981,2739,1896,843,2762,1896,866,7504,7567,1967,838,1129,1792,838,954,5389,4910,2484,1331,1153,2453,1331,1122,6805,6721,892,64,828,1048,64,984,2444,2871,13802,8321,5481,13521,8321,5200,37814,37044,7754,5949,1805,8706,5949,2757,21244,23852,4315,2782,1533,4161,2782,1379,11822,11400,1679,1021,658,1436,1021,415,4600,3934,0,0,0,0,0,0,622,401,221,612,401,211,1704,1677,0,0,0,0,0,0,1124,343,781,696,343,353,3079,1907,0,0,0,0,0,0,841,569,272,791,569,222,2304,2167,0,0,0,0,0,0,#N/A,#N/A
1982,2843,1962,881,2900,1962,938,7789,7945,1929,812,1117,1711,812,899,5285,4688,2481,1288,1193,2473,1288,1185,6797,6775,882,66,816,987,66,921,2416,2704,14025,8309,5716,13678,8309,5369,38425,37474,7932,6033,1899,9000,6033,2967,21732,24658,4420,2827,1593,4269,2827,1442,12110,11696,1649,1005,644,1442,1005,437,4518,3951,0,0,0,0,0,0,587,360,227,580,360,220,1608,1589,0,0,0,0,0,0,1052,330,722,683,330,353,2882,1871,0,0,0,0,0,0,864,595,269,823,595,228,2367,2255,0,0,0,0,0,0,#N/A,#N/A
1983,3031,2080,951,3062,2080,982,8304,8389,1920,809,1111,1805,809,996,5260,4945,2570,1341,1229,2547,1341,1206,7041,6978,793,72,721,932,72,860,2173,2553,14138,8400,5738,13767,8400,5367,38734,37718,8335,6314,2021,9417,6314,3103,22836,25800,4498,2898,1600,4362,2898,1464,12323,11951,1626,959,667,1415,959,456,4455,3877,0,0,0,0,0,0,584,347,237,574,347,227,1600,1573,0,0,0,0,0,0,1015,309,706,652,309,343,2781,1786,0,0,0,0,0,0,875,615,260,832,615,217,2397,2279,0,0,0,0,0,0,#N/A,#N/A
1984,3235,2255,980,3316,2255,1061,8839,9060,1877,801,1076,2227,801,1426,5128,6085,2635,1389,1246,2577,1389,1188,7199,7041,678,71,607,728,71,657,1852,1989,13838,8285,5553,13261,8285,4976,37809,36232,8731,6654,2077,9963,6654,3309,23855,27221,4630,3009,1621,4427,3009,1418,12650,12096,1584,936,648,1397,936,461,4328,3817,0,0,0,0,0,0,568,331,237,562,331,231,1552,1536,0,0,0,0,0,0,954,285,669,643,285,358,2607,1757,0,0,0,0,0,0,906,641,265,873,641,232,2475,2385,0,0,0,0,0,0,#N/A,#N/A
1985,3251,2256,995,3352,2256,1096,8907,9184,1951,829,1122,2271,829,1442,5345,6222,2663,1381,1282,2582,1381,1201,7296,7074,658,75,583,708,75,633,1803,1940,13909,8266,5643,13367,8266,5101,38107,36622,8949,6743,2206,10187,6743,3444,24518,27910,4882,3182,1700,4641,3182,1459,13375,12715,1540,920,620,1364,920,444,4219,3737,0,0,0,0,0,0,573,334,239,569,334,235,1570,1559,0,0,0,0,0,0,964,274,690,632,274,358,2641,1732,0,0,0,0,0,0,941,671,270,938,671,267,2578,2570,0,0,0,0,0,0,#N/A,#N/A
1986,3386,2340,1046,3485,2340,1145,9277,9548,2040,885,1155,2380,885,1495,5589,6521,2739,1395,1344,2640,1395,1245,7504,7233,686,69,617,702,69,633,1879,1923,14027,8354,5673,13724,8354,5370,38430,37600,9417,7031,2386,10742,7031,3711,25800,29430,5362,3566,1796,5145,3566,1579,14690,14096,1553,912,641,1340,912,428,4255,3671,0,0,0,0,0,0,614,365,249,601,365,236,1682,1647,0,0,0,0,0,0,944,263,681,664,263,401,2586,1819,0,0,0,0,0,0,1015,729,286,1020,729,291,2781,2795,0,0,0,0,0,0,#N/A,#N/A
1987,3412,2351,1061,3566,2351,1215,9348,9770,2083,919,1164,2449,919,1530,5707,6710,2865,1479,1386,2742,1479,1263,7849,7512,768,64,704,712,64,648,2104,1951,14108,8405,5703,13877,8405,5472,38652,38019,10043,7587,2456,11464,7587,3877,27515,31408,5742,3865,1877,5473,3865,1608,15732,14995,1529,900,629,1303,900,403,4189,3570,0,0,0,0,0,0,632,381,251,614,381,233,1732,1682,0,0,0,0,0,0,977,283,694,720,283,437,2677,1973,0,0,0,0,0,0,1074,788,286,1060,788,272,2942,2904,0,0,0,0,0,0,#N/A,#N/A
1988,3450,2411,1039,3512,2411,1101,9426,9596,2050,899,1151,2187,899,1288,5601,5975,2912,1518,1394,2792,1518,1274,7956,7628,787,66,721,693,66,627,2150,1893,14124,8407,5717,13716,8407,5309,38590,37475,10596,8035,2561,12108,8035,4073,28951,33083,5772,3912,1860,5720,3912,1808,15770,15628,1555,915,640,1324,915,409,4246,3615,0,0,0,0,0,0,668,403,265,647,403,244,1825,1770,0,0,0,0,0,0,999,291,708,741,291,450,2727,2025,0,0,0,0,0,0,1104,812,292,1062,812,250,3016,2904,0,0,0,0,0,0,#N/A,#N/A
1989,3461,2406,1055,3544,2406,1138,9482,9710,2069,912,1157,2111,912,1199,5668,5784,2969,1553,1416,2845,1553,1292,8134,7795,826,69,757,902,69,833,2263,2471,13896,8260,5636,13436,8260,5176,38071,36811,11001,8350,2651,12516,8350,4166,30140,34290,5699,3838,1861,5651,3838,1813,15614,15482,1586,916,670,1345,916,429,4345,3682,0,0,0,0,0,0,685,407,278,666,407,259,1877,1825,0,0,0,0,0,0,1010,291,719,749,291,458,2767,2052,0,0,0,0,0,0,1117,821,296,1075,821,254,3060,2945,0,0,0,0,0,0,#N/A,#N/A
1990,3461,2406,1055,3544,2406,1138,9482,9710,2122,936,1186,2160,936,1224,5814,5918,3117,1601,1516,2933,1601,1332,8540,8008,972,70,902,1128,70,1058,2663,3090,13899,8230,5669,13472,8230,5242,38079,36910,11453,8700,2753,13016,8700,4316,31378,35660,5608,3740,1868,5594,3740,1854,15364,15326,1657,942,715,1398,942,456,4540,3830,0,0,0,0,0,0,714,410,304,686,410,276,1956,1879,0,0,0,0,0,0,1025,277,748,751,277,474,2808,2058,0,0,0,0,0,0,1172,855,317,1122,855,267,3211,3074,0,0,0,0,0,0,#N/A,#N/A
1991,3630,2524,1106,3701,2524,1177,9945,10140,2199,968,1231,2253,968,1285,6025,6173,3382,1696,1686,3083,1696,1387,9293,8447,1073,75,998,1162,75,1087,2940,3184,14141,8381,5760,13831,8381,5450,38742,37893,12401,9343,3058,14014,9343,4671,33975,38395,5758,3792,1966,5743,3792,1951,15775,15734,1746,976,770,1456,976,480,4784,3989,0,0,0,0,0,0,750,425,325,718,425,293,2055,1967,0,0,0,0,0,0,1059,280,779,770,280,490,2901,2110,0,0,0,0,0,0,1263,925,338,1206,925,281,3460,3304,0,0,0,0,0,0,#N/A,#N/A
1992,3694,2573,1121,3773,2573,1200,10121,10337,2180,976,1204,2248,976,1272,5973,6159,3541,1766,1775,3160,1766,1394,9701,8658,1112,84,1028,1207,84,1123,3047,3307,13610,7931,5679,13405,7931,5474,37288,36726,12722,9617,3105,14358,9617,4741,34855,39337,5938,3900,2038,5898,3900,1998,16268,16159,1739,969,770,1465,969,496,4764,4014,0,0,0,0,0,0,757,432,325,725,432,293,2074,1986,0,0,0,0,0,0,1015,286,729,757,286,471,2781,2074,0,0,0,0,0,0,1318,976,342,1263,976,287,3611,3460,0,0,0,0,0,0,#N/A,#N/A
1993,3705,2551,1154,3776,2551,1225,10151,10345,2201,968,1233,2276,968,1308,6030,6236,3639,1778,1861,3234,1778,1456,9970,8860,1159,85,1074,1243,85,1158,3175,3405,13668,7734,5934,13325,7734,5591,37447,36507,13004,9836,3168,14679,9836,4843,35627,40216,5884,3815,2069,5886,3815,2071,16121,16126,1756,980,776,1492,980,512,4811,4088,0,0,0,0,0,0,800,468,332,771,468,303,2192,2112,0,0,0,0,0,0,1019,300,719,773,300,473,2792,2118,0,0,0,0,0,0,1235,889,346,1181,889,292,3384,3236,0,0,0,0,0,0,#N/A,#N/A
1994,3781,2547,1234,3812,2547,1265,10359,10444,2208,985,1223,2279,985,1294,6049,6244,3613,1753,1860,3202,1753,1449,9899,8773,1286,86,1200,1430,86,1344,3523,3918,13552,7589,5963,13143,7589,5554,37129,36008,13126,10023,3103,14820,10023,4797,35962,40603,5781,3737,2044,5797,3737,2060,15838,15882,1712,960,752,1442,960,482,4690,3951,0,0,0,0,0,0,830,497,333,797,497,300,2274,2184,0,0,0,0,0,0,1003,288,715,800,288,512,2748,2192,0,0,0,0,0,0,1229,881,348,1149,881,268,3367,3148,0,0,0,0,0,0,#N/A,#N/A
