年度,総額(×1000円),議会費(×1000円),総務費(×1000円),民生費(×1000円),衛生費(×1000円),労働費(×1000円),農林水産業費(×1000円),商工費(×1000円),土木費(×1000円),消防費(×1000円),教育費(×1000円),災害復旧費(×1000円),公債費(×1000円),諸支出金(×1000円)
2011,91018307,587176,10044825,40430786,7515498,573700,110326,757586,9926892,3161451,13352348,0,4557719,0
2012,90669738,548859,9182063,41458837,7537788,565066,97692,373152,7575502,3023094,15587481,0,4720204,0
2013,93654447,509500,12823908,42162466,6468997,514025,92551,362115,13206233,2878896,9679162,0,4956594,0
2014,92761007,514407,12200458,44445503,6644582,515857,135515,402369,9236354,3082891,10776225,0,4806846,0
2015,95516986,558407,11248758,45870977,6488780,521881,144132,491146,11654474,2926671,11170784,0,4440976,0
2016,106980011,530867,14493401,47402847,6236217,544816,105632,386619,13554443,2969459,16501400,0,4254310,0
2017,114062612,529724,26374905,48779765,5914445,598783,126781,393948,8370990,2895250,15892330,0,4185691,0
2018,98894609,526352,14637512,49808073,5897565,582427,114623,438314,7661261,2928822,12163615,0,4136045,0
2019,102997593,527289,15093460,51234389,6230577,589812,159819,689935,7914771,2936206,13434568,124090,4062677,0
2020,134834493,499087,40067289,52566542,6416195,567440,187915,2939507,8347968,3010480,15868807,393663,3969600,0
2021,136428463,471598,18891266,58718989,8757093,608854,158218,1138950,7013588,3014288,33879813,9351,3766455,0
2022,129780300,486643,20511111,58470987,8541678,617723,111429,1266776,6926706,3017996,26301688,9351,3518212,0
