年度,総額(×1000円),地方税(×1000円),地方譲与税(×1000円),利子割交付金(×1000円),配当割交付金(×1000円),株式等譲渡所得割交付金(×1000円),地方消費税交付金(×1000円),特別地方消費税交付金(×1000円),自動車取得税交付金(×1000円),環境性能割交付金(×1000円),法人事業税交付金(×1000円),地方特例交付金(×1000円),地方交付税(×1000円),交通安全対策特別交付金(×1000円),国有提供施設等所在市町村助成交付金(×1000円),分担金及び負担金(×1000円),使用料(×1000円),手数料(×1000円),国庫支出金(×1000円),都支出金(×1000円),財産収入(×1000円),寄附金(×1000円),繰入金(×1000円),繰越金(×1000円),諸収入(×1000円),地方債(×1000円),その他(×1000円)
1984,42629755,24205390,234501,…,…,…,…,…,378863,…,…,…,39406,32404,21576,153584,593366,103451,3802796,2283971,1647166,1774690,183135,554068,4933788,1687600,…
1985,47104562,27868417,225427,…,…,…,…,…,416620,…,…,…,41733,35193,20066,166060,632697,109011,3592365,2878329,1831535,1001303,873234,562352,4302520,2547700,…
1986,50357987,27751836,253794,…,…,…,…,…,521340,…,…,…,43812,30140,16053,223754,697174,131278,3503387,2962153,1683147,1065865,410409,1224699,8135246,1703900,…
1987,61169182,30680932,271614,…,…,…,…,…,595204,…,…,…,45001,41571,14608,298991,833621,130467,3776462,3460260,2451861,1320851,399,2465077,10811463,3970800,…
1988,67682868,34407419,278972,965688,…,…,…,…,736902,…,…,…,46052,32319,13148,340693,848451,131839,3764435,3364449,4630332,1407730,350,1246510,12996329,2471250,…
1989,76944004,36017680,933081,1659219,…,…,…,…,756324,…,…,…,56355,32513,13315,328556,883957,127059,4547291,3981299,5459846,1326061,557754,3827952,13146092,3289650,…
1990,94679673,37503907,1068325,2391059,…,…,…,…,786301,…,…,…,63842,40038,11899,343717,937684,129282,5255933,5191973,6836413,1394661,5176522,2831214,16788428,7928475,…
1991,88407650,39378624,1135987,1712089,…,…,…,7653,766421,…,…,…,68093,47702,9325,384927,1101849,141700,5149797,5583050,5466997,1346966,3670000,2087600,13674070,6674800,…
1992,97631584,40141181,1291107,751186,…,…,…,14407,616659,…,…,…,72177,44385,9325,714463,1238682,143099,5895363,10452211,4701695,1403307,5486367,1623266,12851904,10180800,…
1993,91644165,41477477,1409882,1029077,…,…,…,13566,552409,…,…,…,66750,41847,9325,1164105,1252238,239299,6654346,11665549,4105745,1385189,2525675,1421906,10140280,6489500,…
1994,87349608,40964813,1418651,1223762,…,…,…,12939,594072,…,…,…,70025,40942,9325,1315872,1274069,267934,7692186,11202757,2769935,1473484,1321271,1465658,7797713,6434200,…
1995,90580051,42855838,1444811,1281876,…,…,…,12476,627576,…,…,…,69357,40842,8772,1353858,1320790,310799,9476842,9283385,2421415,1200091,3065454,1661310,6671759,7472800,…
1996,82880300,45735044,1494769,643644,…,…,…,11301,660679,…,…,…,71399,41334,8362,1414164,1344091,326757,5736967,9025105,1504536,1449824,1356468,1915487,5276669,4863700,…
1997,75316315,47219036,780484,596101,…,…,543610,26278,608757,…,…,…,76997,42276,4059,1470202,1394595,440690,5518116,6693588,1275974,1410435,413359,1861426,3160232,1780100,…
1998,79219829,46547736,395820,530449,…,…,2494705,30171,514943,…,…,…,116132,42721,4085,1521180,1409413,487253,6600396,6323038,973045,1327673,3961081,1211826,2355262,2372900,…
1999,83773847,42874220,405200,510883,…,…,2321393,27259,454400,…,…,1264449,119002,41908,3533,1573992,1534985,505870,8219059,5878731,3420823,1326001,7098744,1552772,991223,3649400,…
2000,80042065,41844272,424391,1299844,…,…,2393808,7734,484669,…,…,1633346,127010,36359,3476,437811,1528207,569837,5587757,5835364,4779178,1891617,7258165,953816,1121004,1824400,…
2001,82296897,43097090,434005,1310847,…,…,2597877,719,514151,…,…,1616472,115007,39379,3461,408230,1568670,546650,8627754,7068601,863818,1418362,7399169,1383616,849719,2433300,…
2002,79162850,42731345,438497,499967,…,…,2302913,…,457573,…,…,1679729,107013,39829,3470,458651,1654863,542852,6772719,5956489,390955,1304961,7108004,1074799,2937363,2700858,…
2003,74290914,41776903,463204,384001,…,…,2607701,…,566638,…,…,1642356,97006,42305,3469,408681,1715894,554365,7961716,6448835,333204,1284144,3133175,887175,1391342,2588800,…
2004,81521455,42137623,860238,320617,84002,86947,2933023,…,499010,…,…,1602637,84029,40621,3667,411995,1703026,553263,10247552,6663164,357458,1587880,3827745,1250178,2152180,4114600,…
2005,78794904,44563653,1275985,295797,139999,205697,2715545,…,535700,…,…,1657637,71046,41168,3581,408627,1718108,563801,9307406,6090026,400996,1015713,1597894,1382319,1741906,3062300,…
2006,78587812,46114823,1955805,323271,191711,171792,2869897,…,595946,…,…,1467867,53285,44176,2668,432674,1482723,663352,8098692,6002990,651430,1105851,266678,1540759,2709622,1841800,…
2007,81620133,49670486,503414,446008,219874,151920,2858554,…,527044,…,…,313164,44974,43666,2789,448091,1530361,783142,8122935,6330053,420376,1137491,542483,3029474,2303834,2190000,…
2008,87603155,48783196,474534,359876,104882,36778,2659871,…,473559,…,…,615306,50443,39381,2769,463736,1559780,664680,12239759,6655242,485604,1161949,2380676,1541818,2409716,4439600,…
2009,88663267,48840663,447063,281921,85453,36439,2832676,…,229676,…,…,573136,50443,39332,2742,491406,1595294,903845,9711856,7650460,384199,1077664,1966723,6598545,1969931,2893800,…
2010,93497214,47551069,435588,284054,107326,33174,2827810,…,258871,…,…,422582,65572,36979,2878,522770,1598402,1044514,13704362,8971180,256880,1002234,3817897,2996493,1086879,6469700,…
2011,94159813,47573480,438667,267323,119173,26554,2845667,…,219465,…,…,454111,251337,34841,3481,553389,1554100,1054090,14023948,9826972,614767,1293577,3704767,2832773,1376031,5091300,…
2012,93111328,47459314,412293,258319,130733,33644,2857164,…,249265,…,…,222614,108366,33853,3852,582919,1558221,1063090,14424837,9810119,350138,929591,2599305,3041306,2301485,4680900,…
2013,97257419,49620848,395031,331683,226385,295621,2832813,…,244266,…,…,211848,55240,32389,4167,604721,1505126,1062347,16522023,10338648,1465772,875695,4046670,2341190,1544436,2700500,…
2014,95249189,50090687,368177,336654,424910,357442,3544079,…,122865,…,…,189350,61091,28235,4181,637065,1515717,1037053,16626013,9742468,608071,899629,1137216,3502272,1395314,2620700,…
2015,100306117,50755978,375629,289660,347887,342429,6125438,…,168762,…,…,185853,55075,30121,4200,687430,1528148,1058316,19307724,11017929,436605,898130,1473303,2386682,1331718,1499100,…
2016,109896989,51080043,397730,79545,259485,150633,5458552,…,180974,…,…,198233,40715,27684,4398,788533,1513485,1053870,20719782,11580058,1045953,908815,2303049,4688631,1760321,5656500,…
2017,117185984,51443238,375505,84290,347073,347654,5565169,…,215240,…,…,214797,39645,24774,4318,901058,1538089,1050509,18027140,11118925,322398,954212,11920831,2916478,2151941,7622700,…
2018,102394160,52827215,379596,89124,296757,241716,4747751,…,226144,…,…,241633,42586,22499,4288,970367,1497943,1056716,16514813,11034419,563212,932007,2355360,2588772,4030842,1730400,…
2019,105551007,52773925,385143,66780,331703,204269,4544158,…,113634,39248,…,732427,54490,22075,4416,738495,1386681,1108928,17529008,12290371,567585,1245537,1993155,2864465,4580414,1974100,…
2020,138747871,52036887,393565,63106,304835,354232,5667511,…,33,68939,375479,301809,33837,23993,4449,403694,1125369,1105111,47762207,13543600,188189,1594140,3706422,2519414,5302950,1868100,…
2021,140931324,52299716,400488,58318,418044,510122,6194849,…,1,88667,841918,525263,36006,23044,4502,450812,1215505,1163487,28552764,13049348,737422,1374779,20689912,3649378,6047679,2599300,…
2022,132911238,55175128,400908,76235,405537,311161,6449439,…,1,101906,1122934,311481,42472,21676,0,462623,1273694,1151402,25284423,13418132,414861,1437620,7938333,4276861,6210111,6624300,…
