都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
131199,,東京都,板橋区,立体地図で地元の地形を知ろう,リッタイチズデジモトノチケイヲシロウ,,2022/8/7,2022/8/7,13:30,16:00,,"徳丸-中台地域、志村-小豆沢地域の地形について一緒に学んでいきます。	自分の地元の地形はどうなっているんだろう？	隣の街の地形も気になる	自分の地域ってどれくらいの高さなんだろう？など、徳丸-中台地域や志村-小豆沢地域のことをもっと理解して、郷土について関心を持つきっかけづくりを目的としています。7月31日は徳丸-中台地域の立体地図作り、8月7日は志村-小豆沢地域の立体地図作りを行います。",,,,,,,まなぽーと成増　学習室-2,,,,,,,,2022/7/30,,,/1000779/1000922/1000927/1039032.html,
131199,,東京都,板橋区,好きを語るお茶会,スキヲカタルオチャカイ,,2021/9/18,2021/9/18,15:00,17:00,,なんとなく友達に話しづらいこと、親には言えないこと、ちょっと気になるだけのこと……おしゃべりしてみませんか？今回のテーマは「自分の好きなところを話そう!」「好き」を語るお茶会は、安心して「好き」を語れる場です。あなたの「好き」について語ってみませんか？聞いているだけでもOK！ぜひご参加ください。,,,,,,,まなぽーと成増,,,,,,,,2021/9/18,,,/1000779/1000922/1000927/1033577.html,
131199,,東京都,板橋区,【中止】いたばしボランティア・市民活動フォーラム,【チュウシ】イタバシボランティア・シミンカツドウフォーラム,,2020/4/18,2020/4/18,17:30,19:30,,地域に暮らす様々な教育、文化的背景、制度の違いをこえて、相互に理解しあうことから多文化共生社会の実現への第一歩が始まる。そこで、身近な地域に住むアフリカの留学生との交流により、「つどう・まなぶ・むすび」を始めみませんか。会場：まなぽーと大原（大原生涯学習センター）レクレーションホール講師：帝京大学大学院公衆衛生学研究科教授 山本秀樹SDGsネットワークいたばし代表 加藤勉特定非営利法人ボランティア・市民活動学習推進センター理事長 廣瀬カズ子対象：どなたでも定員：60名,,,,,,,,,,,,,,,,,,/1000779/1000922/1000927/1021892.html,
131199,,東京都,板橋区,【中止】いたばしボランティア・市民活動フォーラム,【チュウシ】イタバシボランティア・シミンカツドウフォーラム,,2020/4/19,2020/4/19,9:00,10:00,,地域に暮らす様々な教育、文化的背景、制度の違いをこえて、相互に理解しあうことから多文化共生社会の実現への第一歩が始まる。そこで、身近な地域に住むアフリカの留学生との交流により、「つどう・まなぶ・むすび」を始めみませんか。会場：まなぽーと大原（大原生涯学習センター）レクレーションホール講師：帝京大学大学院公衆衛生学研究科教授 山本秀樹SDGsネットワークいたばし代表 加藤勉特定非営利法人ボランティア・市民活動学習推進センター理事長 廣瀬カズ子対象：どなたでも定員：60名,,,,,,,,,,,,,,,,,,/1000779/1000922/1000927/1021892.html,
131199,,東京都,板橋区,子どものための離婚セミナー,コドモノタメノリコンセミナー,,2022/12/13,2022/12/13,10:00,12:00,,第1部　メンタルケア等について第2部　離婚条件等について第3部　板橋区のひとり親家庭支援制度のご案内,,,,,,,オンライン会議システム　Zoom,,,,,,,,2022/12/6,,,/kosodate/hitorioya/1041615.html,
131199,,東京都,板橋区,令和4年度第2回研修会「中小企業はこれをやれば大丈夫！『脱炭素の基礎と取り組み』」,レイワ4ネンドダイ2カイケンシュウカイ「チュウショウキギョウハコレヲヤレバダイジョウブ！『ダツタンソノキソトトリクミ』」,,2022/12/14,2022/12/14,15:00,16:30,,日本政府は2050年までに温室効果ガスの排出を全体としてゼロにする、カーボンニュートラルを目指すことを宣言しました。これにより、大企業をはじめ多くの企業でも脱炭素に向けた取り組みが注目されています。そこで「脱炭素の基礎と取り組み」をテーマとし、中小企業が脱炭素に向けてどのように取り組んでいくべきかを分かりやすく解説します。,,,,,,,一般社団法人板橋産業連合会（板橋1-48-11ロジエビルNo.3 2階）,,,,,,,,2022/12/12,,,/bousai/kankyo/ondanka/kenshu/1042316.html,
131199,,東京都,板橋区,令和4年度第1回研修会「気候変動が会社に及ぼす影響と求められる対応」,レイワ4ネンドダイ1カイケンシュウカイ「キコウヘンドウガカイシャニオヨボスエイキョウトモトメラレルタイオウ」,,2022/7/28,2022/7/28,15:00,17:00,,国内での猛暑や台風、洪水などの気候変動の影響による被害を防止、軽減していくための対応が事業場でも求められてきています。そこで、「気候変動が会社に及ぼす影響と求めれられる対応について」解説します。,,,,,,,一般社団法人板橋産業連合会（板橋1-48-11ロジエビルNo.3 2階）,,,,,,,,2022/7/25,,,/bousai/kankyo/ondanka/kenshu/1040016.html,
131199,,東京都,板橋区,令和3年度第4回研修会「化学物質対策の動向について」,レイワ3ネンドダイ4カイケンシュウカイ「カガクブッシツタイサクノドウコウニツイテ」,,2022/3/11,2022/3/11,15:00,16:00,,労働安全衛生法の一部改正などにより変更のあった化学物質対策の動向について解説します。,,,,,,,一般社団法人板橋産業連合会（板橋1-48-11ロジエビルNo.3 2階）,,,,,,,,2022/3/8,,,/bousai/kankyo/ondanka/kenshu/1037560.html,
131199,,東京都,板橋区,令和3年度第3回研修会「エネルギー利用の観点における中小企業が対応すべきカーボンニュートラル」,レイワ3ネンドダイ3カイケンシュウカイ「エネルギーリヨウノカンテンニオケルチュウショウキギョウガタイオウスベキカーボンニュートラル」,,2021/12/15,2021/12/15,14:00,16:00,,今後、カーボンニュートラルに対応していくにあたって必要となる、脱炭素に係る枠組みや政策の全体像、調達エネルギーを再エネ化する際の中小企業側のメリット・意義などについて解説します。,,,,,,,板橋産連会館 3階会議室（仲宿54-10）,,,,,,,,2021/12/10,,,/bousai/kankyo/ondanka/kenshu/1036357.html,
131199,,東京都,板橋区,令和3年度第2回研修会≪SDGs基礎セミナー≫,レイワ3ネンドダイ2カイケンシュウカイ≪SDGsキソセミナー≫,,2021/10/8,2021/10/8,14:00,16:00,,SDGsの基礎から、事業とのかかわりまで、初めて取り組まれる方向けに、最新動向や取組事例をまじえて解説します。,,,,,,,板橋産連会館 3階会議室（仲宿54-10）,,,,,,,,2021/10/4,,,/bousai/kankyo/ondanka/kenshu/1035095.html,
131199,,東京都,板橋区,令和3年度第1回研修会≪エネルギー政策をめぐる最近の動向と今後の方向性≫,レイワ3ネンドダイ1カイケンシュウカイ≪エネルギーセイサクヲメグルサイキンノドウコウトコンゴノホウコウセイ≫,,2021/6/18,2021/6/18,14:00,16:00,,2050年カーボンニュートラルの実現に向けて、2030年までに温室効果ガスを46％削減（2013年度比）させると発表がありました。これから大幅な温室効果ガス削減が求められるエネルギー政策に、事業所はどう対応していくべきかなどについて、解説します。,,,,,,,板橋産連会館 3階会議室（仲宿54-10）,,,,,,,,2021/6/15,,,/bousai/kankyo/ondanka/kenshu/1032783.html,
131199,,東京都,板橋区,大山駅周辺地区まちづくりパネル展【令和3年11月30日まで開催中！】,オオヤマエキシュウヘンチクマチヅクリパネルテン【レイワ3ネン11ガツ30ニチマデカイサイチュウ！】,,2021/11/25,2021/11/30,9:00,17:00,,"大山駅周辺の各まちづくり事業に関するパネル等展示【展示内容】	計画上の位置づけ	地区計画	駅前広場整備事業（板橋区画街路第9号線）	市街地再開発事業	不燃化推進特定整備地区（不燃化特区）	都市計画道路補助第26号線	補助第26号線と沿道まちづくり相談窓口・共同化コーディネート	大山駅西地区のにぎわいの取組",,,,,,,区役所北館1階イベントスクエア,,,,,,,,,,,/bousai/machidukuri/chiiki/1006312/1035576.html,
131199,,東京都,板橋区,親子で農業体験(第１回),オヤコデノウギョウタイケン(ダイ１カイ),,2022/10/30,2022/10/30,10:00,12:00,,第1回　サツマイモの収穫　収穫したサツマイモのつるを利用したリース作り　ほうれん草の種まき第2回　ほうれん草の苗の植え付け　第1回で作成したリースの飾りつけ第3回　ほうれん草の収穫　畑にありがとう！春に向けて畑の準備（実技と講義）,,,,,,,赤塚植物園[利用案内・交通案内],,,,,,,,2022/9/7,,,/bousai/kouen/kouen/akatsuka/1034112.html,
131199,,東京都,板橋区,親子で農業体験（第2回）,オヤコデノウギョウタイケン（ダイ2カイ）,,2022/11/20,2022/11/20,10:00,12:00,,第1回　サツマイモの収穫　収穫したサツマイモのつるを利用したリース作り　ほうれん草の種まき第2回　ほうれん草の苗の植え付け　第1回で作成したリースの飾りつけ第3回　ほうれん草の収穫　畑にありがとう！春に向けて畑の準備（実技と講義）,,,,,,,赤塚植物園[利用案内・交通案内],,,,,,,,2022/9/7,,,/bousai/kouen/kouen/akatsuka/1034112.html,
131199,,東京都,板橋区,親子で農業体験（第3回）,オヤコデノウギョウタイケン（ダイ3カイ）,,2023/1/28,2023/1/28,13:30,15:15,,第1回　サツマイモの収穫　収穫したサツマイモのつるを利用したリース作り　ほうれん草の種まき第2回　ほうれん草の苗の植え付け　第1回で作成したリースの飾りつけ第3回　ほうれん草の収穫　畑にありがとう！春に向けて畑の準備（実技と講義）,,,,,,,赤塚植物園[利用案内・交通案内],,,,,,,,2022/9/7,,,/bousai/kouen/kouen/akatsuka/1034112.html,
131199,,東京都,板橋区,観光アプリ「ITA-マニア」デジタルスタンプラリー開催について,カンコウアプリ「ITA-マニア」デジタルスタンプラリーカイサイニツイテ,,2022/9/28,2023/1/18,,,,"	本ページ下部にある二次元コードから、観光アプリ「ITA-マニア」をダウンロードしてください。	開催期間中にスタンプ設置施設（区内18施設）をまわり、デジタルスタンプを集めてください。（デジタルスタンプは、各施設に設置してある二次元コードをアプリを起動して読み込むことで集めることが出来ます。）	デジタルスタンプを一定数集めると、抽選で素敵な賞品が当たります。（スタンプ2個で1口目応募、スタンプ4個で2口目応募、スタンプ6個で3口目応募可能です。最大3口応募可能。賞品はお選びできませんので予めご了承ください。）	コンプリート賞として、すべての施設（18施設）のスタンプを集めた方先着200名様に素敵なプレゼントを用意しています。コンプリート賞は、いたばし観光センターでお渡しします。",,,,,,,スタンプ設置施設（区内公共施設等18施設）植村記念加賀スポーツセンター（旧東板橋体育館）（加賀1-10-5）植村冒険館（加賀1-10-5）いたばし観光センター（板橋3-14-15）板橋こども動物園（板橋3-50-1　東板橋公園内）板五米店（仲宿40-1）小豆沢体育館（小豆沢3-1-1）エコポリスセンター（前野町4-6-1）上板橋体育館（桜川1-3-1）中央図書館（常盤台4-3-1）教育科学館（常盤台4-14-1）美術館（赤塚5-34-27）赤塚体育館（赤塚5-6-1）赤塚植物園（赤塚5-17-14）郷土資料館（赤塚5-35-25）高島平温水プール（高島平8-28-1）熱帯環境植物館（高島平8-29-2）こども動物園・高島平分園（高島平8-24-1徳丸ケ原公園内）リサイクルプラザ（舟渡4-16-6）・場所の詳細ついては、どこナビいたばし（外部リンク）でご確認ください。,,,,,,,,,,,/kusei/profile/kanko/joho/1026826.html,
131199,,東京都,板橋区,観光アプリ「ITA-マニア」フォト川柳コンテスト開催について,カンコウアプリ「ITA-マニア」フォトセンリュウコンテストカイサイニツイテ,,2022/10/11,2022/11/30,,,,「ITA-マニア」は区内のおすすめスポットや、グルメ情報の検索、散策ルートの自動作成など“歩くこと自体を楽しめる”アプリです。「ITA-マニア」を使って、下記の日程で、「渋沢栄一」をテーマにフォト川柳コンテストを開催します。「ITA-マニア」内のカメラ機能を使って、文章付きの写真を撮ることができます。写真を撮って感じたことなどを川柳にして、写真と一緒に応募してください。応募いただいた中から選ばれた作品は、板橋区ホームページやSNSに掲載し、素敵な賞品が当たります。区の魅力を再発見できる「ITA-マニア」をダウンロードして、是非この機会に、フォト川柳コンテストにご参加くだい。,,,,,,,,,,,,,,,,,,/kusei/profile/kanko/joho/1040294.html,
131199,,東京都,板橋区,第31回成増童謡まつり,ダイ31カイナリマスドウヨウマツリ,,2022/10/8,2022/10/8,13:30,16:30,,イベントの詳細は、ページ下部の関連リンクから閲覧ください。,,,,,,,成増アクトホール[成増アクトホール　ご利用案内・申込み方法],,,,,,,,,,,/kusei/profile/event/chiku/1040515.html,
131199,,東京都,板橋区,清水地域活動見本市,シミズチイキカツドウミホンイチ,,2022/12/4,2022/12/4,11:00,16:00,,,,,,,,,まなぽーと大原,,,,,,,,,,,/kyoikuiinkai/shogai/manaport/ohara/1042294.html,
131199,,東京都,板橋区,現代的課題の学習　働くことと育児を考える,ゲンダイテキカダイノガクシュウ　ハタラクコトトイクジヲカンガエル,,2022/11/12,2022/11/12,10:00,12:00,,参加した皆さんでオープンな雰囲気を大切にしながら話し合いをします。「家事・育児・仕事とやることが多くスケジュール調整が難しい」そんな不安を抱えている方が多くいる今。当講座では、心と身体の健康や時間術、そして自分軸で家族と向き合う方法について対話をしながら、考えましょう。多様な家族の形、働き方のある中で、自分そして家族にとっての生きやすい生き方を一緒に考えていきましょう。各回だけの参加も大歓迎です。,,,,,,,生涯学習センター　まなぽーと大原,,,,,,,,2022/11/12,,,/kyoikuiinkai/shogai/manaport/ohara/1040878.html,
131199,,東京都,板橋区,現代的課題の学習　働くことと育児を考える,ゲンダイテキカダイノガクシュウ　ハタラクコトトイクジヲカンガエル,,2022/12/4,2022/12/4,10:00,12:00,,参加した皆さんでオープンな雰囲気を大切にしながら話し合いをします。「家事・育児・仕事とやることが多くスケジュール調整が難しい」そんな不安を抱えている方が多くいる今。当講座では、心と身体の健康や時間術、そして自分軸で家族と向き合う方法について対話をしながら、考えましょう。多様な家族の形、働き方のある中で、自分そして家族にとっての生きやすい生き方を一緒に考えていきましょう。各回だけの参加も大歓迎です。,,,,,,,生涯学習センター　まなぽーと大原,,,,,,,,2022/11/12,,,/kyoikuiinkai/shogai/manaport/ohara/1040878.html,
131199,,東京都,板橋区,現代的課題の学習　働くことと育児を考える,ゲンダイテキカダイノガクシュウ　ハタラクコトトイクジヲカンガエル,,2022/12/10,2022/12/10,10:00,12:00,,参加した皆さんでオープンな雰囲気を大切にしながら話し合いをします。「家事・育児・仕事とやることが多くスケジュール調整が難しい」そんな不安を抱えている方が多くいる今。当講座では、心と身体の健康や時間術、そして自分軸で家族と向き合う方法について対話をしながら、考えましょう。多様な家族の形、働き方のある中で、自分そして家族にとっての生きやすい生き方を一緒に考えていきましょう。各回だけの参加も大歓迎です。,,,,,,,生涯学習センター　まなぽーと大原,,,,,,,,2022/11/12,,,/kyoikuiinkai/shogai/manaport/ohara/1040878.html,
131199,,東京都,板橋区,【高島平図書館】クリスマス人形劇　,【タカシマダイラトショカン】クリスマスニンギョウゲキ　,,2022/12/18,2022/12/18,14:00,15:00,,手作り人形劇の会「ポンペリポッサ」による人形劇,,,,,,,高島平図書館　視聴覚室,,,,,,,,,,,/kosodate/1000930/etc/1041180.html,
131199,,東京都,板橋区,【赤塚図書館】スクリーンDEおはなし会　,【アカツカトショカン】スクリーンDEオハナシカイ　,,2022/12/3,2022/12/3,14:00,15:00,,大型スクリーンに外国語の絵本を投影しての読み聞かせ,,,,,,,赤塚図書館　視聴覚室,,,,,,,,,,,/kosodate/1000930/etc/1041179.html,
131199,,東京都,板橋区,【東板橋図書館】区制90周年記念「参勤交代スタンプラリー　冬の陣」,【ヒガシイタバシトショカン】クセイ90シュウネンキネン「サンキンコウタイスタンプラリー　フユノジン」,,2022/12/1,2023/1/30,,,,本を借りてスタンプラリーに挑戦。江戸から金沢までの宿場町をすべて巡ってゴールするとプレゼントがあります。達成者にプレゼントを差し上げます。,,,,,,,東板橋図書館,,,,,,,,,,,/kosodate/1000930/etc/1041178.html,
