"実数・増加率","年次コード","年次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","生計支出（円）","生計支出／消費支出（円）","生計支出／消費支出／食料（円）","生計支出／消費支出／食料／穀類（円）","生計支出／消費支出／食料／魚介類（円）","生計支出／消費支出／食料／肉類（円）","生計支出／消費支出／食料／乳卵類（円）","生計支出／消費支出／食料／野菜・海藻（円）","生計支出／消費支出／食料／果物（円）","生計支出／消費支出／食料／油脂・調味料（円）","生計支出／消費支出／食料／菓子類（円）","生計支出／消費支出／食料／調理食品（円）","生計支出／消費支出／食料／飲料（円）","生計支出／消費支出／食料／酒類（円）","生計支出／消費支出／食料／外食（円）","生計支出／消費支出／住居（円）","生計支出／消費支出／住居／家賃地代（円）","生計支出／消費支出／住居／設備修繕・維持（円）","生計支出／消費支出／光熱・水道（円）","生計支出／消費支出／光熱・水道／電気代（円）","生計支出／消費支出／光熱・水道／ガス代（円）","生計支出／消費支出／光熱・水道／他の光熱（円）","生計支出／消費支出／光熱・水道／上下水道料（円）","生計支出／消費支出／家具・家事用品（円）","生計支出／消費支出／家具・家事用品／家庭用耐久財（円）","生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）","生計支出／消費支出／家具・家事用品／寝具類（円）","生計支出／消費支出／家具・家事用品／家事雑貨（円）","生計支出／消費支出／家具・家事用品／家事用消耗品（円）","生計支出／消費支出／家具・家事用品／家事サービス（円）","生計支出／消費支出／被服及び履物（円）","生計支出／消費支出／被服及び履物／和服（円）","生計支出／消費支出／被服及び履物／洋服（円）","生計支出／消費支出／被服及び履物／シャツ・セーター類（円）","生計支出／消費支出／被服及び履物／下着類（円）","生計支出／消費支出／被服及び履物／生地・糸類（円）","生計支出／消費支出／被服及び履物／他の被服（円）","生計支出／消費支出／被服及び履物／履物類（円）","生計支出／消費支出／被服及び履物／被服関連サービス（円）","生計支出／消費支出／保健医療（円）","生計支出／消費支出／保健医療／医薬品（円）","生計支出／消費支出／保健医療／健康保持用摂取品（円）","生計支出／消費支出／保健医療／保健医療用品・器具（円）","生計支出／消費支出／保健医療／保健医療サービス（円）","生計支出／消費支出／交通・通信（円）","生計支出／消費支出／交通・通信／交通（円）","生計支出／消費支出／交通・通信／自動車等関係費（円）","生計支出／消費支出／交通・通信／通信（円）","生計支出／消費支出／教育（円）","生計支出／消費支出／教育／授業料等（円）","生計支出／消費支出／教育／教科書・学習参考教材（円）","生計支出／消費支出／教育／補習教育（円）","生計支出／消費支出／教養娯楽（円）","生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）","生計支出／消費支出／教養娯楽／教養娯楽用品（円）","生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）","生計支出／消費支出／教養娯楽／教養娯楽サービス（円）","生計支出／消費支出／その他の消費支出（円）","生計支出／消費支出／その他の消費支出／諸雑費（円）","生計支出／消費支出／その他の消費支出／こづかい（円）","生計支出／消費支出／その他の消費支出／交際費（円）","生計支出／消費支出／その他の消費支出／仕送り金（円）","生計支出／土地家屋購入（円）","エンゲル係数（％）","選択的支出係数（％）","公共的料金負担率（％）","公共的料金負担率／公共料金等負担率（％）","公共的料金負担率／準公共料金等負担率（％）"
"Jissu","tuki","実数_令和 4年 6月","2022","6",643,2.91,1.30,59.5,294679,287718,84703,6444,5855,7588,4229,10503,3217,3855,6873,12417,5512,3590,14619,22231,15540,6692,20323,8690,5769,46,5818,12765,4625,695,1051,2347,3482,564,10735,18,3840,2377,1030,128,702,1677,961,16029,2579,1171,2766,9513,33805,7674,15722,10409,12972,8087,72,4813,29310,1336,6233,3226,18515,44844,24308,5729,14102,705,6962,29.4,42.2,27.2,19.2,8.0
"Jissu","tuki","実数_令和 4年 7月","2022","7",632,2.88,1.31,60.1,315107,315107,89449,6508,5628,8083,4486,10360,3657,3988,7112,13614,6077,3764,16170,23954,16666,7288,18270,9141,4846,41,4242,12362,4485,752,534,2430,3623,538,11194,69,4017,2877,1104,94,675,1876,481,17721,2893,1507,3008,10312,32208,8962,12220,11026,17084,7848,87,9150,41933,2252,7149,3349,29183,50932,29135,6174,14494,1129,-,28.4,44.4,24.6,17.5,7.1
"Jissu","tuki","実数_令和 4年 8月","2022","8",656,2.90,1.33,59.8,328143,328143,90549,6503,5746,8246,4401,10663,4281,3982,7229,13474,6238,4010,15776,21080,16526,4554,21342,11033,4194,43,6071,13914,4711,808,849,2633,3553,1360,8677,107,3629,1590,802,115,578,1429,428,22546,3399,1877,3284,13987,34815,8135,14209,12471,14003,9099,86,4817,41376,2304,8374,3484,27214,59841,36766,6343,14919,1813,-,27.6,43.8,26.0,18.7,7.3
"Jissu","tuki","実数_令和 4年 9月","2022","9",644,2.88,1.34,59.7,326803,323288,89256,6442,5943,8392,4399,10491,3966,4212,6896,13695,5520,4545,14755,22433,16723,5710,21067,13014,3806,40,4206,13688,3853,419,2016,2889,3804,707,11807,619,4522,2055,1094,114,582,1612,1208,17995,2859,1545,3311,10280,36364,7788,16598,11979,27443,22710,394,4339,35461,4400,8801,3190,19071,47775,23841,6284,15698,1952,3515,27.6,46.7,29.3,18.3,11.0
"Jissu","tuki","実数_令和 4年10月","2022","10",636,2.90,1.34,60.0,337010,337010,94608,7327,6139,9053,4559,10808,3654,4314,7559,14641,5219,3354,17983,26408,20391,6017,23156,13023,4247,177,5710,14148,4828,927,1434,2652,3536,771,15701,86,6921,3037,1162,150,1100,1804,1443,18943,3158,1489,3459,10837,36124,10139,14273,11712,19273,15113,174,3986,35651,1953,8375,3595,21728,52999,29911,7461,14117,1510,-,28.1,45.9,28.6,19.5,9.1
"Jissu","tuki","実数_令和 4年11月","2022","11",624,2.95,1.37,59.5,346572,346572,92053,6813,6149,8653,4618,9763,3276,4200,7458,13772,5733,3614,18004,34602,17433,17169,21395,10736,5726,342,4591,15288,6549,764,851,2759,3563,802,14049,900,5919,2350,1129,94,986,1601,1070,18861,3441,1692,3361,10367,32302,9086,10299,12917,21758,15556,57,6146,37025,4025,8661,3404,20935,59239,28628,9701,18277,2633,-,26.6,45.2,26.2,18.2,8.0
"Jissu","tuki","実数_令和 4年12月","2022","12",616,2.94,1.40,59.4,378014,378014,109827,7903,10158,10669,4834,10620,3874,4752,8931,18024,5864,4903,19294,27994,18910,9084,24640,10775,7128,911,5826,18491,6263,2987,914,3670,4251,406,14504,923,6202,2371,1096,84,1446,1830,552,18769,3644,1397,3387,10340,36955,8770,14774,13410,20239,12806,168,7264,40076,3440,10147,3950,22539,66520,35312,8160,21783,1265,-,29.1,42.7,24.4,16.8,7.5
"meimoku","nen","対前年（同月）名目増加率_平成23年","2011","",-,-,-,-,-2.8,-5.2,-1.1,-1.1,-2.3,-0.9,-3.2,-2.0,-0.7,2.6,-1.9,0.3,7.6,-3.5,-2.6,-6.4,1.4,-21.4,-5.2,-7.1,-4.3,5.0,-3.7,-3.7,-10.1,15.8,43.6,-5.3,1.8,-26.0,-11.0,-20.5,-14.8,-8.7,-0.6,28.7,-4.1,-9.2,-17.6,2.8,-1.4,-8.6,-4.3,7.7,-6.7,-12.2,-5.2,-4.2,2.2,7.1,-30.3,-8.3,-14.4,-42.3,-7.0,-8.2,-11.6,-5.7,-7.2,-10.9,1.2,-25.0,129.3,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成24年","2012","",-,-,-,-,0.2,2.4,1.3,-0.7,-1.6,-2.2,3.7,-1.1,0.7,-1.4,-2.5,4.7,1.7,8.4,4.2,8.1,-4.7,39.6,8.9,10.9,13.8,15.4,-0.7,3.5,-4.9,47.0,5.5,5.1,1.4,-3.4,5.9,-4.0,4.1,8.6,5.1,-14.1,6.1,6.7,13.0,0.3,4.2,12.0,6.3,-3.7,5.2,11.4,6.1,-0.4,-2.8,-2.7,1.8,-3.3,-0.2,-15.9,2.3,-5.8,2.4,0.6,6.9,0.9,-4.3,-16.7,-49.3,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成25年","2013","",-,-,-,-,4.9,3.6,1.7,0.5,-2.2,5.2,0.6,0.7,0.5,0.7,5.8,-1.2,4.8,-2.1,3.9,15.5,14.4,17.3,2.1,8.7,-4.1,-15.5,-0.9,1.5,10.1,-32.0,28.3,-6.1,3.9,2.9,3.4,1.8,4.3,2.7,1.1,13.9,-0.9,8.6,-2.2,0.7,1.0,-5.9,5.2,0.4,7.0,2.2,13.3,2.9,-9.1,-7.2,-8.6,-14.9,4.2,-7.0,1.3,0.8,7.0,4.3,7.0,-11.0,3.3,81.7,69.1,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成26年","2014","",-,-,-,-,-5.2,-2.8,1.1,-2.0,3.7,7.7,6.2,3.2,5.8,4.7,1.0,4.1,-3.9,2.9,-5.7,-13.8,-16.3,-9.8,1.2,0.7,4.0,18.3,-2.4,5.8,10.0,1.9,-10.0,4.3,4.8,19.9,-0.3,77.6,-1.9,-1.5,-5.2,-21.1,5.2,3.8,-4.2,-2.2,5.0,2.3,-7.9,-3.3,-2.7,-7.2,-1.6,-0.7,-12.6,-15.9,-12.2,-1.7,0.5,-4.6,7.9,-0.9,-0.8,-5.7,-3.4,-3.9,-5.9,-30.1,-71.3,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成27年","2015","",-,-,-,-,1.2,0.9,3.2,-0.4,3.2,2.4,6.6,5.4,6.9,1.0,2.3,2.5,-0.6,-0.7,5.1,-1.3,7.7,-14.9,-2.4,-3.6,-1.2,-38.6,1.5,-6.4,-11.2,9.2,-16.2,-4.1,-2.1,-7.9,-0.1,-22.8,8.3,-2.1,-2.9,0.7,-7.9,-6.3,-10.2,-0.5,-4.1,-1.7,-5.0,2.0,-3.5,0.7,-13.0,6.3,24.1,31.7,12.9,2.6,-1.9,-13.0,-7.0,-2.3,0.7,0.5,-1.7,-7.3,0.3,62.3,35.6,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成28年","2016","",-,-,-,-,-2.9,-1.9,1.0,-1.0,-0.3,0.8,2.2,-1.9,-0.8,0.7,-0.5,8.7,4.9,-3.9,0.3,-1.7,-5.5,5.6,-11.8,-12.8,-18.0,-16.7,-1.0,0.6,0.1,5.4,1.0,-4.2,6.1,-6.4,-4.8,-19.7,-8.3,-3.5,3.5,-17.5,-10.5,-2.0,11.3,-1.3,-1.7,0.6,9.7,-4.2,-5.5,0.4,-14.4,0.4,5.0,2.4,-22.1,16.6,-3.2,-3.1,1.3,-6.0,-4.0,-1.4,1.5,6.1,-7.6,-3.1,-75.4,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成29年","2017","",-,-,-,-,2.9,2.3,1.0,0.5,-3.6,3.9,-0.3,-0.6,-1.1,3.2,1.1,2.0,0.0,8.1,1.2,-3.0,-7.6,4.8,2.2,1.3,1.9,36.3,2.7,8.3,13.2,15.6,7.1,7.9,1.0,5.6,-2.5,-30.5,-0.4,-2.7,-6.7,35.6,0.7,-3.6,-8.6,3.1,3.0,14.9,0.0,2.3,9.9,0.1,26.4,1.0,-1.6,1.0,15.2,-11.0,2.6,23.3,5.4,-1.6,0.7,3.0,-0.3,-2.4,11.8,-8.3,170.0,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成30年","2018","",-,-,-,-,-2.3,-1.7,0.8,2.8,-3.6,0.0,-3.7,1.1,-0.3,-1.5,4.4,2.5,6.2,-10.3,2.2,-0.1,2.3,-3.6,1.7,5.6,-1.4,-3.4,-1.5,-11.8,-16.3,-46.9,-10.9,-4.3,-0.6,-4.5,-3.4,-7.7,-1.2,-7.4,0.5,-21.3,-5.3,-3.2,-5.1,3.7,-1.0,-13.0,1.1,8.7,-3.0,4.4,-10.3,0.7,4.0,1.2,-18.1,15.8,-3.3,-9.7,-4.3,-4.2,-2.1,-6.0,-1.3,-8.5,-5.5,-39.3,-66.7,,,,,
"meimoku","nen","対前年（同月）名目増加率_平成31年・令和元年","2019","",-,-,-,-,2.1,1.3,2.1,1.9,-0.3,-1.4,1.1,-5.0,0.9,0.0,6.2,4.4,1.6,11.0,5.3,-1.4,-8.0,9.2,-0.5,0.2,2.1,8.8,-5.3,14.7,20.7,38.5,25.0,8.5,7.3,5.6,2.9,65.0,1.2,6.4,-4.1,38.1,6.3,-0.6,3.2,3.9,12.1,1.2,10.2,0.4,2.5,7.7,4.0,-2.9,-5.5,-8.7,15.6,3.9,4.0,16.0,8.4,3.1,1.7,-1.6,0.8,-6.3,-5.6,33.8,266.8,,,,,
"meimoku","nen","対前年（同月）名目増加率_令和 2年","2020","",-,-,-,-,0.3,-2.2,2.6,5.1,8.2,17.6,15.1,13.2,10.0,20.4,6.7,5.4,8.6,18.4,-27.5,16.8,19.6,13.1,1.1,-0.2,-0.7,-20.6,7.5,10.4,10.6,-10.2,-3.3,12.4,21.8,-1.5,-19.1,42.9,-22.6,-24.5,-3.8,-7.5,-21.4,-21.6,-7.5,6.3,2.6,10.3,21.9,2.4,-6.5,-42.6,6.3,7.7,-0.6,1.2,29.8,-7.2,-15.8,36.6,1.4,-0.3,-29.7,-8.5,-3.9,-6.1,-17.7,9.6,215.1,,,,,
"meimoku","nen","対前年（同月）名目増加率_令和 3年","2021","",-,-,-,-,2.8,1.0,0.2,-3.8,0.6,-1.7,-4.3,-5.9,-1.1,-4.1,4.3,8.3,4.5,9.4,-2.3,-3.6,-10.9,6.9,-6.1,-9.3,-6.9,-0.4,0.6,1.2,1.0,37.2,12.1,-1.2,-6.2,-0.6,-3.2,-44.9,-3.3,4.6,3.4,-24.8,-2.5,7.6,-26.8,3.5,-1.4,-10.1,-3.4,9.2,1.4,6.6,5.3,-5.2,-0.4,-0.1,1.1,-1.4,2.6,-8.8,1.7,-5.9,7.4,7.1,13.7,-11.2,-4.7,67.5,52.6,,,,,
"meimoku","nen","対前年（同月）名目増加率_令和 4年","2022","",-,-,-,-,-3.2,0.6,-1.7,-1.9,-7.5,-6.3,-4.0,-3.9,-6.3,-3.5,0.4,-2.5,-4.5,-17.0,14.9,1.0,15.9,-16.9,15.5,24.7,18.1,45.7,-4.6,-7.0,-7.6,-18.4,-6.6,-6.2,-0.3,-22.0,6.8,50.6,7.7,4.9,-9.5,2.5,6.6,7.5,21.2,-5.5,-1.3,5.1,-4.2,-8.3,0.7,26.4,-3.9,-5.7,2.3,-2.2,-30.1,18.5,8.2,-17.2,-1.0,-5.0,19.5,-3.5,3.3,-8.1,3.8,-59.2,-72.3,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 1月","2022","1",-,-,-,-,-4.8,5.9,-4.6,-5.8,-0.9,-4.3,0.2,-6.0,-8.6,-9.0,-0.5,-5.6,-7.1,-25.0,4.2,11.0,9.1,14.6,1.1,-0.4,6.5,55.8,-13.7,-13.6,-13.8,-46.3,-38.9,-12.4,-7.5,65.3,13.5,-94.2,15.3,9.7,-29.3,31.5,15.2,69.4,2.3,-19.5,-14.1,15.3,-29.5,-21.1,32.7,31.0,66.5,7.4,-0.3,7.3,-70.6,-10.0,6.5,-41.5,-6.8,0.7,26.9,22.7,37.5,-10.1,19.5,5.6,-100.0,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 2月","2022","2",-,-,-,-,3.7,-3.8,-8.2,-1.8,-0.8,-6.1,-1.8,-0.3,-4.7,-9.3,-9.4,-6.2,-15.9,-30.2,-16.0,1.8,12.6,-8.6,17.1,16.1,28.7,94.1,-0.9,-16.7,-11.3,-28.1,-47.8,-22.0,-7.6,-20.4,-23.0,-100.0,-31.4,-40.1,-14.1,134.0,20.2,-4.4,49.1,-14.4,-16.4,-18.3,-3.1,-17.6,4.9,-13.5,23.8,-8.1,-29.1,-45.4,-85.0,48.0,2.9,-22.1,-26.2,12.7,23.9,0.6,20.2,-10.3,12.9,-63.1,...,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 3月","2022","3",-,-,-,-,-7.3,-12.5,-5.7,-2.7,-5.5,-5.3,-4.2,-2.4,-4.5,-4.3,-1.2,-5.3,-11.2,-18.5,-7.6,-14.4,3.9,-35.9,10.5,17.4,9.9,85.7,-9.9,-31.6,-59.8,-85.2,103.6,-29.3,-5.9,48.9,-6.7,312.5,-9.9,-7.7,-25.6,-47.3,2.4,-9.0,49.8,-8.8,-17.4,-10.6,-25.5,-0.5,-32.6,-3.2,-44.8,-26.4,-22.7,-30.0,-20.0,-6.8,-4.4,-34.1,-16.7,-16.2,13.7,-15.1,14.2,-25.4,-23.9,-88.0,...,,,,,
