"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年増加率（％）","35歳未満（円）","35～39歳（円）","40～44歳（円）","45～49歳（円）","50～54歳（円）","55～59歳（円）","60～64歳（円）","65歳以上（円）","（再掲）75歳以上（円）"
"2","7","1","1","3","0","132","即席麺",160,-9.1,128,150,231,175,205,197,154,127,110
"2","7","1","1","3","0","139","他の麺類",80,-2.4,54,69,94,72,96,88,87,77,66
"2","6","1","1","4","0","0","他の穀類",538,-3.8,435,489,604,558,622,595,544,503,459
"2","7","1","1","4","0","140","小麦粉",53,-8.6,26,34,76,62,59,50,43,53,48
"2","7","1","1","4","0","150","もち",159,-3.0,69,75,115,123,144,127,174,210,221
"2","7","1","1","4","0","160","他の穀類のその他",326,-3.3,339,381,413,373,419,418,326,241,189
"2","5","1","2","0","0","0","魚介類",6522,-7.4,3197,3555,4821,4913,6036,6252,7143,8225,8520
"2","6","1","2","1","0","0","生鮮魚介",3622,-13.0,1906,1931,2766,2915,3527,3288,3974,4481,4595
"2","7","1","2","1","170-189","0","鮮魚",3338,-12.4,1811,1819,2624,2721,3316,3039,3641,4078,4183
"2","7","1","2","1","170-189","170","まぐろ",580,-15.6,192,278,401,394,658,513,620,744,712
"2","7","1","2","1","170-189","172","あじ",92,-7.1,39,36,76,60,77,54,96,131,141
"2","7","1","2","1","170-189","173","いわし",30,-16.7,14,15,12,19,26,21,25,45,47
"2","7","1","2","1","170-189","174","かつお",130,-7.1,67,53,73,124,109,115,135,172,159
"2","7","1","2","1","170-189","175","かれい",57,7.5,30,24,13,20,30,34,55,98,101
"2","7","1","2","1","170-189","176","さけ",467,-6.2,292,360,479,466,466,419,490,512,518
"2","7","1","2","1","170-189","177","さば",63,-6.0,46,43,47,61,61,63,59,73,66
"2","7","1","2","1","170-189","178","さんま",39,-7.1,32,25,28,40,31,33,33,49,46
"2","7","1","2","1","170-189","180","たい",96,-11.9,32,37,62,52,117,97,95,126,137
"2","7","1","2","1","170-189","181","ぶり",224,-15.2,136,156,233,181,250,200,229,252,269
"2","7","1","2","1","170-189","182","いか",140,-2.8,58,56,80,115,126,124,143,190,186
"2","7","1","2","1","170-189","183","たこ",98,-21.0,60,56,119,75,102,100,93,109,93
"2","7","1","2","1","170-189","185","えび",232,-16.2,148,90,172,213,250,250,288,258,241
"2","7","1","2","1","170-189","186","かに",112,9.8,56,11,40,101,65,114,151,158,178
"2","7","1","2","1","170-189","189","他の鮮魚",575,-16.5,373,440,487,507,523,524,583,682,754
"2","7","1","2","1","170-189","187","さしみ盛合わせ",404,-16.4,238,141,301,293,427,378,547,480,536
"2","7","1","2","1","190-194","0","貝類",284,-20.2,95,112,142,194,212,248,334,403,412
"2","7","1","2","1","190-194","190","あさり",40,-49.4,23,22,24,32,30,34,38,55,55
"2","7","1","2","1","190-194","192","しじみ",31,0.0,2,16,16,11,12,27,34,52,60
"2","7","1","2","1","190-194","191","かき(貝)",82,-3.5,23,28,32,68,77,85,122,103,103
"2","7","1","2","1","190-194","194","ほたて貝",97,-17.8,26,36,50,54,62,56,91,159,156
"2","7","1","2","1","190-194","193","他の貝",33,-23.3,22,10,20,30,30,46,50,35,39
"2","6","1","2","2","0","0","塩干魚介",1140,-1.4,495,718,806,800,1046,1154,1148,1465,1585
"2","7","1","2","2","0","195","塩さけ",160,8.1,63,134,104,120,132,171,184,199,210
"2","7","1","2","2","0","196","たらこ",184,-11.5,71,94,143,123,213,218,193,216,211
"2","7","1","2","2","0","197","しらす干し",173,0.6,88,117,140,136,186,179,134,212,224
"2","7","1","2","2","0","198","干しあじ",76,7.0,13,34,32,45,51,63,107,112,122
"2","7","1","2","2","0","202","他の塩干魚介",547,-2.0,260,339,386,377,464,524,531,727,818
"2","6","1","2","3","0","0","魚肉練製品",705,3.7,272,323,409,440,547,684,857,962,964
"2","7","1","2","3","0","203","揚げかまぼこ",181,9.7,35,55,75,92,102,181,260,268,285
"2","7","1","2","3","0","204","ちくわ",128,9.4,52,71,97,93,106,113,114,175,165
"2","7","1","2","3","0","205","かまぼこ",247,0.4,103,106,152,154,194,237,310,334,343
"2","7","1","2","3","0","209","他の魚肉練製品",149,-2.6,82,92,85,101,145,153,173,186,170
"2","6","1","2","4","0","0","他の魚介加工品",1056,1.4,524,584,840,758,917,1127,1164,1317,1376
"2","7","1","2","4","0","210","かつお節・削り節",66,-1.5,28,46,56,43,62,53,54,88,101
"2","7","1","2","4","0","213","魚介の漬物",322,-1.5,75,110,131,194,269,322,409,453,481
"2","7","1","2","4","0","215","魚介のつくだ煮",84,3.7,12,5,30,31,54,59,69,147,159
"2","7","1","2","4","0","216","魚介の缶詰",253,1.2,172,176,286,217,251,284,274,265,253
"2","7","1","2","4","0","217","他の魚介加工品のその他",332,5.1,237,248,338,273,281,408,358,364,382
"2","5","1","3","0","0","0","肉類",8454,-6.2,5685,7016,9785,9577,11080,9479,9384,7245,6709
"2","6","1","3","1","0","0","生鮮肉",6825,-7.1,4699,5721,8070,7739,9369,7706,7640,5630,5137
"2","7","1","3","1","0","220","牛肉",1812,-17.0,852,1262,1658,1693,2277,1790,2212,1847,1771
"2","7","1","3","1","0","221","豚肉",2980,-3.1,2158,2456,3566,3394,4174,3502,3362,2381,2155
"2","7","1","3","1","0","222","鶏肉",1540,-2.5,1217,1508,2107,1987,2258,1821,1576,1073,944
"2","7","1","3","1","0","22X","合いびき肉",271,7.1,212,237,434,396,429,329,282,156,119
"2","7","1","3","1","0","224","他の生鮮肉",222,-12.3,261,259,305,270,231,263,207,174,148
"2","6","1","3","2","0","0","加工肉",1630,-2.5,986,1295,1714,1838,1710,1774,1744,1615,1572
"2","7","1","3","2","0","225","ハム",475,-4.2,174,280,414,453,453,471,501,564,576
"2","7","1","3","2","0","226","ソーセージ",626,0.2,402,612,743,743,706,702,652,560,527
"2","7","1","3","2","0","227","ベーコン",264,0.4,184,192,285,281,294,305,325,244,215
"2","7","1","3","2","0","229","他の加工肉",264,-8.0,226,212,273,360,257,296,266,246,254
"2","5","1","4","0","0","0","乳卵類",4433,-4.0,3707,4243,4878,4398,4789,4896,4404,4292,4066
"2","6","1","4","1","0","230","牛乳",1362,-1.4,1148,1416,1539,1353,1400,1443,1218,1362,1334
"2","6","1","4","2","0","0","乳製品",2218,-6.3,1984,2131,2456,2162,2419,2542,2327,2077,1891
"2","7","1","4","2","0","231","粉ミルク",80,6.7,702,158,233,28,10,12,14,16,18
"2","7","1","4","2","0","232","ヨーグルト",1188,-6.4,653,1017,1012,1062,1259,1475,1276,1252,1126
"2","7","1","4","2","0","233","バター",135,-14.6,101,128,158,151,163,151,153,115,107
"2","7","1","4","2","0","234","チーズ",746,-5.4,474,754,981,843,897,829,784,640,586
"2","7","1","4","2","0","235","他の乳製品",70,-7.9,53,74,72,78,90,74,101,54,55
"2","6","1","4","3","0","238","卵",853,-2.1,575,696,882,884,970,912,859,853,842
"2","5","1","5","0","0","0","野菜・海藻",10347,-4.0,6006,6711,9043,8711,10089,10401,11245,12020,12006
"2","6","1","5","1","0","0","生鮮野菜",7234,-3.1,4462,4731,6489,6186,7126,7299,8032,8238,8240
"2","7","1","5","1","240-249","0","葉茎菜",2229,-1.2,1314,1422,2012,1857,2453,2389,2569,2427,2385
"2","7","1","5","1","240-249","240","キャベツ",251,4.6,163,178,245,242,272,276,272,262,254
"2","7","1","5","1","240-249","241","ほうれんそう",195,-4.4,143,138,202,146,197,168,186,230,246
"2","7","1","5","1","240-249","242","はくさい",111,11.0,88,72,104,94,131,118,132,112,106
"2","7","1","5","1","240-249","243","ねぎ",340,1.2,213,198,329,284,348,401,396,363,346
"2","7","1","5","1","240-249","244","レタス",262,1.9,101,165,223,266,300,260,308,285,275
"2","7","1","5","1","240-249","247","ブロッコリー",235,-5.2,141,186,230,187,268,245,272,248,234
"2","7","1","5","1","240-249","245","もやし",94,6.8,56,66,85,89,144,124,90,85,81
"2","7","1","5","1","240-249","249","他の葉茎菜",741,-5.5,410,419,594,550,793,796,915,843,843
"2","7","1","5","1","250-259 25X","0","根菜",1819,-0.6,1192,1262,1730,1613,1809,1787,2041,2023,1975
"2","7","1","5","1","250-259 25X","250","さつまいも",112,10.9,99,95,96,152,95,102,121,116,111
"2","7","1","5","1","250-259 25X","251","じゃがいも",260,-8.1,160,209,285,280,274,243,288,266,258
"2","7","1","5","1","250-259 25X","252","さといも",72,-6.5,26,19,41,38,65,56,80,103,107
"2","7","1","5","1","250-259 25X","253","だいこん",169,7.6,91,102,132,125,146,165,191,211,207
"2","7","1","5","1","250-259 25X","254","にんじん",226,-1.3,204,201,263,211,224,221,242,230,210
"2","7","1","5","1","250-259 25X","255","ごぼう",77,-15.4,37,46,66,52,71,72,89,95,91
"2","7","1","5","1","250-259 25X","256","たまねぎ",408,20.4,313,337,436,417,446,439,449,398,381
"2","7","1","5","1","250-259 25X","258","れんこん",91,-9.0,53,51,100,71,91,81,106,105,101
"2","7","1","5","1","250-259 25X","25X","たけのこ",74,-14.9,31,27,49,41,60,62,139,93,86
"2","7","1","5","1","250-259 25X","259","他の根菜",331,-10.1,177,174,263,228,339,346,336,408,422
"2","7","1","5","1","260-269 26B 26X","0","他の野菜",3187,-5.8,1956,2048,2748,2716,2864,3124,3422,3788,3879
"2","7","1","5","1","260-269 26B 26X","260","さやまめ",235,-12.3,64,100,142,137,223,251,281,311,293
"2","7","1","5","1","260-269 26B 26X","261","かぼちゃ",163,-0.6,152,102,125,126,131,140,181,203,214
"2","7","1","5","1","260-269 26B 26X","262","きゅうり",326,-5.5,117,181,266,294,258,319,371,408,405
"2","7","1","5","1","260-269 26B 26X","263","なす",209,-6.7,123,95,143,140,151,212,214,283,294
"2","7","1","5","1","260-269 26B 26X","264","トマト",850,-0.7,456,593,706,701,729,685,897,1076,1138
"2","7","1","5","1","260-269 26B 26X","265","ピーマン",237,-4.4,149,130,216,191,220,262,281,270,261
"2","7","1","5","1","260-269 26B 26X","266","生しいたけ",173,-1.7,91,84,147,108,179,177,223,204,199
"2","7","1","5","1","260-269 26B 26X","26B","しめじ",142,-0.7,106,113,141,137,156,168,148,141,140
"2","7","1","5","1","260-269 26B 26X","26X","えのきたけ",94,0.0,59,74,103,105,107,131,100,81,80
"2","7","1","5","1","260-269 26B 26X","267","他のきのこ",240,-9.1,160,160,196,200,228,270,301,263,254
"2","7","1","5","1","260-269 26B 26X","269","他の野菜のその他",518,-13.8,478,414,562,578,482,510,428,547,602
"2","6","1","5","2","0","0","乾物・海藻",769,-8.2,403,510,728,746,747,685,750,904,907
"2","7","1","5","2","0","273","豆類",36,-21.7,7,4,26,15,20,17,27,65,81
"2","7","1","5","2","0","274","干ししいたけ",30,-11.8,9,9,28,8,21,21,49,41,40
"2","7","1","5","2","0","276","干しのり",267,0.0,130,217,300,368,268,211,223,285,284
"2","7","1","5","2","0","277","わかめ",129,-11.6,59,91,130,100,134,132,132,149,150
"2","7","1","5","2","0","278","こんぶ",59,-9.2,14,24,38,35,55,56,58,84,88
"2","7","1","5","2","0","279","他の乾物・海藻",248,-11.7,184,164,205,221,249,248,261,281,265
"2","6","1","5","3","0","0","大豆加工品",1118,-5.3,621,788,954,887,1178,1106,1222,1287,1222
"2","7","1","5","3","0","280","豆腐",449,-2.2,234,271,368,331,503,480,520,512,499
"2","7","1","5","3","0","281","油揚げ・がんもどき",242,-4.3,110,124,186,185,227,226,278,303,273
"2","7","1","5","3","0","282","納豆",354,-9.9,247,340,306,324,372,330,357,389,377
"2","7","1","5","3","0","289","他の大豆製品",73,-3.9,30,54,94,47,77,71,67,83,73
"2","6","1","5","4","0","0","他の野菜・海藻加工品",1226,-5.3,520,682,872,892,1039,1310,1240,1590,1638
"2","7","1","5","4","0","290","こんにゃく",141,-8.4,62,77,140,102,141,134,159,167,167
"2","7","1","5","4","0","291","梅干し",133,-17.4,42,73,103,76,71,138,113,196,214
"2","7","1","5","4","0","292","だいこん漬",90,1.1,18,41,43,37,45,74,109,143,170
"2","7","1","5","4","0","293","はくさい漬",48,-11.1,26,15,23,29,42,49,54,67,74
"2","7","1","5","4","0","294","他の野菜の漬物",471,-4.1,179,238,283,369,417,525,492,606,613
"2","7","1","5","4","0","295","こんぶつくだ煮",89,3.5,27,51,53,49,58,92,84,130,128
"2","7","1","5","4","0","296","他の野菜・海藻のつくだ煮",33,10.0,4,12,11,17,28,27,30,53,57
"2","7","1","5","4","0","299","他の野菜・海藻加工品のその他",221,-3.5,162,176,215,212,236,269,200,227,215
"2","5","1","6","0","0","0","果物",3806,-6.2,1741,2604,2767,2863,3086,3194,3741,5078,5371
"2","6","1","6","1","0","0","生鮮果物",3405,-6.2,1576,2409,2470,2488,2622,2685,3267,4649,4965
"2","7","1","6","1","0","300","りんご",373,-3.9,117,172,189,195,185,297,314,609,722
"2","7","1","6","1","0","301","みかん",376,-15.3,126,308,342,265,240,373,358,494,509
"2","7","1","6","1","0","315","オレンジ",45,-31.8,18,24,21,35,25,21,58,67,80
"2","7","1","6","1","0","304","他の柑きつ類",229,-12.9,47,99,87,125,161,165,250,361,407
"2","7","1","6","1","0","305","梨",164,7.9,51,66,92,90,121,100,241,234,262
"2","7","1","6","1","0","306","ぶどう",293,-9.8,97,241,254,233,244,254,283,372,357
"2","7","1","6","1","0","307","柿",99,-3.9,15,59,45,49,51,58,95,164,210
"2","7","1","6","1","0","308","桃",106,-7.0,31,41,49,37,76,74,126,164,180
"2","7","1","6","1","0","309","すいか",159,23.3,76,93,58,102,103,102,156,246,253
"2","7","1","6","1","0","310","メロン",89,14.1,29,25,28,32,43,34,71,164,161
"2","7","1","6","1","0","311","いちご",346,-2.0,211,373,354,302,307,280,311,410,397
"2","7","1","6","1","0","312","バナナ",421,2.2,258,360,308,364,319,318,394,554,567
"2","7","1","6","1","0","316","キウイフルーツ",202,-6.9,42,151,141,201,169,155,177,270,282
"2","7","1","6","1","0","313","他の果物",501,-14.7,457,399,503,457,577,455,433,537,577
"2","6","1","6","2","0","319","果物加工品",402,-5.6,165,195,297,375,464,509,474,429,406
"2","5","1","7","0","0","0","油脂・調味料",4124,-3.8,2689,3193,4077,4102,4351,4794,4501,4158,3982
"2","6","1","7","1","0","0","油脂",474,0.6,315,291,445,428,509,505,510,513,470
"2","7","1","7","1","0","320","食用油",424,0.7,297,260,411,387,457,454,462,452,414
"2","7","1","7","1","0","321","マーガリン",50,0.0,18,31,34,41,53,51,49,61,57
"2","6","1","7","2","0","0","調味料",3650,-4.4,2373,2902,3633,3674,3842,4289,3990,3644,3512
"2","7","1","7","2","0","322","食塩",41,-2.4,28,22,39,36,44,53,36,45,43
"2","7","1","7","2","0","323","しょう油",137,-5.5,86,98,132,122,135,151,135,154,148
"2","7","1","7","2","0","324","みそ",176,-4.9,106,120,159,155,170,199,180,199,206
"2","7","1","7","2","0","325","砂糖",80,-5.9,40,50,74,64,82,88,72,95,105
"2","7","1","7","2","0","327","酢",64,-23.8,30,21,23,49,83,67,52,84,75
"2","7","1","7","2","0","328","ソース",59,-1.7,28,42,71,68,63,64,66,57,55
"2","7","1","7","2","0","329","ケチャップ",60,3.4,51,46,70,82,71,58,85,47,41
"2","7","1","7","2","0","330","マヨネーズ・マヨネーズ風調味料",114,8.6,64,92,99,110,104,125,148,122,109
"2","7","1","7","2","0","332","ドレッシング",204,-4.2,114,146,175,199,218,263,217,210,205
"2","7","1","7","2","0","331","ジャム",142,-0.7,105,135,135,140,121,151,133,155,158
"2","7","1","7","2","0","333","カレールウ",100,1.0,77,93,118,118,117,123,121,80,67
"2","7","1","7","2","0","334","乾燥スープ",336,-13.0,204,267,344,332,286,453,365,344,333
"2","7","1","7","2","0","335","風味調味料",243,-6.9,169,196,247,230,234,279,266,250,244
"2","7","1","7","2","0","336","ふりかけ",118,-3.3,107,144,177,154,103,169,97,92,83
"2","7","1","7","2","0","33X","つゆ・たれ",430,1.2,281,292,387,470,492,505,523,412,379
"2","7","1","7","2","0","339","他の調味料",1348,-4.0,885,1138,1384,1344,1520,1542,1495,1300,1261
"2","5","1","8","0","0","0","菓子類",8447,2.6,6767,8698,10822,10180,9327,9943,8190,7190,6388
"2","7","1","8","0","0","340","ようかん",96,7.9,27,12,49,39,109,90,113,134,106
"2","7","1","8","0","0","341","まんじゅう",51,4.1,5,27,56,38,40,53,65,62,58
"2","7","1","8","0","0","342","他の和生菓子",780,4.8,405,430,719,650,655,837,804,956,921
"2","7","1","8","0","0","343","カステラ",74,-12.9,29,35,54,60,49,62,78,104,102
"2","7","1","8","0","0","344","ケーキ",746,-5.4,721,952,1069,1045,977,831,838,466,342
"2","7","1","8","0","0","347","ゼリー",184,-4.2,150,200,221,230,143,218,201,167,152
"2","7","1","8","0","0","348","プリン",156,-8.2,126,151,162,170,191,187,198,128,114
"2","7","1","8","0","0","345","他の洋生菓子",964,5.4,731,1026,1129,1088,1154,1312,1120,748,645
"2","7","1","8","0","0","350","せんべい",556,4.7,248,322,389,410,477,662,670,676,583
"2","7","1","8","0","0","346","ビスケット",483,9.3,455,510,654,637,571,536,452,382,343
"2","7","1","8","0","0","357","スナック菓子",459,1.1,478,597,864,796,619,579,314,224,179
"2","7","1","8","0","0","349","キャンデー",192,9.7,149,205,220,211,176,211,143,195,206
"2","7","1","8","0","0","352","チョコレート",588,-11.6,386,599,778,793,694,781,576,458,378
"2","7","1","8","0","0","353","チョコレート菓子",197,9.4,232,300,372,334,255,236,141,95,70
"2","7","1","8","0","0","356","アイスクリーム・シャーベット",942,10.3,906,1013,1412,1267,1234,1171,743,660,592
"2","7","1","8","0","0","359","他の菓子",1981,4.2,1720,2320,2676,2413,1984,2178,1733,1733,1597
"2","5","1","9","0","0","0","調理食品",13842,-2.4,10696,11807,13730,14621,13815,15978,14117,13884,13094
"2","6","1","9","1","0","0","主食的調理食品",5928,-2.0,4610,4876,6347,6473,5990,6786,6245,5786,5382
"2","7","1","9","1","0","360","弁当",1805,0.8,1491,1620,1849,2062,1745,2252,2035,1672,1446
"2","7","1","9","1","0","36A","すし(弁当)",1250,-10.6,608,658,1066,988,1208,1328,1230,1533,1504
"2","7","1","9","1","0","36B","おにぎり・その他",477,2.1,426,492,629,607,442,465,476,435,411
"2","7","1","9","1","0","361","調理パン",661,-5.3,467,585,778,693,812,781,713,587,574
"2","7","1","9","1","0","363","他の主食的調理食品",1735,2.5,1619,1521,2026,2124,1783,1960,1792,1559,1447
"2","6","1","9","2","0","0","他の調理食品",7914,-2.8,6087,6931,7383,8148,7824,9191,7871,8098,7713
"2","7","1","9","2","0","364","うなぎのかば焼き",241,-25.8,70,73,101,126,177,227,268,364,443
"2","7","1","9","2","0","365","サラダ",641,2.9,565,474,474,525,671,874,586,686,581
"2","7","1","9","2","0","366","コロッケ",177,16.4,81,124,101,129,128,232,198,224,205
"2","7","1","9","2","0","367","カツレツ",197,10.7,93,109,167,180,226,247,166,222,202
"2","7","1","9","2","0","368","天ぷら・フライ",1033,1.2,632,863,1075,1050,1065,1181,991,1067,932
"2","7","1","9","2","0","369","しゅうまい",126,-1.6,53,69,104,76,126,141,107,162,160
"2","7","1","9","2","0","371","ぎょうざ",172,-7.0,91,151,169,165,183,187,176,182,174
"2","7","1","9","2","0","372","やきとり",255,-8.6,151,160,252,250,273,323,234,270,232
"2","7","1","9","2","0","373","ハンバーグ",124,-10.1,92,117,121,156,131,112,153,117,106
"2","7","1","9","2","0","370","冷凍調理食品",833,4.8,765,659,964,1052,872,1112,741,736,704
"2","7","1","9","2","0","375","そうざい材料セット",355,-5.1,291,695,262,963,258,756,188,162,129
"2","7","1","9","2","0","376","他の調理食品のその他",3760,-4.6,3203,3437,3593,3478,3717,3801,4064,3907,3844
"2","5","1","10","0","0","0","飲料",5494,-4.9,4545,4799,5857,6173,5896,6527,6233,4966,4424
"2","6","1","10","1","0","0","茶類",1332,-1.6,888,976,1068,1441,1212,1773,1622,1343,1258
"2","7","1","10","1","0","380","緑茶",368,-4.4,88,109,156,213,179,359,347,592,665
"2","7","1","10","1","0","381","紅茶",101,-11.4,59,87,102,124,125,140,143,78,75
"2","7","1","10","1","0","383","他の茶葉",159,9.7,145,136,144,144,123,198,235,158,156
"2","7","1","10","1","0","38X","茶飲料",704,-0.8,595,644,665,961,785,1076,897,515,363
"2","6","1","10","2","0","0","コーヒー・ココア",1146,-3.5,738,1016,1458,1305,1175,1243,1531,1004,788
"2","7","1","10","2","0","382","コーヒー",746,-2.6,359,663,881,727,705,720,1056,739,575
"2","7","1","10","2","0","384","コーヒー飲料",366,-7.1,337,323,508,554,419,483,437,243,192
"2","7","1","10","2","0","386","ココア・ココア飲料",35,20.7,42,31,69,25,51,40,38,23,21
"2","6","1","10","3","0","0","他の飲料",3017,-6.7,2920,2807,3332,3427,3509,3511,3080,2618,2377
"2","7","1","10","3","0","385","果実・野菜ジュース",599,-10.7,545,579,584,610,767,712,618,530,495
"2","7","1","10","3","0","387","炭酸飲料",596,-4.6,764,545,718,661,744,624,641,479,407
"2","7","1","10","3","0","388","乳酸菌飲料",414,-2.4,184,375,282,449,303,506,410,480,444
"2","7","1","10","3","0","38A","乳飲料",216,-4.4,283,235,332,251,236,285,139,170,123
"2","7","1","10","3","0","38B","ミネラルウォーター",370,-12.3,318,214,363,499,555,521,360,277,313
"2","7","1","10","3","0","38Y","スポーツドリンク",111,15.6,180,184,195,132,115,100,121,70,53
"2","7","1","10","3","0","389","他の飲料のその他",709,-8.0,647,675,859,824,789,763,792,612,542
"2","5","1","11","0","0","0","酒類",4055,-15.2,2775,2511,3411,3750,4836,4455,4454,4238,3576
"2","7","1","11","0","0","3X1","清酒",480,-19.7,229,257,311,528,344,404,613,597,497
"2","7","1","11","0","0","3X3","焼酎",499,4.8,223,166,207,192,591,522,401,709,569
"2","7","1","11","0","0","3X4","ビール",1017,-20.7,884,735,1026,1033,937,968,1211,1055,968
"2","7","1","11","0","0","3X5","ウイスキー",242,-19.3,227,181,145,274,242,241,178,282,260
"2","7","1","11","0","0","3X9","ワイン",584,-21.3,340,413,630,484,1177,570,587,481,403
"2","7","1","11","0","0","3X7","発泡酒・ビール風アルコール飲料",608,-14.1,183,180,497,613,661,1077,704,609,526
"2","7","1","11","0","0","3X8","チューハイ・カクテル",487,-2.4,457,408,437,448,686,518,641,419,281
"2","7","1","11","0","0","3XX","他の酒",138,-22.5,232,172,158,178,198,156,119,88,73
"2","5","1","12","0","0","0","外食",16552,14.8,20231,21690,24238,22132,21327,20686,18589,9444,8001
"2","6","1","12","1","0","0","一般外食",15778,15.8,19726,20282,20711,19661,20583,20323,18537,9429,7987
"2","7","1","12","1","390-396 399 39A 39B","0","食事代",13461,10.3,16833,18037,17725,17324,16762,16959,15535,8205,6980
"2","7","1","12","1","390-396 399 39A 39B","390","日本そば・うどん",514,3.0,421,623,619,439,477,627,656,461,352
"2","7","1","12","1","390-396 399 39A 39B","391","中華そば",619,16.4,997,943,952,939,696,878,531,311,183
"2","7","1","12","1","390-396 399 39A 39B","392","他の麺類外食",277,19.9,402,332,387,299,455,431,303,132,120
"2","7","1","12","1","390-396 399 39A 39B","393","すし(外食)",1297,2.5,1124,1241,1552,1444,1670,1528,1374,1070,896
"2","7","1","12","1","390-396 399 39A 39B","394","和食",1789,-6.3,2949,1824,2331,2048,1838,2578,2291,1156,879
"2","7","1","12","1","390-396 399 39A 39B","39A","中華食",536,31.4,591,980,484,601,828,617,707,309,214
"2","7","1","12","1","390-396 399 39A 39B","395","洋食",1103,18.3,1839,1677,1171,1349,1441,1519,1500,559,399
"2","7","1","12","1","390-396 399 39A 39B","399","焼肉",526,-19.2,700,508,845,724,823,752,577,226,184
"2","7","1","12","1","390-396 399 39A 39B","39B","ハンバーガー",535,5.3,899,958,1142,951,818,532,288,172,143
"2","7","1","12","1","390-396 399 39A 39B","396","他の主食的外食",6266,18.9,6911,8950,8242,8532,7717,7499,7309,3811,3609
"2","7","1","12","1","0","397","喫茶代",877,13.0,1328,1061,1390,1064,1092,1047,731,566,504
"2","7","1","12","1","0","398","飲酒代",1440,123.3,1566,1184,1597,1273,2728,2317,2271,657,504
"2","6","1","12","2","0","39X","学校給食",775,-1.6,504,1408,3527,2471,744,363,52,16,14
"2","4","2","0","0","0","0","住居",26870,0.9,48528,29895,34086,18597,34098,15517,30256,24156,22496
"2","5","2","1","0","0","0","家賃地代",16814,15.9,47927,27787,27313,17233,19153,12825,17050,9000,6619
"2","7","2","1","0","0","400","民営家賃",10629,-1.6,38530,15843,19281,12251,12397,7675,9808,4201,1305
"2","7","2","1","0","0","403","公営家賃",3718,181.0,1244,3537,4985,1754,5694,3025,5080,3634,4117
"2","7","2","1","0","0","404","給与住宅家賃",1722,69.3,6609,7560,2908,3174,757,1744,1147,46,83
"2","7","2","1","0","0","402","地代",503,-57.7,147,116,-,-,-,339,331,1057,1103
"2","7","2","1","0","0","409","他の家賃地代",242,38.3,1397,731,140,54,304,42,685,63,11
"2","5","2","2","0","0","0","設備修繕・維持",10056,-17.0,601,2108,6773,1364,14945,2692,13206,15156,15877
"2","6","2","2","1","0","0","設備材料",2899,-20.9,176,1484,223,378,3238,1009,2338,5171,4127
"2","7","2","2","1","0","410","設備器具",2612,-20.4,31,1100,37,129,3025,705,1917,4861,3879
"2","7","2","2","1","0","419","修繕材料",287,-25.6,145,384,186,248,213,304,421,310,249
"2","6","2","2","2","0","0","工事その他のサービス",7157,-15.3,425,624,6550,986,11707,1683,10869,9985,11750
