行,EPSGコード,経度,緯度,調査地点名,郵便番号,所在地,URL
33,EPSG:6677,-35942.718,-48368.69,本町田小学校,194-0032,東京都町田市本町田2032,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2032.pdf
34,EPSG:6677,-35832.614,-48312.366,旧・緑ヶ丘小学校,194-0032,東京都町田市本町田2380-3,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2380-3.pdf
35,EPSG:6677,-35694.924,-47803.541,旧・本町田西小学校,194-0032,東京都町田市本町田2591-3,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2591-3.pdf
36,EPSG:6677,-35272.976,-47660.986,本町田東小学校,194-0032,東京都町田市本町田3350,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida3350.pdf
37,EPSG:6677,-35119.631,-48286.781,町田第三小学校,194-0032,東京都町田市本町田1212,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida1212.pdf
38,EPSG:6677,-36380.198,-48571.574,町田第三中学校,194-0032,東京都町田市本町田1853,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida1853.pdf
39,EPSG:6677,-35786.519,-48727.911,本町田高齢者在宅サービスセンター,194-0032,東京都町田市本町田2102-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2102-1.pdf
40,EPSG:6677,-35600.988,-47928.484,わかば保育園,194-0032,東京都町田市本町田2591-20,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2591-20.pdf
41,EPSG:6677,-35748.154,-47759.482,旧・本町田中学校,194-0032,東京都町田市本町田2600-4,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2600-4.pdf
42,EPSG:6677,-35168.688,-47887.633,青少年施設ひなた村,194-0032,東京都町田市本町田2863,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida2863.pdf
43,EPSG:6677,-36990.703,-46958.816,山崎小学校,194-0035,東京都町田市忠生2-15-26,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao2-15-26.pdf
44,EPSG:6677,-37716.802,-46642.135,忠生小学校,194-0035,東京都町田市忠生3-10-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao3-10-2.pdf
45,EPSG:6677,-37945.329,-46595.523,町田市戦没者合同慰霊塔,194-0035,東京都町田市忠生3-22-8,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao3-22-8.pdf
46,EPSG:6677,-37278.635,-47158.011,子どもセンターただON,194-0035,東京都町田市忠生1-11-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao1-11-1.pdf
47,EPSG:6677,-37124.873,-46971.784,コミュニティセンター忠生,194-0035,東京都町田市忠生2-16-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao2-16-1.pdf
48,EPSG:6677,-37567.284,-46866.964,町田市障がい者福祉センターひかり療育園,194-0035,東京都町田市忠生3-6-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao3-6-2.pdf
49,EPSG:6677,-37857.838,-46757.755,忠生中学校,194-0035,東京都町田市忠生3-14-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tadao.files/tadao3-14-1.pdf
50,EPSG:6677,-36952.221,-48735.056,木曽市営住宅,194-0036,東京都町田市木曽東1-38/木曽東3-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kisohigashi.files/kisohigashi1-38.pdf
51,EPSG:6677,-37272.622,-48722.359,さかいがわ会館,194-0036,東京都町田市木曽東2-10-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kisohigashi.files/kisohigashi2-10-2.pdf
52,EPSG:6677,-37868.774,-48178.324,木曽境川小学校,194-0037,東京都町田市木曽西1-9-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kisonisi.files/kisonishi1-9-1.pdf
53,EPSG:6677,-38074.997,-47772.735,木曽中学校,194-0037,東京都町田市木曽西2-4-9,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kisonisi.files/kisonishi2-4-9.pdf
54,EPSG:6677,-34128.928,-48231.375,町田第五小学校,194-0041,東京都町田市玉川学園4-14-7,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tamagawagakuen.files/tamagawagakuen4-14-7.pdf
55,EPSG:6677,-33599.182,-48337.989,玉川学園コミュニティセンター,194-0041,東京都町田市玉川学園2-19-12,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tamagawagakuen.files/tamagawagakuen2-19-12.pdf
56,EPSG:6677,-33961.379,-48378.21,玉川学園高齢者在宅サービスセンター,194-0041,東京都町田市玉川学園3-35-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tamagawagakuen.files/tamagawagakuen3-35-1.pdf
57,EPSG:6677,-33555.487,-48170.287,町田市消防団消防器具置場第1分団第5部,194-0041,東京都町田市玉川学園5-1-3,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tamagawagakuen.files/tamagawagakuen5-1-3.pdf
58,EPSG:6677,-32322.863,-49801.423,成瀬台中学校,194-0043,東京都町田市成瀬台2-5-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/narusedai.files/narusedai2-5-1.pdf
59,EPSG:6677,-32244.654,-49803.869,成瀬台小学校,194-0043,東京都町田市成瀬台2-5-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/narusedai.files/narusedai2-5-2.pdf
60,EPSG:6677,-32212.97,-51044.118,南第二小学校,194-0044,東京都町田市成瀬7-11-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/naruse.files/naruse7-11-1.pdf
61,EPSG:6677,-32941.281,-50987.091,南成瀬小学校,194-0045,東京都町田市南成瀬3-6,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minaminaruse.files/minaminaruse3-6.pdf
62,EPSG:6677,-32104.786,-51420.704,総合体育館,194-0045,東京都町田市南成瀬5-12,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minaminaruse.files/minaminaruse5-12.pdf
63,EPSG:6677,-31864.161,-51658.449,南成瀬中学校,194-0045,東京都町田市南成瀬7-7-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minaminaruse.files/minaminaruse7-7-1.pdf
64,EPSG:6677,-32673.634,-51329.634,なるせ駅前市民センター,194-0045,東京都町田市南成瀬1-2-5,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minaminaruse.files/minaminaruse1-2-5.pdf
65,EPSG:6677,-32695.112,-50581.903,成瀬コミュニティセンター,194-0046,東京都町田市西成瀬2-49-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nishinaruse.files/nishinaruse2-49-1.pdf
66,EPSG:6677,-38727.635,-44560.378,小山田小学校,194-0201,東京都町田市上小山田町614,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kamioyamadamachi.files/kamioyamadamachi614.pdf
67,EPSG:6677,-38718.665,-44673.724,小山田学童保育クラブ,194-0201,東京都町田市上小山田町610,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kamioyamadamachi.files/kamioyamadamachi610.pdf
68,EPSG:6677,-38497.647,-44636.217,町田市消防団消防器具置場第4分団第8部,194-0202,東京都町田市下小山田町2600-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/shimooyamadamachi.files/shimooyamadamachi2600-2.pdf
69,EPSG:6677,-38212.264,-45703.444,町田リサイクル文化センター,194-0202,東京都町田市下小山田町3160,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/shimooyamadamachi.files/shimooyamadamachi3160.pdf
70,EPSG:6677,-38531.197,-45935.915,ふれあい桜館,194-0202,東京都町田市下小山田町3580,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/shimooyamadamachi.files/shimooyamadamachi3580.pdf
71,EPSG:6677,-38445.015,-45931.616,土木・公園サービスセンター,194-0202,東京都町田市下小山田町3267-4,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/shimooyamadamachi.files/shimooyamadamachi3267-4.pdf
72,EPSG:6677,-36706.618,-46107.357,町田市消防団消防器具置場第4分団第1部,194-0203,東京都町田市図師町1772,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/zushimachi.files/zushimachi1772.pdf
73,EPSG:6677,-38892.714,-45669.69,小山田中学校,194-0204,東京都町田市小山田桜台1-12,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/oyamadasakuradai.files/oyamadasakuradai1-12.pdf
74,EPSG:6677,-39217.989,-45531.184,小山田南小学校,194-0204,東京都町田市小山田桜台2-7,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/oyamadasakuradai.files/oyamadasakuradai2-7.pdf
75,EPSG:6677,-44996.638,-43752.138,堺中学校,194-0211,東京都町田市相原町752,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi752.pdf
76,EPSG:6677,-47162.073,-43636.572,町田市消防団消防器具置場第5分団第5部,194-0211,東京都町田市相原町2832-8,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi2832-8.pdf
77,EPSG:6677,-48130.4,-43532.834,デイサービスあいはら,194-0211,東京都町田市相原町3174,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi3174.pdf
78,EPSG:6677,-47876.225,-43218.109,小中一貫ゆくのき学園武蔵岡中学校,194-0211,東京都町田市相原町3865,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi3865.pdf
79,EPSG:6677,-45296.172,-43789.772,堺市民センター,194-0211,東京都町田市相原町795-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi795-1.pdf
80,EPSG:6677,-45425.467,-43453.268,相原駅東口自転車駐車場,194-0211,東京都町田市相原町1155-5,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi1155-5.pdf
81,EPSG:6677,-46186.281,-43509.309,相原小学校,194-0211,東京都町田市相原町1673,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi1673.pdf
82,EPSG:6677,-46537.311,-43222.836,相原中央公園,194-0211,東京都町田市相原町2018,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi2018.pdf
83,EPSG:6677,-46369.181,-43333.378,子どもセンターぱお,194-0211,東京都町田市相原町2025-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi2025-2.pdf
84,EPSG:6677,-47120.938,-43371.871,町田ゆめ工房,194-0211,東京都町田市相原町2983-157,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi2983-157.pdf
85,EPSG:6677,-48014.164,-43188.573,小中一貫ゆくのき学園大戸小学校,194-0211,東京都町田市相原町3765-3,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi3765-3.pdf
86,EPSG:6677,-50441.326,-42873.044,大地沢青少年センター,194-0211,東京都町田市相原町5307-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/aiharamachi.files/aiharamachi5307-2.pdf
87,EPSG:6677,-43619.4,-44048.637,町田市消防団消防器具置場第５分団第３部,194-0212,東京都町田市小山町3693-6,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/oyamamachi.files/oyamamachi3693-6.pdf
88,EPSG:6677,-41292.131,-45123.918,小山小学校,194-0212,東京都町田市小山町944,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/oyamamachi.files/oyama944.pdf
89,EPSG:6677,-39564.169,-45914.315,町田市消防団消防器具置場第４分団第６部,194-0213,東京都町田市常盤町3270-7,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tokiwamachi.files/tokiwamachi3270-7.pdf
90,EPSG:6677,-38732.877,-46676.165,町田市消防団消防器具置場第4分団第5部,194-0214,東京都町田市矢部町14-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yabemachi.files/yabemachi14-1.pdf
91,EPSG:6677,-40506.701,-44828.429,小山中学校,194-0215,東京都町田市小山ヶ丘1-2-3,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/oyamagaoka.files/oyamagaoka1-2-3.pdf
92,EPSG:6677,-32593.979,-44889.459,町田市消防団消防器具置場第3分団第7部,195-0052,東京都町田市広袴町662,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/hirohakamamachi.files/hirohakamamachi662.pdf
93,EPSG:6677,-31899.58,-45236.049,鶴川第二小学校,195-0053,東京都町田市能ヶ谷7-24-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nougaya.files/nougaya7-24-1.pdf
94,EPSG:6677,-31842.241,-45181.495,鶴川第二学童保育クラブ,195-0053,東京都町田市能ヶ谷7-24-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nougaya.files/nougaya7-24-2.pdf
95,EPSG:6677,-30548.539,-46785.796,三輪小学校,195-0054,東京都町田市三輪町330-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/miwamachi.files/miwamachi330-1.pdf
96,EPSG:6677,-30833.446,-46856.215,三輪コミュニティセンター,195-0055,東京都町田市三輪緑山4-14-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/miwamidoriyama.files/miwamidoriyama4-14-1.pdf
97,EPSG:6677,-33409.299,-44589.003,真光寺中学校,195-0057,東京都町田市真光寺3-8-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/shinkouji.files/shinkouji3-8-1.pdf
98,EPSG:6677,-33563.724,-45077.496,鶴川第四小学校,195-0061,東京都町田市鶴川3-22,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tsurukawa.files/tsurukawa3-22.pdf
99,EPSG:6677,-32450.107,-45420.138,鶴川第二中学校,195-0061,東京都町田市鶴川6-4,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tsurukawa.files/tsurukawa6-4.pdf
100,EPSG:6677,-32609.379,-45346.345,鶴川第三小学校,195-0061,東京都町田市鶴川6-5,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tsurukawa.files/tsurukawa6-5.pdf
101,EPSG:6677,-33104.31,-45772.418,大蔵小学校,195-0062,東京都町田市大蔵町286,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ookuramachi.files/ookuramachi286.pdf
102,EPSG:6677,-33717.626,-45731.626,町田市消防団消防器具置場第3分団第5部,195-0062,東京都町田市大蔵町513-3,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ookuramachi.files/ookuramachi513-3.pdf
103,EPSG:6677,-33296.328,-45441.622,子どもセンターつるっこ,195-0062,東京都町田市大蔵町1913,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ookuramachi.files/ookuramachi1913.pdf
104,EPSG:6677,-33161.443,-45550.976,鶴川市民センター,195-0062,東京都町田市大蔵町1981-4,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ookuramachi.files/ookuramachi1981-4.pdf
105,EPSG:6677,-33108.786,-45572.099,大蔵保育園,195-0062,東京都町田市大蔵町1984,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ookuramachi.files/ookuramachi1984.pdf
106,EPSG:6677,-33096.019,-45537.973,ふれあいいちょう館,195-0062,東京都町田市大蔵町1984-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ookuramachi.files/ookuramachi1984-1.pdf
107,EPSG:6677,-34445.172,-45543.233,自由民権資料館,195-0063,東京都町田市野津田町897,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nodutamachi.files/nodutamachi897.pdf
108,EPSG:6677,-34111.118,-45365.581,鶴川第一小学校,195-0063,東京都町田市野津田町1290,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nodutamachi.files/nodutamachi1290.pdf
109,EPSG:6677,-35263.138,-44722.765,町田市消防団消防器具置場第3分団第1部,195-0064,東京都町田市小野路町1596-9,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/onojimachi.files/onojimachi1596-9.pdf
110,EPSG:6677,-34007.219,-47640.052,金井小学校,195-0071,東京都町田市金井町2612-183,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanaimachi.files/kanaimachi2612-183.pdf
111,EPSG:6677,-34588.776,-47324.808,藤の台小学校,195-0071,東京都町田市金井町3040-15,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanaimachi.files/kanaimachi3040-15.pdf
112,EPSG:6677,-34816.893,-46986.85,薬師中学校,195-0072,東京都町田市金井1-20-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanai.files/kanai1-20-1.pdf
113,EPSG:6677,-34109.039,-46985.144,金井スポーツ広場,195-0072,東京都町田市金井2-28-5,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanai.files/kanai2-28-5.pdf
114,EPSG:6677,-33614.028,-46929.784,金井中学校,195-0072,東京都町田市金井6-15-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanai.files/kanai6-15-1.pdf
115,EPSG:6677,-36077.277,-46936.481,七国山小学校,195-0074,東京都町田市山崎町1314-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yamasakimachi.files/yamasakimachi1314-2.pdf
116,EPSG:6677,-36352.843,-46792.161,山崎中学校,195-0074,東京都町田市山崎町1445,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yamasakimachi.files/yamasakimachi1445.pdf
117,EPSG:6677,-36027.655,-47043.918,旧・忠生第六小学校,195-0074,東京都町田市山崎町1298-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yamasakimachi.files/yamasakimachi1298-1.pdf
118,EPSG:6677,-35949.393,-47812.817,木曽山崎図書館,195-0074,東京都町田市山崎町2160,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yamasakimachi.files/yamasakimachi2160.pdf
119,EPSG:6677,-35948.508,-47789.71,木曽山崎コミュニティセンター,195-0074,東京都町田市山崎町2160-4,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yamasakimachi.files/yamasakimachi2160-4.pdf
120,EPSG:6677,-36645.47,-47783.1,山崎保育園,195-0075,東京都町田市山崎1-2-14,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/yamasaki.files/yamasaki1-2-14.pdf
121,EPSG:6677,-34640.879,-47935.888,町田市立博物館,194-0032,東京都町田市本町田3562,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/honmachida.files/honmachida3562.pdf
