発火源,火災件数
電気を使用する道具・装置_配線器具関連_アダプタ　　　,2
電気を使用する道具・装置_配線器具関連_ジョイントボックス　　　　　,1
電気を使用する道具・装置_配線器具関連_積算電力計　　　　　　　　　,6
電気を使用する道具・装置_静電スパーク,2
電気を使用する道具・装置_静電スパーク_帯電衣類のスパーク　　　　　,2
ガス・油等を燃料とする道具装置_静電スパーク,689
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_,523
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスこんろ,50
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガステーブル,245
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_大型ガスこんろ　　　　　　　,106
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスレンジ　　　　　　　　　,17
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_大型レンジ　　　　　　　　　,39
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスオーブン　　　　　　　　,6
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_かまど　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス炊飯器　　　　　　　　　,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_瞬間湯沸器,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_給湯器,5
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス鉄板焼器　　　　　　　　,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_コーヒー焙煎機　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスロースタ（無煙を除く）,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_焼鳥炉　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスハースグリラ　,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_フライヤ,10
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_無煙ガスロースタ,10
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ゆで麺機,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスストーブ,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスファンヒータ,5
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス衣類乾燥機　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_風呂がま,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス溶接器　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスバーナ　,2
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置,71
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスこんろ,4
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガステーブル,15
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_大型ガスこんろ　　　　　　　,4
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_簡易型ガスこんろ　　　　　　,27
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスレンジ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_大型レンジ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスロースタ（無煙を除く）,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_無煙ガスロースタ,2
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ゆで麺機,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスストーブ,2
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_簡易型ガスストーブ　　　　　,5
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガス溶接器　　　　　　　　　,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガス切断器　　　　　　　　　,3
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスバーナ,4
ガス・油等を燃料とする道具装置_油を燃料とする道具装置,44
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油こんろ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_ガソリンこんろ　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_アルコールランプ　　　　　　,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_アルコールこんろ　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ストーブ,19
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ファンヒータ,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_代用ストーブ　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ランプ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_風呂がま,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_内燃機関　　　　　　　　　　,6
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_エンジンカッター　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_溶解がま　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_ボイラ,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_発電機　　　　　　　　　　　,3
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油バーナ,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_熱風炉　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_その他,51
ガス・油等を燃料とする道具装置_その他_アセチレンガス溶接器　　　　,1
ガス・油等を燃料とする道具装置_その他_アセチレンガス切断器　　　　,23
ガス・油等を燃料とする道具装置_その他_ブタンガストーチバーナ,27
固体燃料を用いる道具装置,45
固体燃料を用いる道具装置_炭・たどん（練炭）燃料,32
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_木炭七厘こんろ　　　　　　　,13
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_練炭七厘こんろ　　　　　　　,5
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_魚焼き炉　　　　　　　　　　,1
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_焼肉炉　　　　　　　　　　　,3
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_無煙ロースタ,9
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_炭おこし　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料,10
固体燃料を用いる道具装置_薪（鉋屑等）燃料_かまど　　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_薫製炉・器　　　　　　　　　,4
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ピザ釜　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ストーブ　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_風呂がま　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ごみ焼却炉　　　　　　　　　,2
固体燃料を用いる道具装置_石炭を燃料とする道具装置,2
固体燃料を用いる道具装置_石炭を燃料とする道具装置_風呂がま　　　　　　　　　　,1
固体燃料を用いる道具装置_石炭を燃料とする道具装置_工業用炉　　　　　　　　　　,1
固体燃料を用いる道具装置_火を消すための器,1
固体燃料を用いる道具装置_火を消すための器_火消しつぼ　　　　　　　　　,1
火種_火を消すための器,1045
火種_裸火,147
火種_裸火_炭火,20
火種_裸火_線香（仏具用）　　　　　　　,9
火種_裸火_蚊取線香　　　　　　　　　　,15
火種_裸火_線香（芳香・アロマテラピー）,4
火種_裸火_たき火　　　　　　　　　　　,4
火種_裸火_焼却火　　　　　　　　　　　,33
火種_裸火_虫焼火　　　　　　　　　　　,2
火種_裸火_燃えさし　　　　　　　　　　,2
火種_裸火_火のついた棒　　　　　　　　,1
火種_裸火_ロウソク　　　　　　　　　　,23
火種_裸火_灯明　　　　　　　　　　　　,21
火種_裸火_火のついた紙　　　　　　　　,9
火種_裸火_火のついたゴミ　　　　　　　,1
火種_裸火_火のついた油等　　　　　　　,3
火種_たばことマッチ,844
火種_たばことマッチ_たばこ　　　　　　　　　　　,689
火種_たばことマッチ_マッチ　　　　　　　　　　　,36
火種_たばことマッチ_ライター　　　　　　　　　　,119
火種_火花,39
火種_火花_ブレーキの火花　　　　　　　,4
火種_火花_車両等の衝撃火花　　　　　　,1
火種_火花_金属と金属の衝撃火花　　　　,34
火種_再燃により出火しやすいもの,15
火種_再燃により出火しやすいもの_取灰　　　　　　　　　　　　,3
火種_再燃により出火しやすいもの_消したはずの炭　　　　　　　,1
火種_再燃により出火しやすいもの_寝具類　　　　　　　　　　　,7
火種_再燃により出火しやすいもの_消したはずの木材・廃材　　　,2
火種_再燃により出火しやすいもの_消したはずの紙・製品　　　　,2
高温の固体_再燃により出火しやすいもの,60
高温の固体_高温の気体で熱せられたもの,32
高温の固体_高温の気体で熱せられたもの_煙突　　　　　　　　　　　　,1
高温の固体_高温の気体で熱せられたもの_排気管　　　　　　　　　　　,27
高温の固体_高温の気体で熱せられたもの_触媒装置　　　　　　　　　　,4
高温の固体_摩擦により熱せられたもの,16
高温の固体_摩擦により熱せられたもの_軸受（ベアリング含む）　　　　　　　　　　　　,1
高温の固体_摩擦により熱せられたもの_ミキシングロール圧延機,1
高温の固体_摩擦により熱せられたもの_クラッチ　　　　　　　　　　,2
高温の固体_摩擦により熱せられたもの_ブレーキライニング　　　　　,10
高温の固体_摩擦により熱せられたもの_ブレーキディスク,1
高温の固体_摩擦により熱せられたもの_ブレーキパッド（シュー）,1
高温の固体_高温の固体,12
高温の固体_高温の固体_鋳物　　　　　　　　　　　　,4
高温の固体_高温の固体_熱せられた金属製品　　　　　,7
高温の固体_高温の固体_赤熱した切粉　　　　　　　　,1
自然発火を起こしやすいもの_高温の固体,35
自然発火を起こしやすいもの_酸化性固体,2
自然発火を起こしやすいもの_酸化性固体_無水クロム酸　　　　　　　　,1
自然発火を起こしやすいもの_酸化性固体_過硫酸塩類　　　　　　　　　,1
自然発火を起こしやすいもの_可燃性固体,2
自然発火を起こしやすいもの_可燃性固体_鉄粉　　　　　　　　　　　　,1
自然発火を起こしやすいもの_可燃性固体_金属粉　　　　　　　　　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質,7
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_アルキルリチウム　　　　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_有機金属化合物　　　　　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_その他の金属の水素化物　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_石灰　　　　　　　　　　　　,4
自然発火を起こしやすいもの_自己反応性物質,1
自然発火を起こしやすいもの_自己反応性物質_有機過酸化物　　　　　　　　,1
自然発火を起こしやすいもの_酸化性液体,1
自然発火を起こしやすいもの_酸化性液体_過塩素酸　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの,22
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油紙　　　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油布　　　　　　　　　　　　,4
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油布製品　　　　　　　　　　,3
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油ぼろ　　　　　　　　　　　,2
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油かす　　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_揚げかす　　　　　　　　　　,6
自然発火を起こしやすいもの_その他の自然発火しやすいもの_塗料かす　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_飼料　　　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_野積みのごみ　　　　　　　　,3
危険物品_その他の自然発火しやすいもの,18
危険物品_火薬類,18
危険物品_火薬類_火薬　　　　　　　　　　　　,1
危険物品_火薬類_煙火　　　　　　　　　　　　,2
危険物品_火薬類_花火（玩具用）　　　　　　　,6
危険物品_火薬類_発煙筒　　　　　　　　　　　,9
天災_火薬類,17
天災_雷,10
天災_雷_直接雷,3
天災_雷_間接雷,7
天災_レンズ類,7
天災_レンズ類_凸レンズ,3
天災_レンズ類_凹面鏡,3
天災_レンズ類_反射板,1
不明,818
不明_不明,818
不明_不明_不明,818
