"救急隊出場先
区市町村",全発生場所,"住宅等
居住場所","道路・
交通施設","店舗・
遊技施設等","公園・
遊園地・
運動場等","会社・
公共施設等","学校・
児童施設等",医療施設,その他（不明含む）
荒川区,1009.1 ,560.2 ,302.5 ,53.6 ,27.2 ,32.3 ,16.6 ,3.2 ,13.4 
足立区,967.9 ,587.7 ,245.3 ,44.9 ,31.8 ,27.9 ,17.1 ,2.9 ,10.3 
墨田区,966.8 ,536.6 ,282.6 ,61.3 ,26.8 ,26.5 ,14.9 ,3.6 ,14.5 
江東区,1139.9 ,631.5 ,258.3 ,85.0 ,72.8 ,56.5 ,13.9 ,4.8 ,17.2 
葛飾区,1167.5 ,713.4 ,289.5 ,57.0 ,46.7 ,26.5 ,17.1 ,4.2 ,13.1 
江戸川区,1175.5 ,716.5 ,277.1 ,64.6 ,47.4 ,33.5 ,19.2 ,5.5 ,11.7 
立川市,1059.7 ,611.1 ,238.9 ,93.7 ,40.1 ,32.5 ,22.2 ,7.0 ,14.1 
国立市,869.4 ,510.7 ,192.5 ,49.8 ,31.4 ,34.0 ,34.0 ,9.2 ,7.9 
武蔵野市,942.8 ,485.0 ,264.2 ,104.3 ,39.3 ,19.0 ,20.3 ,3.4 ,7.5 
三鷹市,791.6 ,504.9 ,172.0 ,36.3 ,37.3 ,13.1 ,17.9 ,1.1 ,8.9 
府中市,758.1 ,466.8 ,161.4 ,41.9 ,34.6 ,18.1 ,17.7 ,2.3 ,15.4 
昭島市,912.4 ,557.5 ,177.9 ,66.9 ,32.6 ,38.7 ,22.9 ,2.6 ,13.2 
調布市,808.6 ,478.5 ,190.9 ,58.0 ,41.2 ,10.9 ,14.7 ,2.9 ,11.4 
小金井市,692.1 ,429.6 ,140.5 ,38.0 ,28.3 ,16.2 ,25.0 ,4.8 ,9.7 
小平市,816.2 ,536.5 ,167.2 ,37.3 ,22.5 ,13.3 ,25.6 ,3.6 ,10.2 
東村山市,930.2 ,603.0 ,205.2 ,41.6 ,22.4 ,20.5 ,21.8 ,2.0 ,13.9 
国分寺市,737.8 ,468.2 ,186.0 ,39.4 ,10.2 ,9.5 ,15.0 ,2.4 ,7.1 
狛江市,703.8 ,502.0 ,124.9 ,28.8 ,15.6 ,13.2 ,9.6 ,-,9.6 
東大和市,904.9 ,606.0 ,160.6 ,48.1 ,23.4 ,17.6 ,32.8 ,3.5 ,12.9 
武蔵村山市,817.8 ,520.7 ,131.9 ,52.8 ,29.2 ,36.1 ,29.2 ,4.2 ,13.9 
清瀬市,1026.6 ,659.5 ,231.0 ,34.7 ,30.7 ,18.7 ,29.4 ,9.3 ,13.4 
東久留米市,901.7 ,587.1 ,178.6 ,70.9 ,16.2 ,10.3 ,29.1 ,3.4 ,6.0 
西東京市,816.3 ,513.5 ,187.8 ,48.0 ,35.4 ,10.2 ,14.6 ,2.9 ,3.9 
八王子市,877.5 ,553.4 ,164.5 ,49.7 ,33.1 ,23.7 ,25.8 ,3.7 ,23.7 
青梅市,749.2 ,489.6 ,121.8 ,34.1 ,26.5 ,19.7 ,18.2 ,2.3 ,37.1 
町田市,924.8 ,558.5 ,215.8 ,63.4 ,31.0 ,18.2 ,23.1 ,5.4 ,9.6 
日野市,799.3 ,496.2 ,174.8 ,41.2 ,29.9 ,18.2 ,23.0 ,4.8 ,11.2 
多摩市,846.6 ,467.4 ,222.9 ,61.3 ,39.7 ,20.2 ,19.5 ,4.7 ,10.8 
福生市,1019.7 ,587.5 ,226.4 ,78.6 ,48.6 ,26.2 ,22.5 ,3.7 ,26.2 
羽村市,827.8 ,522.6 ,166.3 ,47.5 ,23.8 ,32.9 ,21.9 ,1.8 ,11.0 
瑞穂町,862.8 ,479.0 ,138.2 ,55.3 ,43.0 ,113.6 ,12.3 ,3.1 ,18.4 
あきる野市,784.1 ,472.4 ,113.4 ,36.2 ,39.9 ,18.7 ,31.2 ,3.7 ,68.6 
日の出町,952.5 ,572.7 ,102.5 ,132.6 ,18.1 ,48.2 ,36.2 ,-,42.2 
檜原村,1893.9 ,899.6 ,142.0 ,-,47.3 ,-,-,-,804.9 
奥多摩町,2264.1 ,961.7 ,460.8 ,100.2 ,260.5 ,20.0 ,20.0 ,0.0 ,440.8 
