業態,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
運輸・通信業／道路旅客運送業,7,2,－,－,－,2,4,－,－,－,1,－,3002,2750,－,－
運輸・通信業／道路貨物運送業,48,11,3,－,1,7,31,－,－,－,6,85,13213,24101,－,3
運輸・通信業／航空運輸業,2,2,1,－,－,1,－,－,－,－,－,50,557,10,－,－
運輸・通信業／倉庫業,11,9,1,－,－,8,－,－,－,－,2,85,35886,6665,－,1
運輸・通信業／運輸に附帯するサービス業,18,5,1,1,－,3,3,－,－,－,10,528,180778,524,－,4
運輸・通信業／通信業,19,－,－,－,－,－,－,－,－,－,19,－,－,75,－,－
卸売・小売業・飲食店,582,445,29,26,29,361,28,－,－,－,109,8412,2160280,14066,2,78
卸売・小売業・飲食店／各種商品卸売業,7,6,－,－,－,6,－,－,－,－,1,－,18808,－,－,－
卸売・小売業・飲食店／繊維･機械器具・建築材料等卸売,47,28,3,2,2,21,6,－,－,－,13,885,191056,3934,－,9
卸売・小売業・飲食店／衣服・食料・家具等卸売業,32,19,6,1,1,11,3,－,－,－,10,956,297178,1852,－,6
卸売・小売業・飲食店／代理商・仲立業,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
卸売・小売業・飲食店／各種商品小売業,44,37,－,1,1,35,－,－,－,－,7,246,87226,32,1,2
卸売・小売業・飲食店／織物・衣服・身の回り品小売業,27,21,2,2,－,17,1,－,－,－,5,739,141754,51,－,－
卸売・小売業・飲食店／飲食料品小売業,101,60,5,2,6,47,6,－,－,－,35,972,255518,2531,1,11
卸売・小売業・飲食店／自動車・自転車小売業,16,7,－,－,1,6,8,－,－,－,1,20,18879,985,－,2
卸売・小売業・飲食店／家具・建具・じゅう器小売業,19,10,2,3,－,5,1,－,－,－,8,448,70473,968,－,4
卸売・小売業・飲食店／その他の小売業,37,25,3,4,1,17,3,－,－,－,9,1942,461834,3511,－,4
卸売・小売業・飲食店／一般食堂,127,114,5,7,8,94,－,－,－,－,13,1637,463716,150,－,23
卸売・小売業・飲食店／その他の飲食店,124,118,3,4,9,102,－,－,－,－,6,567,153838,52,－,17
金融・保険業,14,9,－,－,1,8,1,－,－,－,4,40,13770,75,1,1
金融・保険業／銀行・信託業,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－
金融・保険業／農林水産金融業,1,1,－,－,－,1,－,－,－,－,－,－,5238,－,1,1
金融・保険業／中小企業・庶民・住宅等金融業,4,3,－,－,－,3,－,－,－,－,1,－,2483,－,－,－
金融・保険業／証券業・商品取引業,4,3,－,－,－,3,1,－,－,－,－,－,80,75,－,－
金融・保険業／保険業,4,1,－,－,1,－,－,－,－,－,3,40,5969,－,－,－
不動産業,66,36,3,－,3,30,2,－,－,1,27,1272,87575,1436,－,6
不動産業／不動産取引業,17,9,－,－,－,9,1,－,－,1,6,－,171,854,－,1
不動産業／不動産賃貸一管理業,49,27,3,－,3,21,1,－,－,－,21,1272,87404,582,－,5
サービス業,520,342,33,11,23,275,36,－,－,1,141,5378,1526263,20406,8,71
サービス業／物品賃貸業,27,16,1,－,1,14,3,－,－,－,8,47,7519,1880,－,1
サービス業／旅館，その他の宿泊所,22,21,2,－,－,19,－,－,－,－,1,659,68364,492,3,12
サービス業／洗濯・理容・浴場,45,34,3,－,2,29,－,－,－,－,11,968,246089,183,－,9
サービス業／その他の個人サービス業,8,7,1,1,－,5,－,－,－,－,1,110,22531,1820,1,3
サービス業／映画業,4,4,－,－,－,4,－,－,－,－,－,－,514,－,－,－
サービス業／娯楽業(映画業を除く),83,30,3,1,－,26,1,－,－,－,52,22,5672,1114,1,5
サービス業／放送業,4,3,－,－,－,3,－,－,－,－,1,－,1575,100,－,1
サービス業／駐車場業,18,12,－,1,－,11,1,－,－,－,5,181,13636,1273,－,2
サービス業／自動車整備業,25,17,2,－,2,13,1,－,－,－,7,1103,658457,1341,1,8
サービス業／その他の修理業,4,2,－,1,－,1,1,－,－,－,1,150,16803,7202,－,1
サービス業／協同組合,2,1,－,－,－,1,－,－,－,－,1,－,－,－,－,－
サービス業／情報サービス一調査・広告業,10,8,－,－,3,5,－,－,－,－,2,53,37332,1158,－,1
サービス業／その他の事業サービス業,10,6,2,－,－,4,1,－,－,－,3,62,6016,200,－,1
サービス業／専門サービス業,19,17,－,1,3,13,1,－,－,－,1,150,87280,382,－,6
サービス業／医療業,38,35,1,－,5,29,－,－,－,－,3,406,102821,40,－,5
サービス業／保健衛生,2,1,－,－,1,－,1,－,－,－,－,20,2271,38,－,－
サービス業／廃棄物処理業,35,4,－,1,－,3,25,－,－,1,5,148,34261,2339,－,－
サービス業／宗教,46,29,10,2,1,16,－,－,－,－,17,701,133657,283,1,－
サービス業／教育,93,77,6,3,3,65,1,－,－,－,15,544,64874,461,1,13
サービス業／社会保険・社会福祉,17,12,1,－,－,11,－,－,－,－,5,20,1562,1,－,1
サービス業／学術研究機関,3,2,－,－,2,－,－,－,－,－,1,30,14454,－,－,－
サービス業／政治・経済・文化団体,3,2,1,－,－,1,－,－,－,－,1,4,570,99,－,－
サービス業／その他のサービス業,2,2,－,－,－,2,－,－,－,－,－,－,5,－,－,2
公務,98,24,1,－,－,23,3,－,－,2,69,424,14491,390,－,2
公務／国家公務員,22,1,－,－,－,1,1,－,－,－,20,－,85,6,－,1
公務／地方公務員,76,23,1,－,－,22,2,－,－,2,49,424,14406,384,－,1
業態分類が適用されないもの,4523,2580,199,191,236,1954,532,2,－,17,1392,33699,7649765,194258,96,776
