消防署,幼年消防クラブ／クラブ数,幼年消防クラブ／クラブ員数,幼年消防クラブ／指導者数,消防少年団員数／計,消防少年団員数／学年別／小学校／小計,消防少年団員数／学年別／小学校／4年,消防少年団員数／学年別／小学校／5年,消防少年団員数／学年別／小学校／6年,消防少年団員数／学年別／中学校／小計,消防少年団員数／学年別／中学校／1年,消防少年団員数／学年別／中学校／2年,消防少年団員数／学年別／中学校／3年,消防少年団員数／性別／男／小計,消防少年団員数／性別／男／小学生,消防少年団員数／性別／男／中学生,消防少年団員数／性別／女／小計,消防少年団員数／性別／女／小学生,消防少年団員数／性別／女／中学生,消防少年団／指導者数／指導員,消防少年団／指導者数／準指導員,防火婦人組織／組織数,防火婦人組織／人員
玉川,6,673,55,25,14,1,8,5,11,5,4,2,7,5,1,18,8,10,8,2,1,35
成城,19,2313,311,40,27,9,5,13,13,6,1,6,25,16,9,15,11,4,9,8,1,130
渋谷,5,195,21,25,19,9,7,3,6,5,1,－,7,7,－,18,12,6,5,21,1,228
四谷,2,123,24,37,25,12,4,9,12,4,4,4,21,13,8,16,12,4,4,6,1,79
牛込,22,1688,256,22,12,3,7,2,10,4,3,3,7,2,5,15,10,5,4,4,1,196
新宿,22,1886,139,32,27,17,5,5,5,2,3,－,22,20,2,10,7,3,5,－,1,161
中野,10,1101,88,36,25,15,8,2,11,5,3,3,9,6,3,27,19,8,5,30,1,232
野方,11,1803,112,31,25,3,19,3,6,5,－,1,6,5,1,25,20,5,3,56,1,250
杉並,3,184,22,40,34,21,7,6,6,4,－,2,33,27,6,7,7,－,8,5,1,486
荻窪,2,245,15,41,35,14,10,11,6,2,3,1,21,18,3,20,17,3,3,7,1,235
小石川,8,1111,73,27,24,8,1,15,3,－,3,－,7,5,2,20,19,1,9,3,1,177
本郷,2,169,16,37,34,16,10,8,3,－,3,－,18,15,3,19,19,－,8,1,1,54
豊島,6,681,53,41,36,19,13,4,5,3,1,1,13,12,1,28,24,4,9,2,1,130
池袋,1,80,14,39,34,17,14,3,5,1,3,1,17,16,1,22,18,4,12,2,1,244
王子,5,988,75,50,39,12,16,11,11,8,3,－,16,14,2,34,25,9,19,7,1,665
赤羽,32,3871,532,78,71,22,27,22,7,1,－,6,36,33,3,42,38,4,21,2,1,230
滝野川,7,716,111,51,33,18,5,10,18,18,－,－,12,8,4,39,25,14,15,5,1,220
板橋,6,727,102,28,19,6,9,4,9,6,2,1,10,3,7,18,16,2,11,2,1,80
志村,21,3699,283,37,27,13,6,8,10,－,6,4,22,16,6,15,11,4,8,77,1,289
練馬,13,1822,219,37,32,19,8,5,5,1,4,－,13,12,1,24,20,4,10,－,1,174
光が丘,5,1476,83,34,34,9,18,7,－,－,－,－,18,18,－,16,16,－,6,31,1,105
石神井,6,1562,92,30,26,11,11,4,4,3,1,－,13,9,4,17,17,－,11,2,1,153
上野,12,1159,88,36,32,9,9,14,4,3,1,－,4,3,1,32,29,3,6,3,1,90
浅草,9,713,75,27,27,16,6,5,－,－,－,－,12,12,－,15,15,－,4,3,1,60
日本堤,10,754,60,38,34,21,7,6,4,3,－,1,16,15,1,22,19,3,7,5,1,62
荒川,3,282,41,33,32,16,15,1,1,－,－,1,8,7,1,25,25,－,19,24,1,130
尾久,5,685,122,36,31,8,13,10,5,5,－,－,9,6,3,27,25,2,8,－,1,77
千住,3,451,27,26,16,4,5,7,10,5,2,3,14,7,7,12,9,3,7,8,1,350
足立,16,2320,184,31,25,10,6,9,6,4,2,－,5,3,2,26,22,4,7,1,1,9100
西新井,8,1603,110,40,34,17,15,2,6,5,1,－,11,8,3,29,26,3,6,1,1,1735
本所,9,1101,109,24,20,14,4,2,4,3,1,－,9,7,2,15,13,2,15,2,1,185
向島,9,980,147,26,13,1,6,6,13,7,2,4,26,13,13,－,－,－,10,31,1,178
深川,5,472,59,36,26,11,5,10,10,4,5,1,11,7,4,25,19,6,11,5,1,303
城東,3,583,37,35,30,9,10,11,5,2,1,2,13,9,4,22,21,1,14,4,1,155
本田,5,1339,87,37,31,22,5,4,6,4,1,1,11,9,2,26,22,4,7,8,1,5000
金町,2,254,26,54,27,7,15,5,27,12,11,4,18,12,6,36,15,21,12,24,1,225
江戸川,20,3738,375,42,30,6,19,5,12,6,4,2,23,18,5,19,12,7,16,37,1,272
小岩,41,4842,495,33,20,6,4,10,13,2,8,3,4,4,－,29,16,13,11,24,1,170
受託地区,328,41399,4898,715,560,220,172,168,155,81,42,32,302,227,75,413,333,80,156,117,15,2013
立川,21,2592,386,47,33,8,11,14,14,5,5,4,18,12,6,29,21,8,10,18,3,214
国分寺,17,1771,259,33,19,12,3,4,14,9,2,3,20,12,8,13,7,6,13,8,1,86
小平,7,1386,98,27,20,13,6,1,7,7,－,－,7,6,1,20,14,6,5,－,1,52
武蔵野,3,879,73,50,41,21,12,8,9,1,5,3,18,14,4,32,27,5,6,－,1,16
保谷,15,2822,195,20,13,3,5,5,7,6,1,－,5,4,1,15,9,6,2,3,1,35
三鷹,33,3609,423,44,43,15,16,12,1,1,－,－,26,25,1,18,18,－,5,－,－,－
調布,19,1774,332,44,32,17,8,7,12,7,1,4,24,17,7,20,15,5,9,6,1,380
府中,40,5305,613,38,23,8,6,9,15,9,4,2,14,6,8,24,17,7,5,－,－,－
東村山,24,3695,409,36,29,13,3,13,7,2,3,2,11,6,5,25,23,2,5,24,1,138
狛江,14,1605,246,23,11,4,3,4,12,4,2,6,7,2,5,16,9,7,5,－,1,65
北多摩西部,12,1610,200,32,30,5,16,9,2,1,1,－,18,16,2,14,14,－,11,6,－,－
清瀬,1,199,14,32,30,8,15,7,2,1,－,1,14,13,1,18,17,1,5,6,1,73
八王子,27,2686,370,31,23,9,9,5,8,6,2,－,17,15,2,14,8,6,11,4,1,617
日野,35,4133,427,38,30,19,10,1,8,2,5,1,12,9,3,26,21,5,6,5,1,48
町田,7,982,73,33,15,5,5,5,18,11,4,3,22,10,12,11,5,6,8,－,－,－
青梅,10,864,123,53,50,19,12,19,3,2,1,－,22,21,1,31,29,2,11,8,1,158
福生,－,－,－,31,22,－,13,9,9,3,5,1,11,6,5,20,16,4,10,5,－,－
秋川,27,2841,437,38,37,21,4,12,1,1,－,－,17,16,1,21,21,－,6,7,－,－
奥多摩,1,86,12,41,41,9,13,19,－,－,－,－,10,10,－,31,31,－,12,11,－,－
多摩,15,2560,208,24,18,11,2,5,6,3,1,2,9,7,2,15,11,4,8,6,1,131
