消防署,事業所,貯蔵取扱所,品名別貯蔵取扱所／綿花類,品名別貯蔵取扱所／木毛及びかんなくず,品名別貯蔵取扱所／ぼろ及び紙くず,品名別貯蔵取扱所／糸類,品名別貯蔵取扱所／わら類,品名別貯蔵取扱所／可燃性固体類,品名別貯蔵取扱所／石炭・木炭類,品名別貯蔵取扱所／可燃性液体類,品名別貯蔵取扱所／木材加工品及び木くず,品名別貯蔵取扱所／合成樹脂類／発泡させたもの,品名別貯蔵取扱所／合成樹脂類／その他のもの,品名別貯蔵取扱所／紙類,品名別貯蔵取扱所／穀物類,品名別貯蔵取扱所／布類
板橋,111,141,3,－,8,－,－,1,－,－,57,6,6,60,－,－
志村,290,410,2,11,8,1,3,27,3,13,68,4,6,238,9,17
練馬,126,138,7,1,3,－,－,－,3,－,79,3,8,32,1,1
光が丘,95,97,5,－,6,1,6,－,1,－,43,3,1,28,1,2
石神井,80,83,4,－,－,－,－,－,－,－,60,1,5,12,1,－
上野,138,148,3,2,15,4,3,4,10,－,36,1,9,48,1,12
浅草,125,128,－,1,15,5,2,－,3,－,36,3,8,52,－,3
日本堤,41,41,－,1,1,－,－,－,－,－,28,－,3,7,－,1
荒川,371,396,15,1,150,4,1,5,7,－,61,6,56,79,2,15
尾久,168,191,15,－,1,－,1,5,7,－,81,－,34,42,1,4
千住,140,242,14,3,3,1,4,25,7,－,49,24,16,87,4,5
足立,239,282,6,8,21,1,3,14,7,－,98,4,39,74,4,3
西新井,333,383,9,5,78,2,1,11,2,－,139,11,59,114,3,18
本所,335,349,3,－,－,24,－,1,－,1,121,5,21,127,2,44
向島,199,316,14,－,－,14,－,83,－,－,65,3,81,43,1,12
深川,301,373,8,－,6,6,2,4,2,3,136,7,43,123,26,70
城東,654,817,8,1,4,1,2,5,2,1,650,4,33,91,4,11
本田,333,431,20,－,9,4,6,－,2,53,128,3,97,82,4,23
金町,73,115,5,－,7,3,－,1,2,－,27,2,19,60,－,7
江戸川,261,321,10,2,2,1,－,36,1,3,107,2,39,75,20,23
小岩,105,118,6,7,3,－,2,－,2,－,58,1,13,22,2,2
受託地区,960,1293,44,2,22,15,6,26,30,7,680,61,169,197,23,24
立川,94,145,4,－,－,1,－,1,3,－,62,7,13,40,4,10
国分寺,41,46,2,－,－,－,－,－,1,－,35,1,1,5,1,－
小平,41,88,1,－,7,1,1,－,1,－,30,1,38,5,3,－
武蔵野,34,40,1,－,－,－,－,－,2,－,29,5,－,2,1,－
保谷,36,47,－,－,－,－,－,－,－,－,26,－,8,11,2,－
三鷹,57,65,－,1,－,－,－,4,－,－,34,－,2,23,1,－
調布,59,76,2,－,1,－,1,4,－,－,46,3,2,17,－,－
府中,57,77,1,1,1,－,1,－,4,－,32,1,23,11,1,1
東村山,43,53,－,－,6,－,1,4,－,－,34,－,5,1,1,1
狛江,44,51,8,－,－,－,－,－,－,－,39,1,2,1,－,－
北多摩西部,37,59,3,－,－,－,－,－,－,2,11,7,12,24,5,－
清瀬,23,27,1,－,1,－,－,1,－,－,16,－,1,7,－,－
八王子,81,93,14,－,1,6,－,2,－,1,23,10,17,19,4,2
日野,12,23,－,－,3,－,－,－,－,－,8,－,11,1,－,－
町田,56,76,－,－,－,－,－,6,16,3,39,3,9,－,－,－
青梅,104,132,6,－,2,6,1,3,1,－,70,19,9,5,－,10
福生,37,47,－,－,－,1,－,－,1,1,14,1,11,18,－,－
秋川,90,134,1,－,－,－,1,－,1,－,121,2,4,6,－,－
奥多摩,10,10,－,－,－,－,－,－,－,－,10,－,－,－,－,－
多摩,4,4,－,－,－,－,－,1,－,－,1,－,1,1,－,－
