消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十七),危険物製造所等／製造所,危険物製造所等／取扱所
荏原,221,－,－,－,－,－,－,－,－,68,－,－,－,48,－,－,－,8,4,8,－,－,－,－,25,－,28,－,26,6
大森,267,－,－,－,－,－,－,－,－,85,－,－,－,4,－,－,1,－,6,21,－,－,－,13,8,－,20,－,98,11
東調布,238,－,－,－,－,－,－,－,－,85,－,－,－,20,2,－,2,－,1,10,－,－,－,1,21,－,19,－,63,14
蒲田,651,－,－,－,－,－,－,－,－,156,－,－,－,－,－,－,1,－,3,51,－,－,3,3,71,－,84,－,252,27
矢口,325,－,－,－,－,－,－,－,－,78,－,－,－,11,1,－,－,－,－,21,－,－,－,2,27,－,23,－,150,12
目黒,371,－,－,－,－,－,－,－,－,93,－,－,－,35,－,－,－,－,1,66,－,－,－,－,68,－,47,－,51,10
世田谷,286,－,－,－,－,－,－,－,－,115,－,－,－,26,－,－,－,1,1,2,－,－,－,1,22,－,35,4,57,22
玉川,132,－,－,－,－,－,－,－,－,42,－,－,－,7,2,－,－,1,3,－,－,－,－,6,5,－,10,－,50,6
成城,305,－,－,－,－,－,－,－,－,118,－,－,－,11,2,－,－,－,2,4,21,－,－,5,9,－,10,1,104,18
渋谷,549,－,－,－,－,－,－,－,－,126,－,－,－,9,7,－,－,10,5,－,－,－,－,1,137,－,95,1,116,42
四谷,165,－,－,－,－,－,－,－,－,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,60,－,48,－,37,10
牛込,328,－,－,－,－,－,－,－,－,45,－,－,－,35,1,－,－,5,2,5,22,－,－,－,76,－,50,－,79,8
新宿,250,－,－,－,－,－,－,－,－,14,－,－,－,14,3,－,－,6,－,5,－,－,－,－,30,－,18,2,139,19
中野,194,－,－,－,－,－,－,－,－,42,－,－,－,11,－,－,－,4,－,9,－,－,－,－,34,－,43,－,46,5
野方,160,－,－,－,－,－,－,－,－,38,－,－,－,51,3,－,－,－,－,1,－,－,－,2,15,－,21,－,15,14
杉並,169,－,－,－,－,－,－,－,－,56,－,－,－,13,2,－,－,2,1,2,－,－,－,－,16,－,10,－,58,9
荻窪,342,－,－,－,－,－,－,－,－,133,－,－,－,66,－,－,－,－,3,5,－,－,－,1,23,－,36,－,64,11
小石川,161,－,－,－,－,－,－,－,－,35,－,－,－,2,1,－,－,5,4,10,－,1,－,3,30,－,53,4,10,3
本郷,272,－,－,－,－,－,－,－,－,51,－,－,－,48,1,－,－,2,16,－,－,－,－,－,32,－,33,11,72,6
豊島,139,－,－,－,－,－,－,－,－,12,－,－,－,6,－,－,－,12,7,1,－,1,－,－,10,－,18,17,49,6
池袋,147,－,－,－,－,－,－,－,－,38,－,－,－,9,2,－,－,3,－,1,－,－,－,－,25,－,24,－,40,5
王子,53,－,－,－,－,－,－,－,－,2,－,－,－,8,－,－,－,－,1,1,－,－,－,－,5,－,11,－,15,10
赤羽,162,－,－,－,－,－,－,－,－,59,－,－,－,4,－,－,1,－,－,8,－,－,－,1,10,－,5,－,68,6
滝野川,170,－,－,－,－,－,－,－,－,28,－,－,－,8,1,－,－,－,1,12,－,－,－,－,34,－,19,1,58,8
板橋,159,－,－,－,－,－,－,－,－,59,－,－,－,2,2,－,－,1,－,3,－,－,－,1,12,－,23,－,50,6
志村,462,－,－,－,－,－,－,－,－,56,－,－,－,3,1,－,1,5,5,54,－,1,－,13,21,－,36,－,240,26
練馬,487,－,－,－,－,－,－,－,－,305,－,－,－,51,1,－,－,3,2,7,－,2,－,－,20,－,31,－,45,20
光が丘,212,－,－,－,－,－,－,－,－,75,－,－,－,60,－,－,－,2,1,5,－,－,－,－,16,－,7,－,25,21
石神井,321,－,－,－,－,－,－,－,－,88,－,－,－,12,3,－,2,－,2,7,10,－,－,－,43,－,26,－,123,5
上野,222,－,－,－,－,－,－,－,－,19,－,－,－,7,10,－,－,1,1,5,－,－,－,1,71,－,47,2,53,5
浅草,92,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,16,2,－,－,1,－,1,12,－,22,－,34,1
日本堤,103,－,－,－,－,－,－,－,－,5,－,－,－,1,－,－,－,2,7,－,－,3,－,1,11,－,12,－,50,11
荒川,365,－,－,－,－,－,－,－,－,36,－,－,－,26,1,－,－,6,1,5,－,－,－,1,25,－,33,－,207,24
尾久,284,－,－,－,－,－,－,－,－,77,－,－,－,33,1,－,－,－,－,14,－,－,－,4,22,－,18,－,86,29
千住,228,－,－,－,－,－,－,－,－,17,－,－,－,20,－,－,－,4,－,3,－,－,－,8,20,－,29,－,113,14
足立,423,－,－,－,－,－,－,－,－,87,－,－,－,10,－,－,－,－,1,31,－,－,－,2,14,－,37,－,208,33
西新井,351,－,－,－,－,－,－,－,－,33,－,－,－,16,－,－,－,－,5,8,－,－,－,5,12,－,13,－,240,19
本所,163,－,－,－,－,－,－,－,－,18,－,－,－,12,－,－,－,10,2,6,－,1,－,5,30,－,70,－,9,－
向島,277,－,－,－,－,－,－,－,－,53,－,－,－,5,2,－,－,－,－,26,－,－,－,3,29,－,35,－,94,30
深川,407,－,－,－,－,－,－,－,－,73,－,－,－,7,1,－,－,2,2,13,－,－,－,34,60,－,50,2,154,9
城東,400,－,－,－,－,－,－,－,－,104,－,－,－,18,2,－,－,－,－,17,－,－,1,21,52,－,41,－,138,6
本田,430,－,－,－,－,－,－,－,－,16,－,－,－,27,－,－,－,－,－,33,－,2,－,1,31,－,28,－,217,75
金町,250,－,－,－,－,－,－,－,－,61,－,－,－,3,－,－,－,－,3,6,－,－,－,3,10,－,13,－,142,9
江戸川,453,－,－,－,－,－,－,－,－,44,－,－,－,2,2,－,－,－,－,32,－,5,－,5,49,－,11,－,267,36
小岩,199,－,－,－,－,－,－,－,－,47,－,－,－,16,－,－,－,2,－,5,－,－,－,－,11,－,4,－,95,19
受託地区,3933,－,－,－,－,－,－,－,－,820,－,－,－,287,18,－,1,4,28,291,1,5,－,24,395,－,178,20,1552,309
立川,303,－,－,－,－,－,－,－,－,23,－,－,－,43,1,－,－,－,1,13,－,－,－,1,35,－,20,2,144,20
国分寺,98,－,－,－,－,－,－,－,－,45,－,－,－,7,1,－,－,－,1,2,－,－,－,1,11,－,6,1,22,1
小平,254,－,－,－,－,－,－,－,－,44,－,－,－,25,2,－,－,－,－,22,－,－,－,－,44,－,11,－,93,13
武蔵野,129,－,－,－,－,－,－,－,－,47,－,－,－,7,1,－,－,－,－,2,－,－,－,－,7,－,2,－,53,10
保谷,187,－,－,－,－,－,－,－,－,40,－,－,－,－,－,－,－,－,3,7,－,－,－,－,7,－,4,－,87,39
三鷹,146,－,－,－,－,－,－,－,－,52,－,－,－,7,3,－,－,－,1,9,1,－,－,2,12,－,16,－,42,1
調布,149,－,－,－,－,－,－,－,－,39,－,－,－,16,－,－,－,－,3,26,－,－,－,1,15,－,7,1,32,9
府中,393,－,－,－,－,－,－,－,－,109,－,－,－,42,3,－,－,－,－,34,－,－,－,2,38,－,27,1,105,32
東村山,177,－,－,－,－,－,－,－,－,12,－,－,－,20,－,－,－,－,2,10,－,－,－,1,26,－,5,－,78,23
狛江,32,－,－,－,－,－,－,－,－,3,－,－,－,3,－,－,－,－,－,10,－,－,－,－,4,－,1,－,11,－
北多摩西部,110,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,16,－,－,－,2,16,－,3,1,48,21
清瀬,190,－,－,－,－,－,－,－,－,126,－,－,－,11,－,－,－,－,1,6,－,－,－,－,5,－,1,－,27,13
八王子,541,－,－,－,－,－,－,－,－,54,－,－,－,23,－,－,－,－,12,27,－,5,－,3,34,－,30,1,313,39
日野,341,－,－,－,－,－,－,－,－,58,－,－,－,15,3,－,－,－,2,54,－,－,－,5,64,－,13,8,79,40
町田,277,－,－,－,－,－,－,－,－,12,－,－,－,23,－,－,1,1,－,10,－,－,－,1,21,－,6,－,187,15
青梅,171,－,－,－,－,－,－,－,－,36,－,－,－,17,2,－,－,－,－,15,－,－,－,1,5,－,2,2,80,11
福生,227,－,－,－,－,－,－,－,－,72,－,－,－,12,2,－,－,3,1,23,－,－,－,4,36,－,11,－,48,15
秋川,60,－,－,－,－,－,－,－,－,2,－,－,－,11,－,－,－,－,－,4,－,－,－,－,3,－,－,1,37,2
奥多摩,38,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,1,－,－,－,－,－,－,－,－,30,3
多摩,110,－,－,－,－,－,－,－,－,43,－,－,－,1,－,－,－,－,1,－,－,－,－,－,12,－,13,2,36,2
