出火階,火災件数計,地下1階,地下2階,地下3階,地下4階,地下5階,"地下6階以上","地上階なし",1階建,2階建,3階建,4階建,5階建,6階建,7階建,8階建,9階建,10階建,11階建,12階建,13階建,14階建,15階以上,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,部分焼,ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
16階,8,1,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,8,2,3,-,"21,538",-,-
15階,10,4,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,2,8,10,8,12,33,"20,274,779",-,1
14階,3,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,3,3,-,-,-,"1,300",-,-
13階,12,5,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,1,11,12,8,11,-,"1,784,484",-,1
12階,13,6,3,-,2,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,5,6,-,-,-,13,13,6,14,-,"155,760",-,2
11階,6,1,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,3,-,-,-,6,6,-,-,-,"59,750",-,-
10階,10,4,1,2,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1,3,-,-,1,9,10,10,18,63,"82,350,660",-,2
9階,25,12,7,2,2,2,-,-,-,-,-,-,-,-,-,1,3,3,3,1,3,2,9,-,-,2,23,25,13,34,32,"3,675,673",-,6
8階,22,13,5,3,1,-,-,-,-,-,-,-,-,-,-,10,-,4,3,-,2,-,3,-,-,2,20,23,6,8,4,"8,991,730",-,1
7階,34,21,6,3,4,-,-,-,-,-,-,-,-,1,8,6,5,4,-,2,1,-,7,-,-,5,29,34,8,16,44,"10,314,230",1,5
6階,31,18,7,5,-,1,-,-,-,-,-,-,-,1,3,6,4,4,2,-,-,2,9,-,-,1,30,31,10,16,-,"902,684",-,1
5階,44,28,10,4,1,1,-,-,-,-,-,-,5,7,2,3,7,2,5,-,-,2,11,1,-,8,35,44,26,51,48,"80,142,626",-,5
4階,75,57,10,2,3,3,-,-,-,-,-,3,15,4,8,9,5,6,3,4,3,4,11,-,-,7,68,75,44,73,45,"20,724,135",1,15
3階,71,48,14,7,-,1,1,-,-,-,13,8,2,5,3,9,7,5,3,1,1,1,13,-,-,10,61,71,26,40,163,"111,957,709",3,6
2階,124,80,24,9,10,1,-,-,-,8,16,19,11,14,11,7,3,2,3,3,1,-,26,-,1,14,109,128,41,86,160,"128,794,469",3,23
1階,174,122,33,7,7,3,2,-,2,20,20,16,18,20,12,6,12,6,5,5,4,8,20,2,1,19,152,185,45,87,577,"123,448,300",1,32
地下1階,121,56,27,12,14,10,2,2,4,6,14,4,6,8,7,8,12,7,1,2,3,2,35,-,1,10,110,122,10,26,346,"179,221,491",-,17
地下2階,31,-,16,7,3,2,3,2,2,-,4,-,2,1,2,1,4,1,3,-,2,3,4,-,-,1,30,31,-,-,2,12409462,-,2
地下3階,10,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,9,-,-,-,10,10,-,-,-,6763600,-,-
地下4階,2,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,3200,-,-
地下5階,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,900,-,-
