消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
高輪,94,147,-,12,1,30,47,-,3,-,5,1,5,-,1,-,-,42,48,258,152,20
品川,156,219,-,41,7,25,59,-,2,-,7,-,7,-,5,3,-,63,97,286,525,55
大井,95,271,-,21,-,9,20,-,186,-,2,2,12,-,-,-,-,19,50,419,169,45
荏原,38,54,-,12,-,3,15,-,-,-,7,-,3,-,4,1,-,9,31,152,218,30
大森,188,268,2,67,2,13,48,-,18,4,26,1,27,-,3,1,-,56,200,804,451,254
田園調布,45,61,-,14,-,6,16,-,6,-,9,-,2,-,2,2,-,4,39,90,435,36
蒲田,230,337,10,68,39,19,46,-,48,7,12,19,9,-,4,4,1,51,249,425,447,54
矢口,40,50,-,15,-,4,10,-,-,-,8,-,1,-,1,-,-,11,29,131,178,28
目黒,88,121,-,22,-,11,34,-,3,-,18,-,7,-,3,1,-,22,66,188,219,28
世田谷,80,106,-,19,-,6,25,-,3,1,17,-,11,-,3,1,-,20,72,215,243,23
玉川,60,76,-,9,-,6,17,1,2,2,23,-,5,-,1,-,-,10,47,215,250,25
成城,71,107,-,17,3,5,19,-,31,-,13,-,6,-,3,-,-,10,52,466,358,57
渋谷,201,279,-,6,-,60,100,-,1,-,13,-,4,-,3,-,-,92,62,467,386,4
四谷,34,50,-,1,-,10,20,-,-,-,2,-,2,-,1,-,-,14,10,69,277,14
牛込,81,105,-,8,-,17,35,-,3,-,8,-,6,-,1,-,-,27,53,230,133,125
新宿,157,224,-,15,-,52,70,-,5,-,10,-,3,-,3,-,-,66,77,411,417,32
中野,39,54,-,7,-,6,15,-,2,-,5,-,4,-,2,-,-,13,26,89,99,20
野方,23,28,-,2,-,3,7,-,-,-,5,-,3,-,2,2,-,4,26,67,248,28
杉並,54,62,-,3,-,5,16,-,1,-,13,-,9,-,2,2,-,11,40,139,359,37
荻窪,38,44,-,5,-,4,11,-,2,-,12,-,4,-,-,-,-,6,29,120,234,39
小石川,65,89,-,11,-,13,31,-,-,-,6,-,1,-,2,-,-,25,34,176,381,79
本郷,53,97,-,23,-,5,30,-,-,-,6,-,2,-,1,1,-,29,42,217,536,9
豊島,58,92,-,8,-,13,31,-,4,-,6,-,3,-,-,2,-,25,34,292,249,21
池袋,29,30,-,2,-,8,8,-,-,-,4,-,2,-,1,1,-,4,14,74,193,21
王子,55,67,1,16,2,3,14,-,2,1,7,-,3,-,1,-,-,17,59,94,119,48
赤羽,64,101,2,28,7,6,20,-,3,-,6,-,10,-,2,2,-,15,93,150,220,69
滝野川,49,84,-,24,2,3,21,-,-,-,4,3,3,-,2,1,-,21,46,122,224,50
板橋,64,79,-,8,-,4,18,-,4,-,12,-,2,-,9,4,-,18,59,103,372,88
志村,154,285,11,73,6,23,41,-,20,21,22,-,14,-,5,3,-,46,273,758,736,251
練馬,54,63,-,9,-,3,10,-,14,-,10,-,6,-,1,-,-,10,37,123,253,50
光が丘,54,76,-,12,-,3,11,-,20,-,13,-,7,-,2,1,-,7,60,139,89,20
石神井,55,75,-,2,-,2,14,-,21,-,14,-,8,-,1,1,-,12,42,184,234,41
上野,52,59,-,6,-,10,16,-,4,-,8,-,1,-,3,3,-,8,22,90,220,38
浅草,29,37,-,6,-,5,6,-,-,-,6,-,1,-,6,3,-,4,40,62,128,32
日本堤,38,45,-,-,-,9,5,-,-,-,5,-,-,-,9,11,-,6,29,116,314,28
荒川,64,101,-,26,-,3,19,-,24,1,7,1,6,-,5,1,-,8,52,278,237,203
尾久,49,81,2,16,5,6,5,-,23,-,7,-,-,-,7,2,-,8,41,1266,131,68
千住,64,96,2,22,-,5,17,-,8,2,8,-,9,-,4,1,-,18,59,557,182,91
足立,132,212,3,33,6,2,46,-,57,1,28,-,12,-,3,1,-,20,118,329,559,155
西新井,154,230,4,28,-,2,29,-,75,4,22,-,28,-,4,1,-,33,151,299,358,370
本所,79,96,-,16,-,10,26,-,-,-,13,-,3,-,7,3,-,18,67,196,317,141
向島,72,186,2,29,2,15,12,-,87,-,9,-,5,-,7,4,-,14,80,457,382,237
深川,273,476,-,54,6,37,142,-,20,9,17,1,28,-,6,4,-,152,174,581,847,362
城東,164,306,1,51,37,11,51,-,35,2,18,4,32,-,3,1,-,60,200,364,529,574
本田,151,223,-,53,1,15,37,-,41,1,15,-,12,-,10,3,-,35,126,282,807,164
金町,53,66,1,8,-,3,12,-,10,-,9,-,11,-,-,-,-,12,48,106,208,51
江戸川,110,168,4,32,1,8,18,-,40,1,22,1,12,-,10,3,-,16,128,384,518,80
葛西,136,215,-,23,2,6,24,-,90,2,18,1,16,-,4,-,-,29,127,262,126,104
小岩,76,94,-,12,1,2,15,-,25,-,14,-,8,-,5,-,-,12,70,271,143,75
受託地区,2458,3710,19,644,98,116,989,3,493,45,303,7,234,0,23,15,0,721,2104,8121,9011,1314
立川,154,270,-,30,6,9,85,-,46,2,15,4,16,-,1,-,-,56,109,288,811,50
武蔵野,35,45,-,2,-,4,19,-,-,-,3,-,5,-,1,-,-,11,21,60,349,13
三鷹,67,137,-,21,1,6,45,-,7,2,8,-,7,-,-,2,-,38,74,226,209,51
府中,158,241,-,64,2,19,62,-,10,-,16,-,16,-,-,3,-,49,158,365,553,54
昭島,107,168,-,29,12,6,32,-,21,5,10,-,13,-,1,-,-,39,112,220,464,33
調布,98,138,-,23,1,5,46,-,3,-,15,2,8,-,1,3,-,31,78,437,264,48
小金井,34,41,-,15,-,1,12,-,-,-,4,-,4,-,-,-,-,5,22,72,118,10
小平,72,146,1,17,-,4,46,1,34,2,10,-,6,-,1,-,-,24,54,278,398,74
東村山,78,93,1,28,-,1,26,-,6,-,5,-,8,-,-,-,-,18,57,150,365,55
国分寺,28,33,-,9,-,-,8,-,1,1,10,-,2,-,-,-,-,2,24,83,209,8
狛江,14,16,-,1,-,-,5,-,-,-,4,-,2,-,-,1,-,3,13,36,57,26
北多摩西部,96,127,-,21,1,3,27,-,22,-,17,-,13,-,-,2,-,21,84,232,406,98
清瀬,26,38,-,5,2,2,13,-,2,-,2,1,2,-,-,-,-,9,24,56,150,18
東久留米,46,93,-,11,-,1,16,-,35,-,9,-,10,-,-,-,-,11,32,21,237,38
西東京,44,72,-,5,-,2,22,-,5,2,5,-,4,-,-,1,-,26,36,140,109,19
八王子,447,711,4,127,23,20,163,1,180,3,53,-,34,-,7,-,-,96,399,936,1050,162
青梅,183,254,2,45,4,5,79,-,22,9,19,-,14,-,3,1,-,51,149,385,731,164
町田,168,236,1,42,-,7,67,1,39,3,30,-,10,-,2,-,-,34,139,1688,459,42
日野,126,137,1,30,7,1,35,-,6,-,14,-,7,-,1,-,-,35,103,294,310,42
福生,220,357,6,83,23,6,80,-,21,12,21,-,28,-,4,2,-,71,232,1443,890,142
多摩,70,118,-,12,2,10,43,-,2,-,11,-,6,-,-,-,-,32,56,154,213,26
秋川,156,197,3,24,10,4,47,-,24,3,17,-,17,-,1,-,-,47,103,501,535,129
奥多摩,31,42,-,-,4,-,11,-,7,1,5,-,2,-,-,-,-,12,25,56,124,12
島しょ地区,197,432,-,20,104,17,55,1,55,51,35,23,6,-,-,-,10,55,559,812,-,-
