社福法人,ありんこ保育園,180-0013,武蔵野市西久保１－１１－１０,139.558,35.70433,JGD2011,0422-54-1356,66
社福法人,精華第二保育園,180-0013,武蔵野市西久保２－１５－３,139.55879,35.70917,JGD2011,0422-38-7352,96
社福法人,西久保保育園,180-0013,武蔵野市西久保２－１８－６,139.55742,35.70901,JGD2011,0422-51-5307,110
営利法人,ミアヘルサ保育園ひびき武蔵野西久保,180-0013,武蔵野市西久保２丁目２７番１５号,139.55533,35.70911,JGD2011,0422-38-8601,60
社福法人,武蔵野もみじの森保育園,180-0014,武蔵野市関前３－１２－１,139.55421,35.71201,JGD2011,0422-38-8611,108
営利法人,キッズガーデン武蔵野関前,180-0014,武蔵野市関前３－４－１１アビタシオン武蔵野１階,139.55621,35.71357,JGD2011,0422-38-6867,96
公益法人,桜堤保育園,180-0021,武蔵野市桜堤２－１－２７,139.53267,35.70765,JGD2011,0422-52-4671,96
営利法人,このえ武蔵境保育園,180-0022,武蔵野市境１－１６－２６,139.54822,35.70338,JGD2011,0422-27-8550,90
営利法人,武蔵境コスモ保育園,180-0022,武蔵野市境１－２０－５,139.54817,35.70529,JGD2011,0422-55-8686,91
営利法人,武蔵境すみれ保育園,180-0022,武蔵野市境１丁目１７番２６号　グレースフラットサカイ,139.54669,35.70363,JGD2011,0422-38-9292,66
区市町村,境保育園,180-0022,武蔵野市境４－１１－３,139.53857,35.71011,JGD2011,0422-53-1783,102
他の法人,ひまわり保育園,180-0022,武蔵野市境４－７－１２,139.54129,35.70688,JGD2011,0422-56-8732,96
営利法人,まなびの森保育園武蔵境,180-0022,武蔵野市境５－２－１１,139.53775,35.70311,JGD2011,0422-38-5066,69
営利法人,境南すみれ保育園,180-0023,武蔵野市境南町１－２１－６,139.54977,35.69888,JGD2011,0422-30-9581,60
公益法人,境南第２保育園,180-0023,武蔵野市境南町２－２０－１７,139.5416,35.69757,JGD2011,0422-32-8167,83
営利法人,グローバルキッズ武蔵境園,180-0023,武蔵野市境南町４－２－１９,139.53606,35.70179,JGD2011,0422-51-2242,62
区市町村,境南保育園,180-0023,武蔵野市境南町５－１－１,139.54092,35.69632,JGD2011,0422-32-2444,102
他の法人,ケンパ井の頭,181-0001,三鷹市井の頭１－１４－５,139.58954,35.69064,JGD2011,0422-70-0960,84
社福法人,井の頭保育園,181-0001,三鷹市井の頭３－１６－３１,139.58057,35.6932,JGD2011,0422-43-7916,100
社福法人,みたか小鳥の森保育園,181-0001,三鷹市井の頭５－２２－８,139.57484,35.69447,JGD2011,0422-45-4558,116
営利法人,にじいろ保育園三鷹牟礼,181-0002,三鷹市牟礼１－１４－２７,139.58705,35.68529,JGD2011,0422-24-6618,96
社福法人,三鷹赤とんぼ保育園,181-0002,三鷹市牟礼３－９－３,139.57979,35.68871,JGD2011,0422-40-0600,131
営利法人,牟礼の森トキ保育園,181-0002,三鷹市牟礼４－２－２３,139.57954,35.69044,JGD2011,0422-24-9233,128
営利法人,ときむれのこ保育園,181-0002,三鷹市牟礼４－３－１４,139.57774,35.69178,JGD2011,0422-26-7730,42
営利法人,ソラストみたか台保育園,181-0002,三鷹市牟礼５－６－７,139.58029,35.68309,JGD2011,0422-76-6070,73
社福法人,みたかこころ保育園,181-0002,三鷹市牟礼６－２－１,139.57654,35.68859,JGD2011,0422-26-9022,80
区市町村,牟礼保育園,181-0002,三鷹市牟礼７－４－５２,139.57449,35.68401,JGD2011,0422-76-0883,88
社福法人,第二小羊チャイルドセンター,181-0003,三鷹市北野３－１０－１４,139.58049,35.67935,JGD2011,0422-43-9754,125
営利法人,HOPPA北野けやきの里,181-0003,三鷹市北野４－８－２５,139.58315,35.67241,JGD2011,03-6279-5058,80
営利法人,三鷹新川雲母保育園,181-0004,三鷹市新川３－６－６,139.57321,35.67796,JGD2011,0422-70-1108,60
区市町村,新川保育園,181-0004,三鷹市新川５－７－２,139.57004,35.67542,JGD2011,0422-40-7553,110
営利法人,にじいろ保育園三鷹新川,181-0004,三鷹市新川６－３３－１５,139.56555,35.68337,JGD2011,0422-26-7402,96
営利法人,まなびの森保育園三鷹,181-0004,三鷹市新川６－５－１５,139.56834,35.68262,JGD2011,0422-76-0708,60
区市町村,こじか保育園,181-0004,三鷹市新川６－７－８,139.56831,35.67969,JGD2011,0422-71-2211,54
社福法人,みたかつくしんぼ保育園,181-0005,三鷹市中原１－２９－３５,139.57535,35.66639,JGD2011,03-3308-3507,64
区市町村,三鷹市立東台保育園,181-0005,三鷹市中原２－１７－３９,139.57179,35.66735,JGD2011,0422-79-7728,60
営利法人,うれしい保育園三鷹中原,181-0005,三鷹市中原３－２－１,139.56891,35.6715,JGD2011,0422-76-8821,61
区市町村,中原保育園,181-0005,三鷹市中原４－３５－４－１０１,139.56516,35.66838,JGD2011,0422-40-7170,114
営利法人,京進のほいくえん ＨＯＰＰＡたかの子,181-0011,三鷹市井口１－１０－１９,139.54971,35.69031,JGD2011,0422-34-7200,99
社福法人,三鷹どろんこ保育園,181-0011,三鷹市井口１－２３－９,139.54677,35.69485,JGD2011,0422-30-5923,99
営利法人,みたいぐコスモ保育園,181-0011,三鷹市井口１－９－１９,139.54968,35.69124,JGD2011,0422-31-3131,100
営利法人,Gakkenほいくえん　三鷹,181-0012,三鷹市上連雀１－５－１２,139.55737,35.70336,JGD2011,0422-54-2261,70
営利法人,三鷹もりのこ保育園,181-0012,三鷹市上連雀２－１６－１,139.55664,35.7014,JGD2011,0422-43-1195,60
区市町村,あけぼの保育園,181-0012,三鷹市上連雀４－１１－２１,139.55766,35.6938,JGD2011,0422-40-7555,101
区市町村,上連雀保育園,181-0012,三鷹市上連雀５－１－２７,139.55403,35.69819,JGD2011,0422-40-7168,103
区市町村,中央保育園,181-0012,三鷹市上連雀６－１１－１６,139.5596,35.69275,JGD2011,0422-40-7540,130
社福法人,第二椎の実子供の家,181-0012,三鷹市上連雀６－２５－３１,139.55682,35.69178,JGD2011,0422-44-4103,120
営利法人,キッズガーデン三鷹上連雀,181-0012,三鷹市上連雀６－２７－４,139.55594,35.68987,JGD2011,0422-29-8020,99
区市町村,山中保育園,181-0012,三鷹市上連雀７－１９－１－１００,139.55222,35.68926,JGD2011,0422-40-7542,51
営利法人,にじいろ保育園三鷹下連雀,181-0013,三鷹市下連雀１－４－２２,139.57129,35.69131,JGD2011,0422-26-5684,69
社福法人,三鷹駅前保育園,181-0013,三鷹市下連雀３－３０－１２　三鷹中央通りタウンプラザ２階,139.5614,35.69793,JGD2011,0422-79-5441,30
営利法人,ペガサス保育園三鷹駅前,181-0013,三鷹市下連雀３－３４－１５－２０１,139.56068,35.70064,JGD2011,0422-72-8545,48
営利法人,グローバルキッズ三鷹園,181-0013,三鷹市下連雀３－６－２１,139.56429,35.69971,JGD2011,0422-71-5155,99
営利法人,ポピンズナーサリースクール三鷹南,181-0013,三鷹市下連雀４－１６－１６,139.56088,35.69617,JGD2011,0422-70-1620,70
区市町村,下連雀保育園,181-0013,三鷹市下連雀４－１９－４,139.56024,35.6959,JGD2011,0422-40-7160,101
営利法人,ポピンズナーサリースクール三鷹下連雀,181-0013,三鷹市下連雀５－１－１－Ｅ２,139.57179,35.6882,JGD2011,0422-29-9575,60
社福法人,弘済保育所　おひさま保育園,181-0013,三鷹市下連雀５－２－５,139.57166,35.68725,JGD2011,0422-49-8893,60
区市町村,南浦東保育園,181-0013,三鷹市下連雀６－１２－１,139.56479,35.68769,JGD2011,0422-40-7166,101
社福法人,三鷹南浦西保育園,181-0013,三鷹市下連雀７－２－１,139.56358,35.68931,JGD2011,0422-40-7551,116
社福法人,あかね保育園,181-0013,三鷹市下連雀７－６－１８,139.56334,35.6915,JGD2011,0422-49-2671,67
社福法人,三鷹ちしろの木保育園,181-0014,三鷹市野崎２－１１－７,139.54659,35.68387,JGD2011,0422-30-9098,88
区市町村,野崎保育園,181-0014,三鷹市野崎３－１２－１１,139.54341,35.6856,JGD2011,0422-39-7050,101
区市町村,三鷹市立大沢台保育園,181-0015,三鷹市大沢２－２－５２,139.53706,35.68069,JGD2011,0422-39-3177,62
社福法人,椎の実子供の家,181-0015,三鷹市大沢４－８－８,139.54019,35.6694,JGD2011,0422-32-4103,107
社福法人,三鷹西野保育園,181-0016,三鷹市深大寺３－３－１０,139.53688,35.69193,JGD2011,0422-39-7030,99
社福法人,成木保育園,1
