消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者
城東,32,19,1,－,－,18,5,－,－,－,8,155,62440,－,1
本田,72,34,4,1,2,27,7,－,－,－,31,491,62010,1,6
金町,27,16,3,－,2,11,4,－,－,－,7,537,53729,－,3
江戸川,50,24,3,1,3,17,9,－,－,－,17,461,236778,4,3
小岩,25,9,－,1,－,8,3,－,－,－,13,65,8429,3,－
受託地区,453,197,28,4,9,156,78,－,－,－,178,4010,699095,17,33
立川,71,45,9,2,4,30,2,－,－,－,24,1457,254222,3,6
国分寺,24,7,3,－,－,4,6,－,－,－,11,241,41590,－,4
小平,15,7,－,－,－,7,4,－,－,－,4,－,743,－,－
武蔵野,16,10,1,－,－,9,1,－,－,－,5,116,31555,－,－
保谷,23,6,－,－,－,6,7,－,－,－,10,－,1137,－,1
三鷹,17,5,1,－,1,3,1,－,－,－,11,133,10871,－,1
調布,21,10,1,－,－,9,5,－,－,－,6,140,35934,2,1
府中,25,11,1,－,－,10,8,－,－,－,6,34,5032,3,2
日野,23,8,－,－,－,8,7,－,－,－,8,－,300,－,－
町田,47,24,5,1,2,16,7,－,－,－,16,497,104893,4,10
八王子,70,31,4,1,1,25,8,－,－,－,31,1274,186809,3,6
青梅,9,6,－,－,－,6,－,－,－,－,3,－,88,－,－
東村山,15,4,－,－,－,4,4,－,－,－,7,－,269,－,1
福生,6,3,－,－,－,3,1,－,－,－,2,－,6361,1,－
狛江,27,9,1,－,－,8,6,－,－,－,12,28,2264,－,－
北多摩西部,23,4,2,－,1,1,9,－,－,－,10,90,15588,1,－
清瀬,10,2,－,－,－,2,1,－,－,－,7,－,1220,－,－
秋川,1,1,－,－,－,1,－,－,－,－,－,－,15,－,－
奥多摩,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－
多摩,9,3,－,－,－,3,1,－,－,－,5,－,197,－,1
