消防署,消火設備／屋内消火栓設備／対象物数,消火設備／屋内消火栓設備／設備数,消火設備／スプリンクラー設備／対象物数,消火設備／スプリンクラー設備／設備数,消火設備／水噴霧消火設備／対象物数,消火設備／水噴霧消火設備／設備数,消火設備／泡消火設備／対象物数,消火設備／泡消火設備／設備数,消火設備／二酸化炭素消火設備／対象物数,消火設備／二酸化炭素消火設備／設備数,消火設備／ハロゲン化物消火設備／対象物数,消火設備／ハロゲン化物消火設備／設備数,消火設備／粉末消火設備／対象物数,消火設備／粉末消火設備／設備数,消火設備／屋外消火栓設備／対象物数,消火設備／屋外消火栓設備／設備数,消火設備／動力消防ポンプ設備／対象物数,消火設備／動力消防ポンプ設備／設備数
本郷,345,345,33,33,1,1,9,9,33,33,69,69,10,10,1,1,－,－
豊島,476,476,67,67,4,4,18,18,42,42,99,99,11,11,1,1,1,1
池袋,224,224,30,32,1,1,10,10,14,14,41,45,9,16,1,1,1,1
王子,193,193,16,15,－,－,6,6,16,16,14,14,12,12,15,15,7,7
赤羽,187,187,16,16,－,－,4,4,21,21,11,11,15,15,1,1,3,3
滝野川,148,148,3,3,－,－,1,1,3,3,15,15,3,3,－,－,2,2
板橋,273,273,22,22,－,－,11,11,17,17,35,35,5,5,4,4,3,3
志村,595,587,30,30,8,8,25,19,55,75,43,43,19,22,28,26,30,30
練馬,232,232,9,9,－,－,10,10,9,9,26,26,9,9,7,7,1,1
光が丘,156,142,5,5,－,－,6,6,5,5,6,6,23,23,1,1,－,－
石神井,139,139,17,17,－,－,5,5,4,4,14,14,13,13,－,－,3,3
上野,299,299,44,44,－,－,12,12,49,49,77,77,8,8,2,2,－,－
浅草,171,171,6,6,1,1,10,10,31,31,43,43,4,4,－,－,1,1
日本堤,104,104,16,12,－,－,6,6,12,12,15,15,4,4,－,－,5,5
荒川,195,195,8,8,－,－,4,4,12,12,18,18,7,7,3,3,－,－
尾久,89,81,4,4,－,－,3,3,6,6,5,5,5,20,3,3,5,3
千住,152,152,11,11,4,4,58,16,19,19,13,13,20,20,6,6,24,24
足立,294,290,20,20,2,2,4,4,9,9,14,14,12,12,9,9,14,14
西新井,192,192,11,11,－,－,5,5,5,5,2,2,12,38,14,14,30,40
本所,284,286,22,22,－,－,16,16,19,19,36,36,14,14,3,3,3,3
向島,160,160,14,14,－,－,10,10,13,13,9,9,10,10,8,8,8,8
深川,595,601,37,37,11,11,32,32,31,31,63,63,30,30,36,36,39,39
城東,438,438,20,20,2,2,33,33,27,27,46,46,29,29,46,46,38,38
本田,230,229,12,12,1,1,7,7,14,14,14,14,15,15,9,9,22,23
金町,140,140,15,15,－,－,5,5,8,8,8,8,10,10,2,2,15,15
江戸川,448,448,19,19,－,－,9,9,20,20,32,32,18,18,19,19,47,47
小岩,147,147,13,13,－,－,3,3,6,6,14,14,3,3,7,7,8,8
受託地区,5188,4807,489,476,37,34,138,136,157,158,439,444,237,257,220,184,203,193
立川,597,565,54,54,6,6,5,5,34,34,57,57,16,18,11,11,31,31
国分寺,182,162,16,20,－,－,5,3,6,5,12,12,3,3,1,1,6,4
小平,343,342,17,17,7,7,3,3,1,1,15,15,4,4,9,9,9,9
武蔵野,315,286,41,40,－,－,20,20,10,10,46,46,14,14,－,－,－,－
保谷,196,166,9,9,－,－,1,1,2,2,11,11,8,8,9,9,13,11
三鷹,266,268,17,17,2,2,9,9,8,8,22,22,18,31,13,13,4,4
調布,255,255,12,12,－,－,7,7,15,15,18,18,11,11,2,2,15,15
府中,316,270,26,26,－,－,8,8,6,6,18,18,6,6,18,12,8,8
東村山,132,132,21,21,－,－,1,1,5,5,7,7,3,3,7,7,5,5
狛江,40,40,2,2,－,－,－,－,1,1,3,2,1,1,1,1,1,1
北多摩西部,179,179,14,14,－,－,12,12,4,4,12,12,7,7,21,21,20,20
清瀬,97,89,13,13,－,－,－,－,1,1,7,7,1,1,1,1,3,3
八王子,731,608,79,65,15,12,15,15,20,20,83,82,43,43,58,33,23,18
日野,241,175,18,18,4,4,5,5,18,20,12,19,7,10,7,7,9,9
町田,653,653,61,61,－,－,21,21,14,14,43,43,29,31,11,11,15,15
青梅,185,185,34,32,－,－,3,3,5,5,32,32,20,20,22,22,22,22
福生,187,180,17,17,－,－,5,5,2,2,7,7,7,7,15,15,7,7
秋川,99,78,12,12,－,－,－,－,－,－,－,－,1,1,13,8,9,8
奥多摩,11,11,4,4,－,－,1,1,－,－,3,3,－,－,－,－,2,2
多摩,163,163,22,22,3,3,17,17,5,5,31,31,38,38,1,1,1,1
